,date,value,name_B08S1C32M7
47,2021-02-24,909.0,Pool & Spa Replacement Parts
48,2021-02-25,1218.0,Pool & Spa Replacement Parts
49,2021-02-26,1229.0,Pool & Spa Replacement Parts
50,2021-02-27,1478.0,Pool & Spa Replacement Parts
51,2021-02-28,1628.0,Pool & Spa Replacement Parts
52,2021-03-01,1628.0,Pool & Spa Replacement Parts
53,2021-03-02,1497.0,Pool & Spa Replacement Parts
54,2021-03-03,1497.0,Pool & Spa Replacement Parts
55,2021-03-04,1398.0,Pool & Spa Replacement Parts
56,2021-03-05,2179.0,Pool & Spa Replacement Parts
57,2021-03-06,1843.0,Pool & Spa Replacement Parts
58,2021-03-07,1843.0,Pool & Spa Replacement Parts
59,2021-03-08,1843.0,Pool & Spa Replacement Parts
60,2021-03-09,1843.0,Pool & Spa Replacement Parts
61,2021-03-10,2645.0,Pool & Spa Replacement Parts
62,2021-03-11,2645.0,Pool & Spa Replacement Parts
63,2021-03-12,3884.0,Pool & Spa Replacement Parts
64,2021-03-13,3026.0,Pool & Spa Replacement Parts
65,2021-03-14,3026.0,Pool & Spa Replacement Parts
66,2021-03-15,4344.0,Pool & Spa Replacement Parts
67,2021-03-16,4344.0,Pool & Spa Replacement Parts
68,2021-03-17,3570.0,Pool & Spa Replacement Parts
69,2021-03-18,3485.0,Pool & Spa Replacement Parts
70,2021-03-19,3485.0,Pool & Spa Replacement Parts
71,2021-03-20,4039.0,Pool & Spa Replacement Parts
72,2021-03-21,4039.0,Pool & Spa Replacement Parts
73,2021-03-22,6349.0,Pool & Spa Replacement Parts
74,2021-03-23,6349.0,Pool & Spa Replacement Parts
75,2021-03-24,6349.0,Pool & Spa Replacement Parts
76,2021-03-25,3199.0,Pool & Spa Replacement Parts
77,2021-03-26,3199.0,Pool & Spa Replacement Parts
78,2021-03-27,3199.0,Pool & Spa Replacement Parts
79,2021-03-28,5160.0,Pool & Spa Replacement Parts
80,2021-03-29,5569.0,Pool & Spa Replacement Parts
81,2021-03-30,5569.0,Pool & Spa Replacement Parts
82,2021-03-31,4212.0,Pool & Spa Replacement Parts
83,2021-04-01,3757.0,Pool & Spa Replacement Parts
84,2021-04-02,3757.0,Pool & Spa Replacement Parts
85,2021-04-03,4131.0,Pool & Spa Replacement Parts
86,2021-04-04,4973.0,Pool & Spa Replacement Parts
87,2021-04-05,4973.0,Pool & Spa Replacement Parts
88,2021-04-06,4973.0,Pool & Spa Replacement Parts
89,2021-04-07,5654.0,Pool & Spa Replacement Parts
90,2021-04-08,5654.0,Pool & Spa Replacement Parts
91,2021-04-09,6834.0,Pool & Spa Replacement Parts
92,2021-04-10,6834.0,Pool & Spa Replacement Parts
93,2021-04-11,6834.0,Pool & Spa Replacement Parts
94,2021-04-12,6489.0,Pool & Spa Replacement Parts
95,2021-04-13,6489.0,Pool & Spa Replacement Parts
96,2021-04-14,6450.0,Pool & Spa Replacement Parts
97,2021-04-15,6450.0,Pool & Spa Replacement Parts
98,2021-04-16,6450.0,Pool & Spa Replacement Parts
99,2021-04-17,6205.0,Pool & Spa Replacement Parts
100,2021-04-18,6205.0,Pool & Spa Replacement Parts
101,2021-04-19,9139.0,Pool & Spa Replacement Parts
102,2021-04-20,9139.0,Pool & Spa Replacement Parts
103,2021-04-21,5225.0,Pool & Spa Replacement Parts
104,2021-04-22,5225.0,Pool & Spa Replacement Parts
105,2021-04-23,5762.0,Pool & Spa Replacement Parts
106,2021-04-24,5762.0,Pool & Spa Replacement Parts
107,2021-04-25,8272.0,Pool & Spa Replacement Parts
108,2021-04-26,8036.0,Pool & Spa Replacement Parts
109,2021-04-27,8036.0,Pool & Spa Replacement Parts
110,2021-04-28,6272.0,Pool & Spa Replacement Parts
111,2021-04-29,7669.0,Pool & Spa Replacement Parts
112,2021-04-30,7669.0,Pool & Spa Replacement Parts
113,2021-05-01,7698.0,Pool & Spa Replacement Parts
114,2021-05-02,7698.0,Pool & Spa Replacement Parts
115,2021-05-03,7698.0,Pool & Spa Replacement Parts
116,2021-05-04,5453.0,Pool & Spa Replacement Parts
117,2021-05-05,6724.0,Pool & Spa Replacement Parts
118,2021-05-06,5895.0,Pool & Spa Replacement Parts
119,2021-05-07,5053.0,Pool & Spa Replacement Parts
120,2021-05-08,4746.0,Pool & Spa Replacement Parts
121,2021-05-09,6923.0,Pool & Spa Replacement Parts
122,2021-05-10,8079.0,Pool & Spa Replacement Parts
123,2021-05-11,8079.0,Pool & Spa Replacement Parts
124,2021-05-12,4717.0,Pool & Spa Replacement Parts
125,2021-05-13,4717.0,Pool & Spa Replacement Parts
126,2021-05-14,4703.0,Pool & Spa Replacement Parts
127,2021-05-15,4703.0,Pool & Spa Replacement Parts
128,2021-05-16,8907.0,Pool & Spa Replacement Parts
129,2021-05-17,8907.0,Pool & Spa Replacement Parts
130,2021-05-18,6858.0,Pool & Spa Replacement Parts
131,2021-05-19,6421.0,Pool & Spa Replacement Parts
132,2021-05-20,6668.0,Pool & Spa Replacement Parts
133,2021-05-21,6668.0,Pool & Spa Replacement Parts
134,2021-05-22,6305.0,Pool & Spa Replacement Parts
135,2021-05-23,6305.0,Pool & Spa Replacement Parts
136,2021-05-24,9460.0,Pool & Spa Replacement Parts
137,2021-05-25,9460.0,Pool & Spa Replacement Parts
138,2021-05-26,5172.0,Pool & Spa Replacement Parts
139,2021-05-27,4724.0,Pool & Spa Replacement Parts
140,2021-05-28,4724.0,Pool & Spa Replacement Parts
141,2021-05-29,8141.0,Pool & Spa Replacement Parts
142,2021-05-30,8141.0,Pool & Spa Replacement Parts
143,2021-05-31,6453.0,Pool & Spa Replacement Parts
144,2021-06-01,6453.0,Pool & Spa Replacement Parts
145,2021-06-02,5041.0,Pool & Spa Replacement Parts
146,2021-06-03,6285.0,Pool & Spa Replacement Parts
147,2021-06-04,5927.0,Pool & Spa Replacement Parts
148,2021-06-05,6384.0,Pool & Spa Replacement Parts
149,2021-06-06,6384.0,Pool & Spa Replacement Parts
150,2021-06-07,7837.0,Pool & Spa Replacement Parts
151,2021-06-08,7837.0,Pool & Spa Replacement Parts
152,2021-06-09,7481.0,Pool & Spa Replacement Parts
153,2021-06-10,7481.0,Pool & Spa Replacement Parts
154,2021-06-11,7901.0,Pool & Spa Replacement Parts
155,2021-06-12,6808.0,Pool & Spa Replacement Parts
156,2021-06-13,6808.0,Pool & Spa Replacement Parts
157,2021-06-14,7349.0,Pool & Spa Replacement Parts
158,2021-06-15,7349.0,Pool & Spa Replacement Parts
159,2021-06-16,7349.0,Pool & Spa Replacement Parts
160,2021-06-17,4633.0,Pool & Spa Replacement Parts
161,2021-06-18,4633.0,Pool & Spa Replacement Parts
162,2021-06-19,7280.0,Pool & Spa Replacement Parts
163,2021-06-20,5686.0,Pool & Spa Replacement Parts
164,2021-06-21,5686.0,Pool & Spa Replacement Parts
165,2021-06-22,8891.0,Pool & Spa Replacement Parts
166,2021-06-23,8891.0,Pool & Spa Replacement Parts
167,2021-06-24,5525.0,Pool & Spa Replacement Parts
168,2021-06-25,5717.0,Pool & Spa Replacement Parts
169,2021-06-26,5717.0,Pool & Spa Replacement Parts
170,2021-06-27,6180.0,Pool & Spa Replacement Parts
171,2021-06-28,6180.0,Pool & Spa Replacement Parts
172,2021-06-29,5063.0,Pool & Spa Replacement Parts
173,2021-06-30,5715.0,Pool & Spa Replacement Parts
174,2021-07-01,5715.0,Pool & Spa Replacement Parts
175,2021-07-02,5715.0,Pool & Spa Replacement Parts
176,2021-07-03,6288.0,Pool & Spa Replacement Parts
177,2021-07-04,6725.0,Pool & Spa Replacement Parts
178,2021-07-05,6725.0,Pool & Spa Replacement Parts
179,2021-07-06,6782.0,Pool & Spa Replacement Parts
180,2021-07-07,4333.0,Pool & Spa Replacement Parts
181,2021-07-08,6816.0,Pool & Spa Replacement Parts
182,2021-07-09,6310.0,Pool & Spa Replacement Parts
183,2021-07-10,6756.0,Pool & Spa Replacement Parts
