,date,value,name_B08DCXFDC8
163,2021-03-10,9079.0,Sofa Covers
164,2021-03-11,8835.0,Sofa Covers
165,2021-03-12,7108.0,Sofa Covers
166,2021-03-13,7108.0,Sofa Covers
167,2021-03-14,7108.0,Sofa Covers
168,2021-03-15,4938.0,Sofa Covers
169,2021-03-16,7709.0,Sofa Covers
170,2021-03-17,7709.0,Sofa Covers
171,2021-03-18,7709.0,Sofa Covers
172,2021-03-19,12876.0,Sofa Covers
173,2021-03-20,12876.0,Sofa Covers
174,2021-03-21,12876.0,Sofa Covers
175,2021-03-22,5730.0,Sofa Covers
176,2021-03-23,5730.0,Sofa Covers
177,2021-03-24,5567.0,Sofa Covers
178,2021-03-25,7767.0,Sofa Covers
179,2021-03-26,11134.0,Sofa Covers
180,2021-03-27,12986.0,Sofa Covers
181,2021-03-28,12986.0,Sofa Covers
182,2021-03-29,12986.0,Sofa Covers
183,2021-03-30,12986.0,Sofa Covers
184,2021-03-31,8018.0,Sofa Covers
185,2021-04-01,8412.0,Sofa Covers
186,2021-04-02,7204.0,Sofa Covers
187,2021-04-03,7204.0,Sofa Covers
188,2021-04-04,8903.0,Sofa Covers
189,2021-04-05,5900.0,Sofa Covers
190,2021-04-06,5900.0,Sofa Covers
191,2021-04-07,5900.0,Sofa Covers
192,2021-04-08,8158.0,Sofa Covers
193,2021-04-09,8158.0,Sofa Covers
194,2021-04-10,6607.0,Sofa Covers
195,2021-04-11,5283.0,Sofa Covers
196,2021-04-12,3451.0,Sofa Covers
197,2021-04-13,4873.0,Sofa Covers
198,2021-04-14,3951.0,Sofa Covers
199,2021-04-15,3951.0,Sofa Covers
200,2021-04-16,3959.0,Sofa Covers
201,2021-04-17,3959.0,Sofa Covers
202,2021-04-18,3959.0,Sofa Covers
203,2021-04-19,5119.0,Sofa Covers
204,2021-04-20,4312.0,Sofa Covers
205,2021-04-21,4312.0,Sofa Covers
206,2021-04-22,4858.0,Sofa Covers
207,2021-04-23,4858.0,Sofa Covers
208,2021-04-24,4336.0,Sofa Covers
209,2021-04-25,4336.0,Sofa Covers
210,2021-04-26,3571.0,Sofa Covers
211,2021-04-27,3571.0,Sofa Covers
212,2021-04-28,5315.0,Sofa Covers
213,2021-04-29,5315.0,Sofa Covers
214,2021-04-30,5315.0,Sofa Covers
215,2021-05-01,6108.0,Sofa Covers
216,2021-05-02,6108.0,Sofa Covers
217,2021-05-03,5116.0,Sofa Covers
218,2021-05-04,5116.0,Sofa Covers
219,2021-05-05,8337.0,Sofa Covers
220,2021-05-06,10335.0,Sofa Covers
221,2021-05-07,10335.0,Sofa Covers
222,2021-05-08,6947.0,Sofa Covers
223,2021-05-09,6947.0,Sofa Covers
224,2021-05-10,6350.0,Sofa Covers
225,2021-05-11,7197.0,Sofa Covers
226,2021-05-12,7133.0,Sofa Covers
227,2021-05-13,5442.0,Sofa Covers
228,2021-05-14,6433.0,Sofa Covers
229,2021-05-15,6433.0,Sofa Covers
230,2021-05-16,4538.0,Sofa Covers
231,2021-05-17,4538.0,Sofa Covers
232,2021-05-18,6300.0,Sofa Covers
233,2021-05-19,5226.0,Sofa Covers
234,2021-05-20,6437.0,Sofa Covers
235,2021-05-21,8206.0,Sofa Covers
236,2021-05-22,8206.0,Sofa Covers
237,2021-05-23,8206.0,Sofa Covers
238,2021-05-24,7102.0,Sofa Covers
239,2021-05-25,7102.0,Sofa Covers
240,2021-05-26,7376.0,Sofa Covers
241,2021-05-27,6555.0,Sofa Covers
242,2021-05-28,9279.0,Sofa Covers
243,2021-05-29,9279.0,Sofa Covers
244,2021-05-30,9279.0,Sofa Covers
245,2021-05-31,10448.0,Sofa Covers
246,2021-06-01,6735.0,Sofa Covers
247,2021-06-02,7907.0,Sofa Covers
248,2021-06-03,10061.0,Sofa Covers
249,2021-06-04,10813.0,Sofa Covers
250,2021-06-05,10166.0,Sofa Covers
251,2021-06-06,9773.0,Sofa Covers
252,2021-06-07,9969.0,Sofa Covers
253,2021-06-08,8333.0,Sofa Covers
254,2021-06-09,10194.0,Sofa Covers
255,2021-06-10,10194.0,Sofa Covers
256,2021-06-11,10846.0,Sofa Covers
257,2021-06-12,15057.0,Sofa Covers
258,2021-06-13,12320.0,Sofa Covers
259,2021-06-14,15129.0,Sofa Covers
260,2021-06-15,15143.0,Sofa Covers
261,2021-06-16,15143.0,Sofa Covers
262,2021-06-17,13397.0,Sofa Covers
263,2021-06-18,16726.0,Sofa Covers
264,2021-06-19,20755.0,Sofa Covers
265,2021-06-20,16468.0,Sofa Covers
266,2021-06-21,10699.0,Sofa Covers
267,2021-06-22,11145.0,Sofa Covers
268,2021-06-23,14573.0,Sofa Covers
269,2021-06-24,15956.0,Sofa Covers
270,2021-06-25,11743.0,Sofa Covers
271,2021-06-26,11743.0,Sofa Covers
272,2021-06-27,13818.0,Sofa Covers
273,2021-06-28,10232.0,Sofa Covers
274,2021-06-29,13596.0,Sofa Covers
275,2021-06-30,12213.0,Sofa Covers
276,2021-07-01,12213.0,Sofa Covers
277,2021-07-02,14057.0,Sofa Covers
278,2021-07-03,13548.0,Sofa Covers
279,2021-07-04,13548.0,Sofa Covers
280,2021-07-05,13548.0,Sofa Covers
281,2021-07-06,12751.0,Sofa Covers
282,2021-07-07,12751.0,Sofa Covers
283,2021-07-08,12751.0,Sofa Covers
284,2021-07-09,15831.0,Sofa Covers
285,2021-07-10,15831.0,Sofa Covers
286,2021-07-11,17240.0,Sofa Covers
