,date,value,name_B07NHRXLP2
163,2020-11-04,1207.0,Saw Palmetto
164,2020-11-05,1160.0,Saw Palmetto
165,2020-11-06,1160.0,Saw Palmetto
166,2020-11-07,1034.0,Saw Palmetto
167,2020-11-08,1034.0,Saw Palmetto
168,2020-11-09,1123.0,Saw Palmetto
169,2020-11-10,1034.0,Saw Palmetto
170,2020-11-11,1034.0,Saw Palmetto
171,2020-11-12,1034.0,Saw Palmetto
172,2020-11-13,1065.0,Saw Palmetto
173,2020-11-14,1065.0,Saw Palmetto
174,2020-11-15,1222.0,Saw Palmetto
175,2020-11-16,1222.0,Saw Palmetto
176,2020-11-17,1204.0,Saw Palmetto
177,2020-11-18,1204.0,Saw Palmetto
178,2020-11-19,1204.0,Saw Palmetto
179,2020-11-20,1387.0,Saw Palmetto
180,2020-11-21,1387.0,Saw Palmetto
181,2020-11-22,1265.0,Saw Palmetto
182,2020-11-23,1399.0,Saw Palmetto
183,2020-11-24,1448.0,Saw Palmetto
184,2020-11-25,1325.0,Saw Palmetto
185,2020-11-26,1325.0,Saw Palmetto
186,2020-11-27,1325.0,Saw Palmetto
187,2020-11-28,1594.0,Saw Palmetto
188,2020-11-29,1594.0,Saw Palmetto
189,2020-11-30,1594.0,Saw Palmetto
190,2020-12-01,1356.0,Saw Palmetto
191,2020-12-02,1356.0,Saw Palmetto
192,2020-12-03,1356.0,Saw Palmetto
193,2020-12-04,1268.0,Saw Palmetto
194,2020-12-05,1268.0,Saw Palmetto
195,2020-12-06,1185.0,Saw Palmetto
196,2020-12-07,1152.0,Saw Palmetto
197,2020-12-08,1152.0,Saw Palmetto
198,2020-12-09,1175.0,Saw Palmetto
199,2020-12-10,1081.0,Saw Palmetto
200,2020-12-11,1169.0,Saw Palmetto
201,2020-12-12,1176.0,Saw Palmetto
202,2020-12-13,1306.0,Saw Palmetto
203,2020-12-14,1386.0,Saw Palmetto
204,2020-12-15,1363.0,Saw Palmetto
205,2020-12-16,1242.0,Saw Palmetto
206,2020-12-17,1283.0,Saw Palmetto
207,2020-12-18,1279.0,Saw Palmetto
208,2020-12-19,1332.0,Saw Palmetto
209,2020-12-20,1332.0,Saw Palmetto
210,2020-12-21,1332.0,Saw Palmetto
211,2020-12-22,1254.0,Saw Palmetto
212,2020-12-23,1254.0,Saw Palmetto
213,2020-12-24,1254.0,Saw Palmetto
214,2020-12-25,1145.0,Saw Palmetto
215,2020-12-26,1026.0,Saw Palmetto
216,2020-12-27,1275.0,Saw Palmetto
217,2020-12-28,1275.0,Saw Palmetto
218,2020-12-29,1275.0,Saw Palmetto
219,2020-12-30,1244.0,Saw Palmetto
220,2020-12-31,1244.0,Saw Palmetto
221,2021-01-01,1276.0,Saw Palmetto
222,2021-01-02,1322.0,Saw Palmetto
223,2021-01-03,1237.0,Saw Palmetto
224,2021-01-04,1237.0,Saw Palmetto
225,2021-01-05,1237.0,Saw Palmetto
226,2021-01-06,1260.0,Saw Palmetto
227,2021-01-07,1260.0,Saw Palmetto
228,2021-01-08,1168.0,Saw Palmetto
229,2021-01-09,1140.0,Saw Palmetto
230,2021-01-10,1140.0,Saw Palmetto
231,2021-01-11,1227.0,Saw Palmetto
232,2021-01-12,1227.0,Saw Palmetto
233,2021-01-13,1255.0,Saw Palmetto
234,2021-01-14,1255.0,Saw Palmetto
235,2021-01-15,1027.0,Saw Palmetto
236,2021-01-16,1083.0,Saw Palmetto
237,2021-01-17,1083.0,Saw Palmetto
238,2021-01-18,1083.0,Saw Palmetto
239,2021-01-19,1258.0,Saw Palmetto
240,2021-01-20,1179.0,Saw Palmetto
241,2021-01-21,1179.0,Saw Palmetto
242,2021-01-22,1179.0,Saw Palmetto
243,2021-01-23,1186.0,Saw Palmetto
244,2021-01-24,1325.0,Saw Palmetto
245,2021-01-25,1247.0,Saw Palmetto
246,2021-01-26,1247.0,Saw Palmetto
247,2021-01-27,1247.0,Saw Palmetto
248,2021-01-28,1204.0,Saw Palmetto
249,2021-01-29,1204.0,Saw Palmetto
250,2021-01-30,1204.0,Saw Palmetto
251,2021-01-31,1142.0,Saw Palmetto
252,2021-02-01,1142.0,Saw Palmetto
253,2021-02-02,1197.0,Saw Palmetto
254,2021-02-03,1197.0,Saw Palmetto
255,2021-02-04,1060.0,Saw Palmetto
256,2021-02-05,998.0,Saw Palmetto
257,2021-02-06,998.0,Saw Palmetto
258,2021-02-07,1063.0,Saw Palmetto
259,2021-02-08,1063.0,Saw Palmetto
260,2021-02-09,1044.0,Saw Palmetto
261,2021-02-10,1044.0,Saw Palmetto
262,2021-02-11,1044.0,Saw Palmetto
263,2021-02-12,1035.0,Saw Palmetto
264,2021-02-13,1035.0,Saw Palmetto
265,2021-02-14,1035.0,Saw Palmetto
266,2021-02-15,1041.0,Saw Palmetto
267,2021-02-16,1041.0,Saw Palmetto
268,2021-02-17,1049.0,Saw Palmetto
269,2021-02-18,1049.0,Saw Palmetto
270,2021-02-19,1049.0,Saw Palmetto
271,2021-02-20,933.0,Saw Palmetto
272,2021-02-21,933.0,Saw Palmetto
273,2021-02-22,989.0,Saw Palmetto
274,2021-02-23,989.0,Saw Palmetto
275,2021-02-24,989.0,Saw Palmetto
276,2021-02-25,854.0,Saw Palmetto
277,2021-02-26,854.0,Saw Palmetto
278,2021-02-27,854.0,Saw Palmetto
279,2021-02-28,931.0,Saw Palmetto
280,2021-03-01,931.0,Saw Palmetto
281,2021-03-02,922.0,Saw Palmetto
282,2021-03-03,922.0,Saw Palmetto
283,2021-03-04,955.0,Saw Palmetto
284,2021-03-05,955.0,Saw Palmetto
285,2021-03-06,955.0,Saw Palmetto
286,2021-03-07,958.0,Saw Palmetto
287,2021-03-08,958.0,Saw Palmetto
288,2021-03-09,958.0,Saw Palmetto
289,2021-03-10,980.0,Saw Palmetto
290,2021-03-11,980.0,Saw Palmetto
291,2021-03-12,890.0,Saw Palmetto
292,2021-03-13,890.0,Saw Palmetto
293,2021-03-14,890.0,Saw Palmetto
294,2021-03-15,1002.0,Saw Palmetto
295,2021-03-16,1002.0,Saw Palmetto
296,2021-03-17,925.0,Saw Palmetto
297,2021-03-18,915.0,Saw Palmetto
298,2021-03-19,915.0,Saw Palmetto
299,2021-03-20,862.0,Saw Palmetto
300,2021-03-21,987.0,Saw Palmetto
301,2021-03-22,987.0,Saw Palmetto
302,2021-03-23,987.0,Saw Palmetto
303,2021-03-24,886.0,Saw Palmetto
304,2021-03-25,886.0,Saw Palmetto
305,2021-03-26,807.0,Saw Palmetto
306,2021-03-27,833.0,Saw Palmetto
307,2021-03-28,833.0,Saw Palmetto
308,2021-03-29,957.0,Saw Palmetto
309,2021-03-30,957.0,Saw Palmetto
310,2021-03-31,869.0,Saw Palmetto
311,2021-04-01,869.0,Saw Palmetto
312,2021-04-02,869.0,Saw Palmetto
313,2021-04-03,793.0,Saw Palmetto
314,2021-04-04,793.0,Saw Palmetto
315,2021-04-05,793.0,Saw Palmetto
316,2021-04-06,848.0,Saw Palmetto
317,2021-04-07,848.0,Saw Palmetto
318,2021-04-08,921.0,Saw Palmetto
319,2021-04-09,921.0,Saw Palmetto
320,2021-04-10,917.0,Saw Palmetto
321,2021-04-11,917.0,Saw Palmetto
322,2021-04-12,1068.0,Saw Palmetto
323,2021-04-13,1068.0,Saw Palmetto
324,2021-04-14,1068.0,Saw Palmetto
325,2021-04-15,1135.0,Saw Palmetto
326,2021-04-16,1135.0,Saw Palmetto
327,2021-04-17,979.0,Saw Palmetto
328,2021-04-18,979.0,Saw Palmetto
329,2021-04-19,1024.0,Saw Palmetto
330,2021-04-20,1044.0,Saw Palmetto
331,2021-04-21,1044.0,Saw Palmetto
332,2021-04-22,719.0,Saw Palmetto
333,2021-04-23,811.0,Saw Palmetto
334,2021-04-24,811.0,Saw Palmetto
335,2021-04-25,907.0,Saw Palmetto
336,2021-04-26,907.0,Saw Palmetto
337,2021-04-27,821.0,Saw Palmetto
338,2021-04-28,821.0,Saw Palmetto
339,2021-04-29,811.0,Saw Palmetto
340,2021-04-30,811.0,Saw Palmetto
341,2021-05-01,980.0,Saw Palmetto
342,2021-05-02,980.0,Saw Palmetto
343,2021-05-03,1019.0,Saw Palmetto
344,2021-05-04,1019.0,Saw Palmetto
345,2021-05-05,1019.0,Saw Palmetto
346,2021-05-06,919.0,Saw Palmetto
347,2021-05-07,879.0,Saw Palmetto
348,2021-05-08,879.0,Saw Palmetto
349,2021-05-09,1180.0,Saw Palmetto
350,2021-05-10,768.0,Saw Palmetto
351,2021-05-11,768.0,Saw Palmetto
352,2021-05-12,843.0,Saw Palmetto
353,2021-05-13,843.0,Saw Palmetto
354,2021-05-14,790.0,Saw Palmetto
355,2021-05-15,790.0,Saw Palmetto
356,2021-05-16,956.0,Saw Palmetto
357,2021-05-17,947.0,Saw Palmetto
358,2021-05-18,947.0,Saw Palmetto
359,2021-05-19,1030.0,Saw Palmetto
360,2021-05-20,1040.0,Saw Palmetto
361,2021-05-21,1121.0,Saw Palmetto
362,2021-05-22,1121.0,Saw Palmetto
363,2021-05-23,961.0,Saw Palmetto
364,2021-05-24,961.0,Saw Palmetto
365,2021-05-25,916.0,Saw Palmetto
366,2021-05-26,916.0,Saw Palmetto
367,2021-05-27,892.0,Saw Palmetto
368,2021-05-28,892.0,Saw Palmetto
369,2021-05-29,915.0,Saw Palmetto
370,2021-05-30,915.0,Saw Palmetto
371,2021-05-31,1003.0,Saw Palmetto
372,2021-06-01,1054.0,Saw Palmetto
373,2021-06-02,1036.0,Saw Palmetto
374,2021-06-03,1023.0,Saw Palmetto
375,2021-06-04,1023.0,Saw Palmetto
376,2021-06-05,1080.0,Saw Palmetto
377,2021-06-06,1038.0,Saw Palmetto
378,2021-06-07,994.0,Saw Palmetto
379,2021-06-08,1001.0,Saw Palmetto
380,2021-06-09,1001.0,Saw Palmetto
381,2021-06-10,1048.0,Saw Palmetto
382,2021-06-11,1048.0,Saw Palmetto
383,2021-06-12,1098.0,Saw Palmetto
384,2021-06-13,1152.0,Saw Palmetto
385,2021-06-14,1068.0,Saw Palmetto
386,2021-06-15,1068.0,Saw Palmetto
387,2021-06-16,1070.0,Saw Palmetto
388,2021-06-17,1072.0,Saw Palmetto
389,2021-06-18,1052.0,Saw Palmetto
390,2021-06-19,1052.0,Saw Palmetto
391,2021-06-20,1039.0,Saw Palmetto
392,2021-06-21,1404.0,Saw Palmetto
393,2021-06-22,1523.0,Saw Palmetto
394,2021-06-23,1444.0,Saw Palmetto
395,2021-06-24,1144.0,Saw Palmetto
396,2021-06-25,1156.0,Saw Palmetto
397,2021-06-26,1086.0,Saw Palmetto
398,2021-06-27,1097.0,Saw Palmetto
399,2021-06-28,1097.0,Saw Palmetto
400,2021-06-29,1168.0,Saw Palmetto
401,2021-06-30,1110.0,Saw Palmetto
402,2021-07-01,1110.0,Saw Palmetto
403,2021-07-02,1110.0,Saw Palmetto
404,2021-07-03,1027.0,Saw Palmetto
405,2021-07-04,1027.0,Saw Palmetto
406,2021-07-05,1092.0,Saw Palmetto
407,2021-07-06,1092.0,Saw Palmetto
408,2021-07-07,1178.0,Saw Palmetto
409,2021-07-08,1036.0,Saw Palmetto
410,2021-07-09,994.0,Saw Palmetto
411,2021-07-10,1190.0,Saw Palmetto
