,date,value,name_B07S47Z4S2
155,2019-10-25,12215.0,Countertop Soap Dispensers
156,2019-10-26,12714.0,Countertop Soap Dispensers
157,2019-10-27,18950.0,Countertop Soap Dispensers
158,2019-10-28,20162.0,Countertop Soap Dispensers
159,2019-10-29,14124.0,Countertop Soap Dispensers
160,2019-10-30,20013.0,Countertop Soap Dispensers
161,2019-10-31,20375.0,Countertop Soap Dispensers
162,2019-11-01,33252.0,Countertop Soap Dispensers
163,2019-11-02,20343.0,Countertop Soap Dispensers
164,2019-11-03,22940.0,Countertop Soap Dispensers
165,2019-11-04,21635.0,Countertop Soap Dispensers
166,2019-11-05,17965.0,Countertop Soap Dispensers
167,2019-11-06,30392.0,Countertop Soap Dispensers
168,2019-11-07,30392.0,Countertop Soap Dispensers
169,2019-11-08,30392.0,Countertop Soap Dispensers
170,2019-11-09,30392.0,Countertop Soap Dispensers
171,2019-11-10,30392.0,Countertop Soap Dispensers
172,2019-11-11,30392.0,Countertop Soap Dispensers
173,2019-11-12,33371.0,Countertop Soap Dispensers
174,2019-11-13,33371.0,Countertop Soap Dispensers
175,2019-11-14,33371.0,Countertop Soap Dispensers
176,2019-11-15,33371.0,Countertop Soap Dispensers
177,2019-11-16,33371.0,Countertop Soap Dispensers
178,2019-11-17,33371.0,Countertop Soap Dispensers
179,2019-11-18,20847.0,Countertop Soap Dispensers
180,2019-11-19,20847.0,Countertop Soap Dispensers
181,2019-11-20,20847.0,Countertop Soap Dispensers
182,2019-11-21,20847.0,Countertop Soap Dispensers
183,2019-11-22,20847.0,Countertop Soap Dispensers
184,2019-11-23,20847.0,Countertop Soap Dispensers
185,2019-11-24,20847.0,Countertop Soap Dispensers
186,2019-11-25,20847.0,Countertop Soap Dispensers
187,2019-11-26,30508.0,Countertop Soap Dispensers
188,2019-11-27,30508.0,Countertop Soap Dispensers
189,2019-11-28,30508.0,Countertop Soap Dispensers
190,2019-11-29,30508.0,Countertop Soap Dispensers
191,2019-11-30,46659.0,Countertop Soap Dispensers
192,2019-12-01,16867.0,Countertop Soap Dispensers
193,2019-12-02,16867.0,Countertop Soap Dispensers
194,2019-12-03,16867.0,Countertop Soap Dispensers
195,2019-12-04,16867.0,Countertop Soap Dispensers
196,2019-12-05,16867.0,Countertop Soap Dispensers
197,2019-12-06,37017.0,Countertop Soap Dispensers
198,2019-12-07,37017.0,Countertop Soap Dispensers
199,2019-12-08,37017.0,Countertop Soap Dispensers
200,2019-12-09,37017.0,Countertop Soap Dispensers
201,2019-12-10,31290.0,Countertop Soap Dispensers
202,2019-12-11,31290.0,Countertop Soap Dispensers
203,2019-12-12,31290.0,Countertop Soap Dispensers
204,2019-12-13,31290.0,Countertop Soap Dispensers
205,2019-12-14,31290.0,Countertop Soap Dispensers
206,2019-12-15,35719.0,Countertop Soap Dispensers
207,2019-12-16,35719.0,Countertop Soap Dispensers
208,2019-12-17,35719.0,Countertop Soap Dispensers
209,2019-12-18,35719.0,Countertop Soap Dispensers
210,2019-12-19,35719.0,Countertop Soap Dispensers
211,2019-12-20,30791.0,Countertop Soap Dispensers
212,2019-12-21,30791.0,Countertop Soap Dispensers
213,2019-12-22,30791.0,Countertop Soap Dispensers
214,2019-12-23,30791.0,Countertop Soap Dispensers
215,2019-12-24,30791.0,Countertop Soap Dispensers
216,2019-12-25,30791.0,Countertop Soap Dispensers
217,2019-12-26,30791.0,Countertop Soap Dispensers
218,2019-12-27,23112.0,Countertop Soap Dispensers
219,2019-12-28,23112.0,Countertop Soap Dispensers
220,2019-12-29,23112.0,Countertop Soap Dispensers
221,2019-12-30,23112.0,Countertop Soap Dispensers
222,2019-12-31,17858.0,Countertop Soap Dispensers
223,2020-01-01,17858.0,Countertop Soap Dispensers
224,2020-01-02,17858.0,Countertop Soap Dispensers
225,2020-01-03,14514.0,Countertop Soap Dispensers
226,2020-01-04,14514.0,Countertop Soap Dispensers
227,2020-01-05,14514.0,Countertop Soap Dispensers
228,2020-01-06,19419.0,Countertop Soap Dispensers
229,2020-01-07,14109.0,Countertop Soap Dispensers
230,2020-01-08,14109.0,Countertop Soap Dispensers
231,2020-01-09,14109.0,Countertop Soap Dispensers
232,2020-01-10,14109.0,Countertop Soap Dispensers
233,2020-01-11,20444.0,Countertop Soap Dispensers
234,2020-01-12,20444.0,Countertop Soap Dispensers
235,2020-01-13,20444.0,Countertop Soap Dispensers
236,2020-01-14,21040.0,Countertop Soap Dispensers
237,2020-01-15,21040.0,Countertop Soap Dispensers
238,2020-01-16,21040.0,Countertop Soap Dispensers
239,2020-01-17,21040.0,Countertop Soap Dispensers
240,2020-01-18,21040.0,Countertop Soap Dispensers
241,2020-01-19,21833.0,Countertop Soap Dispensers
242,2020-01-20,21833.0,Countertop Soap Dispensers
243,2020-01-21,21833.0,Countertop Soap Dispensers
244,2020-01-22,21833.0,Countertop Soap Dispensers
245,2020-01-23,19204.0,Countertop Soap Dispensers
246,2020-01-24,19204.0,Countertop Soap Dispensers
247,2020-01-25,19204.0,Countertop Soap Dispensers
248,2020-01-26,19204.0,Countertop Soap Dispensers
249,2020-01-27,19204.0,Countertop Soap Dispensers
250,2020-01-28,19204.0,Countertop Soap Dispensers
251,2020-01-29,19204.0,Countertop Soap Dispensers
252,2020-01-30,19204.0,Countertop Soap Dispensers
253,2020-01-31,19204.0,Countertop Soap Dispensers
254,2020-02-01,9802.0,Countertop Soap Dispensers
255,2020-02-02,9802.0,Countertop Soap Dispensers
256,2020-02-03,9802.0,Countertop Soap Dispensers
257,2020-02-04,19767.0,Countertop Soap Dispensers
258,2020-02-05,19767.0,Countertop Soap Dispensers
259,2020-02-06,19767.0,Countertop Soap Dispensers
260,2020-02-07,19767.0,Countertop Soap Dispensers
261,2020-02-08,22325.0,Countertop Soap Dispensers
262,2020-02-09,22325.0,Countertop Soap Dispensers
263,2020-02-10,22325.0,Countertop Soap Dispensers
264,2020-02-11,22325.0,Countertop Soap Dispensers
265,2020-02-12,22325.0,Countertop Soap Dispensers
266,2020-02-13,21416.0,Countertop Soap Dispensers
267,2020-02-14,21416.0,Countertop Soap Dispensers
268,2020-02-15,21416.0,Countertop Soap Dispensers
269,2020-02-16,21416.0,Countertop Soap Dispensers
270,2020-02-17,11118.0,Countertop Soap Dispensers
271,2020-02-18,11118.0,Countertop Soap Dispensers
272,2020-02-19,11118.0,Countertop Soap Dispensers
273,2020-02-20,17661.0,Countertop Soap Dispensers
274,2020-02-21,17661.0,Countertop Soap Dispensers
275,2020-02-22,17661.0,Countertop Soap Dispensers
276,2020-02-23,17661.0,Countertop Soap Dispensers
277,2020-02-24,17661.0,Countertop Soap Dispensers
278,2020-02-25,17661.0,Countertop Soap Dispensers
279,2020-02-26,16994.0,Countertop Soap Dispensers
280,2020-02-27,11241.0,Countertop Soap Dispensers
281,2020-02-28,11241.0,Countertop Soap Dispensers
282,2020-02-29,11241.0,Countertop Soap Dispensers
283,2020-03-01,11241.0,Countertop Soap Dispensers
284,2020-03-02,9582.0,Countertop Soap Dispensers
285,2020-03-03,9582.0,Countertop Soap Dispensers
286,2020-03-04,9582.0,Countertop Soap Dispensers
287,2020-03-05,8928.0,Countertop Soap Dispensers
288,2020-03-06,8928.0,Countertop Soap Dispensers
289,2020-03-07,8928.0,Countertop Soap Dispensers
290,2020-03-08,8928.0,Countertop Soap Dispensers
291,2020-03-09,-1.0,Countertop Soap Dispensers
