,date,value,name_B07Z69HJRJ
268,2021-04-17,9804.0,Balloons
269,2021-04-18,9804.0,Balloons
270,2021-04-19,9804.0,Balloons
271,2021-04-20,6922.0,Balloons
272,2021-04-21,8980.0,Balloons
273,2021-04-22,8980.0,Balloons
274,2021-04-23,8980.0,Balloons
275,2021-04-24,9358.0,Balloons
276,2021-04-25,9358.0,Balloons
277,2021-04-26,9358.0,Balloons
278,2021-04-27,6267.0,Balloons
279,2021-04-28,4852.0,Balloons
280,2021-04-29,9484.0,Balloons
281,2021-04-30,9484.0,Balloons
282,2021-05-01,9484.0,Balloons
283,2021-05-02,8115.0,Balloons
284,2021-05-03,9230.0,Balloons
285,2021-05-04,9230.0,Balloons
286,2021-05-05,4341.0,Balloons
287,2021-05-06,5915.0,Balloons
288,2021-05-07,5125.0,Balloons
289,2021-05-08,6650.0,Balloons
290,2021-05-09,6650.0,Balloons
291,2021-05-10,6797.0,Balloons
292,2021-05-11,3605.0,Balloons
293,2021-05-12,4091.0,Balloons
294,2021-05-13,4091.0,Balloons
295,2021-05-14,2975.0,Balloons
296,2021-05-15,2975.0,Balloons
297,2021-05-16,2975.0,Balloons
298,2021-05-17,3225.0,Balloons
299,2021-05-18,3225.0,Balloons
300,2021-05-19,3086.0,Balloons
301,2021-05-20,4094.0,Balloons
302,2021-05-21,3391.0,Balloons
303,2021-05-22,4201.0,Balloons
304,2021-05-23,4201.0,Balloons
305,2021-05-24,5395.0,Balloons
306,2021-05-25,5395.0,Balloons
307,2021-05-26,6039.0,Balloons
308,2021-05-27,6596.0,Balloons
309,2021-05-28,7104.0,Balloons
310,2021-05-29,7375.0,Balloons
311,2021-05-30,5117.0,Balloons
312,2021-05-31,5392.0,Balloons
313,2021-06-01,5818.0,Balloons
314,2021-06-02,4013.0,Balloons
315,2021-06-03,5641.0,Balloons
316,2021-06-04,5073.0,Balloons
317,2021-06-05,5073.0,Balloons
318,2021-06-06,5600.0,Balloons
319,2021-06-07,7672.0,Balloons
320,2021-06-08,5234.0,Balloons
321,2021-06-09,4753.0,Balloons
322,2021-06-10,3478.0,Balloons
323,2021-06-11,3478.0,Balloons
324,2021-06-12,3478.0,Balloons
325,2021-06-13,4442.0,Balloons
326,2021-06-14,3844.0,Balloons
327,2021-06-15,4187.0,Balloons
328,2021-06-16,3409.0,Balloons
329,2021-06-17,4594.0,Balloons
330,2021-06-18,4128.0,Balloons
331,2021-06-19,4883.0,Balloons
332,2021-06-20,4883.0,Balloons
333,2021-06-21,4717.0,Balloons
334,2021-06-22,4837.0,Balloons
335,2021-06-23,5226.0,Balloons
336,2021-06-24,5111.0,Balloons
337,2021-06-25,5991.0,Balloons
338,2021-06-26,5991.0,Balloons
339,2021-06-27,5430.0,Balloons
340,2021-06-28,6889.0,Balloons
341,2021-06-29,5905.0,Balloons
342,2021-06-30,4727.0,Balloons
343,2021-07-01,5041.0,Balloons
344,2021-07-02,3677.0,Balloons
345,2021-07-03,3677.0,Balloons
346,2021-07-04,4331.0,Balloons
347,2021-07-05,5675.0,Balloons
348,2021-07-06,5675.0,Balloons
349,2021-07-07,3001.0,Balloons
350,2021-07-08,3001.0,Balloons
351,2021-07-09,4508.0,Balloons
352,2021-07-10,4508.0,Balloons
353,2021-07-11,4139.0,Balloons
