,date,value,name_B08WRM615X
109,2021-06-17,5725.0,Business Card Holders
110,2021-06-18,5725.0,Business Card Holders
111,2021-06-19,5811.0,Business Card Holders
112,2021-06-20,5811.0,Business Card Holders
113,2021-06-21,7460.0,Business Card Holders
114,2021-06-22,9438.0,Business Card Holders
115,2021-06-23,9438.0,Business Card Holders
116,2021-06-24,9438.0,Business Card Holders
117,2021-06-25,9438.0,Business Card Holders
118,2021-06-26,9438.0,Business Card Holders
119,2021-06-27,9438.0,Business Card Holders
120,2021-06-28,5204.0,Business Card Holders
121,2021-06-29,5204.0,Business Card Holders
122,2021-06-30,5629.0,Business Card Holders
123,2021-07-01,5696.0,Business Card Holders
124,2021-07-02,5696.0,Business Card Holders
125,2021-07-03,5696.0,Business Card Holders
126,2021-07-04,5696.0,Business Card Holders
127,2021-07-05,7220.0,Business Card Holders
128,2021-07-06,7220.0,Business Card Holders
129,2021-07-07,7220.0,Business Card Holders
130,2021-07-08,5672.0,Business Card Holders
131,2021-07-09,5672.0,Business Card Holders
132,2021-07-10,6112.0,Business Card Holders
