,date,value,name_B06XT193GC
421,2019-09-06,-1.0,Planters
422,2019-09-07,-1.0,Planters
423,2019-09-08,-1.0,Planters
424,2019-09-09,-1.0,Planters
425,2019-09-10,-1.0,Planters
426,2019-09-11,-1.0,Planters
427,2019-09-12,-1.0,Planters
428,2019-09-13,-1.0,Planters
429,2019-09-14,-1.0,Planters
430,2019-09-15,-1.0,Planters
431,2019-09-16,-1.0,Planters
432,2019-09-17,-1.0,Planters
433,2019-09-18,-1.0,Planters
434,2019-09-19,-1.0,Planters
435,2019-09-20,-1.0,Planters
436,2019-09-21,-1.0,Planters
437,2019-09-22,-1.0,Planters
438,2019-09-23,-1.0,Planters
439,2019-09-24,-1.0,Planters
440,2019-09-25,-1.0,Planters
441,2019-09-26,-1.0,Planters
442,2019-09-27,-1.0,Planters
443,2019-09-28,-1.0,Planters
444,2019-09-29,-1.0,Planters
445,2019-09-30,-1.0,Planters
446,2019-10-01,-1.0,Planters
447,2019-10-02,-1.0,Planters
448,2019-10-03,-1.0,Planters
449,2019-10-04,-1.0,Planters
450,2019-10-05,-1.0,Planters
451,2019-10-06,-1.0,Planters
452,2019-10-07,-1.0,Planters
453,2019-10-08,-1.0,Planters
454,2019-10-09,-1.0,Planters
455,2019-10-10,-1.0,Planters
456,2019-10-11,-1.0,Planters
457,2019-10-12,-1.0,Planters
458,2019-10-13,-1.0,Planters
459,2019-10-14,-1.0,Planters
460,2019-10-15,-1.0,Planters
461,2019-10-16,-1.0,Planters
462,2019-10-17,-1.0,Planters
463,2019-10-18,-1.0,Planters
464,2019-10-19,-1.0,Planters
465,2019-10-20,-1.0,Planters
466,2019-10-21,-1.0,Planters
467,2019-10-22,-1.0,Planters
468,2019-10-23,-1.0,Planters
469,2019-10-24,-1.0,Planters
470,2019-10-25,-1.0,Planters
471,2019-10-26,-1.0,Planters
472,2019-10-27,-1.0,Planters
473,2019-10-28,-1.0,Planters
474,2019-10-29,-1.0,Planters
475,2019-10-30,-1.0,Planters
476,2019-10-31,-1.0,Planters
477,2019-11-01,-1.0,Planters
478,2019-11-02,-1.0,Planters
479,2019-11-03,-1.0,Planters
480,2019-11-04,-1.0,Planters
481,2019-11-05,-1.0,Planters
482,2019-11-06,-1.0,Planters
483,2019-11-07,-1.0,Planters
484,2019-11-08,-1.0,Planters
485,2019-11-09,-1.0,Planters
486,2019-11-10,-1.0,Planters
487,2019-11-11,-1.0,Planters
488,2019-11-12,-1.0,Planters
489,2019-11-13,-1.0,Planters
490,2019-11-14,-1.0,Planters
491,2019-11-15,-1.0,Planters
492,2019-11-16,-1.0,Planters
493,2019-11-17,-1.0,Planters
494,2019-11-18,-1.0,Planters
495,2019-11-19,-1.0,Planters
496,2019-11-20,-1.0,Planters
497,2019-11-21,-1.0,Planters
498,2019-11-22,-1.0,Planters
499,2019-11-23,-1.0,Planters
500,2019-11-24,-1.0,Planters
501,2019-11-25,-1.0,Planters
502,2019-11-26,-1.0,Planters
503,2019-11-27,-1.0,Planters
504,2019-11-28,-1.0,Planters
505,2019-11-29,-1.0,Planters
506,2019-11-30,-1.0,Planters
507,2019-12-01,-1.0,Planters
508,2019-12-02,-1.0,Planters
509,2019-12-03,-1.0,Planters
510,2019-12-04,-1.0,Planters
511,2019-12-05,-1.0,Planters
512,2019-12-06,-1.0,Planters
513,2019-12-07,-1.0,Planters
514,2019-12-08,-1.0,Planters
515,2019-12-09,-1.0,Planters
516,2019-12-10,-1.0,Planters
517,2019-12-11,-1.0,Planters
518,2019-12-12,-1.0,Planters
519,2019-12-13,-1.0,Planters
520,2019-12-14,-1.0,Planters
521,2019-12-15,-1.0,Planters
522,2019-12-16,-1.0,Planters
523,2019-12-17,-1.0,Planters
524,2019-12-18,-1.0,Planters
525,2019-12-19,-1.0,Planters
526,2019-12-20,-1.0,Planters
527,2019-12-21,-1.0,Planters
528,2019-12-22,-1.0,Planters
529,2019-12-23,-1.0,Planters
530,2019-12-24,-1.0,Planters
531,2019-12-25,-1.0,Planters
532,2019-12-26,-1.0,Planters
533,2019-12-27,-1.0,Planters
534,2019-12-28,-1.0,Planters
535,2019-12-29,-1.0,Planters
536,2019-12-30,-1.0,Planters
537,2019-12-31,-1.0,Planters
538,2020-01-01,-1.0,Planters
539,2020-01-02,-1.0,Planters
540,2020-01-03,-1.0,Planters
541,2020-01-04,-1.0,Planters
542,2020-01-05,-1.0,Planters
543,2020-01-06,-1.0,Planters
544,2020-01-07,-1.0,Planters
545,2020-01-08,-1.0,Planters
546,2020-01-09,-1.0,Planters
547,2020-01-10,-1.0,Planters
548,2020-01-11,-1.0,Planters
549,2020-01-12,-1.0,Planters
550,2020-01-13,-1.0,Planters
551,2020-01-14,-1.0,Planters
552,2020-01-15,-1.0,Planters
553,2020-01-16,-1.0,Planters
554,2020-01-17,-1.0,Planters
555,2020-01-18,-1.0,Planters
556,2020-01-19,-1.0,Planters
557,2020-01-20,-1.0,Planters
558,2020-01-21,-1.0,Planters
559,2020-01-22,-1.0,Planters
560,2020-01-23,-1.0,Planters
561,2020-01-24,-1.0,Planters
562,2020-01-25,-1.0,Planters
563,2020-01-26,-1.0,Planters
564,2020-01-27,-1.0,Planters
565,2020-01-28,-1.0,Planters
566,2020-01-29,-1.0,Planters
567,2020-01-30,-1.0,Planters
568,2020-01-31,-1.0,Planters
569,2020-02-01,-1.0,Planters
570,2020-02-02,-1.0,Planters
571,2020-02-03,-1.0,Planters
572,2020-02-04,-1.0,Planters
573,2020-02-05,-1.0,Planters
574,2020-02-06,-1.0,Planters
575,2020-02-07,-1.0,Planters
576,2020-02-08,-1.0,Planters
577,2020-02-09,-1.0,Planters
578,2020-02-10,-1.0,Planters
579,2020-02-11,-1.0,Planters
580,2020-02-12,-1.0,Planters
581,2020-02-13,-1.0,Planters
582,2020-02-14,-1.0,Planters
583,2020-02-15,-1.0,Planters
584,2020-02-16,-1.0,Planters
585,2020-02-17,-1.0,Planters
586,2020-02-18,-1.0,Planters
587,2020-02-19,-1.0,Planters
588,2020-02-20,-1.0,Planters
589,2020-02-21,36717.0,Planters
590,2020-02-22,36717.0,Planters
591,2020-02-23,36717.0,Planters
592,2020-02-24,36717.0,Planters
593,2020-02-25,36717.0,Planters
594,2020-02-26,-1.0,Planters
