,date,value,name_B08GZMFM4N
172,2021-03-05,2012.0,Mouthwash
173,2021-03-06,2012.0,Mouthwash
174,2021-03-07,2012.0,Mouthwash
175,2021-03-08,2012.0,Mouthwash
176,2021-03-09,2012.0,Mouthwash
177,2021-03-10,2012.0,Mouthwash
178,2021-03-11,2012.0,Mouthwash
179,2021-03-12,2012.0,Mouthwash
180,2021-03-13,2012.0,Mouthwash
181,2021-03-14,2012.0,Mouthwash
182,2021-03-15,2012.0,Mouthwash
183,2021-03-16,2012.0,Mouthwash
184,2021-03-17,2012.0,Mouthwash
185,2021-03-18,2012.0,Mouthwash
186,2021-03-19,2012.0,Mouthwash
187,2021-03-20,2012.0,Mouthwash
188,2021-03-21,2012.0,Mouthwash
189,2021-03-22,2012.0,Mouthwash
190,2021-03-23,2012.0,Mouthwash
191,2021-03-24,2012.0,Mouthwash
192,2021-03-25,2012.0,Mouthwash
193,2021-03-26,2012.0,Mouthwash
194,2021-03-27,2012.0,Mouthwash
195,2021-03-28,2012.0,Mouthwash
196,2021-03-29,2012.0,Mouthwash
197,2021-03-30,2012.0,Mouthwash
198,2021-03-31,2012.0,Mouthwash
199,2021-04-01,2012.0,Mouthwash
200,2021-04-02,2012.0,Mouthwash
201,2021-04-03,2012.0,Mouthwash
202,2021-04-04,2012.0,Mouthwash
203,2021-04-05,2012.0,Mouthwash
204,2021-04-06,2012.0,Mouthwash
205,2021-04-07,2012.0,Mouthwash
206,2021-04-08,2012.0,Mouthwash
207,2021-04-09,2012.0,Mouthwash
208,2021-04-10,2012.0,Mouthwash
209,2021-04-11,2012.0,Mouthwash
210,2021-04-12,2012.0,Mouthwash
211,2021-04-13,2012.0,Mouthwash
212,2021-04-14,2012.0,Mouthwash
213,2021-04-15,2012.0,Mouthwash
214,2021-04-16,2012.0,Mouthwash
215,2021-04-17,2012.0,Mouthwash
216,2021-04-18,2012.0,Mouthwash
217,2021-04-19,2012.0,Mouthwash
218,2021-04-20,3545.0,Mouthwash
219,2021-04-21,3470.0,Mouthwash
220,2021-04-22,3403.0,Mouthwash
221,2021-04-23,3403.0,Mouthwash
222,2021-04-24,4267.0,Mouthwash
223,2021-04-25,4267.0,Mouthwash
224,2021-04-26,4028.0,Mouthwash
225,2021-04-27,4607.0,Mouthwash
226,2021-04-28,4319.0,Mouthwash
227,2021-04-29,4319.0,Mouthwash
228,2021-04-30,3980.0,Mouthwash
229,2021-05-01,4098.0,Mouthwash
230,2021-05-02,4098.0,Mouthwash
231,2021-05-03,4749.0,Mouthwash
232,2021-05-04,4452.0,Mouthwash
233,2021-05-05,4024.0,Mouthwash
234,2021-05-06,4527.0,Mouthwash
235,2021-05-07,4527.0,Mouthwash
236,2021-05-08,4394.0,Mouthwash
237,2021-05-09,4141.0,Mouthwash
238,2021-05-10,3712.0,Mouthwash
239,2021-05-11,3712.0,Mouthwash
240,2021-05-12,4477.0,Mouthwash
241,2021-05-13,4761.0,Mouthwash
242,2021-05-14,4509.0,Mouthwash
243,2021-05-15,4509.0,Mouthwash
244,2021-05-16,4322.0,Mouthwash
245,2021-05-17,4322.0,Mouthwash
246,2021-05-18,4322.0,Mouthwash
247,2021-05-19,4528.0,Mouthwash
248,2021-05-20,4528.0,Mouthwash
249,2021-05-21,4337.0,Mouthwash
250,2021-05-22,3948.0,Mouthwash
251,2021-05-23,3872.0,Mouthwash
252,2021-05-24,3666.0,Mouthwash
253,2021-05-25,3666.0,Mouthwash
254,2021-05-26,4305.0,Mouthwash
255,2021-05-27,4305.0,Mouthwash
256,2021-05-28,3850.0,Mouthwash
257,2021-05-29,4373.0,Mouthwash
258,2021-05-30,3948.0,Mouthwash
259,2021-05-31,3794.0,Mouthwash
260,2021-06-01,4043.0,Mouthwash
261,2021-06-02,4043.0,Mouthwash
262,2021-06-03,4149.0,Mouthwash
263,2021-06-04,4643.0,Mouthwash
264,2021-06-05,4643.0,Mouthwash
265,2021-06-06,4745.0,Mouthwash
266,2021-06-07,4745.0,Mouthwash
267,2021-06-08,4254.0,Mouthwash
268,2021-06-09,4135.0,Mouthwash
269,2021-06-10,4050.0,Mouthwash
270,2021-06-11,4092.0,Mouthwash
271,2021-06-12,4441.0,Mouthwash
272,2021-06-13,4575.0,Mouthwash
273,2021-06-14,4419.0,Mouthwash
274,2021-06-15,4671.0,Mouthwash
275,2021-06-16,4671.0,Mouthwash
276,2021-06-17,4156.0,Mouthwash
277,2021-06-18,4916.0,Mouthwash
278,2021-06-19,4916.0,Mouthwash
279,2021-06-20,5324.0,Mouthwash
280,2021-06-21,5953.0,Mouthwash
281,2021-06-22,8597.0,Mouthwash
282,2021-06-23,8597.0,Mouthwash
283,2021-06-24,12304.0,Mouthwash
284,2021-06-25,14811.0,Mouthwash
285,2021-06-26,12419.0,Mouthwash
286,2021-06-27,11983.0,Mouthwash
287,2021-06-28,13343.0,Mouthwash
288,2021-06-29,13056.0,Mouthwash
289,2021-06-30,13056.0,Mouthwash
290,2021-07-01,16864.0,Mouthwash
291,2021-07-02,17961.0,Mouthwash
292,2021-07-03,17961.0,Mouthwash
293,2021-07-04,16327.0,Mouthwash
294,2021-07-05,22412.0,Mouthwash
295,2021-07-06,22412.0,Mouthwash
296,2021-07-07,23097.0,Mouthwash
297,2021-07-08,23097.0,Mouthwash
298,2021-07-09,20886.0,Mouthwash
299,2021-07-10,26279.0,Mouthwash
