,date,value,name_B07NTZW22K
165,2019-08-03,7549.0,Cartridge Pool Filters
166,2019-08-04,5662.0,Cartridge Pool Filters
167,2019-08-05,5662.0,Cartridge Pool Filters
168,2019-08-06,6674.0,Cartridge Pool Filters
169,2019-08-07,5776.0,Cartridge Pool Filters
170,2019-08-08,5929.0,Cartridge Pool Filters
171,2019-08-09,8483.0,Cartridge Pool Filters
172,2019-08-10,8483.0,Cartridge Pool Filters
173,2019-08-11,5108.0,Cartridge Pool Filters
174,2019-08-12,6198.0,Cartridge Pool Filters
175,2019-08-13,10348.0,Cartridge Pool Filters
176,2019-08-14,7118.0,Cartridge Pool Filters
177,2019-08-15,8077.0,Cartridge Pool Filters
178,2019-08-16,7282.0,Cartridge Pool Filters
179,2019-08-17,7873.0,Cartridge Pool Filters
180,2019-08-18,7873.0,Cartridge Pool Filters
181,2019-08-19,11667.0,Cartridge Pool Filters
182,2019-08-20,11667.0,Cartridge Pool Filters
183,2019-08-21,8106.0,Cartridge Pool Filters
184,2019-08-22,9333.0,Cartridge Pool Filters
185,2019-08-23,9609.0,Cartridge Pool Filters
186,2019-08-24,8880.0,Cartridge Pool Filters
187,2019-08-25,9310.0,Cartridge Pool Filters
188,2019-08-26,9977.0,Cartridge Pool Filters
189,2019-08-27,9770.0,Cartridge Pool Filters
190,2019-08-28,10946.0,Cartridge Pool Filters
191,2019-08-29,14022.0,Cartridge Pool Filters
192,2019-08-30,12614.0,Cartridge Pool Filters
193,2019-08-31,11916.0,Cartridge Pool Filters
194,2019-09-01,8107.0,Cartridge Pool Filters
195,2019-09-02,8107.0,Cartridge Pool Filters
196,2019-09-03,11138.0,Cartridge Pool Filters
197,2019-09-04,9365.0,Cartridge Pool Filters
198,2019-09-05,10630.0,Cartridge Pool Filters
199,2019-09-06,12739.0,Cartridge Pool Filters
200,2019-09-07,11499.0,Cartridge Pool Filters
201,2019-09-08,12698.0,Cartridge Pool Filters
202,2019-09-09,12260.0,Cartridge Pool Filters
203,2019-09-10,15640.0,Cartridge Pool Filters
204,2019-09-11,11741.0,Cartridge Pool Filters
205,2019-09-12,14045.0,Cartridge Pool Filters
206,2019-09-13,12003.0,Cartridge Pool Filters
207,2019-09-14,10635.0,Cartridge Pool Filters
208,2019-09-15,11189.0,Cartridge Pool Filters
209,2019-09-16,9149.0,Cartridge Pool Filters
210,2019-09-17,17801.0,Cartridge Pool Filters
211,2019-09-18,16039.0,Cartridge Pool Filters
212,2019-09-19,13031.0,Cartridge Pool Filters
213,2019-09-20,21789.0,Cartridge Pool Filters
214,2019-09-21,16499.0,Cartridge Pool Filters
215,2019-09-22,14695.0,Cartridge Pool Filters
216,2019-09-23,12542.0,Cartridge Pool Filters
217,2019-09-24,12339.0,Cartridge Pool Filters
218,2019-09-25,16160.0,Cartridge Pool Filters
219,2019-09-26,22785.0,Cartridge Pool Filters
220,2019-09-27,14965.0,Cartridge Pool Filters
221,2019-09-28,15520.0,Cartridge Pool Filters
222,2019-09-29,8573.0,Cartridge Pool Filters
223,2019-09-30,8573.0,Cartridge Pool Filters
224,2019-10-01,13803.0,Cartridge Pool Filters
225,2019-10-02,22236.0,Cartridge Pool Filters
226,2019-10-03,19432.0,Cartridge Pool Filters
227,2019-10-04,19432.0,Cartridge Pool Filters
228,2019-10-05,19432.0,Cartridge Pool Filters
229,2019-10-06,13948.0,Cartridge Pool Filters
230,2019-10-07,13948.0,Cartridge Pool Filters
231,2019-10-08,12563.0,Cartridge Pool Filters
232,2019-10-09,13990.0,Cartridge Pool Filters
233,2019-10-10,13990.0,Cartridge Pool Filters
234,2019-10-11,14968.0,Cartridge Pool Filters
235,2019-10-12,14968.0,Cartridge Pool Filters
236,2019-10-13,16079.0,Cartridge Pool Filters
237,2019-10-14,12314.0,Cartridge Pool Filters
238,2019-10-15,17057.0,Cartridge Pool Filters
239,2019-10-16,17141.0,Cartridge Pool Filters
240,2019-10-17,16971.0,Cartridge Pool Filters
241,2019-10-18,18380.0,Cartridge Pool Filters
242,2019-10-19,22360.0,Cartridge Pool Filters
243,2019-10-20,21606.0,Cartridge Pool Filters
244,2019-10-21,24947.0,Cartridge Pool Filters
245,2019-10-22,20995.0,Cartridge Pool Filters
246,2019-10-23,22128.0,Cartridge Pool Filters
247,2019-10-24,19539.0,Cartridge Pool Filters
248,2019-10-25,21887.0,Cartridge Pool Filters
249,2019-10-26,21887.0,Cartridge Pool Filters
250,2019-10-27,21887.0,Cartridge Pool Filters
251,2019-10-28,16365.0,Cartridge Pool Filters
252,2019-10-29,22176.0,Cartridge Pool Filters
253,2019-10-30,18798.0,Cartridge Pool Filters
254,2019-10-31,16652.0,Cartridge Pool Filters
255,2019-11-01,16498.0,Cartridge Pool Filters
256,2019-11-02,16498.0,Cartridge Pool Filters
257,2019-11-03,20513.0,Cartridge Pool Filters
258,2019-11-04,20183.0,Cartridge Pool Filters
259,2019-11-05,20183.0,Cartridge Pool Filters
260,2019-11-06,18120.0,Cartridge Pool Filters
261,2019-11-07,18120.0,Cartridge Pool Filters
262,2019-11-08,27678.0,Cartridge Pool Filters
263,2019-11-09,27678.0,Cartridge Pool Filters
264,2019-11-10,27678.0,Cartridge Pool Filters
