,date,value,name_B07WR677PG
98,2019-11-29,4336.0,Lunch Bags
99,2019-11-30,7630.0,Lunch Bags
100,2019-12-01,6762.0,Lunch Bags
101,2019-12-02,6762.0,Lunch Bags
102,2019-12-03,6762.0,Lunch Bags
103,2019-12-04,6762.0,Lunch Bags
104,2019-12-05,6762.0,Lunch Bags
105,2019-12-06,5312.0,Lunch Bags
106,2019-12-07,5312.0,Lunch Bags
107,2019-12-08,5186.0,Lunch Bags
108,2019-12-09,5762.0,Lunch Bags
109,2019-12-10,5762.0,Lunch Bags
110,2019-12-11,5762.0,Lunch Bags
111,2019-12-12,5762.0,Lunch Bags
112,2019-12-13,5762.0,Lunch Bags
113,2019-12-14,5586.0,Lunch Bags
114,2019-12-15,5586.0,Lunch Bags
115,2019-12-16,5752.0,Lunch Bags
116,2019-12-17,5752.0,Lunch Bags
117,2019-12-18,5752.0,Lunch Bags
118,2019-12-19,4413.0,Lunch Bags
119,2019-12-20,4413.0,Lunch Bags
120,2019-12-21,4413.0,Lunch Bags
121,2019-12-22,4413.0,Lunch Bags
122,2019-12-23,4499.0,Lunch Bags
123,2019-12-24,4499.0,Lunch Bags
124,2019-12-25,4499.0,Lunch Bags
125,2019-12-26,4499.0,Lunch Bags
126,2019-12-27,4144.0,Lunch Bags
127,2019-12-28,4144.0,Lunch Bags
128,2019-12-29,4144.0,Lunch Bags
129,2019-12-30,4144.0,Lunch Bags
130,2019-12-31,3790.0,Lunch Bags
131,2020-01-01,2823.0,Lunch Bags
132,2020-01-02,2401.0,Lunch Bags
133,2020-01-03,2401.0,Lunch Bags
134,2020-01-04,2401.0,Lunch Bags
135,2020-01-05,2427.0,Lunch Bags
136,2020-01-06,2427.0,Lunch Bags
137,2020-01-07,2427.0,Lunch Bags
138,2020-01-08,2788.0,Lunch Bags
139,2020-01-09,3181.0,Lunch Bags
140,2020-01-10,3013.0,Lunch Bags
141,2020-01-11,3013.0,Lunch Bags
142,2020-01-12,3013.0,Lunch Bags
143,2020-01-13,2361.0,Lunch Bags
144,2020-01-14,2361.0,Lunch Bags
145,2020-01-15,2361.0,Lunch Bags
146,2020-01-16,2361.0,Lunch Bags
147,2020-01-17,2870.0,Lunch Bags
148,2020-01-18,2870.0,Lunch Bags
149,2020-01-19,2870.0,Lunch Bags
150,2020-01-20,2870.0,Lunch Bags
151,2020-01-21,3764.0,Lunch Bags
152,2020-01-22,3428.0,Lunch Bags
153,2020-01-23,3428.0,Lunch Bags
154,2020-01-24,4737.0,Lunch Bags
155,2020-01-25,4737.0,Lunch Bags
156,2020-01-26,4737.0,Lunch Bags
157,2020-01-27,2625.0,Lunch Bags
158,2020-01-28,3512.0,Lunch Bags
159,2020-01-29,3512.0,Lunch Bags
160,2020-01-30,3512.0,Lunch Bags
161,2020-01-31,3512.0,Lunch Bags
162,2020-02-01,3512.0,Lunch Bags
163,2020-02-02,3512.0,Lunch Bags
164,2020-02-03,5363.0,Lunch Bags
165,2020-02-04,5363.0,Lunch Bags
166,2020-02-05,5363.0,Lunch Bags
167,2020-02-06,3586.0,Lunch Bags
168,2020-02-07,3586.0,Lunch Bags
169,2020-02-08,3586.0,Lunch Bags
170,2020-02-09,3586.0,Lunch Bags
171,2020-02-10,4970.0,Lunch Bags
172,2020-02-11,4970.0,Lunch Bags
173,2020-02-12,5095.0,Lunch Bags
174,2020-02-13,5095.0,Lunch Bags
175,2020-02-14,5095.0,Lunch Bags
176,2020-02-15,5095.0,Lunch Bags
177,2020-02-16,5095.0,Lunch Bags
178,2020-02-17,6314.0,Lunch Bags
179,2020-02-18,6314.0,Lunch Bags
180,2020-02-19,6314.0,Lunch Bags
181,2020-02-20,6314.0,Lunch Bags
182,2020-02-21,6314.0,Lunch Bags
183,2020-02-22,4152.0,Lunch Bags
184,2020-02-23,4152.0,Lunch Bags
185,2020-02-24,1448.0,Lunch Bags
186,2020-02-25,1448.0,Lunch Bags
187,2020-02-26,1448.0,Lunch Bags
188,2020-02-27,1448.0,Lunch Bags
189,2020-02-28,1448.0,Lunch Bags
190,2020-02-29,1448.0,Lunch Bags
191,2020-03-01,5687.0,Lunch Bags
192,2020-03-02,5687.0,Lunch Bags
193,2020-03-03,3328.0,Lunch Bags
194,2020-03-04,3845.0,Lunch Bags
195,2020-03-05,2995.0,Lunch Bags
196,2020-03-06,2995.0,Lunch Bags
197,2020-03-07,2995.0,Lunch Bags
198,2020-03-08,-1.0,Lunch Bags
