,date,value,name_B08929NHCW
304,2021-03-27,83.0,Probiotics
305,2021-03-28,83.0,Probiotics
306,2021-03-29,487.0,Probiotics
307,2021-03-30,487.0,Probiotics
308,2021-03-31,487.0,Probiotics
309,2021-04-01,4171.0,Probiotics
310,2021-04-02,4171.0,Probiotics
311,2021-04-03,287.0,Probiotics
312,2021-04-04,287.0,Probiotics
313,2021-04-05,368.0,Probiotics
314,2021-04-06,368.0,Probiotics
315,2021-04-07,372.0,Probiotics
316,2021-04-08,398.0,Probiotics
317,2021-04-09,398.0,Probiotics
318,2021-04-10,398.0,Probiotics
319,2021-04-11,374.0,Probiotics
320,2021-04-12,374.0,Probiotics
321,2021-04-13,444.0,Probiotics
322,2021-04-14,444.0,Probiotics
323,2021-04-15,400.0,Probiotics
324,2021-04-16,400.0,Probiotics
325,2021-04-17,377.0,Probiotics
326,2021-04-18,399.0,Probiotics
327,2021-04-19,399.0,Probiotics
328,2021-04-20,689.0,Probiotics
329,2021-04-21,898.0,Probiotics
330,2021-04-22,1879.0,Probiotics
331,2021-04-23,2823.0,Probiotics
332,2021-04-24,2823.0,Probiotics
333,2021-04-25,2823.0,Probiotics
334,2021-04-26,537.0,Probiotics
335,2021-04-27,537.0,Probiotics
336,2021-04-28,479.0,Probiotics
337,2021-04-29,522.0,Probiotics
338,2021-04-30,522.0,Probiotics
339,2021-05-01,468.0,Probiotics
340,2021-05-02,464.0,Probiotics
341,2021-05-03,541.0,Probiotics
342,2021-05-04,541.0,Probiotics
343,2021-05-05,548.0,Probiotics
344,2021-05-06,548.0,Probiotics
345,2021-05-07,599.0,Probiotics
346,2021-05-08,599.0,Probiotics
347,2021-05-09,441.0,Probiotics
348,2021-05-10,441.0,Probiotics
349,2021-05-11,396.0,Probiotics
350,2021-05-12,396.0,Probiotics
351,2021-05-13,396.0,Probiotics
352,2021-05-14,396.0,Probiotics
353,2021-05-15,536.0,Probiotics
354,2021-05-16,536.0,Probiotics
355,2021-05-17,495.0,Probiotics
356,2021-05-18,495.0,Probiotics
357,2021-05-19,646.0,Probiotics
358,2021-05-20,707.0,Probiotics
359,2021-05-21,805.0,Probiotics
360,2021-05-22,805.0,Probiotics
361,2021-05-23,595.0,Probiotics
362,2021-05-24,595.0,Probiotics
363,2021-05-25,525.0,Probiotics
364,2021-05-26,525.0,Probiotics
365,2021-05-27,505.0,Probiotics
366,2021-05-28,505.0,Probiotics
367,2021-05-29,678.0,Probiotics
368,2021-05-30,678.0,Probiotics
369,2021-05-31,823.0,Probiotics
370,2021-06-01,916.0,Probiotics
371,2021-06-02,916.0,Probiotics
372,2021-06-03,1037.0,Probiotics
373,2021-06-04,1037.0,Probiotics
374,2021-06-05,1037.0,Probiotics
375,2021-06-06,798.0,Probiotics
376,2021-06-07,798.0,Probiotics
377,2021-06-08,507.0,Probiotics
378,2021-06-09,507.0,Probiotics
379,2021-06-10,498.0,Probiotics
380,2021-06-11,498.0,Probiotics
381,2021-06-12,416.0,Probiotics
382,2021-06-13,416.0,Probiotics
383,2021-06-14,441.0,Probiotics
384,2021-06-15,441.0,Probiotics
385,2021-06-16,538.0,Probiotics
386,2021-06-17,511.0,Probiotics
387,2021-06-18,511.0,Probiotics
388,2021-06-19,511.0,Probiotics
389,2021-06-20,521.0,Probiotics
390,2021-06-21,580.0,Probiotics
391,2021-06-22,878.0,Probiotics
392,2021-06-23,878.0,Probiotics
393,2021-06-24,561.0,Probiotics
394,2021-06-25,561.0,Probiotics
395,2021-06-26,564.0,Probiotics
396,2021-06-27,564.0,Probiotics
397,2021-06-28,564.0,Probiotics
398,2021-06-29,623.0,Probiotics
399,2021-06-30,623.0,Probiotics
400,2021-07-01,708.0,Probiotics
401,2021-07-02,708.0,Probiotics
402,2021-07-03,568.0,Probiotics
403,2021-07-04,508.0,Probiotics
404,2021-07-05,508.0,Probiotics
405,2021-07-06,607.0,Probiotics
406,2021-07-07,607.0,Probiotics
407,2021-07-08,811.0,Probiotics
408,2021-07-09,811.0,Probiotics
409,2021-07-10,1334.0,Probiotics
410,2021-07-11,1713.0,Probiotics
