,date,value,name_B08KVQGGLR
234,2021-05-31,18565.0,Duvet Cover Sets
235,2021-06-01,18565.0,Duvet Cover Sets
236,2021-06-02,19955.0,Duvet Cover Sets
237,2021-06-03,19955.0,Duvet Cover Sets
238,2021-06-04,19955.0,Duvet Cover Sets
239,2021-06-05,17784.0,Duvet Cover Sets
240,2021-06-06,17784.0,Duvet Cover Sets
241,2021-06-07,21137.0,Duvet Cover Sets
242,2021-06-08,21137.0,Duvet Cover Sets
243,2021-06-09,21137.0,Duvet Cover Sets
244,2021-06-10,20587.0,Duvet Cover Sets
245,2021-06-11,20587.0,Duvet Cover Sets
246,2021-06-12,31177.0,Duvet Cover Sets
247,2021-06-13,31177.0,Duvet Cover Sets
248,2021-06-14,31177.0,Duvet Cover Sets
249,2021-06-15,31177.0,Duvet Cover Sets
250,2021-06-16,24284.0,Duvet Cover Sets
251,2021-06-17,24284.0,Duvet Cover Sets
252,2021-06-18,19850.0,Duvet Cover Sets
253,2021-06-19,19850.0,Duvet Cover Sets
254,2021-06-20,19850.0,Duvet Cover Sets
255,2021-06-21,22326.0,Duvet Cover Sets
256,2021-06-22,10647.0,Duvet Cover Sets
257,2021-06-23,7749.0,Duvet Cover Sets
258,2021-06-24,10286.0,Duvet Cover Sets
259,2021-06-25,11541.0,Duvet Cover Sets
260,2021-06-26,11541.0,Duvet Cover Sets
261,2021-06-27,16176.0,Duvet Cover Sets
262,2021-06-28,16176.0,Duvet Cover Sets
263,2021-06-29,16176.0,Duvet Cover Sets
264,2021-06-30,16678.0,Duvet Cover Sets
265,2021-07-01,19921.0,Duvet Cover Sets
266,2021-07-02,19921.0,Duvet Cover Sets
267,2021-07-03,15936.0,Duvet Cover Sets
268,2021-07-04,15936.0,Duvet Cover Sets
269,2021-07-05,22801.0,Duvet Cover Sets
270,2021-07-06,22801.0,Duvet Cover Sets
271,2021-07-07,19419.0,Duvet Cover Sets
272,2021-07-08,17494.0,Duvet Cover Sets
