,date,value,name_B07F88768W
141,2021-05-17,6558.0,Diffusers
142,2021-05-18,5834.0,Diffusers
143,2021-05-19,5834.0,Diffusers
144,2021-05-20,6567.0,Diffusers
145,2021-05-21,6283.0,Diffusers
146,2021-05-22,6283.0,Diffusers
147,2021-05-23,6861.0,Diffusers
148,2021-05-24,6914.0,Diffusers
149,2021-05-25,6914.0,Diffusers
150,2021-05-26,7151.0,Diffusers
151,2021-05-27,6713.0,Diffusers
152,2021-05-28,6713.0,Diffusers
153,2021-05-29,6713.0,Diffusers
154,2021-05-30,5490.0,Diffusers
155,2021-05-31,5490.0,Diffusers
156,2021-06-01,7259.0,Diffusers
157,2021-06-02,6965.0,Diffusers
158,2021-06-03,7605.0,Diffusers
159,2021-06-04,7605.0,Diffusers
160,2021-06-05,7212.0,Diffusers
161,2021-06-06,7212.0,Diffusers
162,2021-06-07,7212.0,Diffusers
163,2021-06-08,6886.0,Diffusers
164,2021-06-09,7231.0,Diffusers
165,2021-06-10,7231.0,Diffusers
166,2021-06-11,2181.0,Diffusers
167,2021-06-12,2181.0,Diffusers
168,2021-06-13,2806.0,Diffusers
169,2021-06-14,2552.0,Diffusers
170,2021-06-15,3736.0,Diffusers
171,2021-06-16,3736.0,Diffusers
172,2021-06-17,4679.0,Diffusers
173,2021-06-18,4679.0,Diffusers
174,2021-06-19,4679.0,Diffusers
175,2021-06-20,5092.0,Diffusers
176,2021-06-21,5320.0,Diffusers
177,2021-06-22,762.0,Diffusers
178,2021-06-23,944.0,Diffusers
179,2021-06-24,1489.0,Diffusers
180,2021-06-25,1489.0,Diffusers
181,2021-06-26,3102.0,Diffusers
182,2021-06-27,3834.0,Diffusers
183,2021-06-28,4526.0,Diffusers
184,2021-06-29,4526.0,Diffusers
185,2021-06-30,5065.0,Diffusers
186,2021-07-01,5065.0,Diffusers
187,2021-07-02,5409.0,Diffusers
188,2021-07-03,5409.0,Diffusers
189,2021-07-04,5232.0,Diffusers
190,2021-07-05,5232.0,Diffusers
191,2021-07-06,5649.0,Diffusers
192,2021-07-07,5878.0,Diffusers
193,2021-07-08,6643.0,Diffusers
194,2021-07-09,6636.0,Diffusers
195,2021-07-10,6172.0,Diffusers
