,date,value,name_B083QPV95C
338,2021-04-30,3988.0,Educational Charts & Posters
339,2021-05-01,3988.0,Educational Charts & Posters
340,2021-05-02,4156.0,Educational Charts & Posters
341,2021-05-03,4156.0,Educational Charts & Posters
342,2021-05-04,4907.0,Educational Charts & Posters
343,2021-05-05,4907.0,Educational Charts & Posters
344,2021-05-06,4970.0,Educational Charts & Posters
345,2021-05-07,4970.0,Educational Charts & Posters
346,2021-05-08,4734.0,Educational Charts & Posters
347,2021-05-09,4734.0,Educational Charts & Posters
348,2021-05-10,4734.0,Educational Charts & Posters
349,2021-05-11,5486.0,Educational Charts & Posters
350,2021-05-12,5486.0,Educational Charts & Posters
351,2021-05-13,4932.0,Educational Charts & Posters
352,2021-05-14,4932.0,Educational Charts & Posters
353,2021-05-15,4044.0,Educational Charts & Posters
354,2021-05-16,4044.0,Educational Charts & Posters
355,2021-05-17,4044.0,Educational Charts & Posters
356,2021-05-18,3542.0,Educational Charts & Posters
357,2021-05-19,3542.0,Educational Charts & Posters
358,2021-05-20,3046.0,Educational Charts & Posters
359,2021-05-21,3046.0,Educational Charts & Posters
360,2021-05-22,3358.0,Educational Charts & Posters
361,2021-05-23,3358.0,Educational Charts & Posters
362,2021-05-24,3611.0,Educational Charts & Posters
363,2021-05-25,3611.0,Educational Charts & Posters
364,2021-05-26,2728.0,Educational Charts & Posters
365,2021-05-27,2728.0,Educational Charts & Posters
366,2021-05-28,2950.0,Educational Charts & Posters
367,2021-05-29,2950.0,Educational Charts & Posters
368,2021-05-30,2330.0,Educational Charts & Posters
369,2021-05-31,2330.0,Educational Charts & Posters
370,2021-06-01,2888.0,Educational Charts & Posters
371,2021-06-02,2888.0,Educational Charts & Posters
372,2021-06-03,2888.0,Educational Charts & Posters
373,2021-06-04,2887.0,Educational Charts & Posters
374,2021-06-05,2887.0,Educational Charts & Posters
375,2021-06-06,2887.0,Educational Charts & Posters
376,2021-06-07,2887.0,Educational Charts & Posters
377,2021-06-08,3790.0,Educational Charts & Posters
378,2021-06-09,3790.0,Educational Charts & Posters
379,2021-06-10,3458.0,Educational Charts & Posters
380,2021-06-11,3458.0,Educational Charts & Posters
381,2021-06-12,2531.0,Educational Charts & Posters
382,2021-06-13,2531.0,Educational Charts & Posters
383,2021-06-14,3289.0,Educational Charts & Posters
384,2021-06-15,3289.0,Educational Charts & Posters
385,2021-06-16,3289.0,Educational Charts & Posters
386,2021-06-17,3529.0,Educational Charts & Posters
387,2021-06-18,3529.0,Educational Charts & Posters
388,2021-06-19,2493.0,Educational Charts & Posters
389,2021-06-20,2493.0,Educational Charts & Posters
390,2021-06-21,2608.0,Educational Charts & Posters
391,2021-06-22,1474.0,Educational Charts & Posters
392,2021-06-23,1474.0,Educational Charts & Posters
393,2021-06-24,1474.0,Educational Charts & Posters
394,2021-06-25,2316.0,Educational Charts & Posters
395,2021-06-26,2407.0,Educational Charts & Posters
396,2021-06-27,2407.0,Educational Charts & Posters
397,2021-06-28,2887.0,Educational Charts & Posters
398,2021-06-29,2881.0,Educational Charts & Posters
399,2021-06-30,2881.0,Educational Charts & Posters
400,2021-07-01,2881.0,Educational Charts & Posters
401,2021-07-02,2654.0,Educational Charts & Posters
402,2021-07-03,2654.0,Educational Charts & Posters
403,2021-07-04,3238.0,Educational Charts & Posters
404,2021-07-05,3238.0,Educational Charts & Posters
405,2021-07-06,3341.0,Educational Charts & Posters
406,2021-07-07,3341.0,Educational Charts & Posters
407,2021-07-08,3341.0,Educational Charts & Posters
408,2021-07-09,3123.0,Educational Charts & Posters
409,2021-07-10,3155.0,Educational Charts & Posters
410,2021-07-11,2858.0,Educational Charts & Posters
