,date,value,name_B07R6NYY6L
269,2021-02-18,855.0,Fish Oil Supplements
270,2021-02-19,998.0,Fish Oil Supplements
271,2021-02-20,998.0,Fish Oil Supplements
272,2021-02-21,998.0,Fish Oil Supplements
273,2021-02-22,1399.0,Fish Oil Supplements
274,2021-02-23,1399.0,Fish Oil Supplements
275,2021-02-24,1248.0,Fish Oil Supplements
276,2021-02-25,1248.0,Fish Oil Supplements
277,2021-02-26,1248.0,Fish Oil Supplements
278,2021-02-27,1239.0,Fish Oil Supplements
279,2021-02-28,1239.0,Fish Oil Supplements
280,2021-03-01,1239.0,Fish Oil Supplements
281,2021-03-02,1194.0,Fish Oil Supplements
282,2021-03-03,1194.0,Fish Oil Supplements
283,2021-03-04,1194.0,Fish Oil Supplements
284,2021-03-05,1229.0,Fish Oil Supplements
285,2021-03-06,1229.0,Fish Oil Supplements
286,2021-03-07,1107.0,Fish Oil Supplements
287,2021-03-08,1107.0,Fish Oil Supplements
288,2021-03-09,1107.0,Fish Oil Supplements
289,2021-03-10,1120.0,Fish Oil Supplements
290,2021-03-11,1245.0,Fish Oil Supplements
291,2021-03-12,1245.0,Fish Oil Supplements
292,2021-03-13,1245.0,Fish Oil Supplements
293,2021-03-14,1169.0,Fish Oil Supplements
294,2021-03-15,1169.0,Fish Oil Supplements
295,2021-03-16,1169.0,Fish Oil Supplements
296,2021-03-17,1084.0,Fish Oil Supplements
297,2021-03-18,1084.0,Fish Oil Supplements
298,2021-03-19,1084.0,Fish Oil Supplements
299,2021-03-20,1179.0,Fish Oil Supplements
300,2021-03-21,1041.0,Fish Oil Supplements
301,2021-03-22,1041.0,Fish Oil Supplements
302,2021-03-23,1267.0,Fish Oil Supplements
303,2021-03-24,1267.0,Fish Oil Supplements
304,2021-03-25,1267.0,Fish Oil Supplements
305,2021-03-26,1207.0,Fish Oil Supplements
306,2021-03-27,1245.0,Fish Oil Supplements
307,2021-03-28,1245.0,Fish Oil Supplements
308,2021-03-29,1245.0,Fish Oil Supplements
309,2021-03-30,1216.0,Fish Oil Supplements
310,2021-03-31,1216.0,Fish Oil Supplements
311,2021-04-01,1205.0,Fish Oil Supplements
312,2021-04-02,1205.0,Fish Oil Supplements
313,2021-04-03,1205.0,Fish Oil Supplements
314,2021-04-04,1138.0,Fish Oil Supplements
315,2021-04-05,1138.0,Fish Oil Supplements
316,2021-04-06,1138.0,Fish Oil Supplements
317,2021-04-07,1134.0,Fish Oil Supplements
318,2021-04-08,1134.0,Fish Oil Supplements
319,2021-04-09,1129.0,Fish Oil Supplements
320,2021-04-10,1129.0,Fish Oil Supplements
321,2021-04-11,987.0,Fish Oil Supplements
322,2021-04-12,987.0,Fish Oil Supplements
323,2021-04-13,987.0,Fish Oil Supplements
324,2021-04-14,1076.0,Fish Oil Supplements
325,2021-04-15,1076.0,Fish Oil Supplements
326,2021-04-16,1021.0,Fish Oil Supplements
327,2021-04-17,1021.0,Fish Oil Supplements
