,date,value,name_B087BP5G2K
46,2020-07-07,94120.0,Kitchen & Dining Features
47,2020-07-08,83691.0,Kitchen & Dining Features
48,2020-07-09,60988.0,Kitchen & Dining Features
49,2020-07-10,60988.0,Kitchen & Dining Features
50,2020-07-11,60988.0,Kitchen & Dining Features
51,2020-07-12,60988.0,Kitchen & Dining Features
52,2020-07-13,60988.0,Kitchen & Dining Features
53,2020-07-14,60988.0,Kitchen & Dining Features
54,2020-07-15,60988.0,Kitchen & Dining Features
55,2020-07-16,60988.0,Kitchen & Dining Features
56,2020-07-17,65170.0,Kitchen & Dining Features
57,2020-07-18,72043.0,Kitchen & Dining Features
58,2020-07-19,72043.0,Kitchen & Dining Features
59,2020-07-20,72043.0,Kitchen & Dining Features
60,2020-07-21,72245.0,Kitchen & Dining Features
61,2020-07-22,72245.0,Kitchen & Dining Features
62,2020-07-23,72245.0,Kitchen & Dining Features
63,2020-07-24,72245.0,Kitchen & Dining Features
64,2020-07-25,49514.0,Kitchen & Dining Features
65,2020-07-26,49514.0,Kitchen & Dining Features
66,2020-07-27,49514.0,Kitchen & Dining Features
67,2020-07-28,49514.0,Kitchen & Dining Features
68,2020-07-29,79679.0,Kitchen & Dining Features
69,2020-07-30,79679.0,Kitchen & Dining Features
70,2020-07-31,62986.0,Kitchen & Dining Features
71,2020-08-01,74946.0,Kitchen & Dining Features
72,2020-08-02,74946.0,Kitchen & Dining Features
73,2020-08-03,74946.0,Kitchen & Dining Features
74,2020-08-04,74946.0,Kitchen & Dining Features
75,2020-08-05,74946.0,Kitchen & Dining Features
76,2020-08-06,74946.0,Kitchen & Dining Features
77,2020-08-07,74946.0,Kitchen & Dining Features
78,2020-08-08,74946.0,Kitchen & Dining Features
79,2020-08-09,74946.0,Kitchen & Dining Features
80,2020-08-10,74946.0,Kitchen & Dining Features
81,2020-08-11,74946.0,Kitchen & Dining Features
82,2020-08-12,60694.0,Kitchen & Dining Features
83,2020-08-13,60694.0,Kitchen & Dining Features
84,2020-08-14,60694.0,Kitchen & Dining Features
85,2020-08-15,60694.0,Kitchen & Dining Features
86,2020-08-16,51853.0,Kitchen & Dining Features
87,2020-08-17,51853.0,Kitchen & Dining Features
88,2020-08-18,51853.0,Kitchen & Dining Features
89,2020-08-19,51853.0,Kitchen & Dining Features
90,2020-08-20,64402.0,Kitchen & Dining Features
91,2020-08-21,64402.0,Kitchen & Dining Features
92,2020-08-22,59558.0,Kitchen & Dining Features
93,2020-08-23,59558.0,Kitchen & Dining Features
94,2020-08-24,59558.0,Kitchen & Dining Features
95,2020-08-25,48131.0,Kitchen & Dining Features
96,2020-08-26,48131.0,Kitchen & Dining Features
97,2020-08-27,48131.0,Kitchen & Dining Features
98,2020-08-28,48131.0,Kitchen & Dining Features
99,2020-08-29,48131.0,Kitchen & Dining Features
100,2020-08-30,48131.0,Kitchen & Dining Features
101,2020-08-31,33910.0,Kitchen & Dining Features
102,2020-09-01,33910.0,Kitchen & Dining Features
103,2020-09-02,33910.0,Kitchen & Dining Features
104,2020-09-03,33910.0,Kitchen & Dining Features
105,2020-09-04,33910.0,Kitchen & Dining Features
106,2020-09-05,33910.0,Kitchen & Dining Features
107,2020-09-06,33910.0,Kitchen & Dining Features
108,2020-09-07,33910.0,Kitchen & Dining Features
109,2020-09-08,33910.0,Kitchen & Dining Features
110,2020-09-09,33910.0,Kitchen & Dining Features
111,2020-09-10,52035.0,Kitchen & Dining Features
112,2020-09-11,52035.0,Kitchen & Dining Features
113,2020-09-12,52035.0,Kitchen & Dining Features
114,2020-09-13,52035.0,Kitchen & Dining Features
115,2020-09-14,52035.0,Kitchen & Dining Features
116,2020-09-15,52035.0,Kitchen & Dining Features
117,2020-09-16,52035.0,Kitchen & Dining Features
118,2020-09-17,52035.0,Kitchen & Dining Features
119,2020-09-18,52035.0,Kitchen & Dining Features
120,2020-09-19,52035.0,Kitchen & Dining Features
121,2020-09-20,43954.0,Kitchen & Dining Features
122,2020-09-21,43954.0,Kitchen & Dining Features
123,2020-09-22,43954.0,Kitchen & Dining Features
124,2020-09-23,43954.0,Kitchen & Dining Features
125,2020-09-24,43954.0,Kitchen & Dining Features
126,2020-09-25,43954.0,Kitchen & Dining Features
127,2020-09-26,34278.0,Kitchen & Dining Features
128,2020-09-27,34278.0,Kitchen & Dining Features
129,2020-09-28,34278.0,Kitchen & Dining Features
130,2020-09-29,34278.0,Kitchen & Dining Features
131,2020-09-30,34278.0,Kitchen & Dining Features
132,2020-10-01,34278.0,Kitchen & Dining Features
133,2020-10-02,34278.0,Kitchen & Dining Features
134,2020-10-03,34278.0,Kitchen & Dining Features
135,2020-10-04,34278.0,Kitchen & Dining Features
136,2020-10-05,34278.0,Kitchen & Dining Features
137,2020-10-06,34278.0,Kitchen & Dining Features
138,2020-10-07,34278.0,Kitchen & Dining Features
139,2020-10-08,34278.0,Kitchen & Dining Features
140,2020-10-09,34278.0,Kitchen & Dining Features
141,2020-10-10,34278.0,Kitchen & Dining Features
142,2020-10-11,34278.0,Kitchen & Dining Features
143,2020-10-12,34278.0,Kitchen & Dining Features
144,2020-10-13,34278.0,Kitchen & Dining Features
145,2020-10-14,34278.0,Kitchen & Dining Features
146,2020-10-15,34278.0,Kitchen & Dining Features
147,2020-10-16,34278.0,Kitchen & Dining Features
148,2020-10-17,34278.0,Kitchen & Dining Features
149,2020-10-18,34278.0,Kitchen & Dining Features
150,2020-10-19,34278.0,Kitchen & Dining Features
151,2020-10-20,34278.0,Kitchen & Dining Features
152,2020-10-21,34278.0,Kitchen & Dining Features
153,2020-10-22,34278.0,Kitchen & Dining Features
154,2020-10-23,76033.0,Kitchen & Dining Features
155,2020-10-24,76033.0,Kitchen & Dining Features
156,2020-10-25,76033.0,Kitchen & Dining Features
157,2020-10-26,48603.0,Kitchen & Dining Features
158,2020-10-27,67160.0,Kitchen & Dining Features
159,2020-10-28,67160.0,Kitchen & Dining Features
160,2020-10-29,67160.0,Kitchen & Dining Features
161,2020-10-30,67160.0,Kitchen & Dining Features
162,2020-10-31,55290.0,Kitchen & Dining Features
163,2020-11-01,55290.0,Kitchen & Dining Features
164,2020-11-02,55290.0,Kitchen & Dining Features
165,2020-11-03,55290.0,Kitchen & Dining Features
166,2020-11-04,55290.0,Kitchen & Dining Features
167,2020-11-05,54878.0,Kitchen & Dining Features
168,2020-11-06,54878.0,Kitchen & Dining Features
169,2020-11-07,54878.0,Kitchen & Dining Features
170,2020-11-08,54878.0,Kitchen & Dining Features
171,2020-11-09,54878.0,Kitchen & Dining Features
172,2020-11-10,56178.0,Kitchen & Dining Features
173,2020-11-11,56178.0,Kitchen & Dining Features
174,2020-11-12,66084.0,Kitchen & Dining Features
175,2020-11-13,66084.0,Kitchen & Dining Features
176,2020-11-14,66084.0,Kitchen & Dining Features
177,2020-11-15,66084.0,Kitchen & Dining Features
178,2020-11-16,66084.0,Kitchen & Dining Features
179,2020-11-17,66084.0,Kitchen & Dining Features
180,2020-11-18,66084.0,Kitchen & Dining Features
181,2020-11-19,66084.0,Kitchen & Dining Features
182,2020-11-20,66084.0,Kitchen & Dining Features
183,2020-11-21,66084.0,Kitchen & Dining Features
184,2020-11-22,66084.0,Kitchen & Dining Features
185,2020-11-23,66084.0,Kitchen & Dining Features
186,2020-11-24,66084.0,Kitchen & Dining Features
187,2020-11-25,66084.0,Kitchen & Dining Features
188,2020-11-26,79693.0,Kitchen & Dining Features
189,2020-11-27,79693.0,Kitchen & Dining Features
190,2020-11-28,56948.0,Kitchen & Dining Features
191,2020-11-29,56948.0,Kitchen & Dining Features
192,2020-11-30,-1.0,Kitchen & Dining Features
