,date,value,name_B08J7SPJFP
229,2021-05-10,38016.0,Sculptural Frames & Holders
230,2021-05-11,38016.0,Sculptural Frames & Holders
231,2021-05-12,33469.0,Sculptural Frames & Holders
232,2021-05-13,33130.0,Sculptural Frames & Holders
233,2021-05-14,30971.0,Sculptural Frames & Holders
234,2021-05-15,39765.0,Sculptural Frames & Holders
235,2021-05-16,39765.0,Sculptural Frames & Holders
236,2021-05-17,31127.0,Sculptural Frames & Holders
237,2021-05-18,30406.0,Sculptural Frames & Holders
238,2021-05-19,28811.0,Sculptural Frames & Holders
239,2021-05-20,33970.0,Sculptural Frames & Holders
240,2021-05-21,33970.0,Sculptural Frames & Holders
241,2021-05-22,29914.0,Sculptural Frames & Holders
242,2021-05-23,35183.0,Sculptural Frames & Holders
243,2021-05-24,43029.0,Sculptural Frames & Holders
244,2021-05-25,43029.0,Sculptural Frames & Holders
245,2021-05-26,31394.0,Sculptural Frames & Holders
246,2021-05-27,21604.0,Sculptural Frames & Holders
247,2021-05-28,27469.0,Sculptural Frames & Holders
248,2021-05-29,27400.0,Sculptural Frames & Holders
249,2021-05-30,27400.0,Sculptural Frames & Holders
250,2021-05-31,41977.0,Sculptural Frames & Holders
251,2021-06-01,31660.0,Sculptural Frames & Holders
252,2021-06-02,35344.0,Sculptural Frames & Holders
253,2021-06-03,25429.0,Sculptural Frames & Holders
254,2021-06-04,31663.0,Sculptural Frames & Holders
255,2021-06-05,32905.0,Sculptural Frames & Holders
256,2021-06-06,32905.0,Sculptural Frames & Holders
257,2021-06-07,31303.0,Sculptural Frames & Holders
258,2021-06-08,24234.0,Sculptural Frames & Holders
259,2021-06-09,36891.0,Sculptural Frames & Holders
260,2021-06-10,36891.0,Sculptural Frames & Holders
261,2021-06-11,29036.0,Sculptural Frames & Holders
262,2021-06-12,29036.0,Sculptural Frames & Holders
263,2021-06-13,38025.0,Sculptural Frames & Holders
264,2021-06-14,39657.0,Sculptural Frames & Holders
265,2021-06-15,65223.0,Sculptural Frames & Holders
266,2021-06-16,65223.0,Sculptural Frames & Holders
267,2021-06-17,65223.0,Sculptural Frames & Holders
268,2021-06-18,55516.0,Sculptural Frames & Holders
269,2021-06-19,37962.0,Sculptural Frames & Holders
270,2021-06-20,37962.0,Sculptural Frames & Holders
271,2021-06-21,34032.0,Sculptural Frames & Holders
272,2021-06-22,33793.0,Sculptural Frames & Holders
273,2021-06-23,33793.0,Sculptural Frames & Holders
274,2021-06-24,33793.0,Sculptural Frames & Holders
275,2021-06-25,36713.0,Sculptural Frames & Holders
276,2021-06-26,36713.0,Sculptural Frames & Holders
277,2021-06-27,25459.0,Sculptural Frames & Holders
278,2021-06-28,25459.0,Sculptural Frames & Holders
279,2021-06-29,25459.0,Sculptural Frames & Holders
280,2021-06-30,25665.0,Sculptural Frames & Holders
281,2021-07-01,36130.0,Sculptural Frames & Holders
282,2021-07-02,36130.0,Sculptural Frames & Holders
283,2021-07-03,36130.0,Sculptural Frames & Holders
284,2021-07-04,36130.0,Sculptural Frames & Holders
285,2021-07-05,36130.0,Sculptural Frames & Holders
286,2021-07-06,36130.0,Sculptural Frames & Holders
287,2021-07-07,32454.0,Sculptural Frames & Holders
288,2021-07-08,32454.0,Sculptural Frames & Holders
289,2021-07-09,23865.0,Sculptural Frames & Holders
290,2021-07-10,28598.0,Sculptural Frames & Holders
