,date,value,name_B07R1VJWPM
207,2020-01-14,19813.0,Floating Shelves
208,2020-01-15,19813.0,Floating Shelves
209,2020-01-16,19813.0,Floating Shelves
210,2020-01-17,13484.0,Floating Shelves
211,2020-01-18,12486.0,Floating Shelves
212,2020-01-19,15424.0,Floating Shelves
213,2020-01-20,15424.0,Floating Shelves
214,2020-01-21,15424.0,Floating Shelves
215,2020-01-22,15424.0,Floating Shelves
216,2020-01-23,15424.0,Floating Shelves
217,2020-01-24,15424.0,Floating Shelves
218,2020-01-25,10491.0,Floating Shelves
219,2020-01-26,10491.0,Floating Shelves
220,2020-01-27,9829.0,Floating Shelves
221,2020-01-28,9829.0,Floating Shelves
222,2020-01-29,9829.0,Floating Shelves
223,2020-01-30,9829.0,Floating Shelves
224,2020-01-31,9829.0,Floating Shelves
225,2020-02-01,9829.0,Floating Shelves
226,2020-02-02,13051.0,Floating Shelves
227,2020-02-03,13051.0,Floating Shelves
228,2020-02-04,13051.0,Floating Shelves
229,2020-02-05,12301.0,Floating Shelves
230,2020-02-06,12301.0,Floating Shelves
231,2020-02-07,12301.0,Floating Shelves
232,2020-02-08,12301.0,Floating Shelves
233,2020-02-09,12357.0,Floating Shelves
234,2020-02-10,12357.0,Floating Shelves
235,2020-02-11,14380.0,Floating Shelves
236,2020-02-12,14380.0,Floating Shelves
237,2020-02-13,14380.0,Floating Shelves
238,2020-02-14,12113.0,Floating Shelves
239,2020-02-15,12113.0,Floating Shelves
240,2020-02-16,12113.0,Floating Shelves
241,2020-02-17,11079.0,Floating Shelves
242,2020-02-18,11079.0,Floating Shelves
243,2020-02-19,11079.0,Floating Shelves
244,2020-02-20,13167.0,Floating Shelves
245,2020-02-21,13167.0,Floating Shelves
246,2020-02-22,13167.0,Floating Shelves
247,2020-02-23,16336.0,Floating Shelves
248,2020-02-24,17949.0,Floating Shelves
249,2020-02-25,17949.0,Floating Shelves
250,2020-02-26,17949.0,Floating Shelves
251,2020-02-27,14775.0,Floating Shelves
252,2020-02-28,14775.0,Floating Shelves
253,2020-02-29,14775.0,Floating Shelves
254,2020-03-01,14775.0,Floating Shelves
255,2020-03-02,11701.0,Floating Shelves
256,2020-03-03,11701.0,Floating Shelves
257,2020-03-04,11701.0,Floating Shelves
258,2020-03-05,12165.0,Floating Shelves
259,2020-03-06,12165.0,Floating Shelves
260,2020-03-07,12165.0,Floating Shelves
261,2020-03-08,12165.0,Floating Shelves
262,2020-03-09,13253.0,Floating Shelves
263,2020-03-10,9692.0,Floating Shelves
264,2020-03-11,12913.0,Floating Shelves
265,2020-03-12,12843.0,Floating Shelves
266,2020-03-13,12843.0,Floating Shelves
267,2020-03-14,13781.0,Floating Shelves
268,2020-03-15,13781.0,Floating Shelves
269,2020-03-16,13781.0,Floating Shelves
270,2020-03-17,10324.0,Floating Shelves
271,2020-03-18,9397.0,Floating Shelves
272,2020-03-19,9397.0,Floating Shelves
273,2020-03-20,7975.0,Floating Shelves
274,2020-03-21,7801.0,Floating Shelves
275,2020-03-22,7507.0,Floating Shelves
276,2020-03-23,7507.0,Floating Shelves
277,2020-03-24,7507.0,Floating Shelves
278,2020-03-25,6212.0,Floating Shelves
279,2020-03-26,5108.0,Floating Shelves
280,2020-03-27,5108.0,Floating Shelves
281,2020-03-28,7104.0,Floating Shelves
282,2020-03-29,6415.0,Floating Shelves
283,2020-03-30,6868.0,Floating Shelves
284,2020-03-31,6300.0,Floating Shelves
285,2020-04-01,6457.0,Floating Shelves
286,2020-04-02,7409.0,Floating Shelves
287,2020-04-03,7409.0,Floating Shelves
288,2020-04-04,7409.0,Floating Shelves
289,2020-04-05,7315.0,Floating Shelves
290,2020-04-06,7315.0,Floating Shelves
291,2020-04-07,16988.0,Floating Shelves
292,2020-04-08,33017.0,Floating Shelves
293,2020-04-09,33017.0,Floating Shelves
294,2020-04-10,33017.0,Floating Shelves
295,2020-04-11,22022.0,Floating Shelves
296,2020-04-12,22022.0,Floating Shelves
297,2020-04-13,22022.0,Floating Shelves
298,2020-04-14,31030.0,Floating Shelves
299,2020-04-15,31030.0,Floating Shelves
300,2020-04-16,31030.0,Floating Shelves
301,2020-04-17,31030.0,Floating Shelves
302,2020-04-18,31030.0,Floating Shelves
303,2020-04-19,31030.0,Floating Shelves
304,2020-04-20,18457.0,Floating Shelves
305,2020-04-21,18457.0,Floating Shelves
306,2020-04-22,18457.0,Floating Shelves
307,2020-04-23,18457.0,Floating Shelves
308,2020-04-24,18457.0,Floating Shelves
309,2020-04-25,25120.0,Floating Shelves
310,2020-04-26,25120.0,Floating Shelves
311,2020-04-27,27700.0,Floating Shelves
312,2020-04-28,33932.0,Floating Shelves
313,2020-04-29,33932.0,Floating Shelves
314,2020-04-30,55046.0,Floating Shelves
315,2020-05-01,55046.0,Floating Shelves
316,2020-05-02,55046.0,Floating Shelves
317,2020-05-03,51982.0,Floating Shelves
318,2020-05-04,51982.0,Floating Shelves
319,2020-05-05,51982.0,Floating Shelves
320,2020-05-06,51982.0,Floating Shelves
321,2020-05-07,51982.0,Floating Shelves
