,date,value,name_B08BXVJH7L
169,2020-12-27,46963.0,Throw Pillow Covers
170,2020-12-28,25699.0,Throw Pillow Covers
171,2020-12-29,25699.0,Throw Pillow Covers
172,2020-12-30,25699.0,Throw Pillow Covers
173,2020-12-31,25699.0,Throw Pillow Covers
174,2021-01-01,23952.0,Throw Pillow Covers
175,2021-01-02,23952.0,Throw Pillow Covers
176,2021-01-03,23952.0,Throw Pillow Covers
177,2021-01-04,23952.0,Throw Pillow Covers
178,2021-01-05,23952.0,Throw Pillow Covers
179,2021-01-06,23952.0,Throw Pillow Covers
180,2021-01-07,21210.0,Throw Pillow Covers
181,2021-01-08,21179.0,Throw Pillow Covers
182,2021-01-09,21179.0,Throw Pillow Covers
183,2021-01-10,21179.0,Throw Pillow Covers
184,2021-01-11,20591.0,Throw Pillow Covers
185,2021-01-12,20591.0,Throw Pillow Covers
186,2021-01-13,20591.0,Throw Pillow Covers
187,2021-01-14,24194.0,Throw Pillow Covers
188,2021-01-15,21075.0,Throw Pillow Covers
189,2021-01-16,21075.0,Throw Pillow Covers
190,2021-01-17,21075.0,Throw Pillow Covers
191,2021-01-18,20426.0,Throw Pillow Covers
192,2021-01-19,17957.0,Throw Pillow Covers
193,2021-01-20,17957.0,Throw Pillow Covers
194,2021-01-21,17957.0,Throw Pillow Covers
195,2021-01-22,22312.0,Throw Pillow Covers
196,2021-01-23,23223.0,Throw Pillow Covers
197,2021-01-24,23223.0,Throw Pillow Covers
198,2021-01-25,23223.0,Throw Pillow Covers
199,2021-01-26,26000.0,Throw Pillow Covers
200,2021-01-27,26000.0,Throw Pillow Covers
201,2021-01-28,26000.0,Throw Pillow Covers
202,2021-01-29,20721.0,Throw Pillow Covers
203,2021-01-30,20721.0,Throw Pillow Covers
204,2021-01-31,20721.0,Throw Pillow Covers
205,2021-02-01,21769.0,Throw Pillow Covers
206,2021-02-02,21769.0,Throw Pillow Covers
207,2021-02-03,21769.0,Throw Pillow Covers
208,2021-02-04,18847.0,Throw Pillow Covers
209,2021-02-05,18847.0,Throw Pillow Covers
210,2021-02-06,18847.0,Throw Pillow Covers
211,2021-02-07,15121.0,Throw Pillow Covers
212,2021-02-08,15121.0,Throw Pillow Covers
213,2021-02-09,16440.0,Throw Pillow Covers
214,2021-02-10,16440.0,Throw Pillow Covers
215,2021-02-11,16440.0,Throw Pillow Covers
216,2021-02-12,16440.0,Throw Pillow Covers
217,2021-02-13,16079.0,Throw Pillow Covers
218,2021-02-14,16079.0,Throw Pillow Covers
219,2021-02-15,16079.0,Throw Pillow Covers
220,2021-02-16,16079.0,Throw Pillow Covers
221,2021-02-17,18675.0,Throw Pillow Covers
222,2021-02-18,18675.0,Throw Pillow Covers
223,2021-02-19,18675.0,Throw Pillow Covers
224,2021-02-20,18675.0,Throw Pillow Covers
225,2021-02-21,18675.0,Throw Pillow Covers
226,2021-02-22,22726.0,Throw Pillow Covers
227,2021-02-23,22726.0,Throw Pillow Covers
228,2021-02-24,16222.0,Throw Pillow Covers
229,2021-02-25,14524.0,Throw Pillow Covers
230,2021-02-26,14524.0,Throw Pillow Covers
231,2021-02-27,14524.0,Throw Pillow Covers
232,2021-02-28,14426.0,Throw Pillow Covers
233,2021-03-01,14933.0,Throw Pillow Covers
234,2021-03-02,12352.0,Throw Pillow Covers
235,2021-03-03,12352.0,Throw Pillow Covers
236,2021-03-04,12352.0,Throw Pillow Covers
237,2021-03-05,14148.0,Throw Pillow Covers
238,2021-03-06,14148.0,Throw Pillow Covers
239,2021-03-07,14148.0,Throw Pillow Covers
240,2021-03-08,15185.0,Throw Pillow Covers
