,date,value,name_B08D8RDWB8
131,2020-12-19,58218.0,Decorative Pillows
132,2020-12-20,58218.0,Decorative Pillows
133,2020-12-21,58218.0,Decorative Pillows
134,2020-12-22,43492.0,Decorative Pillows
135,2020-12-23,43492.0,Decorative Pillows
136,2020-12-24,20647.0,Decorative Pillows
137,2020-12-25,20647.0,Decorative Pillows
138,2020-12-26,20647.0,Decorative Pillows
139,2020-12-27,20647.0,Decorative Pillows
140,2020-12-28,20647.0,Decorative Pillows
141,2020-12-29,24329.0,Decorative Pillows
142,2020-12-30,24329.0,Decorative Pillows
143,2020-12-31,24329.0,Decorative Pillows
144,2021-01-01,24329.0,Decorative Pillows
145,2021-01-02,24329.0,Decorative Pillows
146,2021-01-03,24329.0,Decorative Pillows
147,2021-01-04,18057.0,Decorative Pillows
148,2021-01-05,18057.0,Decorative Pillows
149,2021-01-06,18057.0,Decorative Pillows
150,2021-01-07,16900.0,Decorative Pillows
151,2021-01-08,16900.0,Decorative Pillows
152,2021-01-09,16900.0,Decorative Pillows
153,2021-01-10,24561.0,Decorative Pillows
154,2021-01-11,24561.0,Decorative Pillows
155,2021-01-12,24561.0,Decorative Pillows
156,2021-01-13,49709.0,Decorative Pillows
157,2021-01-14,49709.0,Decorative Pillows
158,2021-01-15,49709.0,Decorative Pillows
159,2021-01-16,49709.0,Decorative Pillows
160,2021-01-17,49709.0,Decorative Pillows
161,2021-01-18,29942.0,Decorative Pillows
162,2021-01-19,16015.0,Decorative Pillows
163,2021-01-20,16015.0,Decorative Pillows
164,2021-01-21,13142.0,Decorative Pillows
165,2021-01-22,13142.0,Decorative Pillows
166,2021-01-23,13142.0,Decorative Pillows
167,2021-01-24,13142.0,Decorative Pillows
168,2021-01-25,13142.0,Decorative Pillows
169,2021-01-26,13142.0,Decorative Pillows
170,2021-01-27,62006.0,Decorative Pillows
171,2021-01-28,62006.0,Decorative Pillows
172,2021-01-29,62006.0,Decorative Pillows
173,2021-01-30,62006.0,Decorative Pillows
174,2021-01-31,62006.0,Decorative Pillows
175,2021-02-01,52660.0,Decorative Pillows
176,2021-02-02,52660.0,Decorative Pillows
177,2021-02-03,52660.0,Decorative Pillows
178,2021-02-04,52660.0,Decorative Pillows
179,2021-02-05,52660.0,Decorative Pillows
180,2021-02-06,52660.0,Decorative Pillows
181,2021-02-07,52660.0,Decorative Pillows
182,2021-02-08,52660.0,Decorative Pillows
183,2021-02-09,70577.0,Decorative Pillows
184,2021-02-10,70577.0,Decorative Pillows
185,2021-02-11,70577.0,Decorative Pillows
186,2021-02-12,70577.0,Decorative Pillows
187,2021-02-13,70577.0,Decorative Pillows
188,2021-02-14,70577.0,Decorative Pillows
189,2021-02-15,70577.0,Decorative Pillows
190,2021-02-16,70577.0,Decorative Pillows
191,2021-02-17,70577.0,Decorative Pillows
192,2021-02-18,70577.0,Decorative Pillows
193,2021-02-19,70577.0,Decorative Pillows
194,2021-02-20,70577.0,Decorative Pillows
195,2021-02-21,70577.0,Decorative Pillows
196,2021-02-22,10060.0,Decorative Pillows
197,2021-02-23,10060.0,Decorative Pillows
198,2021-02-24,10060.0,Decorative Pillows
199,2021-02-25,23885.0,Decorative Pillows
200,2021-02-26,23885.0,Decorative Pillows
201,2021-02-27,23885.0,Decorative Pillows
202,2021-02-28,23885.0,Decorative Pillows
203,2021-03-01,8036.0,Decorative Pillows
204,2021-03-02,7612.0,Decorative Pillows
205,2021-03-03,7612.0,Decorative Pillows
206,2021-03-04,7612.0,Decorative Pillows
207,2021-03-05,7612.0,Decorative Pillows
208,2021-03-06,9348.0,Decorative Pillows
209,2021-03-07,9348.0,Decorative Pillows
210,2021-03-08,9348.0,Decorative Pillows
211,2021-03-09,6257.0,Decorative Pillows
212,2021-03-10,6257.0,Decorative Pillows
213,2021-03-11,6257.0,Decorative Pillows
214,2021-03-12,5206.0,Decorative Pillows
215,2021-03-13,5206.0,Decorative Pillows
216,2021-03-14,5206.0,Decorative Pillows
217,2021-03-15,3654.0,Decorative Pillows
218,2021-03-16,3654.0,Decorative Pillows
219,2021-03-17,3654.0,Decorative Pillows
220,2021-03-18,3785.0,Decorative Pillows
221,2021-03-19,3785.0,Decorative Pillows
222,2021-03-20,3785.0,Decorative Pillows
223,2021-03-21,3799.0,Decorative Pillows
224,2021-03-22,4526.0,Decorative Pillows
225,2021-03-23,4526.0,Decorative Pillows
226,2021-03-24,4526.0,Decorative Pillows
227,2021-03-25,4526.0,Decorative Pillows
228,2021-03-26,12417.0,Decorative Pillows
229,2021-03-27,12417.0,Decorative Pillows
230,2021-03-28,12417.0,Decorative Pillows
231,2021-03-29,6596.0,Decorative Pillows
232,2021-03-30,6596.0,Decorative Pillows
233,2021-03-31,8954.0,Decorative Pillows
234,2021-04-01,8954.0,Decorative Pillows
235,2021-04-02,8954.0,Decorative Pillows
236,2021-04-03,8954.0,Decorative Pillows
237,2021-04-04,8954.0,Decorative Pillows
238,2021-04-05,6972.0,Decorative Pillows
239,2021-04-06,6972.0,Decorative Pillows
240,2021-04-07,6972.0,Decorative Pillows
241,2021-04-08,6456.0,Decorative Pillows
242,2021-04-09,6456.0,Decorative Pillows
243,2021-04-10,6456.0,Decorative Pillows
244,2021-04-11,6456.0,Decorative Pillows
245,2021-04-12,6600.0,Decorative Pillows
246,2021-04-13,6600.0,Decorative Pillows
247,2021-04-14,7048.0,Decorative Pillows
248,2021-04-15,6928.0,Decorative Pillows
