,date,value,name_B08V1FMSC3
114,2021-05-25,21374.0,Sofa Slipcovers
115,2021-05-26,21374.0,Sofa Slipcovers
116,2021-05-27,24582.0,Sofa Slipcovers
117,2021-05-28,24582.0,Sofa Slipcovers
118,2021-05-29,24582.0,Sofa Slipcovers
119,2021-05-30,18856.0,Sofa Slipcovers
120,2021-05-31,18856.0,Sofa Slipcovers
121,2021-06-01,17883.0,Sofa Slipcovers
122,2021-06-02,16769.0,Sofa Slipcovers
123,2021-06-03,16769.0,Sofa Slipcovers
124,2021-06-04,16769.0,Sofa Slipcovers
125,2021-06-05,15458.0,Sofa Slipcovers
126,2021-06-06,15458.0,Sofa Slipcovers
127,2021-06-07,15998.0,Sofa Slipcovers
128,2021-06-08,15998.0,Sofa Slipcovers
129,2021-06-09,15998.0,Sofa Slipcovers
130,2021-06-10,15998.0,Sofa Slipcovers
131,2021-06-11,18091.0,Sofa Slipcovers
132,2021-06-12,18091.0,Sofa Slipcovers
133,2021-06-13,18091.0,Sofa Slipcovers
134,2021-06-14,13597.0,Sofa Slipcovers
135,2021-06-15,13597.0,Sofa Slipcovers
136,2021-06-16,13597.0,Sofa Slipcovers
137,2021-06-17,16681.0,Sofa Slipcovers
138,2021-06-18,16208.0,Sofa Slipcovers
139,2021-06-19,19847.0,Sofa Slipcovers
140,2021-06-20,18886.0,Sofa Slipcovers
141,2021-06-21,18886.0,Sofa Slipcovers
142,2021-06-22,8784.0,Sofa Slipcovers
143,2021-06-23,7415.0,Sofa Slipcovers
144,2021-06-24,7415.0,Sofa Slipcovers
145,2021-06-25,7341.0,Sofa Slipcovers
146,2021-06-26,7429.0,Sofa Slipcovers
147,2021-06-27,7429.0,Sofa Slipcovers
148,2021-06-28,8395.0,Sofa Slipcovers
149,2021-06-29,10971.0,Sofa Slipcovers
150,2021-06-30,10701.0,Sofa Slipcovers
151,2021-07-01,14433.0,Sofa Slipcovers
152,2021-07-02,11994.0,Sofa Slipcovers
153,2021-07-03,11994.0,Sofa Slipcovers
154,2021-07-04,11994.0,Sofa Slipcovers
155,2021-07-05,13998.0,Sofa Slipcovers
156,2021-07-06,13998.0,Sofa Slipcovers
157,2021-07-07,18147.0,Sofa Slipcovers
158,2021-07-08,18147.0,Sofa Slipcovers
159,2021-07-09,18147.0,Sofa Slipcovers
160,2021-07-10,18147.0,Sofa Slipcovers
161,2021-07-11,14171.0,Sofa Slipcovers
