,date,value,name_B07NL8MBW3
252,2021-02-01,5465.0,Paints
253,2021-02-02,5465.0,Paints
254,2021-02-03,5465.0,Paints
255,2021-02-04,7636.0,Paints
256,2021-02-05,13578.0,Paints
257,2021-02-06,13578.0,Paints
258,2021-02-07,13578.0,Paints
259,2021-02-08,5050.0,Paints
260,2021-02-09,5050.0,Paints
261,2021-02-10,5050.0,Paints
262,2021-02-11,7660.0,Paints
263,2021-02-12,7660.0,Paints
264,2021-02-13,8333.0,Paints
265,2021-02-14,7338.0,Paints
266,2021-02-15,8790.0,Paints
267,2021-02-16,6268.0,Paints
268,2021-02-17,6268.0,Paints
269,2021-02-18,7317.0,Paints
270,2021-02-19,4483.0,Paints
271,2021-02-20,5447.0,Paints
272,2021-02-21,5447.0,Paints
273,2021-02-22,6613.0,Paints
274,2021-02-23,4928.0,Paints
275,2021-02-24,4928.0,Paints
276,2021-02-25,4928.0,Paints
277,2021-02-26,6686.0,Paints
278,2021-02-27,6948.0,Paints
279,2021-02-28,5864.0,Paints
280,2021-03-01,5488.0,Paints
281,2021-03-02,5442.0,Paints
282,2021-03-03,7020.0,Paints
283,2021-03-04,7908.0,Paints
284,2021-03-05,7756.0,Paints
285,2021-03-06,6892.0,Paints
286,2021-03-07,6892.0,Paints
287,2021-03-08,7149.0,Paints
288,2021-03-09,7149.0,Paints
289,2021-03-10,7149.0,Paints
290,2021-03-11,8276.0,Paints
291,2021-03-12,8276.0,Paints
292,2021-03-13,7103.0,Paints
293,2021-03-14,7103.0,Paints
294,2021-03-15,10744.0,Paints
295,2021-03-16,10744.0,Paints
296,2021-03-17,10744.0,Paints
297,2021-03-18,4814.0,Paints
298,2021-03-19,4814.0,Paints
299,2021-03-20,11521.0,Paints
300,2021-03-21,11521.0,Paints
301,2021-03-22,11521.0,Paints
302,2021-03-23,6511.0,Paints
303,2021-03-24,6511.0,Paints
304,2021-03-25,5423.0,Paints
305,2021-03-26,6652.0,Paints
306,2021-03-27,6652.0,Paints
307,2021-03-28,6652.0,Paints
308,2021-03-29,8447.0,Paints
309,2021-03-30,8447.0,Paints
310,2021-03-31,9459.0,Paints
311,2021-04-01,9459.0,Paints
312,2021-04-02,9459.0,Paints
313,2021-04-03,5919.0,Paints
