,date,value,name_B08XZ4N8LG
63,2021-05-11,6879.0,Plantar Fasciitis Braces
64,2021-05-12,6879.0,Plantar Fasciitis Braces
65,2021-05-13,6194.0,Plantar Fasciitis Braces
66,2021-05-14,6194.0,Plantar Fasciitis Braces
67,2021-05-15,6557.0,Plantar Fasciitis Braces
68,2021-05-16,5927.0,Plantar Fasciitis Braces
69,2021-05-17,5927.0,Plantar Fasciitis Braces
70,2021-05-18,5146.0,Plantar Fasciitis Braces
71,2021-05-19,5515.0,Plantar Fasciitis Braces
72,2021-05-20,5114.0,Plantar Fasciitis Braces
73,2021-05-21,5830.0,Plantar Fasciitis Braces
74,2021-05-22,5830.0,Plantar Fasciitis Braces
75,2021-05-23,5830.0,Plantar Fasciitis Braces
76,2021-05-24,6663.0,Plantar Fasciitis Braces
77,2021-05-25,6663.0,Plantar Fasciitis Braces
78,2021-05-26,6663.0,Plantar Fasciitis Braces
79,2021-05-27,8296.0,Plantar Fasciitis Braces
80,2021-05-28,8296.0,Plantar Fasciitis Braces
81,2021-05-29,8296.0,Plantar Fasciitis Braces
82,2021-05-30,8296.0,Plantar Fasciitis Braces
83,2021-05-31,8296.0,Plantar Fasciitis Braces
84,2021-06-01,7667.0,Plantar Fasciitis Braces
85,2021-06-02,7667.0,Plantar Fasciitis Braces
86,2021-06-03,7667.0,Plantar Fasciitis Braces
87,2021-06-04,7667.0,Plantar Fasciitis Braces
88,2021-06-05,7667.0,Plantar Fasciitis Braces
89,2021-06-06,7667.0,Plantar Fasciitis Braces
90,2021-06-07,7476.0,Plantar Fasciitis Braces
91,2021-06-08,7476.0,Plantar Fasciitis Braces
92,2021-06-09,3859.0,Plantar Fasciitis Braces
93,2021-06-10,3859.0,Plantar Fasciitis Braces
94,2021-06-11,3658.0,Plantar Fasciitis Braces
95,2021-06-12,3658.0,Plantar Fasciitis Braces
96,2021-06-13,3658.0,Plantar Fasciitis Braces
97,2021-06-14,3446.0,Plantar Fasciitis Braces
98,2021-06-15,3446.0,Plantar Fasciitis Braces
99,2021-06-16,3446.0,Plantar Fasciitis Braces
100,2021-06-17,6107.0,Plantar Fasciitis Braces
101,2021-06-18,6107.0,Plantar Fasciitis Braces
102,2021-06-19,6107.0,Plantar Fasciitis Braces
103,2021-06-20,5942.0,Plantar Fasciitis Braces
104,2021-06-21,7449.0,Plantar Fasciitis Braces
105,2021-06-22,6426.0,Plantar Fasciitis Braces
106,2021-06-23,6426.0,Plantar Fasciitis Braces
107,2021-06-24,3436.0,Plantar Fasciitis Braces
108,2021-06-25,3436.0,Plantar Fasciitis Braces
109,2021-06-26,3436.0,Plantar Fasciitis Braces
110,2021-06-27,5595.0,Plantar Fasciitis Braces
111,2021-06-28,6187.0,Plantar Fasciitis Braces
112,2021-06-29,5359.0,Plantar Fasciitis Braces
113,2021-06-30,5294.0,Plantar Fasciitis Braces
114,2021-07-01,5294.0,Plantar Fasciitis Braces
115,2021-07-02,5294.0,Plantar Fasciitis Braces
116,2021-07-03,5560.0,Plantar Fasciitis Braces
117,2021-07-04,5560.0,Plantar Fasciitis Braces
118,2021-07-05,6207.0,Plantar Fasciitis Braces
119,2021-07-06,6988.0,Plantar Fasciitis Braces
120,2021-07-07,6988.0,Plantar Fasciitis Braces
121,2021-07-08,5756.0,Plantar Fasciitis Braces
122,2021-07-09,5140.0,Plantar Fasciitis Braces
123,2021-07-10,5654.0,Plantar Fasciitis Braces
