,date,value,name_B08NWD897G
63,2021-01-29,9661.0,Markers
64,2021-01-30,9661.0,Markers
65,2021-01-31,9661.0,Markers
66,2021-02-01,17136.0,Markers
67,2021-02-02,11540.0,Markers
68,2021-02-03,16163.0,Markers
69,2021-02-04,20581.0,Markers
70,2021-02-05,19217.0,Markers
71,2021-02-06,16510.0,Markers
72,2021-02-07,21762.0,Markers
73,2021-02-08,21762.0,Markers
74,2021-02-09,21762.0,Markers
75,2021-02-10,18107.0,Markers
76,2021-02-11,18539.0,Markers
77,2021-02-12,22292.0,Markers
78,2021-02-13,17825.0,Markers
79,2021-02-14,21405.0,Markers
80,2021-02-15,14561.0,Markers
81,2021-02-16,26482.0,Markers
82,2021-02-17,21730.0,Markers
83,2021-02-18,21730.0,Markers
84,2021-02-19,17673.0,Markers
85,2021-02-20,18465.0,Markers
86,2021-02-21,21452.0,Markers
87,2021-02-22,18472.0,Markers
88,2021-02-23,16686.0,Markers
89,2021-02-24,28613.0,Markers
90,2021-02-25,28613.0,Markers
91,2021-02-26,22828.0,Markers
92,2021-02-27,35906.0,Markers
93,2021-02-28,33091.0,Markers
94,2021-03-01,36532.0,Markers
95,2021-03-02,39208.0,Markers
96,2021-03-03,55985.0,Markers
97,2021-03-04,36853.0,Markers
98,2021-03-05,28556.0,Markers
99,2021-03-06,40164.0,Markers
100,2021-03-07,34143.0,Markers
101,2021-03-08,25431.0,Markers
102,2021-03-09,28792.0,Markers
103,2021-03-10,32247.0,Markers
104,2021-03-11,29016.0,Markers
105,2021-03-12,41103.0,Markers
106,2021-03-13,41103.0,Markers
107,2021-03-14,28845.0,Markers
108,2021-03-15,25927.0,Markers
109,2021-03-16,35286.0,Markers
110,2021-03-17,38455.0,Markers
111,2021-03-18,38455.0,Markers
112,2021-03-19,38671.0,Markers
113,2021-03-20,48031.0,Markers
114,2021-03-21,38077.0,Markers
115,2021-03-22,37395.0,Markers
116,2021-03-23,37395.0,Markers
117,2021-03-24,52093.0,Markers
118,2021-03-25,49598.0,Markers
119,2021-03-26,50023.0,Markers
120,2021-03-27,45337.0,Markers
121,2021-03-28,49479.0,Markers
122,2021-03-29,55126.0,Markers
123,2021-03-30,55126.0,Markers
124,2021-03-31,55328.0,Markers
125,2021-04-01,57050.0,Markers
126,2021-04-02,56325.0,Markers
127,2021-04-03,56142.0,Markers
128,2021-04-04,51703.0,Markers
129,2021-04-05,47622.0,Markers
130,2021-04-06,47210.0,Markers
131,2021-04-07,47210.0,Markers
132,2021-04-08,56408.0,Markers
133,2021-04-09,57940.0,Markers
134,2021-04-10,21321.0,Markers
135,2021-04-11,27588.0,Markers
136,2021-04-12,42676.0,Markers
137,2021-04-13,23300.0,Markers
138,2021-04-14,29942.0,Markers
139,2021-04-15,29942.0,Markers
140,2021-04-16,23219.0,Markers
141,2021-04-17,11465.0,Markers
142,2021-04-18,9985.0,Markers
143,2021-04-19,12990.0,Markers
144,2021-04-20,9004.0,Markers
145,2021-04-21,10189.0,Markers
146,2021-04-22,10189.0,Markers
147,2021-04-23,12475.0,Markers
148,2021-04-24,11935.0,Markers
149,2021-04-25,11935.0,Markers
150,2021-04-26,14413.0,Markers
151,2021-04-27,13426.0,Markers
152,2021-04-28,14422.0,Markers
153,2021-04-29,10616.0,Markers
154,2021-04-30,10305.0,Markers
155,2021-05-01,8228.0,Markers
156,2021-05-02,8675.0,Markers
157,2021-05-03,8675.0,Markers
158,2021-05-04,9128.0,Markers
159,2021-05-05,7501.0,Markers
160,2021-05-06,6412.0,Markers
161,2021-05-07,6412.0,Markers
162,2021-05-08,6499.0,Markers
163,2021-05-09,4683.0,Markers
164,2021-05-10,7935.0,Markers
165,2021-05-11,8069.0,Markers
166,2021-05-12,4605.0,Markers
167,2021-05-13,4325.0,Markers
168,2021-05-14,5929.0,Markers
169,2021-05-15,5517.0,Markers
170,2021-05-16,5517.0,Markers
171,2021-05-17,5454.0,Markers
172,2021-05-18,8174.0,Markers
173,2021-05-19,6262.0,Markers
174,2021-05-20,7700.0,Markers
175,2021-05-21,6507.0,Markers
176,2021-05-22,4804.0,Markers
177,2021-05-23,5754.0,Markers
178,2021-05-24,5032.0,Markers
179,2021-05-25,8174.0,Markers
180,2021-05-26,8174.0,Markers
181,2021-05-27,4964.0,Markers
182,2021-05-28,6336.0,Markers
183,2021-05-29,3595.0,Markers
184,2021-05-30,3595.0,Markers
185,2021-05-31,5129.0,Markers
186,2021-06-01,5129.0,Markers
187,2021-06-02,6804.0,Markers
188,2021-06-03,4601.0,Markers
189,2021-06-04,3683.0,Markers
190,2021-06-05,4745.0,Markers
191,2021-06-06,5668.0,Markers
192,2021-06-07,5825.0,Markers
193,2021-06-08,8828.0,Markers
194,2021-06-09,6174.0,Markers
195,2021-06-10,5093.0,Markers
196,2021-06-11,5093.0,Markers
197,2021-06-12,4988.0,Markers
198,2021-06-13,7901.0,Markers
199,2021-06-14,7901.0,Markers
200,2021-06-15,7009.0,Markers
201,2021-06-16,12092.0,Markers
202,2021-06-17,7708.0,Markers
203,2021-06-18,8600.0,Markers
204,2021-06-19,6265.0,Markers
205,2021-06-20,5020.0,Markers
206,2021-06-21,7052.0,Markers
207,2021-06-22,637.0,Markers
208,2021-06-23,604.0,Markers
209,2021-06-24,604.0,Markers
210,2021-06-25,1089.0,Markers
211,2021-06-26,1744.0,Markers
212,2021-06-27,1947.0,Markers
213,2021-06-28,2391.0,Markers
214,2021-06-29,3545.0,Markers
215,2021-06-30,4891.0,Markers
216,2021-07-01,4233.0,Markers
217,2021-07-02,4549.0,Markers
218,2021-07-03,4549.0,Markers
219,2021-07-04,4604.0,Markers
220,2021-07-05,3485.0,Markers
221,2021-07-06,6281.0,Markers
222,2021-07-07,6938.0,Markers
223,2021-07-08,6938.0,Markers
224,2021-07-09,7378.0,Markers
