,date,value,name_B087C9P6QZ
66,2020-07-31,4774.0,Household Cleaning
67,2020-08-01,4774.0,Household Cleaning
68,2020-08-02,4626.0,Household Cleaning
69,2020-08-03,5309.0,Household Cleaning
70,2020-08-04,4962.0,Household Cleaning
71,2020-08-05,5498.0,Household Cleaning
72,2020-08-06,4653.0,Household Cleaning
73,2020-08-07,4653.0,Household Cleaning
74,2020-08-08,4596.0,Household Cleaning
75,2020-08-09,4596.0,Household Cleaning
76,2020-08-10,4596.0,Household Cleaning
77,2020-08-11,5219.0,Household Cleaning
78,2020-08-12,5108.0,Household Cleaning
79,2020-08-13,4595.0,Household Cleaning
80,2020-08-14,4595.0,Household Cleaning
81,2020-08-15,5138.0,Household Cleaning
82,2020-08-16,4305.0,Household Cleaning
83,2020-08-17,4880.0,Household Cleaning
84,2020-08-18,5820.0,Household Cleaning
85,2020-08-19,5820.0,Household Cleaning
86,2020-08-20,7253.0,Household Cleaning
87,2020-08-21,7253.0,Household Cleaning
88,2020-08-22,5207.0,Household Cleaning
89,2020-08-23,4259.0,Household Cleaning
90,2020-08-24,4259.0,Household Cleaning
91,2020-08-25,4839.0,Household Cleaning
92,2020-08-26,4839.0,Household Cleaning
93,2020-08-27,4413.0,Household Cleaning
94,2020-08-28,4413.0,Household Cleaning
95,2020-08-29,3840.0,Household Cleaning
96,2020-08-30,3840.0,Household Cleaning
97,2020-08-31,3474.0,Household Cleaning
98,2020-09-01,3474.0,Household Cleaning
99,2020-09-02,4252.0,Household Cleaning
100,2020-09-03,5161.0,Household Cleaning
101,2020-09-04,4960.0,Household Cleaning
102,2020-09-05,4960.0,Household Cleaning
103,2020-09-06,5848.0,Household Cleaning
104,2020-09-07,5580.0,Household Cleaning
105,2020-09-08,5580.0,Household Cleaning
106,2020-09-09,5680.0,Household Cleaning
107,2020-09-10,5819.0,Household Cleaning
108,2020-09-11,5819.0,Household Cleaning
109,2020-09-12,6769.0,Household Cleaning
110,2020-09-13,6769.0,Household Cleaning
111,2020-09-14,7325.0,Household Cleaning
112,2020-09-15,8024.0,Household Cleaning
113,2020-09-16,8673.0,Household Cleaning
114,2020-09-17,8954.0,Household Cleaning
115,2020-09-18,7586.0,Household Cleaning
116,2020-09-19,6648.0,Household Cleaning
117,2020-09-20,6607.0,Household Cleaning
118,2020-09-21,7471.0,Household Cleaning
119,2020-09-22,7730.0,Household Cleaning
120,2020-09-23,8700.0,Household Cleaning
121,2020-09-24,7860.0,Household Cleaning
122,2020-09-25,7860.0,Household Cleaning
123,2020-09-26,4937.0,Household Cleaning
124,2020-09-27,4937.0,Household Cleaning
125,2020-09-28,3294.0,Household Cleaning
126,2020-09-29,3157.0,Household Cleaning
127,2020-09-30,4229.0,Household Cleaning
128,2020-10-01,5134.0,Household Cleaning
129,2020-10-02,5747.0,Household Cleaning
130,2020-10-03,5747.0,Household Cleaning
131,2020-10-04,2841.0,Household Cleaning
132,2020-10-05,2732.0,Household Cleaning
133,2020-10-06,4903.0,Household Cleaning
134,2020-10-07,4903.0,Household Cleaning
135,2020-10-08,5691.0,Household Cleaning
136,2020-10-09,8097.0,Household Cleaning
137,2020-10-10,7650.0,Household Cleaning
138,2020-10-11,7650.0,Household Cleaning
139,2020-10-12,6723.0,Household Cleaning
140,2020-10-13,8234.0,Household Cleaning
141,2020-10-14,7580.0,Household Cleaning
142,2020-10-15,8376.0,Household Cleaning
143,2020-10-16,8623.0,Household Cleaning
144,2020-10-17,7762.0,Household Cleaning
145,2020-10-18,7762.0,Household Cleaning
146,2020-10-19,7130.0,Household Cleaning
147,2020-10-20,7130.0,Household Cleaning
148,2020-10-21,9169.0,Household Cleaning
149,2020-10-22,9182.0,Household Cleaning
150,2020-10-23,9103.0,Household Cleaning
151,2020-10-24,8159.0,Household Cleaning
152,2020-10-25,8159.0,Household Cleaning
153,2020-10-26,7651.0,Household Cleaning
154,2020-10-27,7651.0,Household Cleaning
155,2020-10-28,8930.0,Household Cleaning
156,2020-10-29,7233.0,Household Cleaning
157,2020-10-30,8555.0,Household Cleaning
158,2020-10-31,8713.0,Household Cleaning
159,2020-11-01,8713.0,Household Cleaning
160,2020-11-02,8749.0,Household Cleaning
161,2020-11-03,10966.0,Household Cleaning
162,2020-11-04,11789.0,Household Cleaning
163,2020-11-05,13930.0,Household Cleaning
164,2020-11-06,11945.0,Household Cleaning
165,2020-11-07,12469.0,Household Cleaning
166,2020-11-08,12469.0,Household Cleaning
167,2020-11-09,10924.0,Household Cleaning
168,2020-11-10,10924.0,Household Cleaning
169,2020-11-11,10371.0,Household Cleaning
170,2020-11-12,8226.0,Household Cleaning
171,2020-11-13,7641.0,Household Cleaning
172,2020-11-14,7951.0,Household Cleaning
173,2020-11-15,6939.0,Household Cleaning
174,2020-11-16,7166.0,Household Cleaning
175,2020-11-17,7166.0,Household Cleaning
176,2020-11-18,7166.0,Household Cleaning
177,2020-11-19,11287.0,Household Cleaning
178,2020-11-20,11518.0,Household Cleaning
179,2020-11-21,11518.0,Household Cleaning
180,2020-11-22,11518.0,Household Cleaning
181,2020-11-23,10323.0,Household Cleaning
182,2020-11-24,9305.0,Household Cleaning
183,2020-11-25,9305.0,Household Cleaning
184,2020-11-26,9114.0,Household Cleaning
185,2020-11-27,9114.0,Household Cleaning
186,2020-11-28,13252.0,Household Cleaning
187,2020-11-29,13252.0,Household Cleaning
188,2020-11-30,13415.0,Household Cleaning
189,2020-12-01,12924.0,Household Cleaning
190,2020-12-02,12924.0,Household Cleaning
191,2020-12-03,11619.0,Household Cleaning
192,2020-12-04,11619.0,Household Cleaning
193,2020-12-05,11619.0,Household Cleaning
194,2020-12-06,10031.0,Household Cleaning
195,2020-12-07,10031.0,Household Cleaning
196,2020-12-08,10031.0,Household Cleaning
197,2020-12-09,11161.0,Household Cleaning
198,2020-12-10,11161.0,Household Cleaning
199,2020-12-11,11161.0,Household Cleaning
200,2020-12-12,12817.0,Household Cleaning
201,2020-12-13,14949.0,Household Cleaning
202,2020-12-14,15199.0,Household Cleaning
203,2020-12-15,17531.0,Household Cleaning
204,2020-12-16,20263.0,Household Cleaning
205,2020-12-17,13163.0,Household Cleaning
206,2020-12-18,13163.0,Household Cleaning
207,2020-12-19,13163.0,Household Cleaning
208,2020-12-20,12681.0,Household Cleaning
209,2020-12-21,12871.0,Household Cleaning
210,2020-12-22,14325.0,Household Cleaning
211,2020-12-23,11776.0,Household Cleaning
212,2020-12-24,11776.0,Household Cleaning
213,2020-12-25,13800.0,Household Cleaning
214,2020-12-26,14921.0,Household Cleaning
215,2020-12-27,17305.0,Household Cleaning
216,2020-12-28,17305.0,Household Cleaning
217,2020-12-29,17305.0,Household Cleaning
218,2020-12-30,13444.0,Household Cleaning
219,2020-12-31,13444.0,Household Cleaning
220,2021-01-01,12884.0,Household Cleaning
221,2021-01-02,12884.0,Household Cleaning
222,2021-01-03,12397.0,Household Cleaning
223,2021-01-04,12067.0,Household Cleaning
224,2021-01-05,11690.0,Household Cleaning
225,2021-01-06,11552.0,Household Cleaning
226,2021-01-07,12744.0,Household Cleaning
227,2021-01-08,12165.0,Household Cleaning
228,2021-01-09,12165.0,Household Cleaning
229,2021-01-10,12362.0,Household Cleaning
230,2021-01-11,12603.0,Household Cleaning
231,2021-01-12,12603.0,Household Cleaning
232,2021-01-13,12603.0,Household Cleaning
233,2021-01-14,12404.0,Household Cleaning
234,2021-01-15,11951.0,Household Cleaning
235,2021-01-16,11951.0,Household Cleaning
236,2021-01-17,11178.0,Household Cleaning
237,2021-01-18,9235.0,Household Cleaning
238,2021-01-19,10518.0,Household Cleaning
239,2021-01-20,12950.0,Household Cleaning
240,2021-01-21,14819.0,Household Cleaning
241,2021-01-22,14819.0,Household Cleaning
242,2021-01-23,13252.0,Household Cleaning
243,2021-01-24,11192.0,Household Cleaning
244,2021-01-25,9290.0,Household Cleaning
245,2021-01-26,9290.0,Household Cleaning
246,2021-01-27,10350.0,Household Cleaning
247,2021-01-28,13662.0,Household Cleaning
248,2021-01-29,13662.0,Household Cleaning
249,2021-01-30,17038.0,Household Cleaning
250,2021-01-31,16620.0,Household Cleaning
251,2021-02-01,13590.0,Household Cleaning
252,2021-02-02,12708.0,Household Cleaning
253,2021-02-03,13102.0,Household Cleaning
254,2021-02-04,11560.0,Household Cleaning
255,2021-02-05,11560.0,Household Cleaning
256,2021-02-06,10604.0,Household Cleaning
257,2021-02-07,10604.0,Household Cleaning
258,2021-02-08,10604.0,Household Cleaning
259,2021-02-09,14548.0,Household Cleaning
260,2021-02-10,14548.0,Household Cleaning
261,2021-02-11,14556.0,Household Cleaning
262,2021-02-12,15390.0,Household Cleaning
263,2021-02-13,15073.0,Household Cleaning
264,2021-02-14,15073.0,Household Cleaning
265,2021-02-15,14367.0,Household Cleaning
266,2021-02-16,14439.0,Household Cleaning
267,2021-02-17,13220.0,Household Cleaning
268,2021-02-18,13220.0,Household Cleaning
269,2021-02-19,10783.0,Household Cleaning
270,2021-02-20,10380.0,Household Cleaning
271,2021-02-21,10380.0,Household Cleaning
272,2021-02-22,7686.0,Household Cleaning
273,2021-02-23,7588.0,Household Cleaning
274,2021-02-24,8145.0,Household Cleaning
275,2021-02-25,8642.0,Household Cleaning
276,2021-02-26,8642.0,Household Cleaning
277,2021-02-27,8576.0,Household Cleaning
278,2021-02-28,8576.0,Household Cleaning
279,2021-03-01,10150.0,Household Cleaning
280,2021-03-02,12719.0,Household Cleaning
281,2021-03-03,12719.0,Household Cleaning
282,2021-03-04,12441.0,Household Cleaning
283,2021-03-05,13588.0,Household Cleaning
284,2021-03-06,12332.0,Household Cleaning
285,2021-03-07,12517.0,Household Cleaning
286,2021-03-08,12517.0,Household Cleaning
287,2021-03-09,12517.0,Household Cleaning
288,2021-03-10,14651.0,Household Cleaning
289,2021-03-11,13225.0,Household Cleaning
290,2021-03-12,11843.0,Household Cleaning
291,2021-03-13,11843.0,Household Cleaning
292,2021-03-14,11843.0,Household Cleaning
293,2021-03-15,8298.0,Household Cleaning
294,2021-03-16,9121.0,Household Cleaning
295,2021-03-17,11681.0,Household Cleaning
296,2021-03-18,12849.0,Household Cleaning
297,2021-03-19,11957.0,Household Cleaning
298,2021-03-20,12640.0,Household Cleaning
299,2021-03-21,11543.0,Household Cleaning
300,2021-03-22,10165.0,Household Cleaning
301,2021-03-23,10165.0,Household Cleaning
302,2021-03-24,12514.0,Household Cleaning
303,2021-03-25,12514.0,Household Cleaning
304,2021-03-26,12514.0,Household Cleaning
305,2021-03-27,13860.0,Household Cleaning
306,2021-03-28,13860.0,Household Cleaning
307,2021-03-29,13860.0,Household Cleaning
308,2021-03-30,11476.0,Household Cleaning
309,2021-03-31,13257.0,Household Cleaning
310,2021-04-01,13257.0,Household Cleaning
311,2021-04-02,13257.0,Household Cleaning
312,2021-04-03,6793.0,Household Cleaning
313,2021-04-04,6793.0,Household Cleaning
314,2021-04-05,6090.0,Household Cleaning
315,2021-04-06,6090.0,Household Cleaning
316,2021-04-07,6515.0,Household Cleaning
317,2021-04-08,6515.0,Household Cleaning
318,2021-04-09,7393.0,Household Cleaning
319,2021-04-10,7393.0,Household Cleaning
320,2021-04-11,7579.0,Household Cleaning
321,2021-04-12,7579.0,Household Cleaning
322,2021-04-13,7579.0,Household Cleaning
323,2021-04-14,6402.0,Household Cleaning
324,2021-04-15,6402.0,Household Cleaning
325,2021-04-16,6034.0,Household Cleaning
326,2021-04-17,6034.0,Household Cleaning
327,2021-04-18,4360.0,Household Cleaning
328,2021-04-19,3656.0,Household Cleaning
329,2021-04-20,4816.0,Household Cleaning
330,2021-04-21,5543.0,Household Cleaning
331,2021-04-22,5543.0,Household Cleaning
332,2021-04-23,7665.0,Household Cleaning
333,2021-04-24,7665.0,Household Cleaning
334,2021-04-25,4465.0,Household Cleaning
335,2021-04-26,4434.0,Household Cleaning
336,2021-04-27,4434.0,Household Cleaning
337,2021-04-28,7483.0,Household Cleaning
338,2021-04-29,7483.0,Household Cleaning
339,2021-04-30,9037.0,Household Cleaning
340,2021-05-01,8287.0,Household Cleaning
341,2021-05-02,9251.0,Household Cleaning
342,2021-05-03,9251.0,Household Cleaning
343,2021-05-04,8502.0,Household Cleaning
344,2021-05-05,8795.0,Household Cleaning
345,2021-05-06,8213.0,Household Cleaning
346,2021-05-07,8213.0,Household Cleaning
347,2021-05-08,8213.0,Household Cleaning
348,2021-05-09,8240.0,Household Cleaning
349,2021-05-10,8240.0,Household Cleaning
350,2021-05-11,11085.0,Household Cleaning
351,2021-05-12,11085.0,Household Cleaning
352,2021-05-13,12421.0,Household Cleaning
353,2021-05-14,12421.0,Household Cleaning
354,2021-05-15,11986.0,Household Cleaning
355,2021-05-16,11986.0,Household Cleaning
356,2021-05-17,8688.0,Household Cleaning
357,2021-05-18,8545.0,Household Cleaning
358,2021-05-19,12122.0,Household Cleaning
359,2021-05-20,10020.0,Household Cleaning
360,2021-05-21,8580.0,Household Cleaning
361,2021-05-22,6043.0,Household Cleaning
362,2021-05-23,6043.0,Household Cleaning
363,2021-05-24,5072.0,Household Cleaning
364,2021-05-25,5088.0,Household Cleaning
365,2021-05-26,6054.0,Household Cleaning
366,2021-05-27,7972.0,Household Cleaning
367,2021-05-28,7972.0,Household Cleaning
368,2021-05-29,10939.0,Household Cleaning
369,2021-05-30,10939.0,Household Cleaning
370,2021-05-31,10939.0,Household Cleaning
371,2021-06-01,11154.0,Household Cleaning
372,2021-06-02,14256.0,Household Cleaning
373,2021-06-03,14256.0,Household Cleaning
374,2021-06-04,12278.0,Household Cleaning
375,2021-06-05,12543.0,Household Cleaning
376,2021-06-06,12935.0,Household Cleaning
377,2021-06-07,14156.0,Household Cleaning
378,2021-06-08,18311.0,Household Cleaning
379,2021-06-09,18428.0,Household Cleaning
380,2021-06-10,14754.0,Household Cleaning
381,2021-06-11,18180.0,Household Cleaning
382,2021-06-12,18180.0,Household Cleaning
383,2021-06-13,7665.0,Household Cleaning
384,2021-06-14,11363.0,Household Cleaning
385,2021-06-15,7483.0,Household Cleaning
386,2021-06-16,7483.0,Household Cleaning
387,2021-06-17,14430.0,Household Cleaning
388,2021-06-18,14684.0,Household Cleaning
389,2021-06-19,13352.0,Household Cleaning
390,2021-06-20,12565.0,Household Cleaning
391,2021-06-21,12039.0,Household Cleaning
392,2021-06-22,16144.0,Household Cleaning
393,2021-06-23,14607.0,Household Cleaning
394,2021-06-24,18556.0,Household Cleaning
395,2021-06-25,18556.0,Household Cleaning
396,2021-06-26,13854.0,Household Cleaning
397,2021-06-27,14320.0,Household Cleaning
398,2021-06-28,14320.0,Household Cleaning
399,2021-06-29,15450.0,Household Cleaning
400,2021-06-30,21386.0,Household Cleaning
401,2021-07-01,17183.0,Household Cleaning
402,2021-07-02,16942.0,Household Cleaning
403,2021-07-03,16942.0,Household Cleaning
404,2021-07-04,16942.0,Household Cleaning
405,2021-07-05,20054.0,Household Cleaning
406,2021-07-06,20054.0,Household Cleaning
407,2021-07-07,13835.0,Household Cleaning
408,2021-07-08,10189.0,Household Cleaning
409,2021-07-09,10189.0,Household Cleaning
410,2021-07-10,9280.0,Household Cleaning
411,2021-07-11,8400.0,Household Cleaning
