,date,value,name_B0871ZRCLK
51,2020-06-05,45161.0,Artificial Flowers
52,2020-06-06,30706.0,Artificial Flowers
53,2020-06-07,30706.0,Artificial Flowers
54,2020-06-08,31909.0,Artificial Flowers
55,2020-06-09,31909.0,Artificial Flowers
56,2020-06-10,31909.0,Artificial Flowers
57,2020-06-11,30405.0,Artificial Flowers
58,2020-06-12,30405.0,Artificial Flowers
59,2020-06-13,29296.0,Artificial Flowers
60,2020-06-14,29296.0,Artificial Flowers
61,2020-06-15,29296.0,Artificial Flowers
62,2020-06-16,29296.0,Artificial Flowers
63,2020-06-17,29667.0,Artificial Flowers
64,2020-06-18,29667.0,Artificial Flowers
65,2020-06-19,22894.0,Artificial Flowers
66,2020-06-20,34872.0,Artificial Flowers
67,2020-06-21,30291.0,Artificial Flowers
68,2020-06-22,37335.0,Artificial Flowers
69,2020-06-23,37335.0,Artificial Flowers
70,2020-06-24,33720.0,Artificial Flowers
71,2020-06-25,33720.0,Artificial Flowers
72,2020-06-26,33720.0,Artificial Flowers
73,2020-06-27,33720.0,Artificial Flowers
74,2020-06-28,19718.0,Artificial Flowers
75,2020-06-29,21528.0,Artificial Flowers
76,2020-06-30,31349.0,Artificial Flowers
77,2020-07-01,31349.0,Artificial Flowers
78,2020-07-02,28214.0,Artificial Flowers
79,2020-07-03,28498.0,Artificial Flowers
80,2020-07-04,28498.0,Artificial Flowers
81,2020-07-05,26648.0,Artificial Flowers
82,2020-07-06,22739.0,Artificial Flowers
83,2020-07-07,30784.0,Artificial Flowers
84,2020-07-08,30784.0,Artificial Flowers
85,2020-07-09,31671.0,Artificial Flowers
86,2020-07-10,31671.0,Artificial Flowers
87,2020-07-11,31671.0,Artificial Flowers
88,2020-07-12,31671.0,Artificial Flowers
89,2020-07-13,33422.0,Artificial Flowers
90,2020-07-14,33422.0,Artificial Flowers
91,2020-07-15,42421.0,Artificial Flowers
92,2020-07-16,42292.0,Artificial Flowers
93,2020-07-17,42292.0,Artificial Flowers
94,2020-07-18,38101.0,Artificial Flowers
95,2020-07-19,42671.0,Artificial Flowers
96,2020-07-20,42671.0,Artificial Flowers
97,2020-07-21,34314.0,Artificial Flowers
98,2020-07-22,34314.0,Artificial Flowers
99,2020-07-23,34314.0,Artificial Flowers
100,2020-07-24,34314.0,Artificial Flowers
101,2020-07-25,34314.0,Artificial Flowers
102,2020-07-26,23434.0,Artificial Flowers
103,2020-07-27,23434.0,Artificial Flowers
104,2020-07-28,29705.0,Artificial Flowers
105,2020-07-29,29705.0,Artificial Flowers
106,2020-07-30,29705.0,Artificial Flowers
107,2020-07-31,29705.0,Artificial Flowers
108,2020-08-01,24275.0,Artificial Flowers
109,2020-08-02,24275.0,Artificial Flowers
110,2020-08-03,25011.0,Artificial Flowers
111,2020-08-04,25011.0,Artificial Flowers
112,2020-08-05,27791.0,Artificial Flowers
113,2020-08-06,27331.0,Artificial Flowers
114,2020-08-07,27331.0,Artificial Flowers
115,2020-08-08,29585.0,Artificial Flowers
116,2020-08-09,21751.0,Artificial Flowers
117,2020-08-10,31375.0,Artificial Flowers
118,2020-08-11,29121.0,Artificial Flowers
119,2020-08-12,29121.0,Artificial Flowers
120,2020-08-13,27313.0,Artificial Flowers
121,2020-08-14,40095.0,Artificial Flowers
122,2020-08-15,45008.0,Artificial Flowers
123,2020-08-16,40291.0,Artificial Flowers
124,2020-08-17,51093.0,Artificial Flowers
125,2020-08-18,51093.0,Artificial Flowers
126,2020-08-19,51093.0,Artificial Flowers
127,2020-08-20,68067.0,Artificial Flowers
128,2020-08-21,68067.0,Artificial Flowers
129,2020-08-22,68067.0,Artificial Flowers
130,2020-08-23,68067.0,Artificial Flowers
131,2020-08-24,64745.0,Artificial Flowers
132,2020-08-25,73689.0,Artificial Flowers
133,2020-08-26,71613.0,Artificial Flowers
134,2020-08-27,71613.0,Artificial Flowers
135,2020-08-28,73749.0,Artificial Flowers
136,2020-08-29,73749.0,Artificial Flowers
137,2020-08-30,73749.0,Artificial Flowers
138,2020-08-31,89420.0,Artificial Flowers
139,2020-09-01,89420.0,Artificial Flowers
140,2020-09-02,74761.0,Artificial Flowers
141,2020-09-03,74761.0,Artificial Flowers
142,2020-09-04,38224.0,Artificial Flowers
143,2020-09-05,38224.0,Artificial Flowers
144,2020-09-06,38224.0,Artificial Flowers
145,2020-09-07,58141.0,Artificial Flowers
146,2020-09-08,58141.0,Artificial Flowers
147,2020-09-09,31484.0,Artificial Flowers
148,2020-09-10,35823.0,Artificial Flowers
149,2020-09-11,27396.0,Artificial Flowers
150,2020-09-12,27396.0,Artificial Flowers
151,2020-09-13,27396.0,Artificial Flowers
152,2020-09-14,32484.0,Artificial Flowers
153,2020-09-15,32484.0,Artificial Flowers
154,2020-09-16,32484.0,Artificial Flowers
155,2020-09-17,32484.0,Artificial Flowers
156,2020-09-18,24702.0,Artificial Flowers
157,2020-09-19,24702.0,Artificial Flowers
158,2020-09-20,19994.0,Artificial Flowers
159,2020-09-21,19994.0,Artificial Flowers
160,2020-09-22,30687.0,Artificial Flowers
161,2020-09-23,26042.0,Artificial Flowers
162,2020-09-24,17278.0,Artificial Flowers
163,2020-09-25,23351.0,Artificial Flowers
164,2020-09-26,23351.0,Artificial Flowers
165,2020-09-27,23351.0,Artificial Flowers
166,2020-09-28,26084.0,Artificial Flowers
167,2020-09-29,23315.0,Artificial Flowers
168,2020-09-30,23315.0,Artificial Flowers
169,2020-10-01,24003.0,Artificial Flowers
170,2020-10-02,24003.0,Artificial Flowers
171,2020-10-03,24003.0,Artificial Flowers
172,2020-10-04,30211.0,Artificial Flowers
173,2020-10-05,24459.0,Artificial Flowers
174,2020-10-06,26579.0,Artificial Flowers
175,2020-10-07,35721.0,Artificial Flowers
176,2020-10-08,35721.0,Artificial Flowers
177,2020-10-09,42346.0,Artificial Flowers
178,2020-10-10,39319.0,Artificial Flowers
179,2020-10-11,39319.0,Artificial Flowers
180,2020-10-12,39319.0,Artificial Flowers
181,2020-10-13,53395.0,Artificial Flowers
182,2020-10-14,44497.0,Artificial Flowers
183,2020-10-15,44497.0,Artificial Flowers
184,2020-10-16,44497.0,Artificial Flowers
185,2020-10-17,44497.0,Artificial Flowers
186,2020-10-18,44497.0,Artificial Flowers
187,2020-10-19,32914.0,Artificial Flowers
188,2020-10-20,32914.0,Artificial Flowers
189,2020-10-21,31512.0,Artificial Flowers
190,2020-10-22,35622.0,Artificial Flowers
191,2020-10-23,41376.0,Artificial Flowers
192,2020-10-24,41376.0,Artificial Flowers
193,2020-10-25,41376.0,Artificial Flowers
194,2020-10-26,45060.0,Artificial Flowers
195,2020-10-27,45060.0,Artificial Flowers
196,2020-10-28,45060.0,Artificial Flowers
197,2020-10-29,44608.0,Artificial Flowers
198,2020-10-30,44608.0,Artificial Flowers
199,2020-10-31,44608.0,Artificial Flowers
200,2020-11-01,44608.0,Artificial Flowers
201,2020-11-02,52151.0,Artificial Flowers
202,2020-11-03,47147.0,Artificial Flowers
203,2020-11-04,47147.0,Artificial Flowers
204,2020-11-05,47147.0,Artificial Flowers
205,2020-11-06,47147.0,Artificial Flowers
206,2020-11-07,45832.0,Artificial Flowers
207,2020-11-08,45832.0,Artificial Flowers
208,2020-11-09,45832.0,Artificial Flowers
209,2020-11-10,69476.0,Artificial Flowers
210,2020-11-11,72106.0,Artificial Flowers
211,2020-11-12,72106.0,Artificial Flowers
212,2020-11-13,81189.0,Artificial Flowers
213,2020-11-14,81189.0,Artificial Flowers
214,2020-11-15,81189.0,Artificial Flowers
215,2020-11-16,81189.0,Artificial Flowers
216,2020-11-17,81189.0,Artificial Flowers
217,2020-11-18,73744.0,Artificial Flowers
218,2020-11-19,73744.0,Artificial Flowers
219,2020-11-20,73744.0,Artificial Flowers
220,2020-11-21,70516.0,Artificial Flowers
221,2020-11-22,70516.0,Artificial Flowers
222,2020-11-23,113025.0,Artificial Flowers
223,2020-11-24,113025.0,Artificial Flowers
224,2020-11-25,118232.0,Artificial Flowers
225,2020-11-26,118232.0,Artificial Flowers
226,2020-11-27,118232.0,Artificial Flowers
227,2020-11-28,118232.0,Artificial Flowers
228,2020-11-29,118232.0,Artificial Flowers
229,2020-11-30,88080.0,Artificial Flowers
230,2020-12-01,104288.0,Artificial Flowers
231,2020-12-02,104288.0,Artificial Flowers
232,2020-12-03,105469.0,Artificial Flowers
233,2020-12-04,105469.0,Artificial Flowers
234,2020-12-05,123171.0,Artificial Flowers
235,2020-12-06,123171.0,Artificial Flowers
236,2020-12-07,107596.0,Artificial Flowers
237,2020-12-08,110276.0,Artificial Flowers
238,2020-12-09,133916.0,Artificial Flowers
239,2020-12-10,133916.0,Artificial Flowers
240,2020-12-11,133916.0,Artificial Flowers
241,2020-12-12,133916.0,Artificial Flowers
242,2020-12-13,133916.0,Artificial Flowers
243,2020-12-14,138784.0,Artificial Flowers
244,2020-12-15,138784.0,Artificial Flowers
245,2020-12-16,138784.0,Artificial Flowers
246,2020-12-17,138784.0,Artificial Flowers
247,2020-12-18,138784.0,Artificial Flowers
248,2020-12-19,138784.0,Artificial Flowers
249,2020-12-20,125408.0,Artificial Flowers
250,2020-12-21,93916.0,Artificial Flowers
251,2020-12-22,67436.0,Artificial Flowers
252,2020-12-23,67436.0,Artificial Flowers
253,2020-12-24,67436.0,Artificial Flowers
254,2020-12-25,111903.0,Artificial Flowers
255,2020-12-26,111903.0,Artificial Flowers
256,2020-12-27,67396.0,Artificial Flowers
257,2020-12-28,86493.0,Artificial Flowers
258,2020-12-29,64983.0,Artificial Flowers
259,2020-12-30,51287.0,Artificial Flowers
