,date,value,name_B07T4SXC6P
373,2021-06-05,9655.0,Hookahs
374,2021-06-06,9655.0,Hookahs
375,2021-06-07,14189.0,Hookahs
376,2021-06-08,14189.0,Hookahs
377,2021-06-09,14189.0,Hookahs
378,2021-06-10,14189.0,Hookahs
379,2021-06-11,14359.0,Hookahs
380,2021-06-12,14359.0,Hookahs
381,2021-06-13,14359.0,Hookahs
382,2021-06-14,13383.0,Hookahs
383,2021-06-15,13383.0,Hookahs
384,2021-06-16,22337.0,Hookahs
385,2021-06-17,22337.0,Hookahs
386,2021-06-18,22337.0,Hookahs
387,2021-06-19,21082.0,Hookahs
388,2021-06-20,21082.0,Hookahs
389,2021-06-21,25464.0,Hookahs
390,2021-06-22,18820.0,Hookahs
391,2021-06-23,18820.0,Hookahs
392,2021-06-24,18989.0,Hookahs
393,2021-06-25,18989.0,Hookahs
394,2021-06-26,29504.0,Hookahs
395,2021-06-27,29504.0,Hookahs
396,2021-06-28,19858.0,Hookahs
397,2021-06-29,21071.0,Hookahs
398,2021-06-30,21071.0,Hookahs
399,2021-07-01,21071.0,Hookahs
400,2021-07-02,21071.0,Hookahs
401,2021-07-03,14339.0,Hookahs
402,2021-07-04,14339.0,Hookahs
403,2021-07-05,18671.0,Hookahs
404,2021-07-06,19545.0,Hookahs
405,2021-07-07,19545.0,Hookahs
406,2021-07-08,24878.0,Hookahs
407,2021-07-09,24878.0,Hookahs
408,2021-07-10,24878.0,Hookahs
409,2021-07-11,18090.0,Hookahs
