,date,value,name_B08F4R2PWD
53,2020-10-01,15429.0,Duvet Cover Sets
54,2020-10-02,15429.0,Duvet Cover Sets
55,2020-10-03,15429.0,Duvet Cover Sets
56,2020-10-04,15429.0,Duvet Cover Sets
57,2020-10-05,13917.0,Duvet Cover Sets
58,2020-10-06,13917.0,Duvet Cover Sets
59,2020-10-07,13917.0,Duvet Cover Sets
60,2020-10-08,13917.0,Duvet Cover Sets
61,2020-10-09,11646.0,Duvet Cover Sets
62,2020-10-10,12130.0,Duvet Cover Sets
63,2020-10-11,12130.0,Duvet Cover Sets
64,2020-10-12,11440.0,Duvet Cover Sets
65,2020-10-13,11440.0,Duvet Cover Sets
66,2020-10-14,7394.0,Duvet Cover Sets
67,2020-10-15,7394.0,Duvet Cover Sets
68,2020-10-16,7394.0,Duvet Cover Sets
69,2020-10-17,9903.0,Duvet Cover Sets
70,2020-10-18,9903.0,Duvet Cover Sets
71,2020-10-19,9903.0,Duvet Cover Sets
72,2020-10-20,12264.0,Duvet Cover Sets
73,2020-10-21,18222.0,Duvet Cover Sets
74,2020-10-22,18388.0,Duvet Cover Sets
75,2020-10-23,18369.0,Duvet Cover Sets
76,2020-10-24,12440.0,Duvet Cover Sets
77,2020-10-25,12440.0,Duvet Cover Sets
78,2020-10-26,11733.0,Duvet Cover Sets
79,2020-10-27,10442.0,Duvet Cover Sets
80,2020-10-28,10149.0,Duvet Cover Sets
81,2020-10-29,14026.0,Duvet Cover Sets
82,2020-10-30,14026.0,Duvet Cover Sets
83,2020-10-31,14026.0,Duvet Cover Sets
84,2020-11-01,17663.0,Duvet Cover Sets
85,2020-11-02,13102.0,Duvet Cover Sets
86,2020-11-03,13102.0,Duvet Cover Sets
87,2020-11-04,13102.0,Duvet Cover Sets
88,2020-11-05,16002.0,Duvet Cover Sets
89,2020-11-06,16178.0,Duvet Cover Sets
90,2020-11-07,16178.0,Duvet Cover Sets
91,2020-11-08,12469.0,Duvet Cover Sets
92,2020-11-09,12469.0,Duvet Cover Sets
93,2020-11-10,15393.0,Duvet Cover Sets
94,2020-11-11,14265.0,Duvet Cover Sets
95,2020-11-12,14265.0,Duvet Cover Sets
96,2020-11-13,18964.0,Duvet Cover Sets
97,2020-11-14,18964.0,Duvet Cover Sets
98,2020-11-15,18964.0,Duvet Cover Sets
99,2020-11-16,18964.0,Duvet Cover Sets
100,2020-11-17,14974.0,Duvet Cover Sets
101,2020-11-18,14974.0,Duvet Cover Sets
102,2020-11-19,14974.0,Duvet Cover Sets
103,2020-11-20,23680.0,Duvet Cover Sets
104,2020-11-21,23680.0,Duvet Cover Sets
105,2020-11-22,23680.0,Duvet Cover Sets
106,2020-11-23,36202.0,Duvet Cover Sets
107,2020-11-24,36202.0,Duvet Cover Sets
108,2020-11-25,25416.0,Duvet Cover Sets
109,2020-11-26,31310.0,Duvet Cover Sets
110,2020-11-27,25065.0,Duvet Cover Sets
111,2020-11-28,20301.0,Duvet Cover Sets
112,2020-11-29,20828.0,Duvet Cover Sets
113,2020-11-30,20828.0,Duvet Cover Sets
114,2020-12-01,18105.0,Duvet Cover Sets
115,2020-12-02,19959.0,Duvet Cover Sets
116,2020-12-03,30429.0,Duvet Cover Sets
117,2020-12-04,30429.0,Duvet Cover Sets
118,2020-12-05,30429.0,Duvet Cover Sets
119,2020-12-06,30429.0,Duvet Cover Sets
120,2020-12-07,29306.0,Duvet Cover Sets
121,2020-12-08,29306.0,Duvet Cover Sets
122,2020-12-09,29306.0,Duvet Cover Sets
123,2020-12-10,29306.0,Duvet Cover Sets
124,2020-12-11,29456.0,Duvet Cover Sets
125,2020-12-12,20898.0,Duvet Cover Sets
126,2020-12-13,20898.0,Duvet Cover Sets
127,2020-12-14,20898.0,Duvet Cover Sets
128,2020-12-15,20528.0,Duvet Cover Sets
129,2020-12-16,19035.0,Duvet Cover Sets
130,2020-12-17,19035.0,Duvet Cover Sets
131,2020-12-18,19035.0,Duvet Cover Sets
132,2020-12-19,19035.0,Duvet Cover Sets
133,2020-12-20,15415.0,Duvet Cover Sets
134,2020-12-21,15415.0,Duvet Cover Sets
135,2020-12-22,23654.0,Duvet Cover Sets
136,2020-12-23,23322.0,Duvet Cover Sets
137,2020-12-24,20152.0,Duvet Cover Sets
138,2020-12-25,20152.0,Duvet Cover Sets
139,2020-12-26,20152.0,Duvet Cover Sets
140,2020-12-27,36645.0,Duvet Cover Sets
141,2020-12-28,30779.0,Duvet Cover Sets
142,2020-12-29,30779.0,Duvet Cover Sets
143,2020-12-30,30779.0,Duvet Cover Sets
144,2020-12-31,27990.0,Duvet Cover Sets
145,2021-01-01,27990.0,Duvet Cover Sets
146,2021-01-02,27990.0,Duvet Cover Sets
147,2021-01-03,27990.0,Duvet Cover Sets
148,2021-01-04,22397.0,Duvet Cover Sets
149,2021-01-05,22397.0,Duvet Cover Sets
150,2021-01-06,21020.0,Duvet Cover Sets
151,2021-01-07,21020.0,Duvet Cover Sets
152,2021-01-08,21020.0,Duvet Cover Sets
153,2021-01-09,21020.0,Duvet Cover Sets
154,2021-01-10,21607.0,Duvet Cover Sets
155,2021-01-11,21607.0,Duvet Cover Sets
156,2021-01-12,21607.0,Duvet Cover Sets
157,2021-01-13,18624.0,Duvet Cover Sets
158,2021-01-14,23822.0,Duvet Cover Sets
159,2021-01-15,24607.0,Duvet Cover Sets
160,2021-01-16,24607.0,Duvet Cover Sets
161,2021-01-17,24607.0,Duvet Cover Sets
162,2021-01-18,19372.0,Duvet Cover Sets
163,2021-01-19,19372.0,Duvet Cover Sets
164,2021-01-20,22144.0,Duvet Cover Sets
165,2021-01-21,17133.0,Duvet Cover Sets
166,2021-01-22,17608.0,Duvet Cover Sets
167,2021-01-23,14557.0,Duvet Cover Sets
168,2021-01-24,14557.0,Duvet Cover Sets
169,2021-01-25,19053.0,Duvet Cover Sets
170,2021-01-26,19053.0,Duvet Cover Sets
171,2021-01-27,19053.0,Duvet Cover Sets
172,2021-01-28,19053.0,Duvet Cover Sets
173,2021-01-29,33773.0,Duvet Cover Sets
174,2021-01-30,33299.0,Duvet Cover Sets
175,2021-01-31,33299.0,Duvet Cover Sets
176,2021-02-01,33299.0,Duvet Cover Sets
177,2021-02-02,22012.0,Duvet Cover Sets
178,2021-02-03,22012.0,Duvet Cover Sets
179,2021-02-04,33129.0,Duvet Cover Sets
180,2021-02-05,25498.0,Duvet Cover Sets
181,2021-02-06,25498.0,Duvet Cover Sets
182,2021-02-07,25498.0,Duvet Cover Sets
183,2021-02-08,22108.0,Duvet Cover Sets
184,2021-02-09,22108.0,Duvet Cover Sets
185,2021-02-10,33754.0,Duvet Cover Sets
186,2021-02-11,33754.0,Duvet Cover Sets
187,2021-02-12,33754.0,Duvet Cover Sets
188,2021-02-13,33754.0,Duvet Cover Sets
189,2021-02-14,17239.0,Duvet Cover Sets
190,2021-02-15,17239.0,Duvet Cover Sets
191,2021-02-16,17239.0,Duvet Cover Sets
192,2021-02-17,23595.0,Duvet Cover Sets
193,2021-02-18,23595.0,Duvet Cover Sets
194,2021-02-19,23595.0,Duvet Cover Sets
195,2021-02-20,23595.0,Duvet Cover Sets
196,2021-02-21,23595.0,Duvet Cover Sets
197,2021-02-22,23595.0,Duvet Cover Sets
198,2021-02-23,20450.0,Duvet Cover Sets
199,2021-02-24,20450.0,Duvet Cover Sets
200,2021-02-25,20450.0,Duvet Cover Sets
201,2021-02-26,20450.0,Duvet Cover Sets
202,2021-02-27,20450.0,Duvet Cover Sets
203,2021-02-28,19608.0,Duvet Cover Sets
204,2021-03-01,19291.0,Duvet Cover Sets
205,2021-03-02,16400.0,Duvet Cover Sets
206,2021-03-03,15152.0,Duvet Cover Sets
207,2021-03-04,15152.0,Duvet Cover Sets
208,2021-03-05,22884.0,Duvet Cover Sets
209,2021-03-06,22884.0,Duvet Cover Sets
210,2021-03-07,18696.0,Duvet Cover Sets
211,2021-03-08,20998.0,Duvet Cover Sets
212,2021-03-09,21298.0,Duvet Cover Sets
213,2021-03-10,21298.0,Duvet Cover Sets
214,2021-03-11,21298.0,Duvet Cover Sets
215,2021-03-12,21961.0,Duvet Cover Sets
216,2021-03-13,21961.0,Duvet Cover Sets
217,2021-03-14,34757.0,Duvet Cover Sets
218,2021-03-15,34757.0,Duvet Cover Sets
219,2021-03-16,24942.0,Duvet Cover Sets
220,2021-03-17,24249.0,Duvet Cover Sets
221,2021-03-18,24249.0,Duvet Cover Sets
222,2021-03-19,24249.0,Duvet Cover Sets
223,2021-03-20,27655.0,Duvet Cover Sets
224,2021-03-21,27655.0,Duvet Cover Sets
225,2021-03-22,26603.0,Duvet Cover Sets
226,2021-03-23,24822.0,Duvet Cover Sets
227,2021-03-24,24822.0,Duvet Cover Sets
228,2021-03-25,24822.0,Duvet Cover Sets
229,2021-03-26,24822.0,Duvet Cover Sets
230,2021-03-27,24822.0,Duvet Cover Sets
231,2021-03-28,24822.0,Duvet Cover Sets
232,2021-03-29,24822.0,Duvet Cover Sets
233,2021-03-30,23081.0,Duvet Cover Sets
234,2021-03-31,23081.0,Duvet Cover Sets
235,2021-04-01,23081.0,Duvet Cover Sets
236,2021-04-02,30949.0,Duvet Cover Sets
237,2021-04-03,30949.0,Duvet Cover Sets
238,2021-04-04,30949.0,Duvet Cover Sets
239,2021-04-05,29495.0,Duvet Cover Sets
240,2021-04-06,29495.0,Duvet Cover Sets
241,2021-04-07,29495.0,Duvet Cover Sets
242,2021-04-08,33002.0,Duvet Cover Sets
243,2021-04-09,33002.0,Duvet Cover Sets
244,2021-04-10,28039.0,Duvet Cover Sets
245,2021-04-11,28039.0,Duvet Cover Sets
246,2021-04-12,32674.0,Duvet Cover Sets
247,2021-04-13,31204.0,Duvet Cover Sets
248,2021-04-14,31204.0,Duvet Cover Sets
249,2021-04-15,34266.0,Duvet Cover Sets
250,2021-04-16,34266.0,Duvet Cover Sets
251,2021-04-17,34266.0,Duvet Cover Sets
252,2021-04-18,34266.0,Duvet Cover Sets
253,2021-04-19,26615.0,Duvet Cover Sets
254,2021-04-20,26615.0,Duvet Cover Sets
255,2021-04-21,26615.0,Duvet Cover Sets
256,2021-04-22,26615.0,Duvet Cover Sets
257,2021-04-23,26615.0,Duvet Cover Sets
258,2021-04-24,26615.0,Duvet Cover Sets
259,2021-04-25,21851.0,Duvet Cover Sets
260,2021-04-26,17486.0,Duvet Cover Sets
261,2021-04-27,17486.0,Duvet Cover Sets
262,2021-04-28,17486.0,Duvet Cover Sets
263,2021-04-29,21313.0,Duvet Cover Sets
264,2021-04-30,21313.0,Duvet Cover Sets
265,2021-05-01,19048.0,Duvet Cover Sets
266,2021-05-02,22411.0,Duvet Cover Sets
267,2021-05-03,22411.0,Duvet Cover Sets
268,2021-05-04,22411.0,Duvet Cover Sets
269,2021-05-05,22411.0,Duvet Cover Sets
270,2021-05-06,19786.0,Duvet Cover Sets
271,2021-05-07,19786.0,Duvet Cover Sets
272,2021-05-08,19940.0,Duvet Cover Sets
273,2021-05-09,13951.0,Duvet Cover Sets
274,2021-05-10,13951.0,Duvet Cover Sets
275,2021-05-11,24053.0,Duvet Cover Sets
276,2021-05-12,24053.0,Duvet Cover Sets
277,2021-05-13,24053.0,Duvet Cover Sets
278,2021-05-14,19444.0,Duvet Cover Sets
279,2021-05-15,26342.0,Duvet Cover Sets
280,2021-05-16,26342.0,Duvet Cover Sets
281,2021-05-17,26342.0,Duvet Cover Sets
282,2021-05-18,26342.0,Duvet Cover Sets
283,2021-05-19,32067.0,Duvet Cover Sets
284,2021-05-20,28255.0,Duvet Cover Sets
285,2021-05-21,28255.0,Duvet Cover Sets
286,2021-05-22,28255.0,Duvet Cover Sets
287,2021-05-23,28255.0,Duvet Cover Sets
288,2021-05-24,37829.0,Duvet Cover Sets
289,2021-05-25,37829.0,Duvet Cover Sets
290,2021-05-26,37829.0,Duvet Cover Sets
291,2021-05-27,22411.0,Duvet Cover Sets
292,2021-05-28,22411.0,Duvet Cover Sets
293,2021-05-29,22411.0,Duvet Cover Sets
294,2021-05-30,22411.0,Duvet Cover Sets
295,2021-05-31,22411.0,Duvet Cover Sets
296,2021-06-01,23469.0,Duvet Cover Sets
297,2021-06-02,23469.0,Duvet Cover Sets
298,2021-06-03,23469.0,Duvet Cover Sets
299,2021-06-04,34818.0,Duvet Cover Sets
300,2021-06-05,34818.0,Duvet Cover Sets
301,2021-06-06,25337.0,Duvet Cover Sets
302,2021-06-07,31836.0,Duvet Cover Sets
303,2021-06-08,29353.0,Duvet Cover Sets
304,2021-06-09,29353.0,Duvet Cover Sets
305,2021-06-10,32169.0,Duvet Cover Sets
306,2021-06-11,32169.0,Duvet Cover Sets
307,2021-06-12,20055.0,Duvet Cover Sets
308,2021-06-13,20055.0,Duvet Cover Sets
309,2021-06-14,20055.0,Duvet Cover Sets
310,2021-06-15,20055.0,Duvet Cover Sets
311,2021-06-16,20055.0,Duvet Cover Sets
312,2021-06-17,35388.0,Duvet Cover Sets
313,2021-06-18,38883.0,Duvet Cover Sets
314,2021-06-19,38883.0,Duvet Cover Sets
315,2021-06-20,38883.0,Duvet Cover Sets
316,2021-06-21,34971.0,Duvet Cover Sets
317,2021-06-22,34971.0,Duvet Cover Sets
318,2021-06-23,34971.0,Duvet Cover Sets
319,2021-06-24,34971.0,Duvet Cover Sets
320,2021-06-25,19818.0,Duvet Cover Sets
321,2021-06-26,19818.0,Duvet Cover Sets
322,2021-06-27,20294.0,Duvet Cover Sets
323,2021-06-28,20294.0,Duvet Cover Sets
324,2021-06-29,20294.0,Duvet Cover Sets
325,2021-06-30,20294.0,Duvet Cover Sets
326,2021-07-01,30434.0,Duvet Cover Sets
327,2021-07-02,46459.0,Duvet Cover Sets
328,2021-07-03,46459.0,Duvet Cover Sets
329,2021-07-04,35421.0,Duvet Cover Sets
330,2021-07-05,37332.0,Duvet Cover Sets
331,2021-07-06,29969.0,Duvet Cover Sets
332,2021-07-07,26763.0,Duvet Cover Sets
333,2021-07-08,26763.0,Duvet Cover Sets
334,2021-07-09,24337.0,Duvet Cover Sets
335,2021-07-10,24337.0,Duvet Cover Sets
336,2021-07-11,21884.0,Duvet Cover Sets
