,date,value,name_B07KBGX7MS
252,2021-02-06,16690.0,Magnesium
253,2021-02-07,16690.0,Magnesium
254,2021-02-08,16690.0,Magnesium
255,2021-02-09,10607.0,Magnesium
256,2021-02-10,10607.0,Magnesium
257,2021-02-11,10607.0,Magnesium
258,2021-02-12,13799.0,Magnesium
259,2021-02-13,13799.0,Magnesium
260,2021-02-14,13799.0,Magnesium
261,2021-02-15,11044.0,Magnesium
262,2021-02-16,11044.0,Magnesium
263,2021-02-17,10530.0,Magnesium
264,2021-02-18,10530.0,Magnesium
265,2021-02-19,10530.0,Magnesium
266,2021-02-20,11926.0,Magnesium
267,2021-02-21,11926.0,Magnesium
268,2021-02-22,11926.0,Magnesium
269,2021-02-23,9690.0,Magnesium
270,2021-02-24,9690.0,Magnesium
271,2021-02-25,9690.0,Magnesium
272,2021-02-26,7952.0,Magnesium
273,2021-02-27,7952.0,Magnesium
274,2021-02-28,7952.0,Magnesium
275,2021-03-01,9309.0,Magnesium
276,2021-03-02,9309.0,Magnesium
277,2021-03-03,9173.0,Magnesium
278,2021-03-04,9173.0,Magnesium
279,2021-03-05,10174.0,Magnesium
280,2021-03-06,10174.0,Magnesium
281,2021-03-07,10174.0,Magnesium
282,2021-03-08,10345.0,Magnesium
283,2021-03-09,10345.0,Magnesium
284,2021-03-10,10345.0,Magnesium
285,2021-03-11,10345.0,Magnesium
286,2021-03-12,8056.0,Magnesium
287,2021-03-13,8056.0,Magnesium
288,2021-03-14,8056.0,Magnesium
289,2021-03-15,8056.0,Magnesium
290,2021-03-16,9243.0,Magnesium
291,2021-03-17,10870.0,Magnesium
292,2021-03-18,10870.0,Magnesium
293,2021-03-19,10870.0,Magnesium
294,2021-03-20,10870.0,Magnesium
295,2021-03-21,10870.0,Magnesium
296,2021-03-22,10870.0,Magnesium
297,2021-03-23,10870.0,Magnesium
298,2021-03-24,10870.0,Magnesium
299,2021-03-25,10870.0,Magnesium
300,2021-03-26,10870.0,Magnesium
301,2021-03-27,10870.0,Magnesium
302,2021-03-28,10870.0,Magnesium
303,2021-03-29,10870.0,Magnesium
304,2021-03-30,10870.0,Magnesium
305,2021-03-31,10870.0,Magnesium
306,2021-04-01,10870.0,Magnesium
307,2021-04-02,10870.0,Magnesium
308,2021-04-03,10870.0,Magnesium
309,2021-04-04,10870.0,Magnesium
310,2021-04-05,10870.0,Magnesium
311,2021-04-06,10870.0,Magnesium
312,2021-04-07,10870.0,Magnesium
313,2021-04-08,10870.0,Magnesium
314,2021-04-09,10870.0,Magnesium
