,date,value,name_B07H23FN77
128,2020-10-03,4247.0,Basic Collars
129,2020-10-04,4294.0,Basic Collars
130,2020-10-05,4294.0,Basic Collars
131,2020-10-06,4294.0,Basic Collars
132,2020-10-07,4275.0,Basic Collars
133,2020-10-08,4275.0,Basic Collars
134,2020-10-09,4275.0,Basic Collars
135,2020-10-10,4275.0,Basic Collars
136,2020-10-11,4514.0,Basic Collars
137,2020-10-12,4514.0,Basic Collars
138,2020-10-13,4514.0,Basic Collars
139,2020-10-14,3768.0,Basic Collars
140,2020-10-15,3353.0,Basic Collars
141,2020-10-16,3353.0,Basic Collars
142,2020-10-17,4064.0,Basic Collars
143,2020-10-18,4064.0,Basic Collars
144,2020-10-19,4064.0,Basic Collars
145,2020-10-20,3357.0,Basic Collars
146,2020-10-21,3357.0,Basic Collars
147,2020-10-22,3357.0,Basic Collars
148,2020-10-23,3357.0,Basic Collars
149,2020-10-24,3865.0,Basic Collars
150,2020-10-25,3865.0,Basic Collars
151,2020-10-26,3685.0,Basic Collars
152,2020-10-27,3715.0,Basic Collars
153,2020-10-28,3715.0,Basic Collars
154,2020-10-29,3903.0,Basic Collars
155,2020-10-30,3903.0,Basic Collars
156,2020-10-31,4191.0,Basic Collars
157,2020-11-01,4191.0,Basic Collars
158,2020-11-02,3197.0,Basic Collars
159,2020-11-03,3197.0,Basic Collars
160,2020-11-04,3197.0,Basic Collars
161,2020-11-05,3197.0,Basic Collars
162,2020-11-06,3279.0,Basic Collars
163,2020-11-07,3279.0,Basic Collars
164,2020-11-08,3279.0,Basic Collars
165,2020-11-09,3435.0,Basic Collars
166,2020-11-10,3337.0,Basic Collars
167,2020-11-11,4333.0,Basic Collars
168,2020-11-12,4333.0,Basic Collars
169,2020-11-13,4333.0,Basic Collars
170,2020-11-14,3497.0,Basic Collars
171,2020-11-15,3749.0,Basic Collars
172,2020-11-16,3749.0,Basic Collars
173,2020-11-17,3749.0,Basic Collars
174,2020-11-18,3415.0,Basic Collars
175,2020-11-19,3551.0,Basic Collars
176,2020-11-20,3551.0,Basic Collars
177,2020-11-21,3551.0,Basic Collars
178,2020-11-22,2749.0,Basic Collars
179,2020-11-23,2749.0,Basic Collars
180,2020-11-24,2749.0,Basic Collars
181,2020-11-25,3400.0,Basic Collars
182,2020-11-26,3727.0,Basic Collars
183,2020-11-27,3727.0,Basic Collars
184,2020-11-28,3088.0,Basic Collars
185,2020-11-29,2515.0,Basic Collars
186,2020-11-30,2515.0,Basic Collars
187,2020-12-01,2274.0,Basic Collars
188,2020-12-02,2274.0,Basic Collars
189,2020-12-03,2274.0,Basic Collars
190,2020-12-04,3970.0,Basic Collars
191,2020-12-05,3337.0,Basic Collars
192,2020-12-06,3337.0,Basic Collars
193,2020-12-07,3692.0,Basic Collars
194,2020-12-08,3692.0,Basic Collars
195,2020-12-09,3525.0,Basic Collars
196,2020-12-10,3608.0,Basic Collars
197,2020-12-11,3618.0,Basic Collars
198,2020-12-12,2896.0,Basic Collars
199,2020-12-13,3032.0,Basic Collars
200,2020-12-14,2984.0,Basic Collars
201,2020-12-15,2958.0,Basic Collars
202,2020-12-16,3661.0,Basic Collars
203,2020-12-17,2881.0,Basic Collars
204,2020-12-18,2838.0,Basic Collars
205,2020-12-19,2838.0,Basic Collars
206,2020-12-20,2783.0,Basic Collars
207,2020-12-21,3038.0,Basic Collars
208,2020-12-22,2542.0,Basic Collars
209,2020-12-23,2563.0,Basic Collars
210,2020-12-24,2870.0,Basic Collars
211,2020-12-25,2968.0,Basic Collars
212,2020-12-26,2647.0,Basic Collars
213,2020-12-27,2840.0,Basic Collars
214,2020-12-28,2823.0,Basic Collars
215,2020-12-29,3032.0,Basic Collars
216,2020-12-30,2493.0,Basic Collars
217,2020-12-31,3218.0,Basic Collars
218,2021-01-01,2933.0,Basic Collars
219,2021-01-02,2660.0,Basic Collars
220,2021-01-03,2313.0,Basic Collars
221,2021-01-04,2888.0,Basic Collars
222,2021-01-05,2501.0,Basic Collars
223,2021-01-06,2730.0,Basic Collars
224,2021-01-07,2542.0,Basic Collars
225,2021-01-08,2652.0,Basic Collars
226,2021-01-09,3038.0,Basic Collars
227,2021-01-10,3474.0,Basic Collars
228,2021-01-11,3474.0,Basic Collars
229,2021-01-12,3474.0,Basic Collars
230,2021-01-13,3474.0,Basic Collars
231,2021-01-14,2638.0,Basic Collars
232,2021-01-15,3274.0,Basic Collars
233,2021-01-16,3274.0,Basic Collars
234,2021-01-17,3274.0,Basic Collars
235,2021-01-18,3339.0,Basic Collars
236,2021-01-19,3339.0,Basic Collars
237,2021-01-20,3858.0,Basic Collars
238,2021-01-21,3858.0,Basic Collars
239,2021-01-22,3858.0,Basic Collars
240,2021-01-23,3858.0,Basic Collars
241,2021-01-24,3759.0,Basic Collars
242,2021-01-25,3759.0,Basic Collars
243,2021-01-26,3728.0,Basic Collars
244,2021-01-27,3555.0,Basic Collars
245,2021-01-28,3596.0,Basic Collars
246,2021-01-29,3596.0,Basic Collars
247,2021-01-30,3218.0,Basic Collars
248,2021-01-31,3218.0,Basic Collars
249,2021-02-01,3218.0,Basic Collars
250,2021-02-02,2645.0,Basic Collars
251,2021-02-03,2687.0,Basic Collars
252,2021-02-04,2687.0,Basic Collars
253,2021-02-05,3287.0,Basic Collars
254,2021-02-06,3287.0,Basic Collars
255,2021-02-07,3155.0,Basic Collars
256,2021-02-08,3155.0,Basic Collars
257,2021-02-09,3212.0,Basic Collars
258,2021-02-10,2600.0,Basic Collars
259,2021-02-11,2600.0,Basic Collars
260,2021-02-12,3460.0,Basic Collars
261,2021-02-13,3372.0,Basic Collars
262,2021-02-14,3372.0,Basic Collars
263,2021-02-15,3372.0,Basic Collars
264,2021-02-16,3181.0,Basic Collars
265,2021-02-17,3181.0,Basic Collars
266,2021-02-18,3181.0,Basic Collars
267,2021-02-19,3214.0,Basic Collars
268,2021-02-20,3752.0,Basic Collars
269,2021-02-21,3752.0,Basic Collars
270,2021-02-22,3526.0,Basic Collars
271,2021-02-23,3497.0,Basic Collars
272,2021-02-24,3497.0,Basic Collars
273,2021-02-25,3183.0,Basic Collars
274,2021-02-26,2890.0,Basic Collars
275,2021-02-27,2890.0,Basic Collars
276,2021-02-28,2890.0,Basic Collars
277,2021-03-01,3654.0,Basic Collars
278,2021-03-02,3944.0,Basic Collars
279,2021-03-03,3259.0,Basic Collars
280,2021-03-04,2995.0,Basic Collars
281,2021-03-05,2995.0,Basic Collars
282,2021-03-06,3530.0,Basic Collars
283,2021-03-07,3530.0,Basic Collars
284,2021-03-08,3530.0,Basic Collars
285,2021-03-09,3403.0,Basic Collars
286,2021-03-10,3514.0,Basic Collars
287,2021-03-11,3514.0,Basic Collars
288,2021-03-12,3735.0,Basic Collars
289,2021-03-13,3735.0,Basic Collars
290,2021-03-14,3735.0,Basic Collars
291,2021-03-15,3735.0,Basic Collars
292,2021-03-16,4278.0,Basic Collars
293,2021-03-17,3498.0,Basic Collars
294,2021-03-18,4088.0,Basic Collars
295,2021-03-19,4088.0,Basic Collars
296,2021-03-20,4205.0,Basic Collars
297,2021-03-21,4202.0,Basic Collars
298,2021-03-22,4202.0,Basic Collars
299,2021-03-23,3229.0,Basic Collars
300,2021-03-24,3229.0,Basic Collars
301,2021-03-25,3229.0,Basic Collars
302,2021-03-26,3229.0,Basic Collars
303,2021-03-27,3742.0,Basic Collars
304,2021-03-28,3437.0,Basic Collars
305,2021-03-29,3437.0,Basic Collars
306,2021-03-30,3437.0,Basic Collars
307,2021-03-31,3627.0,Basic Collars
308,2021-04-01,3627.0,Basic Collars
309,2021-04-02,3774.0,Basic Collars
310,2021-04-03,3774.0,Basic Collars
311,2021-04-04,3774.0,Basic Collars
312,2021-04-05,3828.0,Basic Collars
313,2021-04-06,3828.0,Basic Collars
314,2021-04-07,3828.0,Basic Collars
315,2021-04-08,5048.0,Basic Collars
316,2021-04-09,5048.0,Basic Collars
317,2021-04-10,4355.0,Basic Collars
318,2021-04-11,4355.0,Basic Collars
319,2021-04-12,3912.0,Basic Collars
320,2021-04-13,3912.0,Basic Collars
321,2021-04-14,3455.0,Basic Collars
322,2021-04-15,3455.0,Basic Collars
323,2021-04-16,3889.0,Basic Collars
324,2021-04-17,3889.0,Basic Collars
325,2021-04-18,3889.0,Basic Collars
326,2021-04-19,4561.0,Basic Collars
327,2021-04-20,4561.0,Basic Collars
328,2021-04-21,4415.0,Basic Collars
329,2021-04-22,4415.0,Basic Collars
330,2021-04-23,3884.0,Basic Collars
331,2021-04-24,3884.0,Basic Collars
332,2021-04-25,3877.0,Basic Collars
333,2021-04-26,3877.0,Basic Collars
334,2021-04-27,3877.0,Basic Collars
335,2021-04-28,4349.0,Basic Collars
336,2021-04-29,3470.0,Basic Collars
337,2021-04-30,3470.0,Basic Collars
338,2021-05-01,3866.0,Basic Collars
339,2021-05-02,3991.0,Basic Collars
340,2021-05-03,3991.0,Basic Collars
341,2021-05-04,3991.0,Basic Collars
342,2021-05-05,4504.0,Basic Collars
343,2021-05-06,4504.0,Basic Collars
344,2021-05-07,4524.0,Basic Collars
345,2021-05-08,4328.0,Basic Collars
346,2021-05-09,3929.0,Basic Collars
347,2021-05-10,4264.0,Basic Collars
348,2021-05-11,5203.0,Basic Collars
349,2021-05-12,3649.0,Basic Collars
350,2021-05-13,3699.0,Basic Collars
351,2021-05-14,4191.0,Basic Collars
352,2021-05-15,3532.0,Basic Collars
353,2021-05-16,3532.0,Basic Collars
354,2021-05-17,3500.0,Basic Collars
355,2021-05-18,3500.0,Basic Collars
356,2021-05-19,4304.0,Basic Collars
357,2021-05-20,4134.0,Basic Collars
358,2021-05-21,4134.0,Basic Collars
359,2021-05-22,4134.0,Basic Collars
360,2021-05-23,4301.0,Basic Collars
361,2021-05-24,4336.0,Basic Collars
362,2021-05-25,4336.0,Basic Collars
363,2021-05-26,4533.0,Basic Collars
364,2021-05-27,4533.0,Basic Collars
365,2021-05-28,3642.0,Basic Collars
366,2021-05-29,3642.0,Basic Collars
367,2021-05-30,3642.0,Basic Collars
368,2021-05-31,4117.0,Basic Collars
