,date,value,name_B088FJCP9Y
189,2020-12-17,257.0,Personal Video Players & Accessories
190,2020-12-18,245.0,Personal Video Players & Accessories
191,2020-12-19,245.0,Personal Video Players & Accessories
192,2020-12-20,382.0,Personal Video Players & Accessories
193,2020-12-21,505.0,Personal Video Players & Accessories
194,2020-12-22,505.0,Personal Video Players & Accessories
195,2020-12-23,505.0,Personal Video Players & Accessories
196,2020-12-24,536.0,Personal Video Players & Accessories
197,2020-12-25,536.0,Personal Video Players & Accessories
198,2020-12-26,535.0,Personal Video Players & Accessories
199,2020-12-27,535.0,Personal Video Players & Accessories
200,2020-12-28,854.0,Personal Video Players & Accessories
201,2020-12-29,854.0,Personal Video Players & Accessories
202,2020-12-30,854.0,Personal Video Players & Accessories
203,2020-12-31,865.0,Personal Video Players & Accessories
204,2021-01-01,865.0,Personal Video Players & Accessories
205,2021-01-02,974.0,Personal Video Players & Accessories
206,2021-01-03,914.0,Personal Video Players & Accessories
207,2021-01-04,660.0,Personal Video Players & Accessories
208,2021-01-05,660.0,Personal Video Players & Accessories
209,2021-01-06,812.0,Personal Video Players & Accessories
210,2021-01-07,812.0,Personal Video Players & Accessories
211,2021-01-08,923.0,Personal Video Players & Accessories
212,2021-01-09,923.0,Personal Video Players & Accessories
213,2021-01-10,923.0,Personal Video Players & Accessories
214,2021-01-11,977.0,Personal Video Players & Accessories
215,2021-01-12,656.0,Personal Video Players & Accessories
216,2021-01-13,628.0,Personal Video Players & Accessories
217,2021-01-14,508.0,Personal Video Players & Accessories
218,2021-01-15,508.0,Personal Video Players & Accessories
219,2021-01-16,508.0,Personal Video Players & Accessories
220,2021-01-17,444.0,Personal Video Players & Accessories
221,2021-01-18,444.0,Personal Video Players & Accessories
222,2021-01-19,757.0,Personal Video Players & Accessories
223,2021-01-20,757.0,Personal Video Players & Accessories
224,2021-01-21,757.0,Personal Video Players & Accessories
225,2021-01-22,1047.0,Personal Video Players & Accessories
226,2021-01-23,1047.0,Personal Video Players & Accessories
227,2021-01-24,1047.0,Personal Video Players & Accessories
228,2021-01-25,759.0,Personal Video Players & Accessories
229,2021-01-26,759.0,Personal Video Players & Accessories
230,2021-01-27,1082.0,Personal Video Players & Accessories
231,2021-01-28,1082.0,Personal Video Players & Accessories
232,2021-01-29,1375.0,Personal Video Players & Accessories
233,2021-01-30,1375.0,Personal Video Players & Accessories
234,2021-01-31,1435.0,Personal Video Players & Accessories
235,2021-02-01,1201.0,Personal Video Players & Accessories
236,2021-02-02,1201.0,Personal Video Players & Accessories
237,2021-02-03,1655.0,Personal Video Players & Accessories
238,2021-02-04,1527.0,Personal Video Players & Accessories
239,2021-02-05,1527.0,Personal Video Players & Accessories
240,2021-02-06,1527.0,Personal Video Players & Accessories
241,2021-02-07,1677.0,Personal Video Players & Accessories
242,2021-02-08,1677.0,Personal Video Players & Accessories
243,2021-02-09,1685.0,Personal Video Players & Accessories
244,2021-02-10,1685.0,Personal Video Players & Accessories
245,2021-02-11,1685.0,Personal Video Players & Accessories
246,2021-02-12,1685.0,Personal Video Players & Accessories
247,2021-02-13,1685.0,Personal Video Players & Accessories
248,2021-02-14,1685.0,Personal Video Players & Accessories
249,2021-02-15,1685.0,Personal Video Players & Accessories
250,2021-02-16,1685.0,Personal Video Players & Accessories
251,2021-02-17,14281.0,Personal Video Players & Accessories
252,2021-02-18,14281.0,Personal Video Players & Accessories
253,2021-02-19,4199.0,Personal Video Players & Accessories
254,2021-02-20,4199.0,Personal Video Players & Accessories
255,2021-02-21,4199.0,Personal Video Players & Accessories
256,2021-02-22,2306.0,Personal Video Players & Accessories
257,2021-02-23,2353.0,Personal Video Players & Accessories
258,2021-02-24,2547.0,Personal Video Players & Accessories
259,2021-02-25,2547.0,Personal Video Players & Accessories
260,2021-02-26,2547.0,Personal Video Players & Accessories
261,2021-02-27,2547.0,Personal Video Players & Accessories
262,2021-02-28,2547.0,Personal Video Players & Accessories
263,2021-03-01,2547.0,Personal Video Players & Accessories
264,2021-03-02,9707.0,Personal Video Players & Accessories
265,2021-03-03,9707.0,Personal Video Players & Accessories
266,2021-03-04,9707.0,Personal Video Players & Accessories
267,2021-03-05,9707.0,Personal Video Players & Accessories
268,2021-03-06,9707.0,Personal Video Players & Accessories
269,2021-03-07,7946.0,Personal Video Players & Accessories
270,2021-03-08,6355.0,Personal Video Players & Accessories
271,2021-03-09,3992.0,Personal Video Players & Accessories
272,2021-03-10,3992.0,Personal Video Players & Accessories
273,2021-03-11,4159.0,Personal Video Players & Accessories
274,2021-03-12,3021.0,Personal Video Players & Accessories
275,2021-03-13,3021.0,Personal Video Players & Accessories
276,2021-03-14,1851.0,Personal Video Players & Accessories
277,2021-03-15,1431.0,Personal Video Players & Accessories
278,2021-03-16,1282.0,Personal Video Players & Accessories
279,2021-03-17,1282.0,Personal Video Players & Accessories
280,2021-03-18,1282.0,Personal Video Players & Accessories
281,2021-03-19,1490.0,Personal Video Players & Accessories
282,2021-03-20,1490.0,Personal Video Players & Accessories
283,2021-03-21,1490.0,Personal Video Players & Accessories
284,2021-03-22,1538.0,Personal Video Players & Accessories
285,2021-03-23,1538.0,Personal Video Players & Accessories
286,2021-03-24,837.0,Personal Video Players & Accessories
287,2021-03-25,900.0,Personal Video Players & Accessories
288,2021-03-26,887.0,Personal Video Players & Accessories
289,2021-03-27,887.0,Personal Video Players & Accessories
290,2021-03-28,986.0,Personal Video Players & Accessories
291,2021-03-29,986.0,Personal Video Players & Accessories
292,2021-03-30,955.0,Personal Video Players & Accessories
293,2021-03-31,1090.0,Personal Video Players & Accessories
294,2021-04-01,1195.0,Personal Video Players & Accessories
295,2021-04-02,1029.0,Personal Video Players & Accessories
296,2021-04-03,967.0,Personal Video Players & Accessories
297,2021-04-04,1060.0,Personal Video Players & Accessories
298,2021-04-05,989.0,Personal Video Players & Accessories
299,2021-04-06,929.0,Personal Video Players & Accessories
300,2021-04-07,851.0,Personal Video Players & Accessories
301,2021-04-08,950.0,Personal Video Players & Accessories
302,2021-04-09,950.0,Personal Video Players & Accessories
303,2021-04-10,888.0,Personal Video Players & Accessories
304,2021-04-11,1131.0,Personal Video Players & Accessories
305,2021-04-12,1131.0,Personal Video Players & Accessories
306,2021-04-13,724.0,Personal Video Players & Accessories
307,2021-04-14,620.0,Personal Video Players & Accessories
308,2021-04-15,668.0,Personal Video Players & Accessories
309,2021-04-16,756.0,Personal Video Players & Accessories
310,2021-04-17,756.0,Personal Video Players & Accessories
311,2021-04-18,757.0,Personal Video Players & Accessories
312,2021-04-19,757.0,Personal Video Players & Accessories
313,2021-04-20,929.0,Personal Video Players & Accessories
314,2021-04-21,929.0,Personal Video Players & Accessories
315,2021-04-22,929.0,Personal Video Players & Accessories
316,2021-04-23,984.0,Personal Video Players & Accessories
317,2021-04-24,1072.0,Personal Video Players & Accessories
318,2021-04-25,1181.0,Personal Video Players & Accessories
319,2021-04-26,1156.0,Personal Video Players & Accessories
320,2021-04-27,778.0,Personal Video Players & Accessories
321,2021-04-28,729.0,Personal Video Players & Accessories
322,2021-04-29,640.0,Personal Video Players & Accessories
323,2021-04-30,694.0,Personal Video Players & Accessories
324,2021-05-01,714.0,Personal Video Players & Accessories
325,2021-05-02,699.0,Personal Video Players & Accessories
326,2021-05-03,649.0,Personal Video Players & Accessories
327,2021-05-04,809.0,Personal Video Players & Accessories
328,2021-05-05,787.0,Personal Video Players & Accessories
329,2021-05-06,787.0,Personal Video Players & Accessories
330,2021-05-07,1040.0,Personal Video Players & Accessories
331,2021-05-08,1040.0,Personal Video Players & Accessories
332,2021-05-09,1001.0,Personal Video Players & Accessories
333,2021-05-10,917.0,Personal Video Players & Accessories
334,2021-05-11,917.0,Personal Video Players & Accessories
335,2021-05-12,979.0,Personal Video Players & Accessories
336,2021-05-13,846.0,Personal Video Players & Accessories
337,2021-05-14,846.0,Personal Video Players & Accessories
338,2021-05-15,952.0,Personal Video Players & Accessories
339,2021-05-16,952.0,Personal Video Players & Accessories
340,2021-05-17,1062.0,Personal Video Players & Accessories
341,2021-05-18,1062.0,Personal Video Players & Accessories
342,2021-05-19,860.0,Personal Video Players & Accessories
343,2021-05-20,829.0,Personal Video Players & Accessories
344,2021-05-21,829.0,Personal Video Players & Accessories
345,2021-05-22,936.0,Personal Video Players & Accessories
346,2021-05-23,1028.0,Personal Video Players & Accessories
347,2021-05-24,1241.0,Personal Video Players & Accessories
348,2021-05-25,1241.0,Personal Video Players & Accessories
349,2021-05-26,1184.0,Personal Video Players & Accessories
350,2021-05-27,1074.0,Personal Video Players & Accessories
351,2021-05-28,1074.0,Personal Video Players & Accessories
