,date,value,name_B07RMHL5K7
67,2020-07-28,1150.0,Plush Pillows
68,2020-07-29,979.0,Plush Pillows
69,2020-07-30,1180.0,Plush Pillows
70,2020-07-31,1180.0,Plush Pillows
71,2020-08-01,1180.0,Plush Pillows
72,2020-08-02,960.0,Plush Pillows
73,2020-08-03,993.0,Plush Pillows
74,2020-08-04,1076.0,Plush Pillows
75,2020-08-05,1000.0,Plush Pillows
76,2020-08-06,966.0,Plush Pillows
77,2020-08-07,866.0,Plush Pillows
78,2020-08-08,648.0,Plush Pillows
79,2020-08-09,773.0,Plush Pillows
80,2020-08-10,996.0,Plush Pillows
81,2020-08-11,996.0,Plush Pillows
82,2020-08-12,803.0,Plush Pillows
83,2020-08-13,714.0,Plush Pillows
84,2020-08-14,990.0,Plush Pillows
85,2020-08-15,680.0,Plush Pillows
86,2020-08-16,680.0,Plush Pillows
87,2020-08-17,935.0,Plush Pillows
88,2020-08-18,935.0,Plush Pillows
89,2020-08-19,935.0,Plush Pillows
90,2020-08-20,1190.0,Plush Pillows
91,2020-08-21,1010.0,Plush Pillows
92,2020-08-22,1010.0,Plush Pillows
93,2020-08-23,1103.0,Plush Pillows
94,2020-08-24,888.0,Plush Pillows
95,2020-08-25,673.0,Plush Pillows
96,2020-08-26,673.0,Plush Pillows
97,2020-08-27,673.0,Plush Pillows
98,2020-08-28,1045.0,Plush Pillows
99,2020-08-29,1045.0,Plush Pillows
100,2020-08-30,789.0,Plush Pillows
101,2020-08-31,779.0,Plush Pillows
102,2020-09-01,779.0,Plush Pillows
103,2020-09-02,779.0,Plush Pillows
104,2020-09-03,799.0,Plush Pillows
105,2020-09-04,699.0,Plush Pillows
106,2020-09-05,781.0,Plush Pillows
107,2020-09-06,755.0,Plush Pillows
108,2020-09-07,618.0,Plush Pillows
109,2020-09-08,670.0,Plush Pillows
110,2020-09-09,630.0,Plush Pillows
111,2020-09-10,670.0,Plush Pillows
112,2020-09-11,762.0,Plush Pillows
113,2020-09-12,611.0,Plush Pillows
114,2020-09-13,564.0,Plush Pillows
115,2020-09-14,767.0,Plush Pillows
116,2020-09-15,767.0,Plush Pillows
117,2020-09-16,715.0,Plush Pillows
118,2020-09-17,948.0,Plush Pillows
119,2020-09-18,913.0,Plush Pillows
120,2020-09-19,927.0,Plush Pillows
121,2020-09-20,761.0,Plush Pillows
122,2020-09-21,817.0,Plush Pillows
123,2020-09-22,817.0,Plush Pillows
124,2020-09-23,817.0,Plush Pillows
125,2020-09-24,904.0,Plush Pillows
126,2020-09-25,614.0,Plush Pillows
127,2020-09-26,687.0,Plush Pillows
128,2020-09-27,687.0,Plush Pillows
129,2020-09-28,1082.0,Plush Pillows
130,2020-09-29,1095.0,Plush Pillows
131,2020-09-30,1014.0,Plush Pillows
132,2020-10-01,987.0,Plush Pillows
133,2020-10-02,1000.0,Plush Pillows
134,2020-10-03,1164.0,Plush Pillows
135,2020-10-04,876.0,Plush Pillows
136,2020-10-05,1035.0,Plush Pillows
137,2020-10-06,1324.0,Plush Pillows
138,2020-10-07,1093.0,Plush Pillows
139,2020-10-08,838.0,Plush Pillows
140,2020-10-09,1194.0,Plush Pillows
141,2020-10-10,938.0,Plush Pillows
142,2020-10-11,938.0,Plush Pillows
143,2020-10-12,1154.0,Plush Pillows
144,2020-10-13,1177.0,Plush Pillows
145,2020-10-14,1394.0,Plush Pillows
146,2020-10-15,1215.0,Plush Pillows
147,2020-10-16,958.0,Plush Pillows
148,2020-10-17,919.0,Plush Pillows
149,2020-10-18,900.0,Plush Pillows
150,2020-10-19,1038.0,Plush Pillows
151,2020-10-20,1550.0,Plush Pillows
152,2020-10-21,1572.0,Plush Pillows
153,2020-10-22,1357.0,Plush Pillows
154,2020-10-23,1357.0,Plush Pillows
155,2020-10-24,1498.0,Plush Pillows
156,2020-10-25,1498.0,Plush Pillows
157,2020-10-26,1762.0,Plush Pillows
158,2020-10-27,1976.0,Plush Pillows
159,2020-10-28,1976.0,Plush Pillows
160,2020-10-29,1764.0,Plush Pillows
161,2020-10-30,1764.0,Plush Pillows
162,2020-10-31,1296.0,Plush Pillows
163,2020-11-01,1236.0,Plush Pillows
164,2020-11-02,1699.0,Plush Pillows
165,2020-11-03,1771.0,Plush Pillows
166,2020-11-04,1427.0,Plush Pillows
167,2020-11-05,957.0,Plush Pillows
168,2020-11-06,1103.0,Plush Pillows
169,2020-11-07,1103.0,Plush Pillows
170,2020-11-08,1134.0,Plush Pillows
171,2020-11-09,1382.0,Plush Pillows
172,2020-11-10,959.0,Plush Pillows
173,2020-11-11,1370.0,Plush Pillows
174,2020-11-12,1289.0,Plush Pillows
175,2020-11-13,1370.0,Plush Pillows
176,2020-11-14,1303.0,Plush Pillows
177,2020-11-15,1300.0,Plush Pillows
178,2020-11-16,1334.0,Plush Pillows
179,2020-11-17,1238.0,Plush Pillows
180,2020-11-18,1292.0,Plush Pillows
181,2020-11-19,1292.0,Plush Pillows
182,2020-11-20,1201.0,Plush Pillows
183,2020-11-21,1276.0,Plush Pillows
184,2020-11-22,1180.0,Plush Pillows
185,2020-11-23,1062.0,Plush Pillows
186,2020-11-24,1103.0,Plush Pillows
187,2020-11-25,1764.0,Plush Pillows
188,2020-11-26,1606.0,Plush Pillows
189,2020-11-27,1349.0,Plush Pillows
190,2020-11-28,645.0,Plush Pillows
191,2020-11-29,645.0,Plush Pillows
192,2020-11-30,769.0,Plush Pillows
193,2020-12-01,1216.0,Plush Pillows
194,2020-12-02,1046.0,Plush Pillows
195,2020-12-03,1046.0,Plush Pillows
196,2020-12-04,1046.0,Plush Pillows
197,2020-12-05,1078.0,Plush Pillows
198,2020-12-06,1078.0,Plush Pillows
199,2020-12-07,1078.0,Plush Pillows
200,2020-12-08,2036.0,Plush Pillows
201,2020-12-09,2258.0,Plush Pillows
202,2020-12-10,2046.0,Plush Pillows
203,2020-12-11,1873.0,Plush Pillows
204,2020-12-12,1975.0,Plush Pillows
205,2020-12-13,3106.0,Plush Pillows
206,2020-12-14,2976.0,Plush Pillows
207,2020-12-15,2833.0,Plush Pillows
208,2020-12-16,1969.0,Plush Pillows
209,2020-12-17,2068.0,Plush Pillows
210,2020-12-18,2343.0,Plush Pillows
211,2020-12-19,2343.0,Plush Pillows
212,2020-12-20,2191.0,Plush Pillows
213,2020-12-21,2400.0,Plush Pillows
214,2020-12-22,1832.0,Plush Pillows
215,2020-12-23,1610.0,Plush Pillows
216,2020-12-24,838.0,Plush Pillows
217,2020-12-25,838.0,Plush Pillows
218,2020-12-26,838.0,Plush Pillows
219,2020-12-27,737.0,Plush Pillows
220,2020-12-28,1134.0,Plush Pillows
221,2020-12-29,1134.0,Plush Pillows
222,2020-12-30,1259.0,Plush Pillows
223,2020-12-31,1259.0,Plush Pillows
224,2021-01-01,1259.0,Plush Pillows
225,2021-01-02,1259.0,Plush Pillows
226,2021-01-03,1595.0,Plush Pillows
227,2021-01-04,1745.0,Plush Pillows
228,2021-01-05,1258.0,Plush Pillows
229,2021-01-06,1230.0,Plush Pillows
230,2021-01-07,1293.0,Plush Pillows
231,2021-01-08,962.0,Plush Pillows
232,2021-01-09,921.0,Plush Pillows
233,2021-01-10,789.0,Plush Pillows
234,2021-01-11,789.0,Plush Pillows
235,2021-01-12,595.0,Plush Pillows
236,2021-01-13,589.0,Plush Pillows
237,2021-01-14,494.0,Plush Pillows
238,2021-01-15,516.0,Plush Pillows
239,2021-01-16,439.0,Plush Pillows
240,2021-01-17,439.0,Plush Pillows
241,2021-01-18,539.0,Plush Pillows
242,2021-01-19,539.0,Plush Pillows
243,2021-01-20,539.0,Plush Pillows
244,2021-01-21,458.0,Plush Pillows
245,2021-01-22,405.0,Plush Pillows
246,2021-01-23,354.0,Plush Pillows
247,2021-01-24,363.0,Plush Pillows
248,2021-01-25,304.0,Plush Pillows
249,2021-01-26,304.0,Plush Pillows
250,2021-01-27,463.0,Plush Pillows
251,2021-01-28,413.0,Plush Pillows
252,2021-01-29,396.0,Plush Pillows
253,2021-01-30,396.0,Plush Pillows
254,2021-01-31,396.0,Plush Pillows
255,2021-02-01,354.0,Plush Pillows
256,2021-02-02,221.0,Plush Pillows
257,2021-02-03,194.0,Plush Pillows
258,2021-02-04,111.0,Plush Pillows
259,2021-02-05,105.0,Plush Pillows
260,2021-02-06,122.0,Plush Pillows
261,2021-02-07,96.0,Plush Pillows
262,2021-02-08,90.0,Plush Pillows
263,2021-02-09,44.0,Plush Pillows
264,2021-02-10,72.0,Plush Pillows
265,2021-02-11,61.0,Plush Pillows
266,2021-02-12,55.0,Plush Pillows
267,2021-02-13,55.0,Plush Pillows
268,2021-02-14,122.0,Plush Pillows
269,2021-02-15,114.0,Plush Pillows
270,2021-02-16,149.0,Plush Pillows
271,2021-02-17,252.0,Plush Pillows
272,2021-02-18,252.0,Plush Pillows
273,2021-02-19,304.0,Plush Pillows
274,2021-02-20,337.0,Plush Pillows
275,2021-02-21,380.0,Plush Pillows
276,2021-02-22,314.0,Plush Pillows
277,2021-02-23,342.0,Plush Pillows
278,2021-02-24,390.0,Plush Pillows
279,2021-02-25,367.0,Plush Pillows
280,2021-02-26,367.0,Plush Pillows
281,2021-02-27,437.0,Plush Pillows
282,2021-02-28,315.0,Plush Pillows
283,2021-03-01,510.0,Plush Pillows
284,2021-03-02,402.0,Plush Pillows
285,2021-03-03,579.0,Plush Pillows
286,2021-03-04,530.0,Plush Pillows
287,2021-03-05,372.0,Plush Pillows
288,2021-03-06,352.0,Plush Pillows
289,2021-03-07,615.0,Plush Pillows
290,2021-03-08,519.0,Plush Pillows
291,2021-03-09,681.0,Plush Pillows
292,2021-03-10,657.0,Plush Pillows
293,2021-03-11,499.0,Plush Pillows
294,2021-03-12,617.0,Plush Pillows
295,2021-03-13,617.0,Plush Pillows
296,2021-03-14,499.0,Plush Pillows
297,2021-03-15,504.0,Plush Pillows
298,2021-03-16,424.0,Plush Pillows
299,2021-03-17,424.0,Plush Pillows
300,2021-03-18,424.0,Plush Pillows
301,2021-03-19,363.0,Plush Pillows
302,2021-03-20,363.0,Plush Pillows
303,2021-03-21,363.0,Plush Pillows
304,2021-03-22,435.0,Plush Pillows
305,2021-03-23,507.0,Plush Pillows
306,2021-03-24,504.0,Plush Pillows
307,2021-03-25,424.0,Plush Pillows
308,2021-03-26,424.0,Plush Pillows
309,2021-03-27,515.0,Plush Pillows
310,2021-03-28,697.0,Plush Pillows
311,2021-03-29,473.0,Plush Pillows
312,2021-03-30,544.0,Plush Pillows
313,2021-03-31,602.0,Plush Pillows
314,2021-04-01,480.0,Plush Pillows
315,2021-04-02,451.0,Plush Pillows
316,2021-04-03,451.0,Plush Pillows
317,2021-04-04,451.0,Plush Pillows
318,2021-04-05,387.0,Plush Pillows
319,2021-04-06,387.0,Plush Pillows
320,2021-04-07,548.0,Plush Pillows
321,2021-04-08,548.0,Plush Pillows
322,2021-04-09,427.0,Plush Pillows
323,2021-04-10,427.0,Plush Pillows
324,2021-04-11,422.0,Plush Pillows
325,2021-04-12,422.0,Plush Pillows
326,2021-04-13,511.0,Plush Pillows
327,2021-04-14,511.0,Plush Pillows
328,2021-04-15,511.0,Plush Pillows
329,2021-04-16,425.0,Plush Pillows
330,2021-04-17,438.0,Plush Pillows
331,2021-04-18,438.0,Plush Pillows
332,2021-04-19,462.0,Plush Pillows
333,2021-04-20,454.0,Plush Pillows
334,2021-04-21,355.0,Plush Pillows
335,2021-04-22,355.0,Plush Pillows
336,2021-04-23,420.0,Plush Pillows
337,2021-04-24,439.0,Plush Pillows
338,2021-04-25,421.0,Plush Pillows
339,2021-04-26,420.0,Plush Pillows
340,2021-04-27,337.0,Plush Pillows
341,2021-04-28,380.0,Plush Pillows
342,2021-04-29,432.0,Plush Pillows
343,2021-04-30,429.0,Plush Pillows
344,2021-05-01,382.0,Plush Pillows
345,2021-05-02,386.0,Plush Pillows
346,2021-05-03,378.0,Plush Pillows
347,2021-05-04,316.0,Plush Pillows
348,2021-05-05,372.0,Plush Pillows
349,2021-05-06,383.0,Plush Pillows
350,2021-05-07,383.0,Plush Pillows
351,2021-05-08,354.0,Plush Pillows
352,2021-05-09,214.0,Plush Pillows
353,2021-05-10,240.0,Plush Pillows
354,2021-05-11,370.0,Plush Pillows
355,2021-05-12,370.0,Plush Pillows
356,2021-05-13,481.0,Plush Pillows
357,2021-05-14,481.0,Plush Pillows
358,2021-05-15,368.0,Plush Pillows
359,2021-05-16,368.0,Plush Pillows
360,2021-05-17,457.0,Plush Pillows
361,2021-05-18,552.0,Plush Pillows
362,2021-05-19,552.0,Plush Pillows
363,2021-05-20,475.0,Plush Pillows
364,2021-05-21,475.0,Plush Pillows
365,2021-05-22,651.0,Plush Pillows
366,2021-05-23,854.0,Plush Pillows
367,2021-05-24,873.0,Plush Pillows
368,2021-05-25,782.0,Plush Pillows
369,2021-05-26,782.0,Plush Pillows
370,2021-05-27,795.0,Plush Pillows
371,2021-05-28,795.0,Plush Pillows
372,2021-05-29,637.0,Plush Pillows
373,2021-05-30,637.0,Plush Pillows
374,2021-05-31,638.0,Plush Pillows
375,2021-06-01,638.0,Plush Pillows
376,2021-06-02,508.0,Plush Pillows
377,2021-06-03,447.0,Plush Pillows
378,2021-06-04,447.0,Plush Pillows
379,2021-06-05,711.0,Plush Pillows
380,2021-06-06,711.0,Plush Pillows
381,2021-06-07,711.0,Plush Pillows
382,2021-06-08,738.0,Plush Pillows
383,2021-06-09,738.0,Plush Pillows
384,2021-06-10,634.0,Plush Pillows
385,2021-06-11,634.0,Plush Pillows
386,2021-06-12,576.0,Plush Pillows
387,2021-06-13,576.0,Plush Pillows
388,2021-06-14,699.0,Plush Pillows
389,2021-06-15,699.0,Plush Pillows
390,2021-06-16,562.0,Plush Pillows
391,2021-06-17,562.0,Plush Pillows
392,2021-06-18,791.0,Plush Pillows
393,2021-06-19,660.0,Plush Pillows
394,2021-06-20,660.0,Plush Pillows
395,2021-06-21,591.0,Plush Pillows
396,2021-06-22,905.0,Plush Pillows
397,2021-06-23,951.0,Plush Pillows
398,2021-06-24,653.0,Plush Pillows
399,2021-06-25,477.0,Plush Pillows
400,2021-06-26,477.0,Plush Pillows
401,2021-06-27,477.0,Plush Pillows
402,2021-06-28,631.0,Plush Pillows
403,2021-06-29,443.0,Plush Pillows
404,2021-06-30,588.0,Plush Pillows
405,2021-07-01,512.0,Plush Pillows
406,2021-07-02,492.0,Plush Pillows
407,2021-07-03,495.0,Plush Pillows
408,2021-07-04,495.0,Plush Pillows
409,2021-07-05,367.0,Plush Pillows
410,2021-07-06,655.0,Plush Pillows
411,2021-07-07,675.0,Plush Pillows
412,2021-07-08,637.0,Plush Pillows
413,2021-07-09,592.0,Plush Pillows
414,2021-07-10,379.0,Plush Pillows
415,2021-07-11,433.0,Plush Pillows
