,date,value,name_B08CZFMQ6M
128,2020-11-26,18536.0,Swings
129,2020-11-27,18536.0,Swings
130,2020-11-28,18536.0,Swings
131,2020-11-29,18536.0,Swings
132,2020-11-30,22304.0,Swings
133,2020-12-01,29572.0,Swings
134,2020-12-02,29572.0,Swings
135,2020-12-03,43892.0,Swings
136,2020-12-04,43892.0,Swings
137,2020-12-05,43892.0,Swings
138,2020-12-06,43892.0,Swings
139,2020-12-07,43892.0,Swings
140,2020-12-08,43892.0,Swings
141,2020-12-09,119036.0,Swings
142,2020-12-10,119036.0,Swings
143,2020-12-11,80973.0,Swings
144,2020-12-12,80973.0,Swings
145,2020-12-13,65060.0,Swings
146,2020-12-14,65060.0,Swings
147,2020-12-15,65060.0,Swings
148,2020-12-16,65060.0,Swings
149,2020-12-17,65060.0,Swings
150,2020-12-18,65060.0,Swings
151,2020-12-19,65060.0,Swings
152,2020-12-20,65060.0,Swings
153,2020-12-21,65060.0,Swings
154,2020-12-22,65060.0,Swings
155,2020-12-23,65060.0,Swings
156,2020-12-24,65060.0,Swings
157,2020-12-25,111199.0,Swings
158,2020-12-26,111199.0,Swings
159,2020-12-27,111199.0,Swings
160,2020-12-28,111199.0,Swings
161,2020-12-29,73210.0,Swings
162,2020-12-30,73210.0,Swings
163,2020-12-31,73210.0,Swings
164,2021-01-01,73210.0,Swings
165,2021-01-02,73210.0,Swings
166,2021-01-03,73210.0,Swings
167,2021-01-04,73210.0,Swings
168,2021-01-05,73210.0,Swings
169,2021-01-06,149198.0,Swings
170,2021-01-07,149198.0,Swings
171,2021-01-08,149198.0,Swings
172,2021-01-09,149198.0,Swings
173,2021-01-10,149198.0,Swings
174,2021-01-11,149198.0,Swings
175,2021-01-12,76599.0,Swings
176,2021-01-13,76599.0,Swings
177,2021-01-14,76599.0,Swings
178,2021-01-15,65208.0,Swings
179,2021-01-16,65208.0,Swings
180,2021-01-17,65208.0,Swings
181,2021-01-18,65208.0,Swings
182,2021-01-19,65208.0,Swings
183,2021-01-20,65208.0,Swings
184,2021-01-21,35246.0,Swings
185,2021-01-22,35246.0,Swings
186,2021-01-23,35246.0,Swings
187,2021-01-24,35246.0,Swings
188,2021-01-25,17361.0,Swings
189,2021-01-26,17361.0,Swings
190,2021-01-27,18948.0,Swings
191,2021-01-28,24425.0,Swings
192,2021-01-29,24425.0,Swings
193,2021-01-30,24425.0,Swings
194,2021-01-31,24425.0,Swings
195,2021-02-01,13907.0,Swings
196,2021-02-02,13907.0,Swings
197,2021-02-03,13907.0,Swings
198,2021-02-04,13907.0,Swings
199,2021-02-05,26534.0,Swings
200,2021-02-06,26534.0,Swings
201,2021-02-07,26534.0,Swings
202,2021-02-08,26534.0,Swings
203,2021-02-09,26534.0,Swings
204,2021-02-10,23915.0,Swings
205,2021-02-11,23915.0,Swings
206,2021-02-12,23915.0,Swings
207,2021-02-13,20143.0,Swings
208,2021-02-14,20143.0,Swings
209,2021-02-15,20143.0,Swings
210,2021-02-16,30178.0,Swings
211,2021-02-17,30178.0,Swings
212,2021-02-18,30178.0,Swings
213,2021-02-19,30178.0,Swings
214,2021-02-20,30178.0,Swings
215,2021-02-21,30178.0,Swings
216,2021-02-22,26334.0,Swings
217,2021-02-23,26334.0,Swings
218,2021-02-24,26334.0,Swings
219,2021-02-25,26334.0,Swings
220,2021-02-26,17348.0,Swings
221,2021-02-27,17348.0,Swings
222,2021-02-28,17348.0,Swings
223,2021-03-01,13799.0,Swings
224,2021-03-02,13799.0,Swings
225,2021-03-03,24359.0,Swings
226,2021-03-04,24359.0,Swings
227,2021-03-05,14017.0,Swings
228,2021-03-06,14017.0,Swings
229,2021-03-07,9766.0,Swings
230,2021-03-08,9766.0,Swings
231,2021-03-09,7045.0,Swings
232,2021-03-10,7045.0,Swings
233,2021-03-11,7045.0,Swings
234,2021-03-12,7045.0,Swings
235,2021-03-13,5010.0,Swings
236,2021-03-14,5010.0,Swings
237,2021-03-15,5762.0,Swings
238,2021-03-16,6491.0,Swings
239,2021-03-17,6491.0,Swings
240,2021-03-18,6491.0,Swings
241,2021-03-19,6491.0,Swings
242,2021-03-20,6491.0,Swings
243,2021-03-21,5060.0,Swings
244,2021-03-22,5060.0,Swings
245,2021-03-23,4053.0,Swings
246,2021-03-24,4053.0,Swings
247,2021-03-25,5840.0,Swings
248,2021-03-26,5840.0,Swings
249,2021-03-27,6084.0,Swings
250,2021-03-28,6084.0,Swings
251,2021-03-29,6084.0,Swings
252,2021-03-30,10357.0,Swings
253,2021-03-31,10357.0,Swings
254,2021-04-01,10357.0,Swings
255,2021-04-02,10357.0,Swings
256,2021-04-03,10357.0,Swings
257,2021-04-04,10357.0,Swings
258,2021-04-05,12249.0,Swings
259,2021-04-06,12249.0,Swings
260,2021-04-07,12249.0,Swings
261,2021-04-08,8307.0,Swings
262,2021-04-09,8307.0,Swings
263,2021-04-10,8307.0,Swings
264,2021-04-11,8307.0,Swings
265,2021-04-12,8307.0,Swings
266,2021-04-13,13313.0,Swings
267,2021-04-14,13313.0,Swings
268,2021-04-15,19548.0,Swings
269,2021-04-16,19548.0,Swings
270,2021-04-17,19548.0,Swings
271,2021-04-18,19548.0,Swings
272,2021-04-19,5264.0,Swings
273,2021-04-20,5565.0,Swings
274,2021-04-21,7585.0,Swings
275,2021-04-22,7585.0,Swings
276,2021-04-23,7585.0,Swings
277,2021-04-24,7585.0,Swings
278,2021-04-25,7585.0,Swings
279,2021-04-26,7585.0,Swings
280,2021-04-27,3846.0,Swings
281,2021-04-28,5361.0,Swings
282,2021-04-29,4961.0,Swings
283,2021-04-30,4961.0,Swings
284,2021-05-01,5275.0,Swings
285,2021-05-02,5275.0,Swings
286,2021-05-03,5275.0,Swings
287,2021-05-04,5699.0,Swings
288,2021-05-05,5699.0,Swings
289,2021-05-06,6865.0,Swings
290,2021-05-07,6865.0,Swings
291,2021-05-08,10197.0,Swings
292,2021-05-09,10197.0,Swings
293,2021-05-10,10197.0,Swings
294,2021-05-11,8358.0,Swings
295,2021-05-12,8358.0,Swings
296,2021-05-13,6851.0,Swings
297,2021-05-14,6597.0,Swings
298,2021-05-15,6597.0,Swings
299,2021-05-16,6597.0,Swings
300,2021-05-17,4122.0,Swings
301,2021-05-18,4231.0,Swings
302,2021-05-19,4231.0,Swings
303,2021-05-20,5188.0,Swings
304,2021-05-21,5188.0,Swings
305,2021-05-22,5188.0,Swings
306,2021-05-23,5188.0,Swings
307,2021-05-24,3707.0,Swings
308,2021-05-25,3707.0,Swings
309,2021-05-26,5668.0,Swings
310,2021-05-27,7803.0,Swings
311,2021-05-28,8246.0,Swings
312,2021-05-29,8246.0,Swings
313,2021-05-30,8246.0,Swings
314,2021-05-31,7204.0,Swings
315,2021-06-01,7204.0,Swings
316,2021-06-02,5915.0,Swings
317,2021-06-03,6427.0,Swings
318,2021-06-04,6427.0,Swings
319,2021-06-05,6537.0,Swings
320,2021-06-06,6537.0,Swings
321,2021-06-07,4650.0,Swings
322,2021-06-08,4650.0,Swings
323,2021-06-09,4650.0,Swings
324,2021-06-10,8845.0,Swings
325,2021-06-11,9535.0,Swings
326,2021-06-12,9535.0,Swings
327,2021-06-13,9535.0,Swings
328,2021-06-14,6515.0,Swings
329,2021-06-15,6515.0,Swings
330,2021-06-16,7444.0,Swings
331,2021-06-17,7444.0,Swings
332,2021-06-18,6331.0,Swings
333,2021-06-19,6331.0,Swings
334,2021-06-20,6331.0,Swings
335,2021-06-21,7594.0,Swings
336,2021-06-22,8212.0,Swings
337,2021-06-23,9681.0,Swings
338,2021-06-24,7794.0,Swings
339,2021-06-25,7794.0,Swings
340,2021-06-26,6560.0,Swings
341,2021-06-27,6560.0,Swings
342,2021-06-28,9917.0,Swings
343,2021-06-29,7049.0,Swings
344,2021-06-30,9976.0,Swings
345,2021-07-01,9712.0,Swings
346,2021-07-02,9712.0,Swings
347,2021-07-03,10256.0,Swings
348,2021-07-04,8801.0,Swings
349,2021-07-05,8801.0,Swings
350,2021-07-06,6278.0,Swings
351,2021-07-07,6278.0,Swings
352,2021-07-08,9332.0,Swings
353,2021-07-09,9332.0,Swings
354,2021-07-10,12705.0,Swings
