,date,value,name_B0848F8N74
65,2020-04-08,-1.0,Aprons
66,2020-04-09,-1.0,Aprons
67,2020-04-10,-1.0,Aprons
68,2020-04-11,-1.0,Aprons
69,2020-04-12,-1.0,Aprons
70,2020-04-13,-1.0,Aprons
71,2020-04-14,-1.0,Aprons
72,2020-04-15,-1.0,Aprons
73,2020-04-16,-1.0,Aprons
74,2020-04-17,-1.0,Aprons
75,2020-04-18,-1.0,Aprons
76,2020-04-19,-1.0,Aprons
77,2020-04-20,-1.0,Aprons
78,2020-04-21,-1.0,Aprons
79,2020-04-22,-1.0,Aprons
80,2020-04-23,-1.0,Aprons
81,2020-04-24,-1.0,Aprons
82,2020-04-25,-1.0,Aprons
83,2020-04-26,-1.0,Aprons
84,2020-04-27,-1.0,Aprons
85,2020-04-28,-1.0,Aprons
86,2020-04-29,-1.0,Aprons
87,2020-04-30,-1.0,Aprons
88,2020-05-01,-1.0,Aprons
89,2020-05-02,-1.0,Aprons
90,2020-05-03,-1.0,Aprons
91,2020-05-04,-1.0,Aprons
92,2020-05-05,-1.0,Aprons
93,2020-05-06,-1.0,Aprons
94,2020-05-07,-1.0,Aprons
95,2020-05-08,-1.0,Aprons
96,2020-05-09,-1.0,Aprons
97,2020-05-10,-1.0,Aprons
98,2020-05-11,-1.0,Aprons
99,2020-05-12,-1.0,Aprons
100,2020-05-13,-1.0,Aprons
101,2020-05-14,-1.0,Aprons
102,2020-05-15,-1.0,Aprons
103,2020-05-16,-1.0,Aprons
104,2020-05-17,-1.0,Aprons
105,2020-05-18,-1.0,Aprons
106,2020-05-19,-1.0,Aprons
107,2020-05-20,-1.0,Aprons
108,2020-05-21,-1.0,Aprons
109,2020-05-22,-1.0,Aprons
110,2020-05-23,-1.0,Aprons
111,2020-05-24,-1.0,Aprons
112,2020-05-25,-1.0,Aprons
113,2020-05-26,-1.0,Aprons
114,2020-05-27,-1.0,Aprons
115,2020-05-28,-1.0,Aprons
116,2020-05-29,-1.0,Aprons
117,2020-05-30,-1.0,Aprons
118,2020-05-31,-1.0,Aprons
119,2020-06-01,-1.0,Aprons
120,2020-06-02,-1.0,Aprons
121,2020-06-03,-1.0,Aprons
122,2020-06-04,-1.0,Aprons
123,2020-06-05,-1.0,Aprons
124,2020-06-06,-1.0,Aprons
125,2020-06-07,-1.0,Aprons
126,2020-06-08,-1.0,Aprons
127,2020-06-09,-1.0,Aprons
128,2020-06-10,-1.0,Aprons
129,2020-06-11,-1.0,Aprons
130,2020-06-12,-1.0,Aprons
131,2020-06-13,-1.0,Aprons
132,2020-06-14,-1.0,Aprons
133,2020-06-15,-1.0,Aprons
134,2020-06-16,-1.0,Aprons
135,2020-06-17,-1.0,Aprons
136,2020-06-18,-1.0,Aprons
137,2020-06-19,-1.0,Aprons
138,2020-06-20,-1.0,Aprons
139,2020-06-21,-1.0,Aprons
140,2020-06-22,-1.0,Aprons
141,2020-06-23,-1.0,Aprons
142,2020-06-24,-1.0,Aprons
143,2020-06-25,-1.0,Aprons
144,2020-06-26,-1.0,Aprons
145,2020-06-27,-1.0,Aprons
146,2020-06-28,-1.0,Aprons
147,2020-06-29,-1.0,Aprons
148,2020-06-30,-1.0,Aprons
149,2020-07-01,-1.0,Aprons
150,2020-07-02,-1.0,Aprons
151,2020-07-03,-1.0,Aprons
152,2020-07-04,-1.0,Aprons
153,2020-07-05,-1.0,Aprons
154,2020-07-06,-1.0,Aprons
155,2020-07-07,-1.0,Aprons
156,2020-07-08,-1.0,Aprons
157,2020-07-09,-1.0,Aprons
158,2020-07-10,-1.0,Aprons
159,2020-07-11,-1.0,Aprons
160,2020-07-12,-1.0,Aprons
161,2020-07-13,-1.0,Aprons
162,2020-07-14,-1.0,Aprons
163,2020-07-15,-1.0,Aprons
164,2020-07-16,-1.0,Aprons
165,2020-07-17,-1.0,Aprons
166,2020-07-18,-1.0,Aprons
167,2020-07-19,-1.0,Aprons
168,2020-07-20,-1.0,Aprons
169,2020-07-21,-1.0,Aprons
170,2020-07-22,-1.0,Aprons
171,2020-07-23,-1.0,Aprons
172,2020-07-24,-1.0,Aprons
173,2020-07-25,-1.0,Aprons
174,2020-07-26,-1.0,Aprons
175,2020-07-27,-1.0,Aprons
176,2020-07-28,-1.0,Aprons
177,2020-07-29,-1.0,Aprons
178,2020-07-30,-1.0,Aprons
179,2020-07-31,-1.0,Aprons
180,2020-08-01,1662.0,Aprons
181,2020-08-02,1662.0,Aprons
182,2020-08-03,2276.0,Aprons
183,2020-08-04,2276.0,Aprons
184,2020-08-05,1642.0,Aprons
185,2020-08-06,1571.0,Aprons
186,2020-08-07,1571.0,Aprons
187,2020-08-08,1440.0,Aprons
188,2020-08-09,1440.0,Aprons
189,2020-08-10,2095.0,Aprons
190,2020-08-11,1665.0,Aprons
191,2020-08-12,1423.0,Aprons
192,2020-08-13,1452.0,Aprons
193,2020-08-14,1275.0,Aprons
194,2020-08-15,1459.0,Aprons
195,2020-08-16,2400.0,Aprons
196,2020-08-17,2400.0,Aprons
197,2020-08-18,2117.0,Aprons
198,2020-08-19,1849.0,Aprons
199,2020-08-20,1523.0,Aprons
200,2020-08-21,1523.0,Aprons
201,2020-08-22,1783.0,Aprons
202,2020-08-23,1783.0,Aprons
203,2020-08-24,2245.0,Aprons
204,2020-08-25,1835.0,Aprons
205,2020-08-26,1835.0,Aprons
206,2020-08-27,1214.0,Aprons
207,2020-08-28,1214.0,Aprons
208,2020-08-29,1463.0,Aprons
209,2020-08-30,2218.0,Aprons
210,2020-08-31,2326.0,Aprons
211,2020-09-01,2326.0,Aprons
212,2020-09-02,1567.0,Aprons
213,2020-09-03,1616.0,Aprons
214,2020-09-04,1370.0,Aprons
215,2020-09-05,1641.0,Aprons
216,2020-09-06,1824.0,Aprons
217,2020-09-07,1824.0,Aprons
218,2020-09-08,1843.0,Aprons
219,2020-09-09,1480.0,Aprons
220,2020-09-10,1216.0,Aprons
221,2020-09-11,1338.0,Aprons
222,2020-09-12,1089.0,Aprons
223,2020-09-13,1089.0,Aprons
224,2020-09-14,1740.0,Aprons
225,2020-09-15,1348.0,Aprons
226,2020-09-16,1421.0,Aprons
227,2020-09-17,1819.0,Aprons
228,2020-09-18,1961.0,Aprons
229,2020-09-19,1615.0,Aprons
230,2020-09-20,1615.0,Aprons
231,2020-09-21,2375.0,Aprons
232,2020-09-22,1798.0,Aprons
233,2020-09-23,1681.0,Aprons
234,2020-09-24,1681.0,Aprons
235,2020-09-25,1681.0,Aprons
236,2020-09-26,1459.0,Aprons
237,2020-09-27,1818.0,Aprons
238,2020-09-28,1937.0,Aprons
239,2020-09-29,1937.0,Aprons
240,2020-09-30,1408.0,Aprons
241,2020-10-01,1408.0,Aprons
242,2020-10-02,1408.0,Aprons
243,2020-10-03,1408.0,Aprons
244,2020-10-04,1368.0,Aprons
245,2020-10-05,1368.0,Aprons
246,2020-10-06,1303.0,Aprons
247,2020-10-07,1153.0,Aprons
248,2020-10-08,1128.0,Aprons
249,2020-10-09,5461.0,Aprons
250,2020-10-10,5461.0,Aprons
251,2020-10-11,5461.0,Aprons
252,2020-10-12,5143.0,Aprons
253,2020-10-13,5543.0,Aprons
254,2020-10-14,7660.0,Aprons
255,2020-10-15,7796.0,Aprons
256,2020-10-16,7796.0,Aprons
257,2020-10-17,2835.0,Aprons
258,2020-10-18,2835.0,Aprons
259,2020-10-19,3770.0,Aprons
260,2020-10-20,3770.0,Aprons
261,2020-10-21,1679.0,Aprons
262,2020-10-22,1256.0,Aprons
263,2020-10-23,1210.0,Aprons
264,2020-10-24,1479.0,Aprons
265,2020-10-25,1736.0,Aprons
266,2020-10-26,2119.0,Aprons
267,2020-10-27,2220.0,Aprons
268,2020-10-28,1581.0,Aprons
269,2020-10-29,1619.0,Aprons
270,2020-10-30,1619.0,Aprons
271,2020-10-31,1619.0,Aprons
272,2020-11-01,1718.0,Aprons
273,2020-11-02,1718.0,Aprons
274,2020-11-03,1718.0,Aprons
275,2020-11-04,1165.0,Aprons
276,2020-11-05,1136.0,Aprons
277,2020-11-06,1230.0,Aprons
278,2020-11-07,1025.0,Aprons
279,2020-11-08,1454.0,Aprons
280,2020-11-09,1804.0,Aprons
281,2020-11-10,1477.0,Aprons
282,2020-11-11,1702.0,Aprons
283,2020-11-12,1233.0,Aprons
284,2020-11-13,1151.0,Aprons
285,2020-11-14,1024.0,Aprons
286,2020-11-15,1024.0,Aprons
287,2020-11-16,1710.0,Aprons
288,2020-11-17,1710.0,Aprons
289,2020-11-18,1219.0,Aprons
290,2020-11-19,1406.0,Aprons
291,2020-11-20,1532.0,Aprons
292,2020-11-21,1437.0,Aprons
293,2020-11-22,1437.0,Aprons
294,2020-11-23,1972.0,Aprons
295,2020-11-24,1913.0,Aprons
296,2020-11-25,2265.0,Aprons
297,2020-11-26,2211.0,Aprons
