,date,value,name_B08NCNCSL7
59,2021-04-11,4163.0,Drip Pans
60,2021-04-12,4163.0,Drip Pans
61,2021-04-13,3099.0,Drip Pans
62,2021-04-14,4766.0,Drip Pans
63,2021-04-15,4766.0,Drip Pans
64,2021-04-16,4766.0,Drip Pans
65,2021-04-17,5348.0,Drip Pans
66,2021-04-18,5348.0,Drip Pans
67,2021-04-19,4268.0,Drip Pans
68,2021-04-20,7002.0,Drip Pans
69,2021-04-21,7485.0,Drip Pans
70,2021-04-22,7485.0,Drip Pans
71,2021-04-23,7485.0,Drip Pans
72,2021-04-24,7485.0,Drip Pans
73,2021-04-25,7485.0,Drip Pans
74,2021-04-26,7485.0,Drip Pans
75,2021-04-27,10072.0,Drip Pans
76,2021-04-28,9023.0,Drip Pans
77,2021-04-29,9023.0,Drip Pans
78,2021-04-30,9023.0,Drip Pans
79,2021-05-01,9023.0,Drip Pans
80,2021-05-02,8656.0,Drip Pans
81,2021-05-03,8656.0,Drip Pans
82,2021-05-04,8656.0,Drip Pans
83,2021-05-05,8799.0,Drip Pans
84,2021-05-06,8940.0,Drip Pans
85,2021-05-07,11806.0,Drip Pans
86,2021-05-08,11806.0,Drip Pans
87,2021-05-09,12903.0,Drip Pans
88,2021-05-10,12903.0,Drip Pans
89,2021-05-11,11630.0,Drip Pans
90,2021-05-12,11630.0,Drip Pans
91,2021-05-13,11791.0,Drip Pans
92,2021-05-14,11791.0,Drip Pans
93,2021-05-15,11791.0,Drip Pans
94,2021-05-16,17013.0,Drip Pans
95,2021-05-17,17013.0,Drip Pans
96,2021-05-18,7485.0,Drip Pans
97,2021-05-19,9928.0,Drip Pans
98,2021-05-20,8077.0,Drip Pans
99,2021-05-21,7784.0,Drip Pans
100,2021-05-22,7784.0,Drip Pans
101,2021-05-23,7784.0,Drip Pans
102,2021-05-24,4259.0,Drip Pans
103,2021-05-25,4259.0,Drip Pans
104,2021-05-26,6527.0,Drip Pans
105,2021-05-27,7485.0,Drip Pans
106,2021-05-28,7485.0,Drip Pans
107,2021-05-29,7485.0,Drip Pans
108,2021-05-30,7485.0,Drip Pans
109,2021-05-31,7485.0,Drip Pans
110,2021-06-01,4253.0,Drip Pans
111,2021-06-02,4882.0,Drip Pans
112,2021-06-03,4882.0,Drip Pans
113,2021-06-04,4882.0,Drip Pans
114,2021-06-05,6972.0,Drip Pans
115,2021-06-06,6972.0,Drip Pans
116,2021-06-07,5190.0,Drip Pans
117,2021-06-08,5190.0,Drip Pans
118,2021-06-09,7330.0,Drip Pans
119,2021-06-10,7330.0,Drip Pans
120,2021-06-11,7437.0,Drip Pans
121,2021-06-12,7437.0,Drip Pans
122,2021-06-13,7437.0,Drip Pans
123,2021-06-14,6865.0,Drip Pans
124,2021-06-15,6865.0,Drip Pans
125,2021-06-16,6148.0,Drip Pans
126,2021-06-17,6148.0,Drip Pans
127,2021-06-18,6148.0,Drip Pans
128,2021-06-19,6132.0,Drip Pans
129,2021-06-20,4266.0,Drip Pans
130,2021-06-21,4218.0,Drip Pans
131,2021-06-22,4218.0,Drip Pans
132,2021-06-23,977.0,Drip Pans
133,2021-06-24,1454.0,Drip Pans
134,2021-06-25,2230.0,Drip Pans
135,2021-06-26,2230.0,Drip Pans
136,2021-06-27,2530.0,Drip Pans
137,2021-06-28,2653.0,Drip Pans
138,2021-06-29,3019.0,Drip Pans
139,2021-06-30,3019.0,Drip Pans
140,2021-07-01,2773.0,Drip Pans
141,2021-07-02,2773.0,Drip Pans
142,2021-07-03,2773.0,Drip Pans
143,2021-07-04,2773.0,Drip Pans
144,2021-07-05,3901.0,Drip Pans
145,2021-07-06,2899.0,Drip Pans
146,2021-07-07,3312.0,Drip Pans
147,2021-07-08,3311.0,Drip Pans
148,2021-07-09,3614.0,Drip Pans
149,2021-07-10,3614.0,Drip Pans
150,2021-07-11,4281.0,Drip Pans
