,date,value,name_B07MKZFKWG
128,2020-10-01,28029.0,Fat Burners
129,2020-10-02,28029.0,Fat Burners
130,2020-10-03,28029.0,Fat Burners
131,2020-10-04,26194.0,Fat Burners
132,2020-10-05,26194.0,Fat Burners
133,2020-10-06,26194.0,Fat Burners
134,2020-10-07,26194.0,Fat Burners
135,2020-10-08,26194.0,Fat Burners
136,2020-10-09,26194.0,Fat Burners
137,2020-10-10,33563.0,Fat Burners
138,2020-10-11,22434.0,Fat Burners
139,2020-10-12,27653.0,Fat Burners
140,2020-10-13,27653.0,Fat Burners
141,2020-10-14,27653.0,Fat Burners
142,2020-10-15,27653.0,Fat Burners
143,2020-10-16,30013.0,Fat Burners
144,2020-10-17,30013.0,Fat Burners
145,2020-10-18,30013.0,Fat Burners
146,2020-10-19,19622.0,Fat Burners
147,2020-10-20,19622.0,Fat Burners
148,2020-10-21,19622.0,Fat Burners
149,2020-10-22,19622.0,Fat Burners
150,2020-10-23,19622.0,Fat Burners
151,2020-10-24,19622.0,Fat Burners
152,2020-10-25,19622.0,Fat Burners
153,2020-10-26,26547.0,Fat Burners
154,2020-10-27,26547.0,Fat Burners
155,2020-10-28,23060.0,Fat Burners
156,2020-10-29,26145.0,Fat Burners
157,2020-10-30,26145.0,Fat Burners
158,2020-10-31,26145.0,Fat Burners
159,2020-11-01,22361.0,Fat Burners
160,2020-11-02,22361.0,Fat Burners
161,2020-11-03,22361.0,Fat Burners
162,2020-11-04,21808.0,Fat Burners
163,2020-11-05,21808.0,Fat Burners
164,2020-11-06,21808.0,Fat Burners
165,2020-11-07,25369.0,Fat Burners
166,2020-11-08,25369.0,Fat Burners
167,2020-11-09,25369.0,Fat Burners
168,2020-11-10,23827.0,Fat Burners
169,2020-11-11,23827.0,Fat Burners
170,2020-11-12,23827.0,Fat Burners
171,2020-11-13,23827.0,Fat Burners
172,2020-11-14,23827.0,Fat Burners
173,2020-11-15,21980.0,Fat Burners
174,2020-11-16,21980.0,Fat Burners
175,2020-11-17,21980.0,Fat Burners
176,2020-11-18,22501.0,Fat Burners
177,2020-11-19,22501.0,Fat Burners
178,2020-11-20,21200.0,Fat Burners
179,2020-11-21,21200.0,Fat Burners
180,2020-11-22,21200.0,Fat Burners
181,2020-11-23,21200.0,Fat Burners
182,2020-11-24,25858.0,Fat Burners
183,2020-11-25,25858.0,Fat Burners
184,2020-11-26,21856.0,Fat Burners
185,2020-11-27,21856.0,Fat Burners
186,2020-11-28,21856.0,Fat Burners
187,2020-11-29,21856.0,Fat Burners
188,2020-11-30,19302.0,Fat Burners
189,2020-12-01,19302.0,Fat Burners
190,2020-12-02,19302.0,Fat Burners
191,2020-12-03,19302.0,Fat Burners
192,2020-12-04,28937.0,Fat Burners
193,2020-12-05,28937.0,Fat Burners
194,2020-12-06,28427.0,Fat Burners
195,2020-12-07,28427.0,Fat Burners
196,2020-12-08,28427.0,Fat Burners
197,2020-12-09,28427.0,Fat Burners
198,2020-12-10,40559.0,Fat Burners
199,2020-12-11,40559.0,Fat Burners
200,2020-12-12,40559.0,Fat Burners
201,2020-12-13,40559.0,Fat Burners
202,2020-12-14,40559.0,Fat Burners
203,2020-12-15,27933.0,Fat Burners
204,2020-12-16,27933.0,Fat Burners
205,2020-12-17,27933.0,Fat Burners
206,2020-12-18,27933.0,Fat Burners
207,2020-12-19,24789.0,Fat Burners
208,2020-12-20,20372.0,Fat Burners
209,2020-12-21,20372.0,Fat Burners
210,2020-12-22,15316.0,Fat Burners
211,2020-12-23,15316.0,Fat Burners
212,2020-12-24,14682.0,Fat Burners
213,2020-12-25,13350.0,Fat Burners
214,2020-12-26,13494.0,Fat Burners
215,2020-12-27,17516.0,Fat Burners
216,2020-12-28,14196.0,Fat Burners
217,2020-12-29,12153.0,Fat Burners
218,2020-12-30,12153.0,Fat Burners
219,2020-12-31,18752.0,Fat Burners
220,2021-01-01,13615.0,Fat Burners
221,2021-01-02,12498.0,Fat Burners
222,2021-01-03,11771.0,Fat Burners
223,2021-01-04,14128.0,Fat Burners
224,2021-01-05,15079.0,Fat Burners
225,2021-01-06,15952.0,Fat Burners
226,2021-01-07,15952.0,Fat Burners
227,2021-01-08,19113.0,Fat Burners
228,2021-01-09,14403.0,Fat Burners
229,2021-01-10,13349.0,Fat Burners
230,2021-01-11,11912.0,Fat Burners
231,2021-01-12,9917.0,Fat Burners
232,2021-01-13,9485.0,Fat Burners
233,2021-01-14,10798.0,Fat Burners
234,2021-01-15,11719.0,Fat Burners
235,2021-01-16,14916.0,Fat Burners
236,2021-01-17,16781.0,Fat Burners
237,2021-01-18,15068.0,Fat Burners
238,2021-01-19,19227.0,Fat Burners
239,2021-01-20,19568.0,Fat Burners
240,2021-01-21,19568.0,Fat Burners
241,2021-01-22,20135.0,Fat Burners
242,2021-01-23,18396.0,Fat Burners
243,2021-01-24,18806.0,Fat Burners
244,2021-01-25,17222.0,Fat Burners
245,2021-01-26,16116.0,Fat Burners
246,2021-01-27,18667.0,Fat Burners
247,2021-01-28,15736.0,Fat Burners
248,2021-01-29,18432.0,Fat Burners
249,2021-01-30,18794.0,Fat Burners
250,2021-01-31,17151.0,Fat Burners
251,2021-02-01,16379.0,Fat Burners
252,2021-02-02,20664.0,Fat Burners
253,2021-02-03,20664.0,Fat Burners
254,2021-02-04,17635.0,Fat Burners
255,2021-02-05,19748.0,Fat Burners
256,2021-02-06,22284.0,Fat Burners
257,2021-02-07,23197.0,Fat Burners
258,2021-02-08,23197.0,Fat Burners
259,2021-02-09,22098.0,Fat Burners
260,2021-02-10,21074.0,Fat Burners
261,2021-02-11,18540.0,Fat Burners
262,2021-02-12,20295.0,Fat Burners
263,2021-02-13,21487.0,Fat Burners
264,2021-02-14,21487.0,Fat Burners
265,2021-02-15,17555.0,Fat Burners
266,2021-02-16,17555.0,Fat Burners
267,2021-02-17,22480.0,Fat Burners
268,2021-02-18,16281.0,Fat Burners
269,2021-02-19,19668.0,Fat Burners
270,2021-02-20,19394.0,Fat Burners
271,2021-02-21,18371.0,Fat Burners
272,2021-02-22,15767.0,Fat Burners
273,2021-02-23,17631.0,Fat Burners
274,2021-02-24,20187.0,Fat Burners
275,2021-02-25,22578.0,Fat Burners
276,2021-02-26,20700.0,Fat Burners
277,2021-02-27,20963.0,Fat Burners
278,2021-02-28,18125.0,Fat Burners
279,2021-03-01,20337.0,Fat Burners
280,2021-03-02,19686.0,Fat Burners
281,2021-03-03,22902.0,Fat Burners
282,2021-03-04,21094.0,Fat Burners
283,2021-03-05,25857.0,Fat Burners
284,2021-03-06,26498.0,Fat Burners
285,2021-03-07,26498.0,Fat Burners
286,2021-03-08,17500.0,Fat Burners
287,2021-03-09,19171.0,Fat Burners
288,2021-03-10,19472.0,Fat Burners
289,2021-03-11,23725.0,Fat Burners
290,2021-03-12,19102.0,Fat Burners
291,2021-03-13,24760.0,Fat Burners
292,2021-03-14,25219.0,Fat Burners
293,2021-03-15,19133.0,Fat Burners
294,2021-03-16,19133.0,Fat Burners
295,2021-03-17,23464.0,Fat Burners
296,2021-03-18,24301.0,Fat Burners
297,2021-03-19,21220.0,Fat Burners
298,2021-03-20,20605.0,Fat Burners
299,2021-03-21,18455.0,Fat Burners
300,2021-03-22,20610.0,Fat Burners
301,2021-03-23,22340.0,Fat Burners
302,2021-03-24,23239.0,Fat Burners
303,2021-03-25,19222.0,Fat Burners
304,2021-03-26,19606.0,Fat Burners
305,2021-03-27,26009.0,Fat Burners
306,2021-03-28,22893.0,Fat Burners
307,2021-03-29,25491.0,Fat Burners
308,2021-03-30,26034.0,Fat Burners
309,2021-03-31,26034.0,Fat Burners
310,2021-04-01,20392.0,Fat Burners
311,2021-04-02,21353.0,Fat Burners
312,2021-04-03,24010.0,Fat Burners
313,2021-04-04,19804.0,Fat Burners
314,2021-04-05,22417.0,Fat Burners
315,2021-04-06,23035.0,Fat Burners
316,2021-04-07,20312.0,Fat Burners
317,2021-04-08,17406.0,Fat Burners
318,2021-04-09,21836.0,Fat Burners
319,2021-04-10,22646.0,Fat Burners
320,2021-04-11,21631.0,Fat Burners
321,2021-04-12,19843.0,Fat Burners
322,2021-04-13,19592.0,Fat Burners
323,2021-04-14,19883.0,Fat Burners
324,2021-04-15,20173.0,Fat Burners
325,2021-04-16,18483.0,Fat Burners
326,2021-04-17,25680.0,Fat Burners
327,2021-04-18,25680.0,Fat Burners
328,2021-04-19,20203.0,Fat Burners
329,2021-04-20,17755.0,Fat Burners
330,2021-04-21,23129.0,Fat Burners
331,2021-04-22,22134.0,Fat Burners
332,2021-04-23,46507.0,Fat Burners
333,2021-04-24,61768.0,Fat Burners
334,2021-04-25,61768.0,Fat Burners
335,2021-04-26,87160.0,Fat Burners
336,2021-04-27,100213.0,Fat Burners
337,2021-04-28,52340.0,Fat Burners
338,2021-04-29,20528.0,Fat Burners
339,2021-04-30,28363.0,Fat Burners
340,2021-05-01,26001.0,Fat Burners
341,2021-05-02,23507.0,Fat Burners
342,2021-05-03,21742.0,Fat Burners
343,2021-05-04,23724.0,Fat Burners
344,2021-05-05,25645.0,Fat Burners
345,2021-05-06,22581.0,Fat Burners
346,2021-05-07,24243.0,Fat Burners
347,2021-05-08,24243.0,Fat Burners
348,2021-05-09,23181.0,Fat Burners
349,2021-05-10,24766.0,Fat Burners
350,2021-05-11,27127.0,Fat Burners
351,2021-05-12,27127.0,Fat Burners
352,2021-05-13,22633.0,Fat Burners
353,2021-05-14,25687.0,Fat Burners
354,2021-05-15,25687.0,Fat Burners
355,2021-05-16,27128.0,Fat Burners
356,2021-05-17,32227.0,Fat Burners
357,2021-05-18,25487.0,Fat Burners
358,2021-05-19,21412.0,Fat Burners
359,2021-05-20,22478.0,Fat Burners
360,2021-05-21,24536.0,Fat Burners
361,2021-05-22,24536.0,Fat Burners
362,2021-05-23,23243.0,Fat Burners
363,2021-05-24,22045.0,Fat Burners
364,2021-05-25,21441.0,Fat Burners
365,2021-05-26,24259.0,Fat Burners
366,2021-05-27,27281.0,Fat Burners
367,2021-05-28,20855.0,Fat Burners
368,2021-05-29,17658.0,Fat Burners
369,2021-05-30,19424.0,Fat Burners
370,2021-05-31,19469.0,Fat Burners
371,2021-06-01,21327.0,Fat Burners
372,2021-06-02,21263.0,Fat Burners
373,2021-06-03,17369.0,Fat Burners
374,2021-06-04,15967.0,Fat Burners
375,2021-06-05,15967.0,Fat Burners
376,2021-06-06,15967.0,Fat Burners
377,2021-06-07,24063.0,Fat Burners
378,2021-06-08,27921.0,Fat Burners
379,2021-06-09,24225.0,Fat Burners
380,2021-06-10,23321.0,Fat Burners
381,2021-06-11,18179.0,Fat Burners
382,2021-06-12,18179.0,Fat Burners
383,2021-06-13,18179.0,Fat Burners
384,2021-06-14,16955.0,Fat Burners
385,2021-06-15,17774.0,Fat Burners
386,2021-06-16,22073.0,Fat Burners
387,2021-06-17,22073.0,Fat Burners
388,2021-06-18,22702.0,Fat Burners
389,2021-06-19,25145.0,Fat Burners
390,2021-06-20,25265.0,Fat Burners
391,2021-06-21,27869.0,Fat Burners
392,2021-06-22,30814.0,Fat Burners
393,2021-06-23,30814.0,Fat Burners
394,2021-06-24,25690.0,Fat Burners
395,2021-06-25,20988.0,Fat Burners
396,2021-06-26,22781.0,Fat Burners
397,2021-06-27,19163.0,Fat Burners
398,2021-06-28,19163.0,Fat Burners
399,2021-06-29,25698.0,Fat Burners
400,2021-06-30,19721.0,Fat Burners
401,2021-07-01,19419.0,Fat Burners
402,2021-07-02,19419.0,Fat Burners
403,2021-07-03,33830.0,Fat Burners
404,2021-07-04,24351.0,Fat Burners
405,2021-07-05,21366.0,Fat Burners
406,2021-07-06,21366.0,Fat Burners
407,2021-07-07,21168.0,Fat Burners
408,2021-07-08,22107.0,Fat Burners
409,2021-07-09,33161.0,Fat Burners
410,2021-07-10,23559.0,Fat Burners
411,2021-07-11,23375.0,Fat Burners
