,date,value,name_B07TZGY46K
217,2020-12-29,6495.0,LED Bulbs
218,2020-12-30,7411.0,LED Bulbs
219,2020-12-31,6066.0,LED Bulbs
220,2021-01-01,5839.0,LED Bulbs
221,2021-01-02,5018.0,LED Bulbs
222,2021-01-03,5018.0,LED Bulbs
223,2021-01-04,5339.0,LED Bulbs
224,2021-01-05,6095.0,LED Bulbs
225,2021-01-06,5377.0,LED Bulbs
226,2021-01-07,5377.0,LED Bulbs
227,2021-01-08,5534.0,LED Bulbs
228,2021-01-09,5534.0,LED Bulbs
229,2021-01-10,5534.0,LED Bulbs
230,2021-01-11,4109.0,LED Bulbs
231,2021-01-12,4109.0,LED Bulbs
232,2021-01-13,5533.0,LED Bulbs
233,2021-01-14,5533.0,LED Bulbs
234,2021-01-15,5533.0,LED Bulbs
235,2021-01-16,5018.0,LED Bulbs
236,2021-01-17,5018.0,LED Bulbs
237,2021-01-18,3617.0,LED Bulbs
238,2021-01-19,3617.0,LED Bulbs
239,2021-01-20,4312.0,LED Bulbs
240,2021-01-21,4271.0,LED Bulbs
241,2021-01-22,4271.0,LED Bulbs
242,2021-01-23,4627.0,LED Bulbs
243,2021-01-24,4072.0,LED Bulbs
244,2021-01-25,4072.0,LED Bulbs
245,2021-01-26,3561.0,LED Bulbs
246,2021-01-27,3994.0,LED Bulbs
247,2021-01-28,3770.0,LED Bulbs
248,2021-01-29,3770.0,LED Bulbs
249,2021-01-30,3770.0,LED Bulbs
250,2021-01-31,3545.0,LED Bulbs
251,2021-02-01,3593.0,LED Bulbs
252,2021-02-02,3244.0,LED Bulbs
253,2021-02-03,3798.0,LED Bulbs
254,2021-02-04,3663.0,LED Bulbs
255,2021-02-05,3663.0,LED Bulbs
256,2021-02-06,3805.0,LED Bulbs
257,2021-02-07,3805.0,LED Bulbs
258,2021-02-08,3244.0,LED Bulbs
259,2021-02-09,3418.0,LED Bulbs
260,2021-02-10,3418.0,LED Bulbs
261,2021-02-11,3418.0,LED Bulbs
262,2021-02-12,3418.0,LED Bulbs
263,2021-02-13,3254.0,LED Bulbs
264,2021-02-14,3254.0,LED Bulbs
265,2021-02-15,2862.0,LED Bulbs
266,2021-02-16,2719.0,LED Bulbs
267,2021-02-17,2719.0,LED Bulbs
268,2021-02-18,3249.0,LED Bulbs
269,2021-02-19,3249.0,LED Bulbs
270,2021-02-20,3636.0,LED Bulbs
271,2021-02-21,3636.0,LED Bulbs
272,2021-02-22,3636.0,LED Bulbs
273,2021-02-23,2818.0,LED Bulbs
274,2021-02-24,3373.0,LED Bulbs
275,2021-02-25,3150.0,LED Bulbs
276,2021-02-26,3150.0,LED Bulbs
277,2021-02-27,3150.0,LED Bulbs
278,2021-02-28,3474.0,LED Bulbs
279,2021-03-01,3474.0,LED Bulbs
280,2021-03-02,3498.0,LED Bulbs
281,2021-03-03,4835.0,LED Bulbs
282,2021-03-04,4835.0,LED Bulbs
283,2021-03-05,4835.0,LED Bulbs
284,2021-03-06,4637.0,LED Bulbs
285,2021-03-07,3677.0,LED Bulbs
286,2021-03-08,4581.0,LED Bulbs
287,2021-03-09,4581.0,LED Bulbs
288,2021-03-10,5364.0,LED Bulbs
289,2021-03-11,5364.0,LED Bulbs
290,2021-03-12,6374.0,LED Bulbs
291,2021-03-13,6374.0,LED Bulbs
292,2021-03-14,6374.0,LED Bulbs
293,2021-03-15,4634.0,LED Bulbs
294,2021-03-16,4634.0,LED Bulbs
295,2021-03-17,4634.0,LED Bulbs
296,2021-03-18,5506.0,LED Bulbs
297,2021-03-19,5506.0,LED Bulbs
298,2021-03-20,5506.0,LED Bulbs
299,2021-03-21,5506.0,LED Bulbs
300,2021-03-22,5257.0,LED Bulbs
301,2021-03-23,6103.0,LED Bulbs
302,2021-03-24,6794.0,LED Bulbs
303,2021-03-25,6476.0,LED Bulbs
304,2021-03-26,6476.0,LED Bulbs
305,2021-03-27,6476.0,LED Bulbs
306,2021-03-28,5932.0,LED Bulbs
307,2021-03-29,5932.0,LED Bulbs
308,2021-03-30,5932.0,LED Bulbs
309,2021-03-31,5836.0,LED Bulbs
310,2021-04-01,6137.0,LED Bulbs
311,2021-04-02,6137.0,LED Bulbs
312,2021-04-03,6137.0,LED Bulbs
313,2021-04-04,6137.0,LED Bulbs
314,2021-04-05,5859.0,LED Bulbs
315,2021-04-06,5454.0,LED Bulbs
316,2021-04-07,5454.0,LED Bulbs
317,2021-04-08,5681.0,LED Bulbs
318,2021-04-09,5681.0,LED Bulbs
319,2021-04-10,5681.0,LED Bulbs
320,2021-04-11,5681.0,LED Bulbs
321,2021-04-12,5681.0,LED Bulbs
322,2021-04-13,5014.0,LED Bulbs
323,2021-04-14,5014.0,LED Bulbs
324,2021-04-15,4367.0,LED Bulbs
325,2021-04-16,4367.0,LED Bulbs
326,2021-04-17,4367.0,LED Bulbs
327,2021-04-18,4869.0,LED Bulbs
328,2021-04-19,4869.0,LED Bulbs
329,2021-04-20,4355.0,LED Bulbs
330,2021-04-21,4355.0,LED Bulbs
331,2021-04-22,5637.0,LED Bulbs
332,2021-04-23,5637.0,LED Bulbs
333,2021-04-24,5637.0,LED Bulbs
334,2021-04-25,4230.0,LED Bulbs
335,2021-04-26,4230.0,LED Bulbs
336,2021-04-27,5192.0,LED Bulbs
337,2021-04-28,5192.0,LED Bulbs
338,2021-04-29,5094.0,LED Bulbs
339,2021-04-30,5094.0,LED Bulbs
340,2021-05-01,5912.0,LED Bulbs
341,2021-05-02,5912.0,LED Bulbs
342,2021-05-03,5912.0,LED Bulbs
343,2021-05-04,5647.0,LED Bulbs
344,2021-05-05,5647.0,LED Bulbs
345,2021-05-06,6626.0,LED Bulbs
346,2021-05-07,6626.0,LED Bulbs
347,2021-05-08,5918.0,LED Bulbs
348,2021-05-09,5918.0,LED Bulbs
349,2021-05-10,5676.0,LED Bulbs
350,2021-05-11,4677.0,LED Bulbs
