,date,value,name_B08P1S3V6T
116,2021-04-21,7767.0,Flagpole Hardware
117,2021-04-22,7767.0,Flagpole Hardware
118,2021-04-23,10833.0,Flagpole Hardware
119,2021-04-24,10833.0,Flagpole Hardware
120,2021-04-25,10833.0,Flagpole Hardware
121,2021-04-26,7152.0,Flagpole Hardware
122,2021-04-27,7152.0,Flagpole Hardware
123,2021-04-28,7152.0,Flagpole Hardware
124,2021-04-29,5992.0,Flagpole Hardware
125,2021-04-30,5992.0,Flagpole Hardware
126,2021-05-01,5717.0,Flagpole Hardware
127,2021-05-02,5717.0,Flagpole Hardware
128,2021-05-03,3298.0,Flagpole Hardware
129,2021-05-04,3298.0,Flagpole Hardware
130,2021-05-05,4116.0,Flagpole Hardware
131,2021-05-06,6350.0,Flagpole Hardware
132,2021-05-07,6350.0,Flagpole Hardware
133,2021-05-08,3631.0,Flagpole Hardware
134,2021-05-09,3631.0,Flagpole Hardware
135,2021-05-10,3264.0,Flagpole Hardware
136,2021-05-11,3264.0,Flagpole Hardware
137,2021-05-12,5542.0,Flagpole Hardware
138,2021-05-13,5542.0,Flagpole Hardware
139,2021-05-14,3715.0,Flagpole Hardware
140,2021-05-15,3715.0,Flagpole Hardware
141,2021-05-16,3715.0,Flagpole Hardware
142,2021-05-17,2401.0,Flagpole Hardware
143,2021-05-18,3633.0,Flagpole Hardware
144,2021-05-19,2625.0,Flagpole Hardware
145,2021-05-20,3273.0,Flagpole Hardware
146,2021-05-21,2992.0,Flagpole Hardware
147,2021-05-22,2992.0,Flagpole Hardware
148,2021-05-23,2028.0,Flagpole Hardware
149,2021-05-24,1618.0,Flagpole Hardware
150,2021-05-25,1618.0,Flagpole Hardware
151,2021-05-26,1131.0,Flagpole Hardware
152,2021-05-27,1085.0,Flagpole Hardware
153,2021-05-28,1085.0,Flagpole Hardware
154,2021-05-29,1115.0,Flagpole Hardware
155,2021-05-30,1115.0,Flagpole Hardware
156,2021-05-31,1240.0,Flagpole Hardware
157,2021-06-01,1041.0,Flagpole Hardware
158,2021-06-02,1797.0,Flagpole Hardware
159,2021-06-03,1797.0,Flagpole Hardware
160,2021-06-04,1984.0,Flagpole Hardware
161,2021-06-05,2301.0,Flagpole Hardware
162,2021-06-06,2301.0,Flagpole Hardware
163,2021-06-07,2896.0,Flagpole Hardware
164,2021-06-08,3410.0,Flagpole Hardware
165,2021-06-09,2574.0,Flagpole Hardware
166,2021-06-10,2734.0,Flagpole Hardware
167,2021-06-11,2209.0,Flagpole Hardware
168,2021-06-12,2209.0,Flagpole Hardware
169,2021-06-13,2209.0,Flagpole Hardware
170,2021-06-14,5999.0,Flagpole Hardware
171,2021-06-15,5999.0,Flagpole Hardware
172,2021-06-16,5999.0,Flagpole Hardware
173,2021-06-17,9536.0,Flagpole Hardware
174,2021-06-18,9536.0,Flagpole Hardware
175,2021-06-19,12715.0,Flagpole Hardware
176,2021-06-20,10991.0,Flagpole Hardware
177,2021-06-21,10991.0,Flagpole Hardware
178,2021-06-22,10991.0,Flagpole Hardware
179,2021-06-23,10991.0,Flagpole Hardware
180,2021-06-24,10991.0,Flagpole Hardware
181,2021-06-25,10991.0,Flagpole Hardware
182,2021-06-26,19318.0,Flagpole Hardware
183,2021-06-27,19318.0,Flagpole Hardware
184,2021-06-28,19318.0,Flagpole Hardware
185,2021-06-29,25943.0,Flagpole Hardware
186,2021-06-30,22169.0,Flagpole Hardware
187,2021-07-01,22169.0,Flagpole Hardware
188,2021-07-02,22169.0,Flagpole Hardware
189,2021-07-03,17289.0,Flagpole Hardware
190,2021-07-04,17289.0,Flagpole Hardware
191,2021-07-05,17289.0,Flagpole Hardware
192,2021-07-06,17289.0,Flagpole Hardware
193,2021-07-07,17289.0,Flagpole Hardware
194,2021-07-08,38481.0,Flagpole Hardware
195,2021-07-09,45241.0,Flagpole Hardware
196,2021-07-10,41408.0,Flagpole Hardware
