,date,value,name_B07SR22ZS6
325,2021-04-13,1502.0,LED Bulbs
326,2021-04-14,1656.0,LED Bulbs
327,2021-04-15,1656.0,LED Bulbs
328,2021-04-16,1774.0,LED Bulbs
329,2021-04-17,1774.0,LED Bulbs
330,2021-04-18,1566.0,LED Bulbs
331,2021-04-19,1566.0,LED Bulbs
332,2021-04-20,909.0,LED Bulbs
333,2021-04-21,894.0,LED Bulbs
334,2021-04-22,741.0,LED Bulbs
335,2021-04-23,790.0,LED Bulbs
336,2021-04-24,718.0,LED Bulbs
337,2021-04-25,621.0,LED Bulbs
338,2021-04-26,671.0,LED Bulbs
339,2021-04-27,837.0,LED Bulbs
340,2021-04-28,1013.0,LED Bulbs
341,2021-04-29,1092.0,LED Bulbs
342,2021-04-30,1090.0,LED Bulbs
343,2021-05-01,1090.0,LED Bulbs
344,2021-05-02,1249.0,LED Bulbs
345,2021-05-03,1246.0,LED Bulbs
346,2021-05-04,1246.0,LED Bulbs
347,2021-05-05,1244.0,LED Bulbs
348,2021-05-06,1244.0,LED Bulbs
349,2021-05-07,1365.0,LED Bulbs
350,2021-05-08,1333.0,LED Bulbs
351,2021-05-09,1333.0,LED Bulbs
352,2021-05-10,1333.0,LED Bulbs
353,2021-05-11,1205.0,LED Bulbs
354,2021-05-12,1207.0,LED Bulbs
355,2021-05-13,1241.0,LED Bulbs
356,2021-05-14,1224.0,LED Bulbs
357,2021-05-15,1329.0,LED Bulbs
358,2021-05-16,1329.0,LED Bulbs
359,2021-05-17,1110.0,LED Bulbs
360,2021-05-18,1238.0,LED Bulbs
361,2021-05-19,1238.0,LED Bulbs
362,2021-05-20,1318.0,LED Bulbs
363,2021-05-21,1318.0,LED Bulbs
364,2021-05-22,1436.0,LED Bulbs
365,2021-05-23,1436.0,LED Bulbs
366,2021-05-24,1213.0,LED Bulbs
367,2021-05-25,1213.0,LED Bulbs
368,2021-05-26,1329.0,LED Bulbs
369,2021-05-27,1123.0,LED Bulbs
370,2021-05-28,1152.0,LED Bulbs
371,2021-05-29,1055.0,LED Bulbs
372,2021-05-30,1055.0,LED Bulbs
373,2021-05-31,986.0,LED Bulbs
374,2021-06-01,986.0,LED Bulbs
375,2021-06-02,656.0,LED Bulbs
376,2021-06-03,667.0,LED Bulbs
377,2021-06-04,650.0,LED Bulbs
378,2021-06-05,668.0,LED Bulbs
379,2021-06-06,560.0,LED Bulbs
380,2021-06-07,587.0,LED Bulbs
381,2021-06-08,587.0,LED Bulbs
382,2021-06-09,848.0,LED Bulbs
383,2021-06-10,883.0,LED Bulbs
384,2021-06-11,968.0,LED Bulbs
385,2021-06-12,968.0,LED Bulbs
386,2021-06-13,955.0,LED Bulbs
387,2021-06-14,1086.0,LED Bulbs
388,2021-06-15,1206.0,LED Bulbs
389,2021-06-16,1368.0,LED Bulbs
390,2021-06-17,1373.0,LED Bulbs
391,2021-06-18,1380.0,LED Bulbs
392,2021-06-19,1261.0,LED Bulbs
393,2021-06-20,1380.0,LED Bulbs
394,2021-06-21,1471.0,LED Bulbs
395,2021-06-22,1552.0,LED Bulbs
396,2021-06-23,1649.0,LED Bulbs
397,2021-06-24,1608.0,LED Bulbs
398,2021-06-25,1739.0,LED Bulbs
399,2021-06-26,1610.0,LED Bulbs
400,2021-06-27,1610.0,LED Bulbs
401,2021-06-28,1480.0,LED Bulbs
402,2021-06-29,1333.0,LED Bulbs
403,2021-06-30,1408.0,LED Bulbs
404,2021-07-01,1518.0,LED Bulbs
405,2021-07-02,1518.0,LED Bulbs
406,2021-07-03,1457.0,LED Bulbs
407,2021-07-04,1297.0,LED Bulbs
408,2021-07-05,1623.0,LED Bulbs
409,2021-07-06,1472.0,LED Bulbs
410,2021-07-07,1472.0,LED Bulbs
411,2021-07-08,1463.0,LED Bulbs
412,2021-07-09,1626.0,LED Bulbs
413,2021-07-10,1573.0,LED Bulbs
414,2021-07-11,1296.0,LED Bulbs
