,date,value,name_B08KZT4N6Q
101,2021-01-31,653.0,Bottles
102,2021-02-01,543.0,Bottles
103,2021-02-02,543.0,Bottles
104,2021-02-03,543.0,Bottles
105,2021-02-04,345.0,Bottles
106,2021-02-05,345.0,Bottles
107,2021-02-06,345.0,Bottles
108,2021-02-07,348.0,Bottles
109,2021-02-08,402.0,Bottles
110,2021-02-09,487.0,Bottles
111,2021-02-10,487.0,Bottles
112,2021-02-11,487.0,Bottles
113,2021-02-12,686.0,Bottles
114,2021-02-13,686.0,Bottles
115,2021-02-14,674.0,Bottles
116,2021-02-15,674.0,Bottles
117,2021-02-16,674.0,Bottles
118,2021-02-17,717.0,Bottles
119,2021-02-18,717.0,Bottles
120,2021-02-19,717.0,Bottles
121,2021-02-20,783.0,Bottles
122,2021-02-21,724.0,Bottles
123,2021-02-22,724.0,Bottles
124,2021-02-23,724.0,Bottles
125,2021-02-24,719.0,Bottles
126,2021-02-25,719.0,Bottles
127,2021-02-26,684.0,Bottles
128,2021-02-27,684.0,Bottles
129,2021-02-28,684.0,Bottles
130,2021-03-01,597.0,Bottles
131,2021-03-02,597.0,Bottles
132,2021-03-03,597.0,Bottles
133,2021-03-04,696.0,Bottles
134,2021-03-05,696.0,Bottles
135,2021-03-06,736.0,Bottles
136,2021-03-07,767.0,Bottles
137,2021-03-08,767.0,Bottles
138,2021-03-09,767.0,Bottles
139,2021-03-10,745.0,Bottles
140,2021-03-11,745.0,Bottles
141,2021-03-12,745.0,Bottles
142,2021-03-13,673.0,Bottles
143,2021-03-14,673.0,Bottles
144,2021-03-15,714.0,Bottles
145,2021-03-16,714.0,Bottles
146,2021-03-17,574.0,Bottles
147,2021-03-18,574.0,Bottles
148,2021-03-19,779.0,Bottles
149,2021-03-20,779.0,Bottles
150,2021-03-21,779.0,Bottles
151,2021-03-22,619.0,Bottles
152,2021-03-23,619.0,Bottles
153,2021-03-24,896.0,Bottles
154,2021-03-25,896.0,Bottles
155,2021-03-26,944.0,Bottles
156,2021-03-27,944.0,Bottles
157,2021-03-28,821.0,Bottles
158,2021-03-29,1053.0,Bottles
159,2021-03-30,1053.0,Bottles
160,2021-03-31,1053.0,Bottles
161,2021-04-01,936.0,Bottles
162,2021-04-02,858.0,Bottles
163,2021-04-03,858.0,Bottles
164,2021-04-04,858.0,Bottles
165,2021-04-05,941.0,Bottles
166,2021-04-06,941.0,Bottles
167,2021-04-07,941.0,Bottles
168,2021-04-08,1104.0,Bottles
169,2021-04-09,1104.0,Bottles
170,2021-04-10,1104.0,Bottles
171,2021-04-11,1022.0,Bottles
172,2021-04-12,1022.0,Bottles
173,2021-04-13,1031.0,Bottles
174,2021-04-14,1031.0,Bottles
175,2021-04-15,1031.0,Bottles
176,2021-04-16,1031.0,Bottles
177,2021-04-17,870.0,Bottles
178,2021-04-18,870.0,Bottles
179,2021-04-19,870.0,Bottles
180,2021-04-20,905.0,Bottles
181,2021-04-21,905.0,Bottles
182,2021-04-22,2168.0,Bottles
183,2021-04-23,2168.0,Bottles
184,2021-04-24,2168.0,Bottles
185,2021-04-25,2114.0,Bottles
186,2021-04-26,2114.0,Bottles
187,2021-04-27,1865.0,Bottles
188,2021-04-28,1865.0,Bottles
189,2021-04-29,1865.0,Bottles
190,2021-04-30,1733.0,Bottles
191,2021-05-01,1733.0,Bottles
192,2021-05-02,1733.0,Bottles
193,2021-05-03,2098.0,Bottles
194,2021-05-04,2098.0,Bottles
195,2021-05-05,2098.0,Bottles
196,2021-05-06,2671.0,Bottles
197,2021-05-07,2671.0,Bottles
198,2021-05-08,2649.0,Bottles
199,2021-05-09,2649.0,Bottles
200,2021-05-10,3092.0,Bottles
201,2021-05-11,3092.0,Bottles
202,2021-05-12,3092.0,Bottles
203,2021-05-13,2210.0,Bottles
204,2021-05-14,2210.0,Bottles
205,2021-05-15,2091.0,Bottles
206,2021-05-16,2091.0,Bottles
207,2021-05-17,3140.0,Bottles
208,2021-05-18,3140.0,Bottles
209,2021-05-19,3140.0,Bottles
210,2021-05-20,3291.0,Bottles
211,2021-05-21,2723.0,Bottles
212,2021-05-22,2723.0,Bottles
213,2021-05-23,2723.0,Bottles
214,2021-05-24,2948.0,Bottles
215,2021-05-25,2948.0,Bottles
216,2021-05-26,2905.0,Bottles
217,2021-05-27,2905.0,Bottles
218,2021-05-28,2743.0,Bottles
219,2021-05-29,2869.0,Bottles
220,2021-05-30,2869.0,Bottles
221,2021-05-31,2869.0,Bottles
222,2021-06-01,3282.0,Bottles
223,2021-06-02,3282.0,Bottles
224,2021-06-03,3282.0,Bottles
225,2021-06-04,2874.0,Bottles
226,2021-06-05,2874.0,Bottles
227,2021-06-06,2874.0,Bottles
228,2021-06-07,3507.0,Bottles
229,2021-06-08,3064.0,Bottles
230,2021-06-09,3064.0,Bottles
231,2021-06-10,3064.0,Bottles
232,2021-06-11,3064.0,Bottles
233,2021-06-12,2776.0,Bottles
234,2021-06-13,2776.0,Bottles
235,2021-06-14,2792.0,Bottles
236,2021-06-15,2792.0,Bottles
237,2021-06-16,2792.0,Bottles
238,2021-06-17,2792.0,Bottles
239,2021-06-18,2195.0,Bottles
240,2021-06-19,2195.0,Bottles
241,2021-06-20,2084.0,Bottles
242,2021-06-21,2084.0,Bottles
243,2021-06-22,3462.0,Bottles
244,2021-06-23,3462.0,Bottles
245,2021-06-24,3347.0,Bottles
246,2021-06-25,3347.0,Bottles
247,2021-06-26,3347.0,Bottles
248,2021-06-27,2687.0,Bottles
249,2021-06-28,2687.0,Bottles
250,2021-06-29,2410.0,Bottles
251,2021-06-30,2410.0,Bottles
252,2021-07-01,2042.0,Bottles
253,2021-07-02,2404.0,Bottles
254,2021-07-03,2404.0,Bottles
255,2021-07-04,2224.0,Bottles
256,2021-07-05,2224.0,Bottles
257,2021-07-06,2224.0,Bottles
258,2021-07-07,2397.0,Bottles
259,2021-07-08,2397.0,Bottles
260,2021-07-09,1898.0,Bottles
261,2021-07-10,1802.0,Bottles
262,2021-07-11,2357.0,Bottles
