,date,value,name_B08PW1N7GX
175,2021-06-11,13268.0,Open Storage Bins
176,2021-06-12,14534.0,Open Storage Bins
177,2021-06-13,14534.0,Open Storage Bins
178,2021-06-14,14534.0,Open Storage Bins
179,2021-06-15,14534.0,Open Storage Bins
180,2021-06-16,14534.0,Open Storage Bins
181,2021-06-17,27820.0,Open Storage Bins
182,2021-06-18,27820.0,Open Storage Bins
183,2021-06-19,24681.0,Open Storage Bins
184,2021-06-20,24681.0,Open Storage Bins
185,2021-06-21,24681.0,Open Storage Bins
186,2021-06-22,22010.0,Open Storage Bins
187,2021-06-23,22010.0,Open Storage Bins
188,2021-06-24,22010.0,Open Storage Bins
189,2021-06-25,38714.0,Open Storage Bins
190,2021-06-26,38714.0,Open Storage Bins
191,2021-06-27,38714.0,Open Storage Bins
192,2021-06-28,55370.0,Open Storage Bins
193,2021-06-29,48560.0,Open Storage Bins
194,2021-06-30,38093.0,Open Storage Bins
195,2021-07-01,46622.0,Open Storage Bins
196,2021-07-02,46622.0,Open Storage Bins
197,2021-07-03,46622.0,Open Storage Bins
198,2021-07-04,36891.0,Open Storage Bins
199,2021-07-05,36891.0,Open Storage Bins
200,2021-07-06,36891.0,Open Storage Bins
201,2021-07-07,36891.0,Open Storage Bins
202,2021-07-08,36891.0,Open Storage Bins
203,2021-07-09,36891.0,Open Storage Bins
204,2021-07-10,37339.0,Open Storage Bins
205,2021-07-11,33453.0,Open Storage Bins
