,date,value,name_B08175W1C8
319,2020-10-15,2404208.0,Shower Curtain Sets
320,2020-10-16,2404208.0,Shower Curtain Sets
321,2020-10-17,2404208.0,Shower Curtain Sets
322,2020-10-18,2404208.0,Shower Curtain Sets
323,2020-10-19,2404208.0,Shower Curtain Sets
324,2020-10-20,2404208.0,Shower Curtain Sets
325,2020-10-21,2404208.0,Shower Curtain Sets
326,2020-10-22,2404208.0,Shower Curtain Sets
327,2020-10-23,2404208.0,Shower Curtain Sets
328,2020-10-24,2404208.0,Shower Curtain Sets
329,2020-10-25,2404208.0,Shower Curtain Sets
330,2020-10-26,2404208.0,Shower Curtain Sets
331,2020-10-27,2404208.0,Shower Curtain Sets
332,2020-10-28,2404208.0,Shower Curtain Sets
333,2020-10-29,2404208.0,Shower Curtain Sets
334,2020-10-30,2404208.0,Shower Curtain Sets
335,2020-10-31,2404208.0,Shower Curtain Sets
336,2020-11-01,2404208.0,Shower Curtain Sets
337,2020-11-02,2404208.0,Shower Curtain Sets
338,2020-11-03,2404208.0,Shower Curtain Sets
339,2020-11-04,2404208.0,Shower Curtain Sets
340,2020-11-05,2404208.0,Shower Curtain Sets
341,2020-11-06,2404208.0,Shower Curtain Sets
342,2020-11-07,2404208.0,Shower Curtain Sets
343,2020-11-08,2404208.0,Shower Curtain Sets
344,2020-11-09,2404208.0,Shower Curtain Sets
345,2020-11-10,2404208.0,Shower Curtain Sets
346,2020-11-11,2404208.0,Shower Curtain Sets
347,2020-11-12,2404208.0,Shower Curtain Sets
348,2020-11-13,2404208.0,Shower Curtain Sets
349,2020-11-14,2404208.0,Shower Curtain Sets
350,2020-11-15,2404208.0,Shower Curtain Sets
351,2020-11-16,2404208.0,Shower Curtain Sets
352,2020-11-17,2404208.0,Shower Curtain Sets
353,2020-11-18,2404208.0,Shower Curtain Sets
354,2020-11-19,1151545.0,Shower Curtain Sets
355,2020-11-20,1151545.0,Shower Curtain Sets
356,2020-11-21,1151545.0,Shower Curtain Sets
357,2020-11-22,1151545.0,Shower Curtain Sets
358,2020-11-23,1151545.0,Shower Curtain Sets
359,2020-11-24,1151545.0,Shower Curtain Sets
360,2020-11-25,1151545.0,Shower Curtain Sets
361,2020-11-26,1151545.0,Shower Curtain Sets
362,2020-11-27,1151545.0,Shower Curtain Sets
363,2020-11-28,1151545.0,Shower Curtain Sets
364,2020-11-29,1151545.0,Shower Curtain Sets
365,2020-11-30,1151545.0,Shower Curtain Sets
366,2020-12-01,1151545.0,Shower Curtain Sets
367,2020-12-02,1151545.0,Shower Curtain Sets
368,2020-12-03,1151545.0,Shower Curtain Sets
369,2020-12-04,1151545.0,Shower Curtain Sets
370,2020-12-05,1151545.0,Shower Curtain Sets
371,2020-12-06,1151545.0,Shower Curtain Sets
372,2020-12-07,1151545.0,Shower Curtain Sets
373,2020-12-08,2485046.0,Shower Curtain Sets
374,2020-12-09,2485046.0,Shower Curtain Sets
375,2020-12-10,2485046.0,Shower Curtain Sets
376,2020-12-11,2485046.0,Shower Curtain Sets
377,2020-12-12,2485046.0,Shower Curtain Sets
378,2020-12-13,2485046.0,Shower Curtain Sets
379,2020-12-14,2485046.0,Shower Curtain Sets
380,2020-12-15,2485046.0,Shower Curtain Sets
381,2020-12-16,2485046.0,Shower Curtain Sets
382,2020-12-17,2485046.0,Shower Curtain Sets
383,2020-12-18,2485046.0,Shower Curtain Sets
384,2020-12-19,2485046.0,Shower Curtain Sets
385,2020-12-20,2485046.0,Shower Curtain Sets
386,2020-12-21,2485046.0,Shower Curtain Sets
387,2020-12-22,2485046.0,Shower Curtain Sets
388,2020-12-23,2485046.0,Shower Curtain Sets
389,2020-12-24,2485046.0,Shower Curtain Sets
390,2020-12-25,2485046.0,Shower Curtain Sets
391,2020-12-26,2485046.0,Shower Curtain Sets
392,2020-12-27,2485046.0,Shower Curtain Sets
393,2020-12-28,2485046.0,Shower Curtain Sets
394,2020-12-29,2485046.0,Shower Curtain Sets
395,2020-12-30,2485046.0,Shower Curtain Sets
396,2020-12-31,2485046.0,Shower Curtain Sets
397,2021-01-01,2485046.0,Shower Curtain Sets
398,2021-01-02,2485046.0,Shower Curtain Sets
399,2021-01-03,2485046.0,Shower Curtain Sets
400,2021-01-04,2485046.0,Shower Curtain Sets
401,2021-01-05,2485046.0,Shower Curtain Sets
402,2021-01-06,2485046.0,Shower Curtain Sets
