,date,value,name_B08LKDNDNL
140,2021-03-17,11378.0,Lutein
141,2021-03-18,11378.0,Lutein
142,2021-03-19,11378.0,Lutein
143,2021-03-20,13121.0,Lutein
144,2021-03-21,13121.0,Lutein
145,2021-03-22,12357.0,Lutein
146,2021-03-23,12357.0,Lutein
147,2021-03-24,12357.0,Lutein
148,2021-03-25,12368.0,Lutein
149,2021-03-26,12934.0,Lutein
150,2021-03-27,12486.0,Lutein
151,2021-03-28,12486.0,Lutein
152,2021-03-29,12107.0,Lutein
153,2021-03-30,11725.0,Lutein
154,2021-03-31,11725.0,Lutein
155,2021-04-01,10421.0,Lutein
156,2021-04-02,12586.0,Lutein
157,2021-04-03,11474.0,Lutein
158,2021-04-04,13202.0,Lutein
159,2021-04-05,13202.0,Lutein
160,2021-04-06,12608.0,Lutein
161,2021-04-07,12608.0,Lutein
162,2021-04-08,13071.0,Lutein
163,2021-04-09,12241.0,Lutein
164,2021-04-10,12241.0,Lutein
165,2021-04-11,12241.0,Lutein
166,2021-04-12,12228.0,Lutein
167,2021-04-13,12228.0,Lutein
168,2021-04-14,13044.0,Lutein
169,2021-04-15,13044.0,Lutein
170,2021-04-16,13044.0,Lutein
171,2021-04-17,12016.0,Lutein
172,2021-04-18,12016.0,Lutein
173,2021-04-19,11389.0,Lutein
174,2021-04-20,14188.0,Lutein
175,2021-04-21,13096.0,Lutein
176,2021-04-22,13096.0,Lutein
177,2021-04-23,10011.0,Lutein
178,2021-04-24,10011.0,Lutein
179,2021-04-25,10011.0,Lutein
180,2021-04-26,10122.0,Lutein
181,2021-04-27,9987.0,Lutein
182,2021-04-28,9987.0,Lutein
183,2021-04-29,11470.0,Lutein
184,2021-04-30,11470.0,Lutein
185,2021-05-01,11470.0,Lutein
186,2021-05-02,9709.0,Lutein
187,2021-05-03,9709.0,Lutein
188,2021-05-04,11169.0,Lutein
189,2021-05-05,11169.0,Lutein
190,2021-05-06,9998.0,Lutein
191,2021-05-07,9998.0,Lutein
192,2021-05-08,9998.0,Lutein
193,2021-05-09,6646.0,Lutein
194,2021-05-10,8902.0,Lutein
195,2021-05-11,8902.0,Lutein
196,2021-05-12,10383.0,Lutein
197,2021-05-13,9752.0,Lutein
198,2021-05-14,15623.0,Lutein
199,2021-05-15,15623.0,Lutein
200,2021-05-16,15517.0,Lutein
201,2021-05-17,15517.0,Lutein
202,2021-05-18,15517.0,Lutein
203,2021-05-19,13763.0,Lutein
204,2021-05-20,13709.0,Lutein
205,2021-05-21,13191.0,Lutein
206,2021-05-22,13191.0,Lutein
207,2021-05-23,13191.0,Lutein
208,2021-05-24,15013.0,Lutein
209,2021-05-25,17833.0,Lutein
210,2021-05-26,17833.0,Lutein
211,2021-05-27,17833.0,Lutein
212,2021-05-28,13775.0,Lutein
213,2021-05-29,13775.0,Lutein
214,2021-05-30,13775.0,Lutein
215,2021-05-31,12766.0,Lutein
216,2021-06-01,13569.0,Lutein
217,2021-06-02,13124.0,Lutein
218,2021-06-03,12842.0,Lutein
219,2021-06-04,12842.0,Lutein
220,2021-06-05,12842.0,Lutein
221,2021-06-06,10862.0,Lutein
222,2021-06-07,12032.0,Lutein
223,2021-06-08,12032.0,Lutein
224,2021-06-09,12032.0,Lutein
225,2021-06-10,15547.0,Lutein
226,2021-06-11,15547.0,Lutein
227,2021-06-12,12215.0,Lutein
228,2021-06-13,12215.0,Lutein
229,2021-06-14,12153.0,Lutein
230,2021-06-15,12153.0,Lutein
231,2021-06-16,13170.0,Lutein
232,2021-06-17,12791.0,Lutein
233,2021-06-18,12791.0,Lutein
234,2021-06-19,12791.0,Lutein
235,2021-06-20,13609.0,Lutein
236,2021-06-21,16665.0,Lutein
237,2021-06-22,16162.0,Lutein
238,2021-06-23,16162.0,Lutein
239,2021-06-24,16070.0,Lutein
240,2021-06-25,16070.0,Lutein
241,2021-06-26,16070.0,Lutein
242,2021-06-27,18443.0,Lutein
243,2021-06-28,18443.0,Lutein
244,2021-06-29,15624.0,Lutein
245,2021-06-30,15496.0,Lutein
246,2021-07-01,14208.0,Lutein
247,2021-07-02,14208.0,Lutein
248,2021-07-03,13356.0,Lutein
249,2021-07-04,13356.0,Lutein
250,2021-07-05,11710.0,Lutein
251,2021-07-06,11710.0,Lutein
252,2021-07-07,11710.0,Lutein
253,2021-07-08,16755.0,Lutein
254,2021-07-09,13401.0,Lutein
255,2021-07-10,13564.0,Lutein
