,date,value,name_B0872Y7L7S
144,2020-09-08,15438.0,Posters & Prints
145,2020-09-09,15438.0,Posters & Prints
146,2020-09-10,15438.0,Posters & Prints
147,2020-09-11,12360.0,Posters & Prints
148,2020-09-12,12360.0,Posters & Prints
149,2020-09-13,14038.0,Posters & Prints
150,2020-09-14,14398.0,Posters & Prints
151,2020-09-15,13677.0,Posters & Prints
152,2020-09-16,13677.0,Posters & Prints
153,2020-09-17,13991.0,Posters & Prints
154,2020-09-18,13991.0,Posters & Prints
155,2020-09-19,13933.0,Posters & Prints
156,2020-09-20,13933.0,Posters & Prints
157,2020-09-21,13933.0,Posters & Prints
158,2020-09-22,27101.0,Posters & Prints
159,2020-09-23,29101.0,Posters & Prints
160,2020-09-24,18357.0,Posters & Prints
161,2020-09-25,18357.0,Posters & Prints
162,2020-09-26,18357.0,Posters & Prints
163,2020-09-27,23437.0,Posters & Prints
164,2020-09-28,23437.0,Posters & Prints
165,2020-09-29,23437.0,Posters & Prints
166,2020-09-30,23437.0,Posters & Prints
167,2020-10-01,23437.0,Posters & Prints
168,2020-10-02,23437.0,Posters & Prints
169,2020-10-03,23437.0,Posters & Prints
170,2020-10-04,23437.0,Posters & Prints
171,2020-10-05,23437.0,Posters & Prints
172,2020-10-06,23437.0,Posters & Prints
173,2020-10-07,23437.0,Posters & Prints
174,2020-10-08,23437.0,Posters & Prints
175,2020-10-09,23437.0,Posters & Prints
176,2020-10-10,23437.0,Posters & Prints
177,2020-10-11,23437.0,Posters & Prints
178,2020-10-12,23437.0,Posters & Prints
179,2020-10-13,23437.0,Posters & Prints
180,2020-10-14,23437.0,Posters & Prints
181,2020-10-15,23437.0,Posters & Prints
182,2020-10-16,23437.0,Posters & Prints
183,2020-10-17,23437.0,Posters & Prints
184,2020-10-18,23437.0,Posters & Prints
185,2020-10-19,23437.0,Posters & Prints
186,2020-10-20,23437.0,Posters & Prints
187,2020-10-21,23437.0,Posters & Prints
188,2020-10-22,23437.0,Posters & Prints
189,2020-10-23,23437.0,Posters & Prints
190,2020-10-24,23437.0,Posters & Prints
191,2020-10-25,23437.0,Posters & Prints
192,2020-10-26,23437.0,Posters & Prints
193,2020-10-27,23437.0,Posters & Prints
194,2020-10-28,23437.0,Posters & Prints
195,2020-10-29,23437.0,Posters & Prints
196,2020-10-30,23437.0,Posters & Prints
197,2020-10-31,23437.0,Posters & Prints
198,2020-11-01,23437.0,Posters & Prints
199,2020-11-02,23437.0,Posters & Prints
200,2020-11-03,23437.0,Posters & Prints
201,2020-11-04,23437.0,Posters & Prints
202,2020-11-05,23437.0,Posters & Prints
203,2020-11-06,23437.0,Posters & Prints
204,2020-11-07,23437.0,Posters & Prints
205,2020-11-08,23437.0,Posters & Prints
206,2020-11-09,23437.0,Posters & Prints
207,2020-11-10,23437.0,Posters & Prints
208,2020-11-11,23437.0,Posters & Prints
209,2020-11-12,23437.0,Posters & Prints
210,2020-11-13,23437.0,Posters & Prints
211,2020-11-14,23437.0,Posters & Prints
212,2020-11-15,23437.0,Posters & Prints
213,2020-11-16,23437.0,Posters & Prints
214,2020-11-17,23437.0,Posters & Prints
215,2020-11-18,23437.0,Posters & Prints
216,2020-11-19,23437.0,Posters & Prints
217,2020-11-20,23437.0,Posters & Prints
218,2020-11-21,23437.0,Posters & Prints
219,2020-11-22,23437.0,Posters & Prints
220,2020-11-23,23437.0,Posters & Prints
221,2020-11-24,23437.0,Posters & Prints
222,2020-11-25,23437.0,Posters & Prints
223,2020-11-26,23437.0,Posters & Prints
224,2020-11-27,23437.0,Posters & Prints
225,2020-11-28,23437.0,Posters & Prints
226,2020-11-29,23437.0,Posters & Prints
227,2020-11-30,23437.0,Posters & Prints
228,2020-12-01,23437.0,Posters & Prints
229,2020-12-02,23437.0,Posters & Prints
230,2020-12-03,23437.0,Posters & Prints
231,2020-12-04,23437.0,Posters & Prints
232,2020-12-05,23437.0,Posters & Prints
233,2020-12-06,23437.0,Posters & Prints
234,2020-12-07,23437.0,Posters & Prints
235,2020-12-08,23437.0,Posters & Prints
236,2020-12-09,23437.0,Posters & Prints
237,2020-12-10,23437.0,Posters & Prints
238,2020-12-11,23437.0,Posters & Prints
239,2020-12-12,23437.0,Posters & Prints
240,2020-12-13,23437.0,Posters & Prints
241,2020-12-14,23437.0,Posters & Prints
242,2020-12-15,23437.0,Posters & Prints
243,2020-12-16,23437.0,Posters & Prints
244,2020-12-17,23437.0,Posters & Prints
245,2020-12-18,23437.0,Posters & Prints
246,2020-12-19,23437.0,Posters & Prints
247,2020-12-20,23437.0,Posters & Prints
248,2020-12-21,23437.0,Posters & Prints
249,2020-12-22,23437.0,Posters & Prints
250,2020-12-23,23437.0,Posters & Prints
251,2020-12-24,23437.0,Posters & Prints
252,2020-12-25,23437.0,Posters & Prints
253,2020-12-26,23437.0,Posters & Prints
254,2020-12-27,23437.0,Posters & Prints
255,2020-12-28,23437.0,Posters & Prints
256,2020-12-29,23437.0,Posters & Prints
257,2020-12-30,23437.0,Posters & Prints
258,2020-12-31,23437.0,Posters & Prints
259,2021-01-01,23437.0,Posters & Prints
260,2021-01-02,23437.0,Posters & Prints
261,2021-01-03,23437.0,Posters & Prints
262,2021-01-04,23437.0,Posters & Prints
263,2021-01-05,23437.0,Posters & Prints
264,2021-01-06,23437.0,Posters & Prints
265,2021-01-07,23437.0,Posters & Prints
266,2021-01-08,23437.0,Posters & Prints
267,2021-01-09,23437.0,Posters & Prints
268,2021-01-10,23437.0,Posters & Prints
269,2021-01-11,23437.0,Posters & Prints
270,2021-01-12,23437.0,Posters & Prints
271,2021-01-13,23437.0,Posters & Prints
272,2021-01-14,23437.0,Posters & Prints
273,2021-01-15,23437.0,Posters & Prints
274,2021-01-16,23437.0,Posters & Prints
275,2021-01-17,23437.0,Posters & Prints
276,2021-01-18,23437.0,Posters & Prints
277,2021-01-19,23437.0,Posters & Prints
278,2021-01-20,23437.0,Posters & Prints
279,2021-01-21,23437.0,Posters & Prints
280,2021-01-22,23437.0,Posters & Prints
281,2021-01-23,23437.0,Posters & Prints
282,2021-01-24,23437.0,Posters & Prints
283,2021-01-25,23437.0,Posters & Prints
284,2021-01-26,23437.0,Posters & Prints
285,2021-01-27,23437.0,Posters & Prints
286,2021-01-28,23437.0,Posters & Prints
287,2021-01-29,23437.0,Posters & Prints
288,2021-01-30,23437.0,Posters & Prints
289,2021-01-31,23437.0,Posters & Prints
290,2021-02-01,23437.0,Posters & Prints
291,2021-02-02,23437.0,Posters & Prints
292,2021-02-03,23437.0,Posters & Prints
293,2021-02-04,23437.0,Posters & Prints
294,2021-02-05,23437.0,Posters & Prints
295,2021-02-06,23437.0,Posters & Prints
296,2021-02-07,23437.0,Posters & Prints
297,2021-02-08,23437.0,Posters & Prints
298,2021-02-09,23437.0,Posters & Prints
299,2021-02-10,23437.0,Posters & Prints
300,2021-02-11,23437.0,Posters & Prints
301,2021-02-12,23437.0,Posters & Prints
302,2021-02-13,23437.0,Posters & Prints
303,2021-02-14,23437.0,Posters & Prints
304,2021-02-15,23437.0,Posters & Prints
305,2021-02-16,23437.0,Posters & Prints
306,2021-02-17,23437.0,Posters & Prints
307,2021-02-18,23437.0,Posters & Prints
308,2021-02-19,23437.0,Posters & Prints
309,2021-02-20,23437.0,Posters & Prints
310,2021-02-21,23437.0,Posters & Prints
311,2021-02-22,23437.0,Posters & Prints
312,2021-02-23,23437.0,Posters & Prints
313,2021-02-24,23437.0,Posters & Prints
314,2021-02-25,23437.0,Posters & Prints
315,2021-02-26,23437.0,Posters & Prints
316,2021-02-27,23437.0,Posters & Prints
317,2021-02-28,23437.0,Posters & Prints
318,2021-03-01,23437.0,Posters & Prints
319,2021-03-02,23437.0,Posters & Prints
320,2021-03-03,23437.0,Posters & Prints
321,2021-03-04,23437.0,Posters & Prints
322,2021-03-05,23437.0,Posters & Prints
323,2021-03-06,23437.0,Posters & Prints
324,2021-03-07,23437.0,Posters & Prints
325,2021-03-08,23437.0,Posters & Prints
326,2021-03-09,23437.0,Posters & Prints
327,2021-03-10,23437.0,Posters & Prints
328,2021-03-11,23437.0,Posters & Prints
329,2021-03-12,23437.0,Posters & Prints
330,2021-03-13,23437.0,Posters & Prints
331,2021-03-14,23437.0,Posters & Prints
332,2021-03-15,23437.0,Posters & Prints
333,2021-03-16,23437.0,Posters & Prints
334,2021-03-17,23437.0,Posters & Prints
335,2021-03-18,23437.0,Posters & Prints
336,2021-03-19,23437.0,Posters & Prints
337,2021-03-20,23437.0,Posters & Prints
338,2021-03-21,23437.0,Posters & Prints
339,2021-03-22,23437.0,Posters & Prints
340,2021-03-23,23437.0,Posters & Prints
341,2021-03-24,23437.0,Posters & Prints
342,2021-03-25,23437.0,Posters & Prints
343,2021-03-26,23437.0,Posters & Prints
344,2021-03-27,23437.0,Posters & Prints
345,2021-03-28,23437.0,Posters & Prints
346,2021-03-29,23437.0,Posters & Prints
347,2021-03-30,23437.0,Posters & Prints
348,2021-03-31,23437.0,Posters & Prints
349,2021-04-01,23437.0,Posters & Prints
350,2021-04-02,23437.0,Posters & Prints
351,2021-04-03,23437.0,Posters & Prints
352,2021-04-04,23437.0,Posters & Prints
353,2021-04-05,23437.0,Posters & Prints
354,2021-04-06,23437.0,Posters & Prints
355,2021-04-07,23437.0,Posters & Prints
356,2021-04-08,23437.0,Posters & Prints
357,2021-04-09,23437.0,Posters & Prints
358,2021-04-10,23437.0,Posters & Prints
359,2021-04-11,23437.0,Posters & Prints
360,2021-04-12,23437.0,Posters & Prints
361,2021-04-13,23437.0,Posters & Prints
362,2021-04-14,23437.0,Posters & Prints
363,2021-04-15,23437.0,Posters & Prints
364,2021-04-16,23437.0,Posters & Prints
365,2021-04-17,23437.0,Posters & Prints
366,2021-04-18,23437.0,Posters & Prints
367,2021-04-19,23437.0,Posters & Prints
368,2021-04-20,23437.0,Posters & Prints
369,2021-04-21,23437.0,Posters & Prints
370,2021-04-22,23437.0,Posters & Prints
371,2021-04-23,23437.0,Posters & Prints
372,2021-04-24,23437.0,Posters & Prints
373,2021-04-25,23437.0,Posters & Prints
374,2021-04-26,23437.0,Posters & Prints
375,2021-04-27,23437.0,Posters & Prints
376,2021-04-28,23437.0,Posters & Prints
377,2021-04-29,23437.0,Posters & Prints
378,2021-04-30,23437.0,Posters & Prints
379,2021-05-01,23437.0,Posters & Prints
380,2021-05-02,23437.0,Posters & Prints
381,2021-05-03,23437.0,Posters & Prints
382,2021-05-04,23437.0,Posters & Prints
383,2021-05-05,23437.0,Posters & Prints
384,2021-05-06,23437.0,Posters & Prints
385,2021-05-07,23437.0,Posters & Prints
386,2021-05-08,23437.0,Posters & Prints
387,2021-05-09,23437.0,Posters & Prints
388,2021-05-10,23437.0,Posters & Prints
389,2021-05-11,23437.0,Posters & Prints
390,2021-05-12,23437.0,Posters & Prints
391,2021-05-13,23437.0,Posters & Prints
392,2021-05-14,23437.0,Posters & Prints
393,2021-05-15,23437.0,Posters & Prints
394,2021-05-16,23437.0,Posters & Prints
395,2021-05-17,23437.0,Posters & Prints
396,2021-05-18,23437.0,Posters & Prints
397,2021-05-19,23437.0,Posters & Prints
398,2021-05-20,23437.0,Posters & Prints
399,2021-05-21,23437.0,Posters & Prints
400,2021-05-22,23437.0,Posters & Prints
401,2021-05-23,23437.0,Posters & Prints
402,2021-05-24,23437.0,Posters & Prints
403,2021-05-25,23437.0,Posters & Prints
404,2021-05-26,23437.0,Posters & Prints
405,2021-05-27,23437.0,Posters & Prints
406,2021-05-28,23437.0,Posters & Prints
407,2021-05-29,23437.0,Posters & Prints
408,2021-05-30,23437.0,Posters & Prints
409,2021-05-31,23437.0,Posters & Prints
410,2021-06-01,23437.0,Posters & Prints
411,2021-06-02,23437.0,Posters & Prints
412,2021-06-03,23437.0,Posters & Prints
413,2021-06-04,23437.0,Posters & Prints
414,2021-06-05,23437.0,Posters & Prints
415,2021-06-06,23437.0,Posters & Prints
416,2021-06-07,23437.0,Posters & Prints
417,2021-06-08,23437.0,Posters & Prints
418,2021-06-09,23437.0,Posters & Prints
419,2021-06-10,23437.0,Posters & Prints
420,2021-06-11,23437.0,Posters & Prints
421,2021-06-12,23437.0,Posters & Prints
422,2021-06-13,23437.0,Posters & Prints
423,2021-06-14,23437.0,Posters & Prints
424,2021-06-15,23437.0,Posters & Prints
425,2021-06-16,23437.0,Posters & Prints
426,2021-06-17,23437.0,Posters & Prints
427,2021-06-18,23437.0,Posters & Prints
428,2021-06-19,23437.0,Posters & Prints
429,2021-06-20,23437.0,Posters & Prints
430,2021-06-21,23437.0,Posters & Prints
431,2021-06-22,23437.0,Posters & Prints
432,2021-06-23,23437.0,Posters & Prints
433,2021-06-24,23437.0,Posters & Prints
434,2021-06-25,23437.0,Posters & Prints
435,2021-06-26,23437.0,Posters & Prints
436,2021-06-27,23437.0,Posters & Prints
437,2021-06-28,23437.0,Posters & Prints
438,2021-06-29,23437.0,Posters & Prints
439,2021-06-30,23437.0,Posters & Prints
440,2021-07-01,23437.0,Posters & Prints
441,2021-07-02,23437.0,Posters & Prints
442,2021-07-03,36703.0,Posters & Prints
443,2021-07-04,36703.0,Posters & Prints
444,2021-07-05,36680.0,Posters & Prints
445,2021-07-06,36680.0,Posters & Prints
446,2021-07-07,36680.0,Posters & Prints
447,2021-07-08,24987.0,Posters & Prints
448,2021-07-09,24987.0,Posters & Prints
449,2021-07-10,28843.0,Posters & Prints
