,date,value,name_B08CHDLMGS
44,2020-08-31,42122.0,Bed Blankets
45,2020-09-01,31794.0,Bed Blankets
46,2020-09-02,31794.0,Bed Blankets
47,2020-09-03,31794.0,Bed Blankets
48,2020-09-04,31794.0,Bed Blankets
49,2020-09-05,19813.0,Bed Blankets
50,2020-09-06,19813.0,Bed Blankets
51,2020-09-07,17560.0,Bed Blankets
52,2020-09-08,17560.0,Bed Blankets
53,2020-09-09,17560.0,Bed Blankets
54,2020-09-10,17560.0,Bed Blankets
55,2020-09-11,17560.0,Bed Blankets
56,2020-09-12,21794.0,Bed Blankets
57,2020-09-13,21794.0,Bed Blankets
58,2020-09-14,21794.0,Bed Blankets
59,2020-09-15,21794.0,Bed Blankets
60,2020-09-16,19026.0,Bed Blankets
61,2020-09-17,23001.0,Bed Blankets
62,2020-09-18,20290.0,Bed Blankets
63,2020-09-19,20290.0,Bed Blankets
64,2020-09-20,20290.0,Bed Blankets
65,2020-09-21,20290.0,Bed Blankets
66,2020-09-22,17244.0,Bed Blankets
67,2020-09-23,16379.0,Bed Blankets
68,2020-09-24,16379.0,Bed Blankets
69,2020-09-25,16851.0,Bed Blankets
70,2020-09-26,16851.0,Bed Blankets
71,2020-09-27,25796.0,Bed Blankets
72,2020-09-28,23604.0,Bed Blankets
73,2020-09-29,23604.0,Bed Blankets
74,2020-09-30,23604.0,Bed Blankets
75,2020-10-01,23604.0,Bed Blankets
76,2020-10-02,18373.0,Bed Blankets
77,2020-10-03,18373.0,Bed Blankets
78,2020-10-04,18373.0,Bed Blankets
79,2020-10-05,18373.0,Bed Blankets
80,2020-10-06,18373.0,Bed Blankets
81,2020-10-07,16610.0,Bed Blankets
82,2020-10-08,22020.0,Bed Blankets
83,2020-10-09,13100.0,Bed Blankets
84,2020-10-10,13100.0,Bed Blankets
85,2020-10-11,13100.0,Bed Blankets
86,2020-10-12,13100.0,Bed Blankets
87,2020-10-13,14038.0,Bed Blankets
88,2020-10-14,14038.0,Bed Blankets
89,2020-10-15,16914.0,Bed Blankets
90,2020-10-16,16914.0,Bed Blankets
91,2020-10-17,16914.0,Bed Blankets
92,2020-10-18,16914.0,Bed Blankets
93,2020-10-19,15489.0,Bed Blankets
94,2020-10-20,12302.0,Bed Blankets
95,2020-10-21,13059.0,Bed Blankets
96,2020-10-22,13059.0,Bed Blankets
97,2020-10-23,14440.0,Bed Blankets
98,2020-10-24,14440.0,Bed Blankets
99,2020-10-25,16606.0,Bed Blankets
100,2020-10-26,16606.0,Bed Blankets
101,2020-10-27,16606.0,Bed Blankets
102,2020-10-28,12480.0,Bed Blankets
103,2020-10-29,12524.0,Bed Blankets
104,2020-10-30,12524.0,Bed Blankets
105,2020-10-31,12524.0,Bed Blankets
106,2020-11-01,12524.0,Bed Blankets
107,2020-11-02,12524.0,Bed Blankets
108,2020-11-03,10631.0,Bed Blankets
109,2020-11-04,10631.0,Bed Blankets
110,2020-11-05,10631.0,Bed Blankets
111,2020-11-06,10631.0,Bed Blankets
112,2020-11-07,13709.0,Bed Blankets
113,2020-11-08,13709.0,Bed Blankets
114,2020-11-09,11928.0,Bed Blankets
115,2020-11-10,10475.0,Bed Blankets
116,2020-11-11,10475.0,Bed Blankets
117,2020-11-12,9337.0,Bed Blankets
118,2020-11-13,9337.0,Bed Blankets
119,2020-11-14,9337.0,Bed Blankets
120,2020-11-15,8297.0,Bed Blankets
121,2020-11-16,8297.0,Bed Blankets
122,2020-11-17,8297.0,Bed Blankets
123,2020-11-18,8297.0,Bed Blankets
124,2020-11-19,9950.0,Bed Blankets
125,2020-11-20,11334.0,Bed Blankets
126,2020-11-21,11334.0,Bed Blankets
127,2020-11-22,11334.0,Bed Blankets
128,2020-11-23,11334.0,Bed Blankets
129,2020-11-24,9552.0,Bed Blankets
130,2020-11-25,9552.0,Bed Blankets
131,2020-11-26,7210.0,Bed Blankets
132,2020-11-27,7210.0,Bed Blankets
133,2020-11-28,7210.0,Bed Blankets
134,2020-11-29,4402.0,Bed Blankets
135,2020-11-30,4402.0,Bed Blankets
136,2020-12-01,5518.0,Bed Blankets
137,2020-12-02,8216.0,Bed Blankets
138,2020-12-03,8216.0,Bed Blankets
139,2020-12-04,9037.0,Bed Blankets
140,2020-12-05,9037.0,Bed Blankets
141,2020-12-06,9037.0,Bed Blankets
142,2020-12-07,9306.0,Bed Blankets
143,2020-12-08,6162.0,Bed Blankets
144,2020-12-09,6162.0,Bed Blankets
145,2020-12-10,8507.0,Bed Blankets
146,2020-12-11,11321.0,Bed Blankets
147,2020-12-12,11321.0,Bed Blankets
148,2020-12-13,11321.0,Bed Blankets
149,2020-12-14,11321.0,Bed Blankets
150,2020-12-15,11321.0,Bed Blankets
151,2020-12-16,11321.0,Bed Blankets
152,2020-12-17,22953.0,Bed Blankets
153,2020-12-18,22953.0,Bed Blankets
154,2020-12-19,22953.0,Bed Blankets
155,2020-12-20,22953.0,Bed Blankets
156,2020-12-21,19450.0,Bed Blankets
157,2020-12-22,19275.0,Bed Blankets
158,2020-12-23,19275.0,Bed Blankets
159,2020-12-24,19275.0,Bed Blankets
160,2020-12-25,15082.0,Bed Blankets
161,2020-12-26,15082.0,Bed Blankets
162,2020-12-27,15082.0,Bed Blankets
163,2020-12-28,15082.0,Bed Blankets
164,2020-12-29,15082.0,Bed Blankets
165,2020-12-30,15082.0,Bed Blankets
166,2020-12-31,14183.0,Bed Blankets
167,2021-01-01,14183.0,Bed Blankets
168,2021-01-02,14029.0,Bed Blankets
169,2021-01-03,14029.0,Bed Blankets
170,2021-01-04,15693.0,Bed Blankets
171,2021-01-05,15693.0,Bed Blankets
172,2021-01-06,22490.0,Bed Blankets
173,2021-01-07,22490.0,Bed Blankets
174,2021-01-08,22490.0,Bed Blankets
175,2021-01-09,22490.0,Bed Blankets
176,2021-01-10,22490.0,Bed Blankets
177,2021-01-11,35325.0,Bed Blankets
178,2021-01-12,26492.0,Bed Blankets
179,2021-01-13,26492.0,Bed Blankets
180,2021-01-14,38497.0,Bed Blankets
181,2021-01-15,38497.0,Bed Blankets
182,2021-01-16,38497.0,Bed Blankets
183,2021-01-17,38497.0,Bed Blankets
184,2021-01-18,29475.0,Bed Blankets
185,2021-01-19,29475.0,Bed Blankets
186,2021-01-20,29475.0,Bed Blankets
187,2021-01-21,42893.0,Bed Blankets
188,2021-01-22,42893.0,Bed Blankets
189,2021-01-23,26412.0,Bed Blankets
190,2021-01-24,26412.0,Bed Blankets
191,2021-01-25,26412.0,Bed Blankets
192,2021-01-26,26412.0,Bed Blankets
193,2021-01-27,26412.0,Bed Blankets
194,2021-01-28,24251.0,Bed Blankets
195,2021-01-29,24251.0,Bed Blankets
196,2021-01-30,24251.0,Bed Blankets
197,2021-01-31,24251.0,Bed Blankets
198,2021-02-01,24445.0,Bed Blankets
199,2021-02-02,21770.0,Bed Blankets
200,2021-02-03,14992.0,Bed Blankets
201,2021-02-04,14992.0,Bed Blankets
202,2021-02-05,14992.0,Bed Blankets
203,2021-02-06,17553.0,Bed Blankets
204,2021-02-07,17553.0,Bed Blankets
205,2021-02-08,17553.0,Bed Blankets
206,2021-02-09,17553.0,Bed Blankets
207,2021-02-10,16380.0,Bed Blankets
208,2021-02-11,16380.0,Bed Blankets
209,2021-02-12,16380.0,Bed Blankets
210,2021-02-13,16916.0,Bed Blankets
211,2021-02-14,17046.0,Bed Blankets
212,2021-02-15,17046.0,Bed Blankets
213,2021-02-16,17046.0,Bed Blankets
214,2021-02-17,17783.0,Bed Blankets
215,2021-02-18,17783.0,Bed Blankets
216,2021-02-19,17783.0,Bed Blankets
217,2021-02-20,18847.0,Bed Blankets
218,2021-02-21,18847.0,Bed Blankets
219,2021-02-22,18847.0,Bed Blankets
220,2021-02-23,18847.0,Bed Blankets
221,2021-02-24,21312.0,Bed Blankets
222,2021-02-25,21312.0,Bed Blankets
223,2021-02-26,19756.0,Bed Blankets
224,2021-02-27,19756.0,Bed Blankets
225,2021-02-28,19756.0,Bed Blankets
226,2021-03-01,17862.0,Bed Blankets
227,2021-03-02,15215.0,Bed Blankets
228,2021-03-03,15215.0,Bed Blankets
229,2021-03-04,14997.0,Bed Blankets
230,2021-03-05,11584.0,Bed Blankets
231,2021-03-06,8760.0,Bed Blankets
232,2021-03-07,8031.0,Bed Blankets
233,2021-03-08,7266.0,Bed Blankets
234,2021-03-09,7261.0,Bed Blankets
235,2021-03-10,6456.0,Bed Blankets
236,2021-03-11,6456.0,Bed Blankets
237,2021-03-12,6456.0,Bed Blankets
238,2021-03-13,7553.0,Bed Blankets
239,2021-03-14,7553.0,Bed Blankets
240,2021-03-15,7553.0,Bed Blankets
241,2021-03-16,7553.0,Bed Blankets
242,2021-03-17,9471.0,Bed Blankets
243,2021-03-18,9471.0,Bed Blankets
244,2021-03-19,9471.0,Bed Blankets
245,2021-03-20,9471.0,Bed Blankets
246,2021-03-21,7807.0,Bed Blankets
247,2021-03-22,7807.0,Bed Blankets
248,2021-03-23,7807.0,Bed Blankets
249,2021-03-24,5289.0,Bed Blankets
250,2021-03-25,5289.0,Bed Blankets
251,2021-03-26,6634.0,Bed Blankets
252,2021-03-27,6641.0,Bed Blankets
253,2021-03-28,6641.0,Bed Blankets
254,2021-03-29,6641.0,Bed Blankets
255,2021-03-30,6641.0,Bed Blankets
256,2021-03-31,6517.0,Bed Blankets
257,2021-04-01,5132.0,Bed Blankets
258,2021-04-02,5132.0,Bed Blankets
259,2021-04-03,5813.0,Bed Blankets
260,2021-04-04,5813.0,Bed Blankets
261,2021-04-05,5737.0,Bed Blankets
262,2021-04-06,5200.0,Bed Blankets
263,2021-04-07,5511.0,Bed Blankets
264,2021-04-08,5511.0,Bed Blankets
265,2021-04-09,5511.0,Bed Blankets
266,2021-04-10,4943.0,Bed Blankets
267,2021-04-11,4943.0,Bed Blankets
268,2021-04-12,4881.0,Bed Blankets
269,2021-04-13,4313.0,Bed Blankets
270,2021-04-14,4887.0,Bed Blankets
271,2021-04-15,4887.0,Bed Blankets
272,2021-04-16,4871.0,Bed Blankets
273,2021-04-17,4871.0,Bed Blankets
274,2021-04-18,4871.0,Bed Blankets
275,2021-04-19,4531.0,Bed Blankets
276,2021-04-20,4531.0,Bed Blankets
277,2021-04-21,5569.0,Bed Blankets
278,2021-04-22,6181.0,Bed Blankets
279,2021-04-23,4747.0,Bed Blankets
280,2021-04-24,4747.0,Bed Blankets
281,2021-04-25,5003.0,Bed Blankets
282,2021-04-26,5137.0,Bed Blankets
283,2021-04-27,5137.0,Bed Blankets
284,2021-04-28,5286.0,Bed Blankets
285,2021-04-29,5151.0,Bed Blankets
286,2021-04-30,5151.0,Bed Blankets
287,2021-05-01,5217.0,Bed Blankets
288,2021-05-02,5217.0,Bed Blankets
289,2021-05-03,5941.0,Bed Blankets
290,2021-05-04,5941.0,Bed Blankets
291,2021-05-05,5941.0,Bed Blankets
292,2021-05-06,5109.0,Bed Blankets
293,2021-05-07,5109.0,Bed Blankets
294,2021-05-08,6992.0,Bed Blankets
295,2021-05-09,6992.0,Bed Blankets
296,2021-05-10,4712.0,Bed Blankets
297,2021-05-11,5879.0,Bed Blankets
298,2021-05-12,5879.0,Bed Blankets
299,2021-05-13,5277.0,Bed Blankets
300,2021-05-14,5564.0,Bed Blankets
301,2021-05-15,5564.0,Bed Blankets
302,2021-05-16,5564.0,Bed Blankets
303,2021-05-17,4676.0,Bed Blankets
304,2021-05-18,4676.0,Bed Blankets
305,2021-05-19,5072.0,Bed Blankets
306,2021-05-20,5080.0,Bed Blankets
307,2021-05-21,5080.0,Bed Blankets
308,2021-05-22,3764.0,Bed Blankets
309,2021-05-23,3764.0,Bed Blankets
310,2021-05-24,3993.0,Bed Blankets
311,2021-05-25,3993.0,Bed Blankets
312,2021-05-26,4042.0,Bed Blankets
313,2021-05-27,4197.0,Bed Blankets
314,2021-05-28,3822.0,Bed Blankets
315,2021-05-29,3393.0,Bed Blankets
316,2021-05-30,3393.0,Bed Blankets
317,2021-05-31,4109.0,Bed Blankets
318,2021-06-01,4221.0,Bed Blankets
319,2021-06-02,4999.0,Bed Blankets
320,2021-06-03,4790.0,Bed Blankets
321,2021-06-04,5228.0,Bed Blankets
322,2021-06-05,5228.0,Bed Blankets
323,2021-06-06,3324.0,Bed Blankets
324,2021-06-07,3798.0,Bed Blankets
325,2021-06-08,3607.0,Bed Blankets
326,2021-06-09,3607.0,Bed Blankets
327,2021-06-10,4035.0,Bed Blankets
328,2021-06-11,4035.0,Bed Blankets
329,2021-06-12,3325.0,Bed Blankets
330,2021-06-13,4268.0,Bed Blankets
331,2021-06-14,4268.0,Bed Blankets
332,2021-06-15,3784.0,Bed Blankets
333,2021-06-16,3784.0,Bed Blankets
334,2021-06-17,5050.0,Bed Blankets
335,2021-06-18,4454.0,Bed Blankets
336,2021-06-19,4454.0,Bed Blankets
337,2021-06-20,4690.0,Bed Blankets
338,2021-06-21,4737.0,Bed Blankets
339,2021-06-22,2990.0,Bed Blankets
340,2021-06-23,2857.0,Bed Blankets
341,2021-06-24,2808.0,Bed Blankets
342,2021-06-25,3337.0,Bed Blankets
343,2021-06-26,3202.0,Bed Blankets
344,2021-06-27,3202.0,Bed Blankets
345,2021-06-28,2922.0,Bed Blankets
346,2021-06-29,3122.0,Bed Blankets
347,2021-06-30,2663.0,Bed Blankets
348,2021-07-01,2799.0,Bed Blankets
349,2021-07-02,2799.0,Bed Blankets
350,2021-07-03,3416.0,Bed Blankets
351,2021-07-04,3133.0,Bed Blankets
352,2021-07-05,3367.0,Bed Blankets
353,2021-07-06,3281.0,Bed Blankets
354,2021-07-07,3808.0,Bed Blankets
355,2021-07-08,2916.0,Bed Blankets
356,2021-07-09,3246.0,Bed Blankets
357,2021-07-10,3246.0,Bed Blankets
358,2021-07-11,3351.0,Bed Blankets
