,date,value,name_B08FFNF2XZ
285,2021-05-20,772.0,Protein Bars
286,2021-05-21,843.0,Protein Bars
287,2021-05-22,896.0,Protein Bars
288,2021-05-23,878.0,Protein Bars
289,2021-05-24,865.0,Protein Bars
290,2021-05-25,861.0,Protein Bars
291,2021-05-26,868.0,Protein Bars
292,2021-05-27,804.0,Protein Bars
293,2021-05-28,818.0,Protein Bars
294,2021-05-29,891.0,Protein Bars
295,2021-05-30,879.0,Protein Bars
296,2021-05-31,783.0,Protein Bars
297,2021-06-01,752.0,Protein Bars
298,2021-06-02,746.0,Protein Bars
299,2021-06-03,805.0,Protein Bars
300,2021-06-04,821.0,Protein Bars
301,2021-06-05,780.0,Protein Bars
302,2021-06-06,774.0,Protein Bars
303,2021-06-07,783.0,Protein Bars
304,2021-06-08,827.0,Protein Bars
305,2021-06-09,843.0,Protein Bars
306,2021-06-10,916.0,Protein Bars
307,2021-06-11,844.0,Protein Bars
308,2021-06-12,887.0,Protein Bars
309,2021-06-13,961.0,Protein Bars
310,2021-06-14,769.0,Protein Bars
311,2021-06-15,782.0,Protein Bars
312,2021-06-16,689.0,Protein Bars
313,2021-06-17,732.0,Protein Bars
314,2021-06-18,814.0,Protein Bars
315,2021-06-19,809.0,Protein Bars
316,2021-06-20,784.0,Protein Bars
317,2021-06-21,867.0,Protein Bars
318,2021-06-22,970.0,Protein Bars
319,2021-06-23,531.0,Protein Bars
320,2021-06-24,614.0,Protein Bars
321,2021-06-25,699.0,Protein Bars
322,2021-06-26,780.0,Protein Bars
323,2021-06-27,800.0,Protein Bars
324,2021-06-28,735.0,Protein Bars
325,2021-06-29,764.0,Protein Bars
326,2021-06-30,781.0,Protein Bars
327,2021-07-01,772.0,Protein Bars
328,2021-07-02,748.0,Protein Bars
329,2021-07-03,875.0,Protein Bars
330,2021-07-04,860.0,Protein Bars
331,2021-07-05,693.0,Protein Bars
332,2021-07-06,753.0,Protein Bars
333,2021-07-07,780.0,Protein Bars
334,2021-07-08,854.0,Protein Bars
335,2021-07-09,819.0,Protein Bars
336,2021-07-10,921.0,Protein Bars
