,date,value,name_B08H8DXNZR
280,2021-06-12,6052.0,Fabric
281,2021-06-13,4710.0,Fabric
282,2021-06-14,4710.0,Fabric
283,2021-06-15,4710.0,Fabric
284,2021-06-16,4710.0,Fabric
285,2021-06-17,3979.0,Fabric
286,2021-06-18,2640.0,Fabric
287,2021-06-19,4421.0,Fabric
288,2021-06-20,4421.0,Fabric
289,2021-06-21,3992.0,Fabric
290,2021-06-22,1051.0,Fabric
291,2021-06-23,896.0,Fabric
292,2021-06-24,1446.0,Fabric
293,2021-06-25,1446.0,Fabric
294,2021-06-26,2637.0,Fabric
295,2021-06-27,2637.0,Fabric
296,2021-06-28,2111.0,Fabric
297,2021-06-29,5615.0,Fabric
298,2021-06-30,5289.0,Fabric
299,2021-07-01,4679.0,Fabric
300,2021-07-02,4913.0,Fabric
301,2021-07-03,4913.0,Fabric
302,2021-07-04,4913.0,Fabric
303,2021-07-05,6821.0,Fabric
304,2021-07-06,6821.0,Fabric
305,2021-07-07,4639.0,Fabric
306,2021-07-08,3638.0,Fabric
307,2021-07-09,4650.0,Fabric
308,2021-07-10,6395.0,Fabric
309,2021-07-11,5294.0,Fabric
