,date,value,name_B07NQLFJMT
138,2019-07-20,5077.0,Champagne Glasses
139,2019-07-21,5077.0,Champagne Glasses
140,2019-07-22,6431.0,Champagne Glasses
141,2019-07-23,6431.0,Champagne Glasses
142,2019-07-24,5204.0,Champagne Glasses
143,2019-07-25,2890.0,Champagne Glasses
144,2019-07-26,2395.0,Champagne Glasses
145,2019-07-27,2395.0,Champagne Glasses
146,2019-07-28,4276.0,Champagne Glasses
147,2019-07-29,4276.0,Champagne Glasses
148,2019-07-30,4276.0,Champagne Glasses
149,2019-07-31,2677.0,Champagne Glasses
150,2019-08-01,2677.0,Champagne Glasses
151,2019-08-02,2891.0,Champagne Glasses
152,2019-08-03,2891.0,Champagne Glasses
153,2019-08-04,2891.0,Champagne Glasses
154,2019-08-05,3109.0,Champagne Glasses
155,2019-08-06,3194.0,Champagne Glasses
156,2019-08-07,2654.0,Champagne Glasses
157,2019-08-08,3344.0,Champagne Glasses
158,2019-08-09,3344.0,Champagne Glasses
159,2019-08-10,3344.0,Champagne Glasses
160,2019-08-11,3344.0,Champagne Glasses
161,2019-08-12,3439.0,Champagne Glasses
162,2019-08-13,2605.0,Champagne Glasses
163,2019-08-14,3138.0,Champagne Glasses
164,2019-08-15,2511.0,Champagne Glasses
165,2019-08-16,3016.0,Champagne Glasses
166,2019-08-17,2854.0,Champagne Glasses
167,2019-08-18,2854.0,Champagne Glasses
168,2019-08-19,3080.0,Champagne Glasses
169,2019-08-20,3080.0,Champagne Glasses
170,2019-08-21,2392.0,Champagne Glasses
171,2019-08-22,2392.0,Champagne Glasses
172,2019-08-23,2774.0,Champagne Glasses
173,2019-08-24,2232.0,Champagne Glasses
174,2019-08-25,2232.0,Champagne Glasses
175,2019-08-26,3051.0,Champagne Glasses
176,2019-08-27,3051.0,Champagne Glasses
177,2019-08-28,3051.0,Champagne Glasses
178,2019-08-29,3051.0,Champagne Glasses
179,2019-08-30,2796.0,Champagne Glasses
180,2019-08-31,2796.0,Champagne Glasses
181,2019-09-01,3382.0,Champagne Glasses
182,2019-09-02,3382.0,Champagne Glasses
183,2019-09-03,3539.0,Champagne Glasses
184,2019-09-04,3317.0,Champagne Glasses
185,2019-09-05,3969.0,Champagne Glasses
186,2019-09-06,2491.0,Champagne Glasses
187,2019-09-07,2350.0,Champagne Glasses
188,2019-09-08,2883.0,Champagne Glasses
189,2019-09-09,2630.0,Champagne Glasses
190,2019-09-10,2270.0,Champagne Glasses
191,2019-09-11,1850.0,Champagne Glasses
192,2019-09-12,1850.0,Champagne Glasses
193,2019-09-13,2683.0,Champagne Glasses
194,2019-09-14,2573.0,Champagne Glasses
195,2019-09-15,3383.0,Champagne Glasses
196,2019-09-16,4136.0,Champagne Glasses
197,2019-09-17,3011.0,Champagne Glasses
198,2019-09-18,2521.0,Champagne Glasses
199,2019-09-19,2642.0,Champagne Glasses
200,2019-09-20,2447.0,Champagne Glasses
201,2019-09-21,1898.0,Champagne Glasses
202,2019-09-22,2472.0,Champagne Glasses
203,2019-09-23,2452.0,Champagne Glasses
204,2019-09-24,2204.0,Champagne Glasses
205,2019-09-25,1622.0,Champagne Glasses
206,2019-09-26,1875.0,Champagne Glasses
207,2019-09-27,1916.0,Champagne Glasses
208,2019-09-28,2010.0,Champagne Glasses
209,2019-09-29,2542.0,Champagne Glasses
210,2019-09-30,3554.0,Champagne Glasses
211,2019-10-01,3554.0,Champagne Glasses
212,2019-10-02,3554.0,Champagne Glasses
213,2019-10-03,1792.0,Champagne Glasses
214,2019-10-04,2255.0,Champagne Glasses
215,2019-10-05,2255.0,Champagne Glasses
216,2019-10-06,3161.0,Champagne Glasses
217,2019-10-07,3570.0,Champagne Glasses
218,2019-10-08,3312.0,Champagne Glasses
219,2019-10-09,3312.0,Champagne Glasses
220,2019-10-10,2731.0,Champagne Glasses
221,2019-10-11,3435.0,Champagne Glasses
222,2019-10-12,3435.0,Champagne Glasses
223,2019-10-13,5270.0,Champagne Glasses
224,2019-10-14,5270.0,Champagne Glasses
225,2019-10-15,4661.0,Champagne Glasses
226,2019-10-16,4162.0,Champagne Glasses
227,2019-10-17,3581.0,Champagne Glasses
228,2019-10-18,3581.0,Champagne Glasses
229,2019-10-19,3581.0,Champagne Glasses
230,2019-10-20,6066.0,Champagne Glasses
231,2019-10-21,7828.0,Champagne Glasses
232,2019-10-22,7828.0,Champagne Glasses
233,2019-10-23,7828.0,Champagne Glasses
234,2019-10-24,8325.0,Champagne Glasses
235,2019-10-25,5194.0,Champagne Glasses
236,2019-10-26,4897.0,Champagne Glasses
237,2019-10-27,4897.0,Champagne Glasses
238,2019-10-28,8131.0,Champagne Glasses
239,2019-10-29,8131.0,Champagne Glasses
240,2019-10-30,8131.0,Champagne Glasses
241,2019-10-31,6386.0,Champagne Glasses
242,2019-11-01,6386.0,Champagne Glasses
243,2019-11-02,6386.0,Champagne Glasses
244,2019-11-03,4849.0,Champagne Glasses
245,2019-11-04,4849.0,Champagne Glasses
246,2019-11-05,4849.0,Champagne Glasses
247,2019-11-06,3113.0,Champagne Glasses
248,2019-11-07,2344.0,Champagne Glasses
249,2019-11-08,3436.0,Champagne Glasses
250,2019-11-09,3436.0,Champagne Glasses
251,2019-11-10,3436.0,Champagne Glasses
252,2019-11-11,4912.0,Champagne Glasses
253,2019-11-12,4912.0,Champagne Glasses
254,2019-11-13,4912.0,Champagne Glasses
255,2019-11-14,3951.0,Champagne Glasses
256,2019-11-15,3951.0,Champagne Glasses
257,2019-11-16,3951.0,Champagne Glasses
258,2019-11-17,3951.0,Champagne Glasses
259,2019-11-18,4992.0,Champagne Glasses
260,2019-11-19,4992.0,Champagne Glasses
261,2019-11-20,4992.0,Champagne Glasses
262,2019-11-21,4641.0,Champagne Glasses
263,2019-11-22,4641.0,Champagne Glasses
264,2019-11-23,4641.0,Champagne Glasses
265,2019-11-24,7926.0,Champagne Glasses
266,2019-11-25,5356.0,Champagne Glasses
267,2019-11-26,5065.0,Champagne Glasses
268,2019-11-27,5065.0,Champagne Glasses
269,2019-11-28,5065.0,Champagne Glasses
270,2019-11-29,8365.0,Champagne Glasses
271,2019-11-30,8365.0,Champagne Glasses
272,2019-12-01,8365.0,Champagne Glasses
273,2019-12-02,8328.0,Champagne Glasses
274,2019-12-03,8328.0,Champagne Glasses
275,2019-12-04,6474.0,Champagne Glasses
276,2019-12-05,6474.0,Champagne Glasses
277,2019-12-06,6474.0,Champagne Glasses
278,2019-12-07,6474.0,Champagne Glasses
279,2019-12-08,6474.0,Champagne Glasses
280,2019-12-09,8616.0,Champagne Glasses
281,2019-12-10,8616.0,Champagne Glasses
282,2019-12-11,4970.0,Champagne Glasses
283,2019-12-12,4970.0,Champagne Glasses
284,2019-12-13,4970.0,Champagne Glasses
285,2019-12-14,5529.0,Champagne Glasses
286,2019-12-15,5529.0,Champagne Glasses
287,2019-12-16,5529.0,Champagne Glasses
288,2019-12-17,5529.0,Champagne Glasses
289,2019-12-18,5529.0,Champagne Glasses
290,2019-12-19,3907.0,Champagne Glasses
291,2019-12-20,3574.0,Champagne Glasses
292,2019-12-21,3574.0,Champagne Glasses
293,2019-12-22,3574.0,Champagne Glasses
294,2019-12-23,3574.0,Champagne Glasses
295,2019-12-24,3986.0,Champagne Glasses
296,2019-12-25,2053.0,Champagne Glasses
297,2019-12-26,2186.0,Champagne Glasses
298,2019-12-27,2186.0,Champagne Glasses
299,2019-12-28,2186.0,Champagne Glasses
300,2019-12-29,449.0,Champagne Glasses
301,2019-12-30,449.0,Champagne Glasses
302,2019-12-31,1654.0,Champagne Glasses
303,2020-01-01,1654.0,Champagne Glasses
304,2020-01-02,4313.0,Champagne Glasses
305,2020-01-03,4191.0,Champagne Glasses
306,2020-01-04,4191.0,Champagne Glasses
307,2020-01-05,4191.0,Champagne Glasses
308,2020-01-06,4191.0,Champagne Glasses
309,2020-01-07,4664.0,Champagne Glasses
310,2020-01-08,4664.0,Champagne Glasses
311,2020-01-09,4664.0,Champagne Glasses
312,2020-01-10,4568.0,Champagne Glasses
313,2020-01-11,4568.0,Champagne Glasses
314,2020-01-12,4568.0,Champagne Glasses
315,2020-01-13,4568.0,Champagne Glasses
316,2020-01-14,6309.0,Champagne Glasses
317,2020-01-15,6309.0,Champagne Glasses
318,2020-01-16,6309.0,Champagne Glasses
319,2020-01-17,6309.0,Champagne Glasses
320,2020-01-18,6309.0,Champagne Glasses
321,2020-01-19,6309.0,Champagne Glasses
322,2020-01-20,10953.0,Champagne Glasses
323,2020-01-21,10953.0,Champagne Glasses
324,2020-01-22,10953.0,Champagne Glasses
325,2020-01-23,10953.0,Champagne Glasses
326,2020-01-24,6449.0,Champagne Glasses
327,2020-01-25,6449.0,Champagne Glasses
328,2020-01-26,6449.0,Champagne Glasses
329,2020-01-27,9803.0,Champagne Glasses
330,2020-01-28,9803.0,Champagne Glasses
331,2020-01-29,9803.0,Champagne Glasses
332,2020-01-30,7786.0,Champagne Glasses
333,2020-01-31,7786.0,Champagne Glasses
334,2020-02-01,7786.0,Champagne Glasses
335,2020-02-02,7786.0,Champagne Glasses
336,2020-02-03,7786.0,Champagne Glasses
337,2020-02-04,7786.0,Champagne Glasses
338,2020-02-05,7756.0,Champagne Glasses
339,2020-02-06,7756.0,Champagne Glasses
340,2020-02-07,7756.0,Champagne Glasses
341,2020-02-08,9615.0,Champagne Glasses
342,2020-02-09,9615.0,Champagne Glasses
343,2020-02-10,8540.0,Champagne Glasses
344,2020-02-11,8540.0,Champagne Glasses
345,2020-02-12,8540.0,Champagne Glasses
346,2020-02-13,8540.0,Champagne Glasses
347,2020-02-14,8540.0,Champagne Glasses
348,2020-02-15,13083.0,Champagne Glasses
349,2020-02-16,13083.0,Champagne Glasses
350,2020-02-17,11920.0,Champagne Glasses
351,2020-02-18,11920.0,Champagne Glasses
352,2020-02-19,8962.0,Champagne Glasses
353,2020-02-20,8962.0,Champagne Glasses
354,2020-02-21,8962.0,Champagne Glasses
355,2020-02-22,8962.0,Champagne Glasses
356,2020-02-23,6241.0,Champagne Glasses
357,2020-02-24,6241.0,Champagne Glasses
358,2020-02-25,8668.0,Champagne Glasses
359,2020-02-26,6791.0,Champagne Glasses
360,2020-02-27,6791.0,Champagne Glasses
361,2020-02-28,6791.0,Champagne Glasses
362,2020-02-29,8067.0,Champagne Glasses
363,2020-03-01,8378.0,Champagne Glasses
364,2020-03-02,8378.0,Champagne Glasses
365,2020-03-03,8378.0,Champagne Glasses
366,2020-03-04,8378.0,Champagne Glasses
367,2020-03-05,8779.0,Champagne Glasses
368,2020-03-06,8779.0,Champagne Glasses
369,2020-03-07,8779.0,Champagne Glasses
370,2020-03-08,8779.0,Champagne Glasses
371,2020-03-09,8779.0,Champagne Glasses
372,2020-03-10,8779.0,Champagne Glasses
373,2020-03-11,-1.0,Champagne Glasses
