,date,value,name_B08QZP9KCW
78,2021-05-15,301611.0,Personal Size Blenders
79,2021-05-16,312871.0,Personal Size Blenders
80,2021-05-17,318203.0,Personal Size Blenders
81,2021-05-18,323324.0,Personal Size Blenders
82,2021-05-19,328055.0,Personal Size Blenders
83,2021-05-20,328055.0,Personal Size Blenders
84,2021-05-21,207169.0,Personal Size Blenders
85,2021-05-22,235415.0,Personal Size Blenders
86,2021-05-23,270661.0,Personal Size Blenders
87,2021-05-24,290234.0,Personal Size Blenders
88,2021-05-25,308177.0,Personal Size Blenders
89,2021-05-26,324427.0,Personal Size Blenders
90,2021-05-27,332394.0,Personal Size Blenders
91,2021-05-28,336455.0,Personal Size Blenders
92,2021-05-29,342496.0,Personal Size Blenders
93,2021-05-30,342496.0,Personal Size Blenders
94,2021-05-31,239226.0,Personal Size Blenders
95,2021-06-01,256706.0,Personal Size Blenders
96,2021-06-02,294010.0,Personal Size Blenders
97,2021-06-03,313626.0,Personal Size Blenders
98,2021-06-04,323318.0,Personal Size Blenders
99,2021-06-05,341829.0,Personal Size Blenders
100,2021-06-06,346850.0,Personal Size Blenders
101,2021-06-07,186542.0,Personal Size Blenders
102,2021-06-08,214899.0,Personal Size Blenders
103,2021-06-09,196409.0,Personal Size Blenders
104,2021-06-10,196409.0,Personal Size Blenders
105,2021-06-11,273003.0,Personal Size Blenders
106,2021-06-12,273003.0,Personal Size Blenders
107,2021-06-13,171672.0,Personal Size Blenders
108,2021-06-14,245992.0,Personal Size Blenders
109,2021-06-15,245992.0,Personal Size Blenders
110,2021-06-16,304128.0,Personal Size Blenders
111,2021-06-17,107399.0,Personal Size Blenders
112,2021-06-18,107480.0,Personal Size Blenders
113,2021-06-19,131874.0,Personal Size Blenders
114,2021-06-20,828.0,Personal Size Blenders
115,2021-06-21,4747.0,Personal Size Blenders
116,2021-06-22,16418.0,Personal Size Blenders
117,2021-06-23,25320.0,Personal Size Blenders
118,2021-06-24,35359.0,Personal Size Blenders
119,2021-06-25,35359.0,Personal Size Blenders
120,2021-06-26,58868.0,Personal Size Blenders
121,2021-06-27,73471.0,Personal Size Blenders
122,2021-06-28,75576.0,Personal Size Blenders
123,2021-06-29,100979.0,Personal Size Blenders
124,2021-06-30,110916.0,Personal Size Blenders
125,2021-07-01,124204.0,Personal Size Blenders
126,2021-07-02,125970.0,Personal Size Blenders
127,2021-07-03,124023.0,Personal Size Blenders
128,2021-07-04,124023.0,Personal Size Blenders
129,2021-07-05,138613.0,Personal Size Blenders
130,2021-07-06,155547.0,Personal Size Blenders
131,2021-07-07,153206.0,Personal Size Blenders
132,2021-07-08,157514.0,Personal Size Blenders
133,2021-07-09,162581.0,Personal Size Blenders
