,date,value,name_B086TVZG5G
34,2020-06-27,4385.0,Gag Toys & Practical Jokes
35,2020-06-28,3736.0,Gag Toys & Practical Jokes
36,2020-06-29,3736.0,Gag Toys & Practical Jokes
37,2020-06-30,5490.0,Gag Toys & Practical Jokes
38,2020-07-01,5490.0,Gag Toys & Practical Jokes
39,2020-07-02,4326.0,Gag Toys & Practical Jokes
40,2020-07-03,4943.0,Gag Toys & Practical Jokes
41,2020-07-04,3245.0,Gag Toys & Practical Jokes
42,2020-07-05,2798.0,Gag Toys & Practical Jokes
43,2020-07-06,3247.0,Gag Toys & Practical Jokes
44,2020-07-07,5034.0,Gag Toys & Practical Jokes
45,2020-07-08,4543.0,Gag Toys & Practical Jokes
46,2020-07-09,3915.0,Gag Toys & Practical Jokes
47,2020-07-10,3915.0,Gag Toys & Practical Jokes
48,2020-07-11,3959.0,Gag Toys & Practical Jokes
49,2020-07-12,3959.0,Gag Toys & Practical Jokes
50,2020-07-13,4898.0,Gag Toys & Practical Jokes
51,2020-07-14,4255.0,Gag Toys & Practical Jokes
52,2020-07-15,4155.0,Gag Toys & Practical Jokes
53,2020-07-16,4125.0,Gag Toys & Practical Jokes
54,2020-07-17,3913.0,Gag Toys & Practical Jokes
55,2020-07-18,3913.0,Gag Toys & Practical Jokes
56,2020-07-19,4201.0,Gag Toys & Practical Jokes
57,2020-07-20,4688.0,Gag Toys & Practical Jokes
58,2020-07-21,4603.0,Gag Toys & Practical Jokes
59,2020-07-22,5530.0,Gag Toys & Practical Jokes
60,2020-07-23,3991.0,Gag Toys & Practical Jokes
61,2020-07-24,3991.0,Gag Toys & Practical Jokes
62,2020-07-25,3413.0,Gag Toys & Practical Jokes
63,2020-07-26,3413.0,Gag Toys & Practical Jokes
64,2020-07-27,3413.0,Gag Toys & Practical Jokes
65,2020-07-28,3898.0,Gag Toys & Practical Jokes
66,2020-07-29,3586.0,Gag Toys & Practical Jokes
67,2020-07-30,3671.0,Gag Toys & Practical Jokes
68,2020-07-31,4119.0,Gag Toys & Practical Jokes
69,2020-08-01,4119.0,Gag Toys & Practical Jokes
70,2020-08-02,4119.0,Gag Toys & Practical Jokes
71,2020-08-03,5311.0,Gag Toys & Practical Jokes
72,2020-08-04,4922.0,Gag Toys & Practical Jokes
73,2020-08-05,5790.0,Gag Toys & Practical Jokes
74,2020-08-06,5099.0,Gag Toys & Practical Jokes
75,2020-08-07,6093.0,Gag Toys & Practical Jokes
76,2020-08-08,6093.0,Gag Toys & Practical Jokes
77,2020-08-09,6093.0,Gag Toys & Practical Jokes
78,2020-08-10,4415.0,Gag Toys & Practical Jokes
79,2020-08-11,4362.0,Gag Toys & Practical Jokes
80,2020-08-12,4362.0,Gag Toys & Practical Jokes
81,2020-08-13,4362.0,Gag Toys & Practical Jokes
82,2020-08-14,3895.0,Gag Toys & Practical Jokes
83,2020-08-15,3895.0,Gag Toys & Practical Jokes
84,2020-08-16,3505.0,Gag Toys & Practical Jokes
85,2020-08-17,3489.0,Gag Toys & Practical Jokes
86,2020-08-18,3167.0,Gag Toys & Practical Jokes
87,2020-08-19,3167.0,Gag Toys & Practical Jokes
88,2020-08-20,2300.0,Gag Toys & Practical Jokes
89,2020-08-21,2963.0,Gag Toys & Practical Jokes
90,2020-08-22,3328.0,Gag Toys & Practical Jokes
91,2020-08-23,3328.0,Gag Toys & Practical Jokes
92,2020-08-24,2835.0,Gag Toys & Practical Jokes
93,2020-08-25,2835.0,Gag Toys & Practical Jokes
94,2020-08-26,2835.0,Gag Toys & Practical Jokes
95,2020-08-27,2835.0,Gag Toys & Practical Jokes
96,2020-08-28,2835.0,Gag Toys & Practical Jokes
97,2020-08-29,2835.0,Gag Toys & Practical Jokes
98,2020-08-30,2835.0,Gag Toys & Practical Jokes
99,2020-08-31,2835.0,Gag Toys & Practical Jokes
100,2020-09-01,2835.0,Gag Toys & Practical Jokes
101,2020-09-02,2835.0,Gag Toys & Practical Jokes
102,2020-09-03,2835.0,Gag Toys & Practical Jokes
103,2020-09-04,2835.0,Gag Toys & Practical Jokes
104,2020-09-05,2835.0,Gag Toys & Practical Jokes
105,2020-09-06,2835.0,Gag Toys & Practical Jokes
106,2020-09-07,2835.0,Gag Toys & Practical Jokes
107,2020-09-08,2835.0,Gag Toys & Practical Jokes
108,2020-09-09,2835.0,Gag Toys & Practical Jokes
109,2020-09-10,2835.0,Gag Toys & Practical Jokes
110,2020-09-11,2835.0,Gag Toys & Practical Jokes
111,2020-09-12,2835.0,Gag Toys & Practical Jokes
112,2020-09-13,2835.0,Gag Toys & Practical Jokes
113,2020-09-14,2835.0,Gag Toys & Practical Jokes
114,2020-09-15,5270.0,Gag Toys & Practical Jokes
115,2020-09-16,6520.0,Gag Toys & Practical Jokes
116,2020-09-17,6476.0,Gag Toys & Practical Jokes
117,2020-09-18,6498.0,Gag Toys & Practical Jokes
118,2020-09-19,6498.0,Gag Toys & Practical Jokes
119,2020-09-20,6498.0,Gag Toys & Practical Jokes
120,2020-09-21,6402.0,Gag Toys & Practical Jokes
121,2020-09-22,5611.0,Gag Toys & Practical Jokes
122,2020-09-23,6867.0,Gag Toys & Practical Jokes
123,2020-09-24,4720.0,Gag Toys & Practical Jokes
124,2020-09-25,5124.0,Gag Toys & Practical Jokes
125,2020-09-26,5124.0,Gag Toys & Practical Jokes
126,2020-09-27,6316.0,Gag Toys & Practical Jokes
127,2020-09-28,7702.0,Gag Toys & Practical Jokes
128,2020-09-29,7755.0,Gag Toys & Practical Jokes
129,2020-09-30,6208.0,Gag Toys & Practical Jokes
130,2020-10-01,5708.0,Gag Toys & Practical Jokes
131,2020-10-02,6891.0,Gag Toys & Practical Jokes
132,2020-10-03,6536.0,Gag Toys & Practical Jokes
133,2020-10-04,6536.0,Gag Toys & Practical Jokes
134,2020-10-05,7434.0,Gag Toys & Practical Jokes
135,2020-10-06,8253.0,Gag Toys & Practical Jokes
136,2020-10-07,9433.0,Gag Toys & Practical Jokes
137,2020-10-08,7954.0,Gag Toys & Practical Jokes
138,2020-10-09,10008.0,Gag Toys & Practical Jokes
139,2020-10-10,10008.0,Gag Toys & Practical Jokes
140,2020-10-11,8373.0,Gag Toys & Practical Jokes
141,2020-10-12,8373.0,Gag Toys & Practical Jokes
142,2020-10-13,7490.0,Gag Toys & Practical Jokes
143,2020-10-14,11484.0,Gag Toys & Practical Jokes
144,2020-10-15,11484.0,Gag Toys & Practical Jokes
145,2020-10-16,10165.0,Gag Toys & Practical Jokes
146,2020-10-17,10165.0,Gag Toys & Practical Jokes
147,2020-10-18,5614.0,Gag Toys & Practical Jokes
148,2020-10-19,5351.0,Gag Toys & Practical Jokes
149,2020-10-20,5476.0,Gag Toys & Practical Jokes
150,2020-10-21,4875.0,Gag Toys & Practical Jokes
151,2020-10-22,4949.0,Gag Toys & Practical Jokes
152,2020-10-23,4949.0,Gag Toys & Practical Jokes
153,2020-10-24,4949.0,Gag Toys & Practical Jokes
154,2020-10-25,4885.0,Gag Toys & Practical Jokes
155,2020-10-26,4146.0,Gag Toys & Practical Jokes
156,2020-10-27,3351.0,Gag Toys & Practical Jokes
157,2020-10-28,2992.0,Gag Toys & Practical Jokes
158,2020-10-29,2581.0,Gag Toys & Practical Jokes
159,2020-10-30,2745.0,Gag Toys & Practical Jokes
160,2020-10-31,2745.0,Gag Toys & Practical Jokes
161,2020-11-01,3357.0,Gag Toys & Practical Jokes
162,2020-11-02,3357.0,Gag Toys & Practical Jokes
163,2020-11-03,3357.0,Gag Toys & Practical Jokes
164,2020-11-04,124775.0,Gag Toys & Practical Jokes
165,2020-11-05,124775.0,Gag Toys & Practical Jokes
166,2020-11-06,205365.0,Gag Toys & Practical Jokes
167,2020-11-07,205365.0,Gag Toys & Practical Jokes
168,2020-11-08,205365.0,Gag Toys & Practical Jokes
169,2020-11-09,220886.0,Gag Toys & Practical Jokes
170,2020-11-10,220886.0,Gag Toys & Practical Jokes
171,2020-11-11,220886.0,Gag Toys & Practical Jokes
172,2020-11-12,208054.0,Gag Toys & Practical Jokes
173,2020-11-13,127134.0,Gag Toys & Practical Jokes
174,2020-11-14,139631.0,Gag Toys & Practical Jokes
175,2020-11-15,105581.0,Gag Toys & Practical Jokes
