,date,value,name_B07G82ZQ54
474,2020-07-27,23145.0,Personal Fans
475,2020-07-28,21695.0,Personal Fans
476,2020-07-29,24006.0,Personal Fans
477,2020-07-30,24006.0,Personal Fans
478,2020-07-31,24006.0,Personal Fans
479,2020-08-01,24006.0,Personal Fans
480,2020-08-02,24006.0,Personal Fans
481,2020-08-03,30489.0,Personal Fans
482,2020-08-04,31673.0,Personal Fans
483,2020-08-05,31673.0,Personal Fans
484,2020-08-06,30567.0,Personal Fans
485,2020-08-07,35017.0,Personal Fans
486,2020-08-08,42795.0,Personal Fans
487,2020-08-09,42795.0,Personal Fans
488,2020-08-10,42795.0,Personal Fans
489,2020-08-11,42795.0,Personal Fans
490,2020-08-12,42795.0,Personal Fans
491,2020-08-13,30570.0,Personal Fans
492,2020-08-14,27747.0,Personal Fans
493,2020-08-15,34818.0,Personal Fans
494,2020-08-16,34818.0,Personal Fans
495,2020-08-17,34678.0,Personal Fans
496,2020-08-18,39779.0,Personal Fans
497,2020-08-19,39779.0,Personal Fans
498,2020-08-20,39779.0,Personal Fans
499,2020-08-21,30807.0,Personal Fans
500,2020-08-22,30807.0,Personal Fans
501,2020-08-23,47029.0,Personal Fans
502,2020-08-24,50137.0,Personal Fans
503,2020-08-25,33811.0,Personal Fans
504,2020-08-26,33811.0,Personal Fans
505,2020-08-27,33811.0,Personal Fans
506,2020-08-28,55156.0,Personal Fans
507,2020-08-29,55156.0,Personal Fans
508,2020-08-30,55156.0,Personal Fans
509,2020-08-31,55156.0,Personal Fans
510,2020-09-01,55156.0,Personal Fans
511,2020-09-02,63039.0,Personal Fans
512,2020-09-03,63039.0,Personal Fans
513,2020-09-04,45893.0,Personal Fans
514,2020-09-05,45893.0,Personal Fans
515,2020-09-06,45893.0,Personal Fans
516,2020-09-07,47313.0,Personal Fans
517,2020-09-08,47313.0,Personal Fans
518,2020-09-09,47313.0,Personal Fans
519,2020-09-10,47313.0,Personal Fans
520,2020-09-11,47313.0,Personal Fans
521,2020-09-12,66227.0,Personal Fans
522,2020-09-13,66227.0,Personal Fans
523,2020-09-14,76809.0,Personal Fans
524,2020-09-15,76809.0,Personal Fans
525,2020-09-16,91796.0,Personal Fans
526,2020-09-17,91796.0,Personal Fans
527,2020-09-18,91796.0,Personal Fans
528,2020-09-19,93227.0,Personal Fans
529,2020-09-20,93227.0,Personal Fans
530,2020-09-21,127616.0,Personal Fans
531,2020-09-22,132763.0,Personal Fans
532,2020-09-23,132763.0,Personal Fans
533,2020-09-24,141526.0,Personal Fans
534,2020-09-25,141526.0,Personal Fans
535,2020-09-26,141526.0,Personal Fans
536,2020-09-27,141526.0,Personal Fans
537,2020-09-28,141526.0,Personal Fans
538,2020-09-29,240372.0,Personal Fans
539,2020-09-30,240372.0,Personal Fans
540,2020-10-01,240372.0,Personal Fans
541,2020-10-02,240372.0,Personal Fans
542,2020-10-03,240372.0,Personal Fans
543,2020-10-04,240372.0,Personal Fans
544,2020-10-05,240372.0,Personal Fans
545,2020-10-06,240372.0,Personal Fans
546,2020-10-07,240372.0,Personal Fans
547,2020-10-08,240372.0,Personal Fans
548,2020-10-09,240372.0,Personal Fans
549,2020-10-10,240372.0,Personal Fans
550,2020-10-11,223688.0,Personal Fans
551,2020-10-12,297531.0,Personal Fans
552,2020-10-13,297531.0,Personal Fans
553,2020-10-14,297531.0,Personal Fans
554,2020-10-15,297531.0,Personal Fans
555,2020-10-16,236309.0,Personal Fans
556,2020-10-17,236309.0,Personal Fans
557,2020-10-18,236309.0,Personal Fans
558,2020-10-19,257329.0,Personal Fans
559,2020-10-20,257329.0,Personal Fans
560,2020-10-21,257329.0,Personal Fans
561,2020-10-22,274981.0,Personal Fans
562,2020-10-23,272033.0,Personal Fans
563,2020-10-24,272033.0,Personal Fans
564,2020-10-25,272033.0,Personal Fans
