,date,value,name_B0829JKYLL
181,2020-06-07,7644.0,Wall & Tabletop Frames
182,2020-06-08,6205.0,Wall & Tabletop Frames
183,2020-06-09,6205.0,Wall & Tabletop Frames
184,2020-06-10,5771.0,Wall & Tabletop Frames
185,2020-06-11,6557.0,Wall & Tabletop Frames
186,2020-06-12,6557.0,Wall & Tabletop Frames
187,2020-06-13,6557.0,Wall & Tabletop Frames
188,2020-06-14,7746.0,Wall & Tabletop Frames
189,2020-06-15,7746.0,Wall & Tabletop Frames
190,2020-06-16,6793.0,Wall & Tabletop Frames
191,2020-06-17,6793.0,Wall & Tabletop Frames
192,2020-06-18,6793.0,Wall & Tabletop Frames
193,2020-06-19,6793.0,Wall & Tabletop Frames
194,2020-06-20,7883.0,Wall & Tabletop Frames
195,2020-06-21,7883.0,Wall & Tabletop Frames
196,2020-06-22,7753.0,Wall & Tabletop Frames
197,2020-06-23,8740.0,Wall & Tabletop Frames
198,2020-06-24,8740.0,Wall & Tabletop Frames
199,2020-06-25,8740.0,Wall & Tabletop Frames
200,2020-06-26,8727.0,Wall & Tabletop Frames
201,2020-06-27,8727.0,Wall & Tabletop Frames
202,2020-06-28,8727.0,Wall & Tabletop Frames
203,2020-06-29,7719.0,Wall & Tabletop Frames
204,2020-06-30,7719.0,Wall & Tabletop Frames
205,2020-07-01,7719.0,Wall & Tabletop Frames
206,2020-07-02,11183.0,Wall & Tabletop Frames
207,2020-07-03,11183.0,Wall & Tabletop Frames
208,2020-07-04,10145.0,Wall & Tabletop Frames
209,2020-07-05,10145.0,Wall & Tabletop Frames
210,2020-07-06,10145.0,Wall & Tabletop Frames
211,2020-07-07,9652.0,Wall & Tabletop Frames
212,2020-07-08,9652.0,Wall & Tabletop Frames
213,2020-07-09,9652.0,Wall & Tabletop Frames
214,2020-07-10,9652.0,Wall & Tabletop Frames
215,2020-07-11,7483.0,Wall & Tabletop Frames
216,2020-07-12,7483.0,Wall & Tabletop Frames
217,2020-07-13,7990.0,Wall & Tabletop Frames
218,2020-07-14,6903.0,Wall & Tabletop Frames
219,2020-07-15,7203.0,Wall & Tabletop Frames
220,2020-07-16,7203.0,Wall & Tabletop Frames
221,2020-07-17,5982.0,Wall & Tabletop Frames
222,2020-07-18,5982.0,Wall & Tabletop Frames
223,2020-07-19,5982.0,Wall & Tabletop Frames
224,2020-07-20,10814.0,Wall & Tabletop Frames
225,2020-07-21,10814.0,Wall & Tabletop Frames
226,2020-07-22,10814.0,Wall & Tabletop Frames
227,2020-07-23,10814.0,Wall & Tabletop Frames
228,2020-07-24,16433.0,Wall & Tabletop Frames
229,2020-07-25,16433.0,Wall & Tabletop Frames
230,2020-07-26,16433.0,Wall & Tabletop Frames
231,2020-07-27,11496.0,Wall & Tabletop Frames
232,2020-07-28,11496.0,Wall & Tabletop Frames
233,2020-07-29,11496.0,Wall & Tabletop Frames
234,2020-07-30,11496.0,Wall & Tabletop Frames
235,2020-07-31,11496.0,Wall & Tabletop Frames
236,2020-08-01,10901.0,Wall & Tabletop Frames
237,2020-08-02,10182.0,Wall & Tabletop Frames
238,2020-08-03,10182.0,Wall & Tabletop Frames
239,2020-08-04,9193.0,Wall & Tabletop Frames
240,2020-08-05,9193.0,Wall & Tabletop Frames
241,2020-08-06,11155.0,Wall & Tabletop Frames
242,2020-08-07,11155.0,Wall & Tabletop Frames
243,2020-08-08,11155.0,Wall & Tabletop Frames
244,2020-08-09,9793.0,Wall & Tabletop Frames
245,2020-08-10,9793.0,Wall & Tabletop Frames
246,2020-08-11,9793.0,Wall & Tabletop Frames
247,2020-08-12,11060.0,Wall & Tabletop Frames
248,2020-08-13,11060.0,Wall & Tabletop Frames
249,2020-08-14,11060.0,Wall & Tabletop Frames
250,2020-08-15,26692.0,Wall & Tabletop Frames
251,2020-08-16,26692.0,Wall & Tabletop Frames
252,2020-08-17,26692.0,Wall & Tabletop Frames
253,2020-08-18,26692.0,Wall & Tabletop Frames
254,2020-08-19,26692.0,Wall & Tabletop Frames
255,2020-08-20,28106.0,Wall & Tabletop Frames
256,2020-08-21,28106.0,Wall & Tabletop Frames
257,2020-08-22,28106.0,Wall & Tabletop Frames
258,2020-08-23,28106.0,Wall & Tabletop Frames
259,2020-08-24,28106.0,Wall & Tabletop Frames
260,2020-08-25,20387.0,Wall & Tabletop Frames
261,2020-08-26,20387.0,Wall & Tabletop Frames
262,2020-08-27,20387.0,Wall & Tabletop Frames
263,2020-08-28,20387.0,Wall & Tabletop Frames
264,2020-08-29,20387.0,Wall & Tabletop Frames
265,2020-08-30,20387.0,Wall & Tabletop Frames
266,2020-08-31,34367.0,Wall & Tabletop Frames
267,2020-09-01,34367.0,Wall & Tabletop Frames
268,2020-09-02,34367.0,Wall & Tabletop Frames
269,2020-09-03,34367.0,Wall & Tabletop Frames
270,2020-09-04,34367.0,Wall & Tabletop Frames
271,2020-09-05,34367.0,Wall & Tabletop Frames
272,2020-09-06,44003.0,Wall & Tabletop Frames
273,2020-09-07,44003.0,Wall & Tabletop Frames
274,2020-09-08,44003.0,Wall & Tabletop Frames
275,2020-09-09,44003.0,Wall & Tabletop Frames
276,2020-09-10,44003.0,Wall & Tabletop Frames
277,2020-09-11,44003.0,Wall & Tabletop Frames
278,2020-09-12,44003.0,Wall & Tabletop Frames
279,2020-09-13,44003.0,Wall & Tabletop Frames
280,2020-09-14,44003.0,Wall & Tabletop Frames
281,2020-09-15,11637.0,Wall & Tabletop Frames
282,2020-09-16,11637.0,Wall & Tabletop Frames
283,2020-09-17,11637.0,Wall & Tabletop Frames
284,2020-09-18,9451.0,Wall & Tabletop Frames
285,2020-09-19,9451.0,Wall & Tabletop Frames
286,2020-09-20,9451.0,Wall & Tabletop Frames
287,2020-09-21,9451.0,Wall & Tabletop Frames
288,2020-09-22,10479.0,Wall & Tabletop Frames
289,2020-09-23,10479.0,Wall & Tabletop Frames
290,2020-09-24,10479.0,Wall & Tabletop Frames
291,2020-09-25,8106.0,Wall & Tabletop Frames
292,2020-09-26,8106.0,Wall & Tabletop Frames
293,2020-09-27,8789.0,Wall & Tabletop Frames
294,2020-09-28,8810.0,Wall & Tabletop Frames
295,2020-09-29,8810.0,Wall & Tabletop Frames
296,2020-09-30,8810.0,Wall & Tabletop Frames
297,2020-10-01,8810.0,Wall & Tabletop Frames
298,2020-10-02,8810.0,Wall & Tabletop Frames
299,2020-10-03,14231.0,Wall & Tabletop Frames
300,2020-10-04,14231.0,Wall & Tabletop Frames
301,2020-10-05,14231.0,Wall & Tabletop Frames
302,2020-10-06,14231.0,Wall & Tabletop Frames
303,2020-10-07,14231.0,Wall & Tabletop Frames
304,2020-10-08,13494.0,Wall & Tabletop Frames
305,2020-10-09,11465.0,Wall & Tabletop Frames
306,2020-10-10,11465.0,Wall & Tabletop Frames
307,2020-10-11,11465.0,Wall & Tabletop Frames
308,2020-10-12,12949.0,Wall & Tabletop Frames
309,2020-10-13,12723.0,Wall & Tabletop Frames
310,2020-10-14,12723.0,Wall & Tabletop Frames
311,2020-10-15,12723.0,Wall & Tabletop Frames
312,2020-10-16,12723.0,Wall & Tabletop Frames
313,2020-10-17,12723.0,Wall & Tabletop Frames
314,2020-10-18,12723.0,Wall & Tabletop Frames
315,2020-10-19,12723.0,Wall & Tabletop Frames
316,2020-10-20,12723.0,Wall & Tabletop Frames
317,2020-10-21,12723.0,Wall & Tabletop Frames
318,2020-10-22,15353.0,Wall & Tabletop Frames
319,2020-10-23,15353.0,Wall & Tabletop Frames
320,2020-10-24,15353.0,Wall & Tabletop Frames
321,2020-10-25,15675.0,Wall & Tabletop Frames
322,2020-10-26,14862.0,Wall & Tabletop Frames
323,2020-10-27,14862.0,Wall & Tabletop Frames
324,2020-10-28,14862.0,Wall & Tabletop Frames
325,2020-10-29,14862.0,Wall & Tabletop Frames
326,2020-10-30,14862.0,Wall & Tabletop Frames
327,2020-10-31,11218.0,Wall & Tabletop Frames
328,2020-11-01,11218.0,Wall & Tabletop Frames
329,2020-11-02,11218.0,Wall & Tabletop Frames
330,2020-11-03,11218.0,Wall & Tabletop Frames
331,2020-11-04,11121.0,Wall & Tabletop Frames
332,2020-11-05,11675.0,Wall & Tabletop Frames
333,2020-11-06,11675.0,Wall & Tabletop Frames
334,2020-11-07,10259.0,Wall & Tabletop Frames
335,2020-11-08,10259.0,Wall & Tabletop Frames
336,2020-11-09,10259.0,Wall & Tabletop Frames
337,2020-11-10,10259.0,Wall & Tabletop Frames
338,2020-11-11,13166.0,Wall & Tabletop Frames
339,2020-11-12,13166.0,Wall & Tabletop Frames
340,2020-11-13,13166.0,Wall & Tabletop Frames
341,2020-11-14,13166.0,Wall & Tabletop Frames
342,2020-11-15,13166.0,Wall & Tabletop Frames
343,2020-11-16,13166.0,Wall & Tabletop Frames
344,2020-11-17,13166.0,Wall & Tabletop Frames
345,2020-11-18,13166.0,Wall & Tabletop Frames
346,2020-11-19,13166.0,Wall & Tabletop Frames
347,2020-11-20,9505.0,Wall & Tabletop Frames
348,2020-11-21,9505.0,Wall & Tabletop Frames
349,2020-11-22,9505.0,Wall & Tabletop Frames
350,2020-11-23,11422.0,Wall & Tabletop Frames
351,2020-11-24,11422.0,Wall & Tabletop Frames
352,2020-11-25,11422.0,Wall & Tabletop Frames
353,2020-11-26,11422.0,Wall & Tabletop Frames
354,2020-11-27,14024.0,Wall & Tabletop Frames
355,2020-11-28,14024.0,Wall & Tabletop Frames
356,2020-11-29,14024.0,Wall & Tabletop Frames
357,2020-11-30,14024.0,Wall & Tabletop Frames
358,2020-12-01,11438.0,Wall & Tabletop Frames
359,2020-12-02,11438.0,Wall & Tabletop Frames
360,2020-12-03,11438.0,Wall & Tabletop Frames
361,2020-12-04,9088.0,Wall & Tabletop Frames
362,2020-12-05,9088.0,Wall & Tabletop Frames
363,2020-12-06,9088.0,Wall & Tabletop Frames
364,2020-12-07,7211.0,Wall & Tabletop Frames
365,2020-12-08,7211.0,Wall & Tabletop Frames
366,2020-12-09,7211.0,Wall & Tabletop Frames
367,2020-12-10,6618.0,Wall & Tabletop Frames
368,2020-12-11,6618.0,Wall & Tabletop Frames
369,2020-12-12,6618.0,Wall & Tabletop Frames
370,2020-12-13,6135.0,Wall & Tabletop Frames
371,2020-12-14,6135.0,Wall & Tabletop Frames
372,2020-12-15,6135.0,Wall & Tabletop Frames
373,2020-12-16,4887.0,Wall & Tabletop Frames
374,2020-12-17,4887.0,Wall & Tabletop Frames
375,2020-12-18,5094.0,Wall & Tabletop Frames
376,2020-12-19,5094.0,Wall & Tabletop Frames
377,2020-12-20,5003.0,Wall & Tabletop Frames
378,2020-12-21,5003.0,Wall & Tabletop Frames
379,2020-12-22,5003.0,Wall & Tabletop Frames
380,2020-12-23,6097.0,Wall & Tabletop Frames
381,2020-12-24,6097.0,Wall & Tabletop Frames
382,2020-12-25,6097.0,Wall & Tabletop Frames
383,2020-12-26,6590.0,Wall & Tabletop Frames
384,2020-12-27,6590.0,Wall & Tabletop Frames
385,2020-12-28,6659.0,Wall & Tabletop Frames
386,2020-12-29,6119.0,Wall & Tabletop Frames
387,2020-12-30,6119.0,Wall & Tabletop Frames
388,2020-12-31,6119.0,Wall & Tabletop Frames
389,2021-01-01,7336.0,Wall & Tabletop Frames
390,2021-01-02,7336.0,Wall & Tabletop Frames
391,2021-01-03,7336.0,Wall & Tabletop Frames
392,2021-01-04,12106.0,Wall & Tabletop Frames
393,2021-01-05,11435.0,Wall & Tabletop Frames
394,2021-01-06,11435.0,Wall & Tabletop Frames
395,2021-01-07,11435.0,Wall & Tabletop Frames
396,2021-01-08,11435.0,Wall & Tabletop Frames
397,2021-01-09,11435.0,Wall & Tabletop Frames
398,2021-01-10,17312.0,Wall & Tabletop Frames
399,2021-01-11,17312.0,Wall & Tabletop Frames
400,2021-01-12,17312.0,Wall & Tabletop Frames
401,2021-01-13,17312.0,Wall & Tabletop Frames
402,2021-01-14,17312.0,Wall & Tabletop Frames
403,2021-01-15,17312.0,Wall & Tabletop Frames
404,2021-01-16,8456.0,Wall & Tabletop Frames
405,2021-01-17,8456.0,Wall & Tabletop Frames
406,2021-01-18,8456.0,Wall & Tabletop Frames
407,2021-01-19,7501.0,Wall & Tabletop Frames
408,2021-01-20,7501.0,Wall & Tabletop Frames
409,2021-01-21,7501.0,Wall & Tabletop Frames
410,2021-01-22,7501.0,Wall & Tabletop Frames
411,2021-01-23,7501.0,Wall & Tabletop Frames
412,2021-01-24,7501.0,Wall & Tabletop Frames
413,2021-01-25,7501.0,Wall & Tabletop Frames
414,2021-01-26,15491.0,Wall & Tabletop Frames
415,2021-01-27,15491.0,Wall & Tabletop Frames
416,2021-01-28,15491.0,Wall & Tabletop Frames
417,2021-01-29,16205.0,Wall & Tabletop Frames
418,2021-01-30,16205.0,Wall & Tabletop Frames
419,2021-01-31,16205.0,Wall & Tabletop Frames
420,2021-02-01,18689.0,Wall & Tabletop Frames
421,2021-02-02,18689.0,Wall & Tabletop Frames
422,2021-02-03,18689.0,Wall & Tabletop Frames
423,2021-02-04,18689.0,Wall & Tabletop Frames
424,2021-02-05,18689.0,Wall & Tabletop Frames
425,2021-02-06,18689.0,Wall & Tabletop Frames
426,2021-02-07,18689.0,Wall & Tabletop Frames
427,2021-02-08,33770.0,Wall & Tabletop Frames
428,2021-02-09,33770.0,Wall & Tabletop Frames
429,2021-02-10,33770.0,Wall & Tabletop Frames
430,2021-02-11,33770.0,Wall & Tabletop Frames
431,2021-02-12,33770.0,Wall & Tabletop Frames
432,2021-02-13,33770.0,Wall & Tabletop Frames
433,2021-02-14,33770.0,Wall & Tabletop Frames
434,2021-02-15,33770.0,Wall & Tabletop Frames
435,2021-02-16,33770.0,Wall & Tabletop Frames
436,2021-02-17,33770.0,Wall & Tabletop Frames
437,2021-02-18,33770.0,Wall & Tabletop Frames
438,2021-02-19,33770.0,Wall & Tabletop Frames
439,2021-02-20,33770.0,Wall & Tabletop Frames
440,2021-02-21,33770.0,Wall & Tabletop Frames
441,2021-02-22,33770.0,Wall & Tabletop Frames
442,2021-02-23,33770.0,Wall & Tabletop Frames
443,2021-02-24,11992.0,Wall & Tabletop Frames
444,2021-02-25,11992.0,Wall & Tabletop Frames
445,2021-02-26,11992.0,Wall & Tabletop Frames
446,2021-02-27,11992.0,Wall & Tabletop Frames
447,2021-02-28,11992.0,Wall & Tabletop Frames
448,2021-03-01,11992.0,Wall & Tabletop Frames
449,2021-03-02,12538.0,Wall & Tabletop Frames
450,2021-03-03,12538.0,Wall & Tabletop Frames
451,2021-03-04,12538.0,Wall & Tabletop Frames
452,2021-03-05,12538.0,Wall & Tabletop Frames
453,2021-03-06,12538.0,Wall & Tabletop Frames
454,2021-03-07,9509.0,Wall & Tabletop Frames
455,2021-03-08,9509.0,Wall & Tabletop Frames
456,2021-03-09,8747.0,Wall & Tabletop Frames
457,2021-03-10,8747.0,Wall & Tabletop Frames
458,2021-03-11,8747.0,Wall & Tabletop Frames
459,2021-03-12,8747.0,Wall & Tabletop Frames
460,2021-03-13,13619.0,Wall & Tabletop Frames
461,2021-03-14,13619.0,Wall & Tabletop Frames
462,2021-03-15,13619.0,Wall & Tabletop Frames
