,date,value,name_B08L57LNXG
117,2021-04-12,4149.0,Greeting Cards
118,2021-04-13,3134.0,Greeting Cards
119,2021-04-14,2675.0,Greeting Cards
120,2021-04-15,3551.0,Greeting Cards
121,2021-04-16,4260.0,Greeting Cards
122,2021-04-17,4257.0,Greeting Cards
123,2021-04-18,3787.0,Greeting Cards
124,2021-04-19,4000.0,Greeting Cards
125,2021-04-20,3727.0,Greeting Cards
126,2021-04-21,4924.0,Greeting Cards
127,2021-04-22,6333.0,Greeting Cards
128,2021-04-23,4383.0,Greeting Cards
129,2021-04-24,4024.0,Greeting Cards
130,2021-04-25,4292.0,Greeting Cards
131,2021-04-26,4524.0,Greeting Cards
132,2021-04-27,4177.0,Greeting Cards
133,2021-04-28,4829.0,Greeting Cards
134,2021-04-29,4659.0,Greeting Cards
135,2021-04-30,5486.0,Greeting Cards
136,2021-05-01,5127.0,Greeting Cards
137,2021-05-02,5584.0,Greeting Cards
138,2021-05-03,4219.0,Greeting Cards
139,2021-05-04,4437.0,Greeting Cards
140,2021-05-05,3643.0,Greeting Cards
141,2021-05-06,4940.0,Greeting Cards
142,2021-05-07,5082.0,Greeting Cards
143,2021-05-08,5150.0,Greeting Cards
144,2021-05-09,5067.0,Greeting Cards
145,2021-05-10,5077.0,Greeting Cards
146,2021-05-11,4062.0,Greeting Cards
147,2021-05-12,4214.0,Greeting Cards
148,2021-05-13,5365.0,Greeting Cards
149,2021-05-14,5788.0,Greeting Cards
150,2021-05-15,5543.0,Greeting Cards
151,2021-05-16,4783.0,Greeting Cards
152,2021-05-17,3870.0,Greeting Cards
153,2021-05-18,3870.0,Greeting Cards
154,2021-05-19,3870.0,Greeting Cards
155,2021-05-20,3495.0,Greeting Cards
156,2021-05-21,4297.0,Greeting Cards
157,2021-05-22,4039.0,Greeting Cards
158,2021-05-23,4039.0,Greeting Cards
159,2021-05-24,4893.0,Greeting Cards
160,2021-05-25,4359.0,Greeting Cards
161,2021-05-26,4434.0,Greeting Cards
162,2021-05-27,5770.0,Greeting Cards
163,2021-05-28,5770.0,Greeting Cards
164,2021-05-29,5042.0,Greeting Cards
165,2021-05-30,5042.0,Greeting Cards
166,2021-05-31,2711.0,Greeting Cards
167,2021-06-01,2848.0,Greeting Cards
168,2021-06-02,2751.0,Greeting Cards
169,2021-06-03,2751.0,Greeting Cards
170,2021-06-04,2634.0,Greeting Cards
171,2021-06-05,3449.0,Greeting Cards
172,2021-06-06,3469.0,Greeting Cards
173,2021-06-07,1956.0,Greeting Cards
174,2021-06-08,1131.0,Greeting Cards
175,2021-06-09,1562.0,Greeting Cards
176,2021-06-10,1627.0,Greeting Cards
177,2021-06-11,1694.0,Greeting Cards
178,2021-06-12,1693.0,Greeting Cards
179,2021-06-13,1330.0,Greeting Cards
180,2021-06-14,1302.0,Greeting Cards
181,2021-06-15,1052.0,Greeting Cards
182,2021-06-16,1058.0,Greeting Cards
183,2021-06-17,1107.0,Greeting Cards
184,2021-06-18,1393.0,Greeting Cards
185,2021-06-19,1061.0,Greeting Cards
186,2021-06-20,1293.0,Greeting Cards
187,2021-06-21,1288.0,Greeting Cards
188,2021-06-22,1329.0,Greeting Cards
189,2021-06-23,1329.0,Greeting Cards
190,2021-06-24,1476.0,Greeting Cards
191,2021-06-25,1449.0,Greeting Cards
192,2021-06-26,1361.0,Greeting Cards
193,2021-06-27,1361.0,Greeting Cards
194,2021-06-28,1192.0,Greeting Cards
195,2021-06-29,1282.0,Greeting Cards
196,2021-06-30,1282.0,Greeting Cards
197,2021-07-01,1282.0,Greeting Cards
198,2021-07-02,1744.0,Greeting Cards
199,2021-07-03,2040.0,Greeting Cards
200,2021-07-04,2040.0,Greeting Cards
201,2021-07-05,2170.0,Greeting Cards
202,2021-07-06,1499.0,Greeting Cards
203,2021-07-07,1495.0,Greeting Cards
204,2021-07-08,1632.0,Greeting Cards
205,2021-07-09,1827.0,Greeting Cards
206,2021-07-10,2358.0,Greeting Cards
