,date,value,name_B08KR9C2YX
84,2021-01-02,11710.0,Red Yeast Rice
85,2021-01-03,11710.0,Red Yeast Rice
86,2021-01-04,11592.0,Red Yeast Rice
87,2021-01-05,11592.0,Red Yeast Rice
88,2021-01-06,11337.0,Red Yeast Rice
89,2021-01-07,11337.0,Red Yeast Rice
90,2021-01-08,11337.0,Red Yeast Rice
91,2021-01-09,10831.0,Red Yeast Rice
92,2021-01-10,10499.0,Red Yeast Rice
93,2021-01-11,10499.0,Red Yeast Rice
94,2021-01-12,9394.0,Red Yeast Rice
95,2021-01-13,9394.0,Red Yeast Rice
96,2021-01-14,9483.0,Red Yeast Rice
97,2021-01-15,10055.0,Red Yeast Rice
98,2021-01-16,10289.0,Red Yeast Rice
99,2021-01-17,10289.0,Red Yeast Rice
100,2021-01-18,9862.0,Red Yeast Rice
101,2021-01-19,9862.0,Red Yeast Rice
102,2021-01-20,9573.0,Red Yeast Rice
103,2021-01-21,9573.0,Red Yeast Rice
104,2021-01-22,9573.0,Red Yeast Rice
105,2021-01-23,11799.0,Red Yeast Rice
106,2021-01-24,11799.0,Red Yeast Rice
107,2021-01-25,11142.0,Red Yeast Rice
108,2021-01-26,11284.0,Red Yeast Rice
109,2021-01-27,15250.0,Red Yeast Rice
110,2021-01-28,15250.0,Red Yeast Rice
111,2021-01-29,15250.0,Red Yeast Rice
112,2021-01-30,15250.0,Red Yeast Rice
113,2021-01-31,10739.0,Red Yeast Rice
114,2021-02-01,9793.0,Red Yeast Rice
115,2021-02-02,11837.0,Red Yeast Rice
116,2021-02-03,9936.0,Red Yeast Rice
117,2021-02-04,11152.0,Red Yeast Rice
118,2021-02-05,11893.0,Red Yeast Rice
119,2021-02-06,11893.0,Red Yeast Rice
120,2021-02-07,10009.0,Red Yeast Rice
121,2021-02-08,12717.0,Red Yeast Rice
122,2021-02-09,12717.0,Red Yeast Rice
123,2021-02-10,12717.0,Red Yeast Rice
124,2021-02-11,9732.0,Red Yeast Rice
125,2021-02-12,9732.0,Red Yeast Rice
126,2021-02-13,9732.0,Red Yeast Rice
127,2021-02-14,10259.0,Red Yeast Rice
128,2021-02-15,11323.0,Red Yeast Rice
129,2021-02-16,11803.0,Red Yeast Rice
130,2021-02-17,11803.0,Red Yeast Rice
131,2021-02-18,11803.0,Red Yeast Rice
132,2021-02-19,8868.0,Red Yeast Rice
133,2021-02-20,10998.0,Red Yeast Rice
134,2021-02-21,10998.0,Red Yeast Rice
135,2021-02-22,10998.0,Red Yeast Rice
136,2021-02-23,11308.0,Red Yeast Rice
137,2021-02-24,10991.0,Red Yeast Rice
138,2021-02-25,13777.0,Red Yeast Rice
139,2021-02-26,13777.0,Red Yeast Rice
140,2021-02-27,10947.0,Red Yeast Rice
141,2021-02-28,10947.0,Red Yeast Rice
142,2021-03-01,12565.0,Red Yeast Rice
143,2021-03-02,12362.0,Red Yeast Rice
144,2021-03-03,11360.0,Red Yeast Rice
145,2021-03-04,9891.0,Red Yeast Rice
146,2021-03-05,11054.0,Red Yeast Rice
147,2021-03-06,11629.0,Red Yeast Rice
148,2021-03-07,11629.0,Red Yeast Rice
149,2021-03-08,11629.0,Red Yeast Rice
150,2021-03-09,12321.0,Red Yeast Rice
151,2021-03-10,12321.0,Red Yeast Rice
152,2021-03-11,12248.0,Red Yeast Rice
153,2021-03-12,12248.0,Red Yeast Rice
154,2021-03-13,10497.0,Red Yeast Rice
155,2021-03-14,10924.0,Red Yeast Rice
156,2021-03-15,9643.0,Red Yeast Rice
157,2021-03-16,11244.0,Red Yeast Rice
158,2021-03-17,12000.0,Red Yeast Rice
159,2021-03-18,12000.0,Red Yeast Rice
160,2021-03-19,12000.0,Red Yeast Rice
161,2021-03-20,10056.0,Red Yeast Rice
162,2021-03-21,10056.0,Red Yeast Rice
163,2021-03-22,13137.0,Red Yeast Rice
164,2021-03-23,13137.0,Red Yeast Rice
165,2021-03-24,11924.0,Red Yeast Rice
166,2021-03-25,11924.0,Red Yeast Rice
167,2021-03-26,11924.0,Red Yeast Rice
168,2021-03-27,11924.0,Red Yeast Rice
169,2021-03-28,15276.0,Red Yeast Rice
170,2021-03-29,15276.0,Red Yeast Rice
171,2021-03-30,13311.0,Red Yeast Rice
172,2021-03-31,13311.0,Red Yeast Rice
173,2021-04-01,11573.0,Red Yeast Rice
174,2021-04-02,11573.0,Red Yeast Rice
175,2021-04-03,11863.0,Red Yeast Rice
176,2021-04-04,12618.0,Red Yeast Rice
177,2021-04-05,12618.0,Red Yeast Rice
178,2021-04-06,12618.0,Red Yeast Rice
179,2021-04-07,11405.0,Red Yeast Rice
180,2021-04-08,11405.0,Red Yeast Rice
181,2021-04-09,10158.0,Red Yeast Rice
182,2021-04-10,10158.0,Red Yeast Rice
183,2021-04-11,10158.0,Red Yeast Rice
184,2021-04-12,10780.0,Red Yeast Rice
185,2021-04-13,10780.0,Red Yeast Rice
186,2021-04-14,13827.0,Red Yeast Rice
187,2021-04-15,13827.0,Red Yeast Rice
188,2021-04-16,13759.0,Red Yeast Rice
189,2021-04-17,13759.0,Red Yeast Rice
190,2021-04-18,11637.0,Red Yeast Rice
191,2021-04-19,11637.0,Red Yeast Rice
192,2021-04-20,13446.0,Red Yeast Rice
193,2021-04-21,13446.0,Red Yeast Rice
194,2021-04-22,13775.0,Red Yeast Rice
195,2021-04-23,11829.0,Red Yeast Rice
196,2021-04-24,11829.0,Red Yeast Rice
197,2021-04-25,11829.0,Red Yeast Rice
198,2021-04-26,12890.0,Red Yeast Rice
199,2021-04-27,12890.0,Red Yeast Rice
200,2021-04-28,12432.0,Red Yeast Rice
201,2021-04-29,12432.0,Red Yeast Rice
202,2021-04-30,12571.0,Red Yeast Rice
203,2021-05-01,12571.0,Red Yeast Rice
204,2021-05-02,12547.0,Red Yeast Rice
205,2021-05-03,12423.0,Red Yeast Rice
206,2021-05-04,15650.0,Red Yeast Rice
207,2021-05-05,15650.0,Red Yeast Rice
208,2021-05-06,15650.0,Red Yeast Rice
209,2021-05-07,14830.0,Red Yeast Rice
210,2021-05-08,14830.0,Red Yeast Rice
211,2021-05-09,14956.0,Red Yeast Rice
212,2021-05-10,14956.0,Red Yeast Rice
213,2021-05-11,14372.0,Red Yeast Rice
214,2021-05-12,14372.0,Red Yeast Rice
215,2021-05-13,12051.0,Red Yeast Rice
216,2021-05-14,11657.0,Red Yeast Rice
217,2021-05-15,8225.0,Red Yeast Rice
218,2021-05-16,8225.0,Red Yeast Rice
219,2021-05-17,9907.0,Red Yeast Rice
220,2021-05-18,9907.0,Red Yeast Rice
221,2021-05-19,13512.0,Red Yeast Rice
222,2021-05-20,12977.0,Red Yeast Rice
223,2021-05-21,12136.0,Red Yeast Rice
224,2021-05-22,12136.0,Red Yeast Rice
225,2021-05-23,10537.0,Red Yeast Rice
226,2021-05-24,10537.0,Red Yeast Rice
227,2021-05-25,10537.0,Red Yeast Rice
228,2021-05-26,11554.0,Red Yeast Rice
229,2021-05-27,11554.0,Red Yeast Rice
230,2021-05-28,12470.0,Red Yeast Rice
231,2021-05-29,12470.0,Red Yeast Rice
232,2021-05-30,12470.0,Red Yeast Rice
233,2021-05-31,7596.0,Red Yeast Rice
234,2021-06-01,10420.0,Red Yeast Rice
235,2021-06-02,10420.0,Red Yeast Rice
236,2021-06-03,11672.0,Red Yeast Rice
237,2021-06-04,11672.0,Red Yeast Rice
238,2021-06-05,13669.0,Red Yeast Rice
239,2021-06-06,13669.0,Red Yeast Rice
240,2021-06-07,11217.0,Red Yeast Rice
241,2021-06-08,11217.0,Red Yeast Rice
242,2021-06-09,10554.0,Red Yeast Rice
243,2021-06-10,11796.0,Red Yeast Rice
244,2021-06-11,13764.0,Red Yeast Rice
245,2021-06-12,13764.0,Red Yeast Rice
246,2021-06-13,13764.0,Red Yeast Rice
247,2021-06-14,11187.0,Red Yeast Rice
248,2021-06-15,11187.0,Red Yeast Rice
249,2021-06-16,12221.0,Red Yeast Rice
250,2021-06-17,10886.0,Red Yeast Rice
251,2021-06-18,10886.0,Red Yeast Rice
252,2021-06-19,10886.0,Red Yeast Rice
253,2021-06-20,10034.0,Red Yeast Rice
254,2021-06-21,11773.0,Red Yeast Rice
255,2021-06-22,13023.0,Red Yeast Rice
256,2021-06-23,13023.0,Red Yeast Rice
257,2021-06-24,12300.0,Red Yeast Rice
258,2021-06-25,13839.0,Red Yeast Rice
259,2021-06-26,13839.0,Red Yeast Rice
260,2021-06-27,13839.0,Red Yeast Rice
261,2021-06-28,11551.0,Red Yeast Rice
262,2021-06-29,11551.0,Red Yeast Rice
263,2021-06-30,14957.0,Red Yeast Rice
264,2021-07-01,12432.0,Red Yeast Rice
265,2021-07-02,12275.0,Red Yeast Rice
266,2021-07-03,12275.0,Red Yeast Rice
267,2021-07-04,12570.0,Red Yeast Rice
268,2021-07-05,12570.0,Red Yeast Rice
269,2021-07-06,13270.0,Red Yeast Rice
270,2021-07-07,13270.0,Red Yeast Rice
271,2021-07-08,12716.0,Red Yeast Rice
272,2021-07-09,13685.0,Red Yeast Rice
273,2021-07-10,13685.0,Red Yeast Rice
274,2021-07-11,12424.0,Red Yeast Rice
