,date,value,name_B08XPXLPM4
52,2021-04-26,939.0,Kitchen & Dining Features
53,2021-04-27,939.0,Kitchen & Dining Features
54,2021-04-28,1293.0,Kitchen & Dining Features
55,2021-04-29,1223.0,Kitchen & Dining Features
56,2021-04-30,1209.0,Kitchen & Dining Features
57,2021-05-01,1090.0,Kitchen & Dining Features
58,2021-05-02,1090.0,Kitchen & Dining Features
59,2021-05-03,1366.0,Kitchen & Dining Features
60,2021-05-04,1450.0,Kitchen & Dining Features
61,2021-05-05,1571.0,Kitchen & Dining Features
62,2021-05-06,1571.0,Kitchen & Dining Features
63,2021-05-07,1502.0,Kitchen & Dining Features
64,2021-05-08,1502.0,Kitchen & Dining Features
65,2021-05-09,1689.0,Kitchen & Dining Features
66,2021-05-10,1629.0,Kitchen & Dining Features
67,2021-05-11,1389.0,Kitchen & Dining Features
68,2021-05-12,1383.0,Kitchen & Dining Features
69,2021-05-13,1450.0,Kitchen & Dining Features
70,2021-05-14,1450.0,Kitchen & Dining Features
71,2021-05-15,1450.0,Kitchen & Dining Features
72,2021-05-16,1484.0,Kitchen & Dining Features
73,2021-05-17,1570.0,Kitchen & Dining Features
74,2021-05-18,1913.0,Kitchen & Dining Features
75,2021-05-19,1913.0,Kitchen & Dining Features
76,2021-05-20,1888.0,Kitchen & Dining Features
77,2021-05-21,1840.0,Kitchen & Dining Features
78,2021-05-22,1840.0,Kitchen & Dining Features
79,2021-05-23,1724.0,Kitchen & Dining Features
80,2021-05-24,1747.0,Kitchen & Dining Features
81,2021-05-25,1604.0,Kitchen & Dining Features
82,2021-05-26,1821.0,Kitchen & Dining Features
83,2021-05-27,1815.0,Kitchen & Dining Features
84,2021-05-28,1815.0,Kitchen & Dining Features
85,2021-05-29,1732.0,Kitchen & Dining Features
86,2021-05-30,1203.0,Kitchen & Dining Features
87,2021-05-31,1203.0,Kitchen & Dining Features
88,2021-06-01,1562.0,Kitchen & Dining Features
89,2021-06-02,1550.0,Kitchen & Dining Features
90,2021-06-03,1550.0,Kitchen & Dining Features
91,2021-06-04,1399.0,Kitchen & Dining Features
92,2021-06-05,1399.0,Kitchen & Dining Features
93,2021-06-06,1491.0,Kitchen & Dining Features
94,2021-06-07,1906.0,Kitchen & Dining Features
95,2021-06-08,2002.0,Kitchen & Dining Features
96,2021-06-09,2320.0,Kitchen & Dining Features
97,2021-06-10,2001.0,Kitchen & Dining Features
98,2021-06-11,2001.0,Kitchen & Dining Features
99,2021-06-12,2001.0,Kitchen & Dining Features
100,2021-06-13,1968.0,Kitchen & Dining Features
101,2021-06-14,2240.0,Kitchen & Dining Features
102,2021-06-15,2293.0,Kitchen & Dining Features
103,2021-06-16,2208.0,Kitchen & Dining Features
104,2021-06-17,2322.0,Kitchen & Dining Features
105,2021-06-18,2545.0,Kitchen & Dining Features
106,2021-06-19,2545.0,Kitchen & Dining Features
107,2021-06-20,1935.0,Kitchen & Dining Features
108,2021-06-21,2015.0,Kitchen & Dining Features
109,2021-06-22,2840.0,Kitchen & Dining Features
110,2021-06-23,2827.0,Kitchen & Dining Features
111,2021-06-24,2526.0,Kitchen & Dining Features
112,2021-06-25,1836.0,Kitchen & Dining Features
113,2021-06-26,1836.0,Kitchen & Dining Features
114,2021-06-27,2090.0,Kitchen & Dining Features
115,2021-06-28,1532.0,Kitchen & Dining Features
116,2021-06-29,1466.0,Kitchen & Dining Features
117,2021-06-30,2002.0,Kitchen & Dining Features
118,2021-07-01,2002.0,Kitchen & Dining Features
119,2021-07-02,1855.0,Kitchen & Dining Features
120,2021-07-03,1855.0,Kitchen & Dining Features
121,2021-07-04,1855.0,Kitchen & Dining Features
122,2021-07-05,1928.0,Kitchen & Dining Features
123,2021-07-06,2382.0,Kitchen & Dining Features
124,2021-07-07,2196.0,Kitchen & Dining Features
125,2021-07-08,2368.0,Kitchen & Dining Features
126,2021-07-09,2725.0,Kitchen & Dining Features
127,2021-07-10,2655.0,Kitchen & Dining Features
