,date,value,name_B088W99PNJ
294,2021-03-12,4577.0,Floating Shelves
295,2021-03-13,4577.0,Floating Shelves
296,2021-03-14,4808.0,Floating Shelves
297,2021-03-15,4808.0,Floating Shelves
298,2021-03-16,6630.0,Floating Shelves
299,2021-03-17,6608.0,Floating Shelves
300,2021-03-18,6608.0,Floating Shelves
301,2021-03-19,6608.0,Floating Shelves
302,2021-03-20,5487.0,Floating Shelves
303,2021-03-21,5487.0,Floating Shelves
304,2021-03-22,5540.0,Floating Shelves
305,2021-03-23,4673.0,Floating Shelves
306,2021-03-24,4673.0,Floating Shelves
307,2021-03-25,3684.0,Floating Shelves
308,2021-03-26,3684.0,Floating Shelves
309,2021-03-27,3684.0,Floating Shelves
310,2021-03-28,3756.0,Floating Shelves
311,2021-03-29,3756.0,Floating Shelves
312,2021-03-30,3473.0,Floating Shelves
313,2021-03-31,4711.0,Floating Shelves
314,2021-04-01,5704.0,Floating Shelves
315,2021-04-02,5125.0,Floating Shelves
316,2021-04-03,5125.0,Floating Shelves
317,2021-04-04,5899.0,Floating Shelves
318,2021-04-05,5899.0,Floating Shelves
319,2021-04-06,5899.0,Floating Shelves
320,2021-04-07,4905.0,Floating Shelves
321,2021-04-08,5860.0,Floating Shelves
322,2021-04-09,5548.0,Floating Shelves
323,2021-04-10,5548.0,Floating Shelves
324,2021-04-11,5548.0,Floating Shelves
325,2021-04-12,6569.0,Floating Shelves
326,2021-04-13,4091.0,Floating Shelves
327,2021-04-14,4704.0,Floating Shelves
328,2021-04-15,4665.0,Floating Shelves
329,2021-04-16,4665.0,Floating Shelves
330,2021-04-17,4246.0,Floating Shelves
331,2021-04-18,4246.0,Floating Shelves
332,2021-04-19,4125.0,Floating Shelves
333,2021-04-20,3229.0,Floating Shelves
334,2021-04-21,3229.0,Floating Shelves
335,2021-04-22,3229.0,Floating Shelves
336,2021-04-23,3061.0,Floating Shelves
337,2021-04-24,3061.0,Floating Shelves
338,2021-04-25,3061.0,Floating Shelves
339,2021-04-26,2352.0,Floating Shelves
340,2021-04-27,2985.0,Floating Shelves
341,2021-04-28,3308.0,Floating Shelves
342,2021-04-29,3308.0,Floating Shelves
343,2021-04-30,4994.0,Floating Shelves
344,2021-05-01,4735.0,Floating Shelves
345,2021-05-02,4735.0,Floating Shelves
346,2021-05-03,4858.0,Floating Shelves
347,2021-05-04,4858.0,Floating Shelves
348,2021-05-05,4737.0,Floating Shelves
349,2021-05-06,4737.0,Floating Shelves
350,2021-05-07,6261.0,Floating Shelves
351,2021-05-08,6261.0,Floating Shelves
352,2021-05-09,6686.0,Floating Shelves
353,2021-05-10,6686.0,Floating Shelves
354,2021-05-11,7002.0,Floating Shelves
355,2021-05-12,7002.0,Floating Shelves
356,2021-05-13,6640.0,Floating Shelves
357,2021-05-14,6640.0,Floating Shelves
358,2021-05-15,8553.0,Floating Shelves
359,2021-05-16,8553.0,Floating Shelves
360,2021-05-17,6628.0,Floating Shelves
361,2021-05-18,6628.0,Floating Shelves
362,2021-05-19,6092.0,Floating Shelves
363,2021-05-20,6704.0,Floating Shelves
364,2021-05-21,7310.0,Floating Shelves
365,2021-05-22,7310.0,Floating Shelves
366,2021-05-23,7310.0,Floating Shelves
367,2021-05-24,6947.0,Floating Shelves
368,2021-05-25,6947.0,Floating Shelves
369,2021-05-26,4240.0,Floating Shelves
370,2021-05-27,4536.0,Floating Shelves
371,2021-05-28,3673.0,Floating Shelves
372,2021-05-29,4083.0,Floating Shelves
373,2021-05-30,4083.0,Floating Shelves
374,2021-05-31,3822.0,Floating Shelves
375,2021-06-01,5237.0,Floating Shelves
376,2021-06-02,6564.0,Floating Shelves
377,2021-06-03,6564.0,Floating Shelves
378,2021-06-04,7248.0,Floating Shelves
379,2021-06-05,7248.0,Floating Shelves
380,2021-06-06,7248.0,Floating Shelves
381,2021-06-07,9729.0,Floating Shelves
382,2021-06-08,9900.0,Floating Shelves
383,2021-06-09,11301.0,Floating Shelves
384,2021-06-10,11593.0,Floating Shelves
385,2021-06-11,4982.0,Floating Shelves
386,2021-06-12,4982.0,Floating Shelves
387,2021-06-13,11175.0,Floating Shelves
388,2021-06-14,11175.0,Floating Shelves
389,2021-06-15,11175.0,Floating Shelves
390,2021-06-16,14199.0,Floating Shelves
391,2021-06-17,14199.0,Floating Shelves
392,2021-06-18,11562.0,Floating Shelves
393,2021-06-19,15677.0,Floating Shelves
394,2021-06-20,15677.0,Floating Shelves
395,2021-06-21,11667.0,Floating Shelves
396,2021-06-22,12041.0,Floating Shelves
397,2021-06-23,12041.0,Floating Shelves
398,2021-06-24,5068.0,Floating Shelves
399,2021-06-25,5578.0,Floating Shelves
400,2021-06-26,8198.0,Floating Shelves
401,2021-06-27,8198.0,Floating Shelves
402,2021-06-28,8422.0,Floating Shelves
403,2021-06-29,8224.0,Floating Shelves
404,2021-06-30,8224.0,Floating Shelves
405,2021-07-01,4821.0,Floating Shelves
406,2021-07-02,4821.0,Floating Shelves
407,2021-07-03,5059.0,Floating Shelves
408,2021-07-04,5059.0,Floating Shelves
409,2021-07-05,3579.0,Floating Shelves
410,2021-07-06,3579.0,Floating Shelves
411,2021-07-07,6942.0,Floating Shelves
412,2021-07-08,8159.0,Floating Shelves
413,2021-07-09,8405.0,Floating Shelves
414,2021-07-10,9082.0,Floating Shelves
