,date,value,name_B07T14G9XF
291,2021-03-17,10314.0,Omega Oils
292,2021-03-18,10314.0,Omega Oils
293,2021-03-19,10314.0,Omega Oils
294,2021-03-20,10314.0,Omega Oils
295,2021-03-21,10314.0,Omega Oils
296,2021-03-22,10314.0,Omega Oils
297,2021-03-23,10314.0,Omega Oils
298,2021-03-24,10314.0,Omega Oils
299,2021-03-25,10314.0,Omega Oils
300,2021-03-26,10314.0,Omega Oils
301,2021-03-27,10314.0,Omega Oils
302,2021-03-28,10314.0,Omega Oils
303,2021-03-29,10314.0,Omega Oils
304,2021-03-30,10314.0,Omega Oils
305,2021-03-31,6878.0,Omega Oils
306,2021-04-01,6878.0,Omega Oils
307,2021-04-02,6878.0,Omega Oils
308,2021-04-03,6069.0,Omega Oils
309,2021-04-04,6069.0,Omega Oils
310,2021-04-05,6069.0,Omega Oils
311,2021-04-06,6942.0,Omega Oils
312,2021-04-07,6942.0,Omega Oils
313,2021-04-08,6942.0,Omega Oils
314,2021-04-09,6561.0,Omega Oils
315,2021-04-10,6561.0,Omega Oils
316,2021-04-11,6561.0,Omega Oils
317,2021-04-12,6561.0,Omega Oils
318,2021-04-13,6909.0,Omega Oils
319,2021-04-14,6909.0,Omega Oils
320,2021-04-15,5171.0,Omega Oils
321,2021-04-16,5171.0,Omega Oils
322,2021-04-17,5171.0,Omega Oils
323,2021-04-18,5805.0,Omega Oils
324,2021-04-19,5805.0,Omega Oils
325,2021-04-20,6603.0,Omega Oils
326,2021-04-21,6205.0,Omega Oils
327,2021-04-22,6205.0,Omega Oils
328,2021-04-23,6015.0,Omega Oils
329,2021-04-24,6015.0,Omega Oils
330,2021-04-25,6070.0,Omega Oils
331,2021-04-26,6070.0,Omega Oils
332,2021-04-27,13952.0,Omega Oils
333,2021-04-28,11487.0,Omega Oils
334,2021-04-29,11487.0,Omega Oils
335,2021-04-30,6061.0,Omega Oils
336,2021-05-01,6061.0,Omega Oils
337,2021-05-02,6061.0,Omega Oils
338,2021-05-03,6061.0,Omega Oils
339,2021-05-04,6061.0,Omega Oils
340,2021-05-05,6061.0,Omega Oils
341,2021-05-06,7037.0,Omega Oils
342,2021-05-07,7604.0,Omega Oils
343,2021-05-08,7604.0,Omega Oils
344,2021-05-09,7604.0,Omega Oils
345,2021-05-10,6183.0,Omega Oils
346,2021-05-11,6183.0,Omega Oils
347,2021-05-12,6446.0,Omega Oils
348,2021-05-13,6446.0,Omega Oils
349,2021-05-14,7297.0,Omega Oils
350,2021-05-15,6367.0,Omega Oils
351,2021-05-16,6367.0,Omega Oils
352,2021-05-17,6367.0,Omega Oils
353,2021-05-18,6150.0,Omega Oils
354,2021-05-19,5780.0,Omega Oils
355,2021-05-20,5461.0,Omega Oils
356,2021-05-21,6248.0,Omega Oils
357,2021-05-22,6248.0,Omega Oils
358,2021-05-23,6248.0,Omega Oils
359,2021-05-24,6071.0,Omega Oils
360,2021-05-25,6071.0,Omega Oils
361,2021-05-26,6235.0,Omega Oils
362,2021-05-27,6080.0,Omega Oils
363,2021-05-28,6080.0,Omega Oils
364,2021-05-29,6080.0,Omega Oils
365,2021-05-30,6080.0,Omega Oils
366,2021-05-31,6909.0,Omega Oils
367,2021-06-01,6909.0,Omega Oils
368,2021-06-02,6909.0,Omega Oils
369,2021-06-03,7119.0,Omega Oils
370,2021-06-04,7119.0,Omega Oils
371,2021-06-05,7119.0,Omega Oils
372,2021-06-06,7575.0,Omega Oils
373,2021-06-07,7575.0,Omega Oils
374,2021-06-08,7920.0,Omega Oils
375,2021-06-09,7920.0,Omega Oils
376,2021-06-10,7053.0,Omega Oils
377,2021-06-11,7053.0,Omega Oils
378,2021-06-12,6287.0,Omega Oils
379,2021-06-13,6287.0,Omega Oils
380,2021-06-14,6695.0,Omega Oils
381,2021-06-15,6695.0,Omega Oils
382,2021-06-16,5421.0,Omega Oils
383,2021-06-17,5421.0,Omega Oils
384,2021-06-18,5421.0,Omega Oils
385,2021-06-19,6242.0,Omega Oils
386,2021-06-20,6242.0,Omega Oils
387,2021-06-21,6031.0,Omega Oils
388,2021-06-22,8349.0,Omega Oils
389,2021-06-23,8349.0,Omega Oils
390,2021-06-24,8349.0,Omega Oils
391,2021-06-25,7711.0,Omega Oils
392,2021-06-26,7711.0,Omega Oils
393,2021-06-27,6130.0,Omega Oils
394,2021-06-28,6130.0,Omega Oils
395,2021-06-29,6130.0,Omega Oils
396,2021-06-30,9260.0,Omega Oils
397,2021-07-01,7608.0,Omega Oils
398,2021-07-02,7608.0,Omega Oils
399,2021-07-03,7608.0,Omega Oils
400,2021-07-04,9485.0,Omega Oils
401,2021-07-05,9485.0,Omega Oils
402,2021-07-06,7925.0,Omega Oils
403,2021-07-07,7925.0,Omega Oils
404,2021-07-08,7925.0,Omega Oils
405,2021-07-09,7925.0,Omega Oils
406,2021-07-10,9860.0,Omega Oils
