,date,value,name_B07VHDZW4L
283,2021-03-03,367.0,Fabric
284,2021-03-04,533.0,Fabric
285,2021-03-05,468.0,Fabric
286,2021-03-06,468.0,Fabric
287,2021-03-07,468.0,Fabric
288,2021-03-08,489.0,Fabric
289,2021-03-09,596.0,Fabric
290,2021-03-10,594.0,Fabric
291,2021-03-11,594.0,Fabric
292,2021-03-12,505.0,Fabric
293,2021-03-13,541.0,Fabric
294,2021-03-14,482.0,Fabric
295,2021-03-15,555.0,Fabric
296,2021-03-16,555.0,Fabric
297,2021-03-17,555.0,Fabric
298,2021-03-18,667.0,Fabric
299,2021-03-19,667.0,Fabric
300,2021-03-20,667.0,Fabric
301,2021-03-21,575.0,Fabric
302,2021-03-22,575.0,Fabric
303,2021-03-23,834.0,Fabric
304,2021-03-24,852.0,Fabric
305,2021-03-25,901.0,Fabric
306,2021-03-26,901.0,Fabric
307,2021-03-27,901.0,Fabric
308,2021-03-28,697.0,Fabric
309,2021-03-29,610.0,Fabric
310,2021-03-30,731.0,Fabric
311,2021-03-31,731.0,Fabric
312,2021-04-01,731.0,Fabric
313,2021-04-02,675.0,Fabric
314,2021-04-03,675.0,Fabric
315,2021-04-04,768.0,Fabric
316,2021-04-05,684.0,Fabric
317,2021-04-06,684.0,Fabric
318,2021-04-07,841.0,Fabric
319,2021-04-08,841.0,Fabric
320,2021-04-09,873.0,Fabric
321,2021-04-10,769.0,Fabric
322,2021-04-11,904.0,Fabric
323,2021-04-12,904.0,Fabric
324,2021-04-13,772.0,Fabric
325,2021-04-14,944.0,Fabric
326,2021-04-15,944.0,Fabric
327,2021-04-16,967.0,Fabric
328,2021-04-17,946.0,Fabric
329,2021-04-18,960.0,Fabric
330,2021-04-19,960.0,Fabric
331,2021-04-20,1042.0,Fabric
332,2021-04-21,1125.0,Fabric
333,2021-04-22,1125.0,Fabric
334,2021-04-23,1125.0,Fabric
335,2021-04-24,924.0,Fabric
336,2021-04-25,924.0,Fabric
337,2021-04-26,978.0,Fabric
338,2021-04-27,920.0,Fabric
339,2021-04-28,920.0,Fabric
340,2021-04-29,1081.0,Fabric
341,2021-04-30,1091.0,Fabric
342,2021-05-01,1091.0,Fabric
343,2021-05-02,829.0,Fabric
344,2021-05-03,829.0,Fabric
345,2021-05-04,728.0,Fabric
346,2021-05-05,855.0,Fabric
347,2021-05-06,1091.0,Fabric
348,2021-05-07,1034.0,Fabric
349,2021-05-08,1034.0,Fabric
350,2021-05-09,867.0,Fabric
351,2021-05-10,867.0,Fabric
352,2021-05-11,970.0,Fabric
353,2021-05-12,875.0,Fabric
354,2021-05-13,875.0,Fabric
355,2021-05-14,764.0,Fabric
356,2021-05-15,937.0,Fabric
357,2021-05-16,937.0,Fabric
358,2021-05-17,773.0,Fabric
359,2021-05-18,1562.0,Fabric
360,2021-05-19,1562.0,Fabric
361,2021-05-20,1025.0,Fabric
362,2021-05-21,1024.0,Fabric
363,2021-05-22,1024.0,Fabric
364,2021-05-23,1072.0,Fabric
365,2021-05-24,1458.0,Fabric
366,2021-05-25,1546.0,Fabric
367,2021-05-26,1546.0,Fabric
368,2021-05-27,1686.0,Fabric
369,2021-05-28,1686.0,Fabric
370,2021-05-29,1955.0,Fabric
371,2021-05-30,2139.0,Fabric
372,2021-05-31,2139.0,Fabric
373,2021-06-01,2492.0,Fabric
374,2021-06-02,2492.0,Fabric
375,2021-06-03,1804.0,Fabric
376,2021-06-04,1804.0,Fabric
377,2021-06-05,1343.0,Fabric
378,2021-06-06,1205.0,Fabric
379,2021-06-07,1205.0,Fabric
380,2021-06-08,1275.0,Fabric
381,2021-06-09,1190.0,Fabric
382,2021-06-10,1190.0,Fabric
383,2021-06-11,1718.0,Fabric
384,2021-06-12,1718.0,Fabric
385,2021-06-13,1718.0,Fabric
386,2021-06-14,1353.0,Fabric
387,2021-06-15,1353.0,Fabric
388,2021-06-16,1353.0,Fabric
389,2021-06-17,1473.0,Fabric
390,2021-06-18,1074.0,Fabric
391,2021-06-19,1074.0,Fabric
392,2021-06-20,1074.0,Fabric
393,2021-06-21,1144.0,Fabric
394,2021-06-22,2026.0,Fabric
395,2021-06-23,1895.0,Fabric
396,2021-06-24,1458.0,Fabric
397,2021-06-25,1458.0,Fabric
398,2021-06-26,1277.0,Fabric
399,2021-06-27,1277.0,Fabric
400,2021-06-28,2048.0,Fabric
401,2021-06-29,1617.0,Fabric
402,2021-06-30,1476.0,Fabric
403,2021-07-01,1476.0,Fabric
404,2021-07-02,1476.0,Fabric
405,2021-07-03,1545.0,Fabric
406,2021-07-04,1545.0,Fabric
407,2021-07-05,1545.0,Fabric
408,2021-07-06,2563.0,Fabric
409,2021-07-07,1944.0,Fabric
410,2021-07-08,1874.0,Fabric
411,2021-07-09,1550.0,Fabric
412,2021-07-10,1567.0,Fabric
