,date,value,name_B07PLJH8QJ
110,2019-06-30,334.0,Cups
111,2019-07-01,337.0,Cups
112,2019-07-02,337.0,Cups
113,2019-07-03,338.0,Cups
114,2019-07-04,333.0,Cups
115,2019-07-05,430.0,Cups
116,2019-07-06,372.0,Cups
117,2019-07-07,438.0,Cups
118,2019-07-08,438.0,Cups
119,2019-07-09,390.0,Cups
120,2019-07-10,317.0,Cups
121,2019-07-11,316.0,Cups
122,2019-07-12,318.0,Cups
123,2019-07-13,318.0,Cups
124,2019-07-14,452.0,Cups
125,2019-07-15,520.0,Cups
126,2019-07-16,520.0,Cups
127,2019-07-17,1117.0,Cups
128,2019-07-18,687.0,Cups
129,2019-07-19,687.0,Cups
130,2019-07-20,551.0,Cups
131,2019-07-21,551.0,Cups
132,2019-07-22,574.0,Cups
133,2019-07-23,574.0,Cups
134,2019-07-24,488.0,Cups
135,2019-07-25,468.0,Cups
136,2019-07-26,468.0,Cups
137,2019-07-27,538.0,Cups
138,2019-07-28,589.0,Cups
139,2019-07-29,628.0,Cups
140,2019-07-30,421.0,Cups
141,2019-07-31,449.0,Cups
142,2019-08-01,435.0,Cups
143,2019-08-02,435.0,Cups
144,2019-08-03,596.0,Cups
145,2019-08-04,596.0,Cups
146,2019-08-05,670.0,Cups
147,2019-08-06,670.0,Cups
148,2019-08-07,580.0,Cups
149,2019-08-08,610.0,Cups
150,2019-08-09,486.0,Cups
151,2019-08-10,565.0,Cups
152,2019-08-11,678.0,Cups
153,2019-08-12,648.0,Cups
154,2019-08-13,696.0,Cups
155,2019-08-14,478.0,Cups
156,2019-08-15,533.0,Cups
157,2019-08-16,630.0,Cups
158,2019-08-17,657.0,Cups
159,2019-08-18,794.0,Cups
160,2019-08-19,688.0,Cups
161,2019-08-20,587.0,Cups
162,2019-08-21,591.0,Cups
163,2019-08-22,573.0,Cups
164,2019-08-23,665.0,Cups
165,2019-08-24,729.0,Cups
166,2019-08-25,729.0,Cups
167,2019-08-26,738.0,Cups
168,2019-08-27,685.0,Cups
169,2019-08-28,772.0,Cups
170,2019-08-29,749.0,Cups
171,2019-08-30,746.0,Cups
172,2019-08-31,746.0,Cups
173,2019-09-01,678.0,Cups
174,2019-09-02,702.0,Cups
175,2019-09-03,637.0,Cups
176,2019-09-04,637.0,Cups
177,2019-09-05,483.0,Cups
178,2019-09-06,511.0,Cups
179,2019-09-07,530.0,Cups
180,2019-09-08,664.0,Cups
181,2019-09-09,488.0,Cups
182,2019-09-10,479.0,Cups
183,2019-09-11,472.0,Cups
184,2019-09-12,494.0,Cups
185,2019-09-13,523.0,Cups
186,2019-09-14,516.0,Cups
187,2019-09-15,589.0,Cups
188,2019-09-16,596.0,Cups
189,2019-09-17,554.0,Cups
190,2019-09-18,551.0,Cups
191,2019-09-19,520.0,Cups
192,2019-09-20,483.0,Cups
193,2019-09-21,605.0,Cups
194,2019-09-22,710.0,Cups
195,2019-09-23,609.0,Cups
196,2019-09-24,502.0,Cups
197,2019-09-25,523.0,Cups
198,2019-09-26,567.0,Cups
199,2019-09-27,560.0,Cups
200,2019-09-28,638.0,Cups
201,2019-09-29,784.0,Cups
202,2019-09-30,664.0,Cups
203,2019-10-01,664.0,Cups
204,2019-10-02,664.0,Cups
205,2019-10-03,553.0,Cups
206,2019-10-04,613.0,Cups
207,2019-10-05,723.0,Cups
208,2019-10-06,859.0,Cups
209,2019-10-07,859.0,Cups
210,2019-10-08,708.0,Cups
211,2019-10-09,708.0,Cups
212,2019-10-10,694.0,Cups
213,2019-10-11,694.0,Cups
214,2019-10-12,737.0,Cups
215,2019-10-13,737.0,Cups
216,2019-10-14,737.0,Cups
217,2019-10-15,757.0,Cups
218,2019-10-16,699.0,Cups
219,2019-10-17,706.0,Cups
220,2019-10-18,706.0,Cups
221,2019-10-19,900.0,Cups
222,2019-10-20,1089.0,Cups
223,2019-10-21,828.0,Cups
224,2019-10-22,738.0,Cups
225,2019-10-23,816.0,Cups
226,2019-10-24,669.0,Cups
227,2019-10-25,686.0,Cups
228,2019-10-26,797.0,Cups
229,2019-10-27,1000.0,Cups
230,2019-10-28,976.0,Cups
231,2019-10-29,785.0,Cups
232,2019-10-30,883.0,Cups
233,2019-10-31,772.0,Cups
234,2019-11-01,763.0,Cups
235,2019-11-02,997.0,Cups
236,2019-11-03,996.0,Cups
237,2019-11-04,935.0,Cups
238,2019-11-05,1075.0,Cups
239,2019-11-06,1075.0,Cups
240,2019-11-07,798.0,Cups
241,2019-11-08,798.0,Cups
242,2019-11-09,798.0,Cups
243,2019-11-10,798.0,Cups
244,2019-11-11,1263.0,Cups
245,2019-11-12,1263.0,Cups
246,2019-11-13,1263.0,Cups
247,2019-11-14,811.0,Cups
248,2019-11-15,811.0,Cups
249,2019-11-16,811.0,Cups
250,2019-11-17,1391.0,Cups
251,2019-11-18,1391.0,Cups
252,2019-11-19,1062.0,Cups
253,2019-11-20,1062.0,Cups
254,2019-11-21,1062.0,Cups
255,2019-11-22,1209.0,Cups
256,2019-11-23,1603.0,Cups
257,2019-11-24,1603.0,Cups
258,2019-11-25,1603.0,Cups
259,2019-11-26,1603.0,Cups
260,2019-11-27,1603.0,Cups
261,2019-11-28,2175.0,Cups
262,2019-11-29,2175.0,Cups
263,2019-11-30,4307.0,Cups
264,2019-12-01,3481.0,Cups
265,2019-12-02,3481.0,Cups
266,2019-12-03,3843.0,Cups
267,2019-12-04,3843.0,Cups
268,2019-12-05,3843.0,Cups
269,2019-12-06,3843.0,Cups
270,2019-12-07,3843.0,Cups
271,2019-12-08,3843.0,Cups
272,2019-12-09,3075.0,Cups
273,2019-12-10,2690.0,Cups
274,2019-12-11,2690.0,Cups
275,2019-12-12,2620.0,Cups
276,2019-12-13,3055.0,Cups
277,2019-12-14,3055.0,Cups
278,2019-12-15,3055.0,Cups
279,2019-12-16,4358.0,Cups
280,2019-12-17,4358.0,Cups
281,2019-12-18,4358.0,Cups
282,2019-12-19,4358.0,Cups
283,2019-12-20,3342.0,Cups
284,2019-12-21,3342.0,Cups
285,2019-12-22,3393.0,Cups
286,2019-12-23,3573.0,Cups
287,2019-12-24,3573.0,Cups
288,2019-12-25,3573.0,Cups
289,2019-12-26,3573.0,Cups
290,2019-12-27,2776.0,Cups
291,2019-12-28,2776.0,Cups
292,2019-12-29,2776.0,Cups
293,2019-12-30,2776.0,Cups
294,2019-12-31,1971.0,Cups
295,2020-01-01,1466.0,Cups
296,2020-01-02,1466.0,Cups
297,2020-01-03,1466.0,Cups
298,2020-01-04,1138.0,Cups
299,2020-01-05,1138.0,Cups
300,2020-01-06,1151.0,Cups
301,2020-01-07,1151.0,Cups
302,2020-01-08,1151.0,Cups
303,2020-01-09,965.0,Cups
304,2020-01-10,965.0,Cups
305,2020-01-11,965.0,Cups
306,2020-01-12,965.0,Cups
307,2020-01-13,965.0,Cups
308,2020-01-14,1098.0,Cups
309,2020-01-15,1098.0,Cups
310,2020-01-16,1028.0,Cups
311,2020-01-17,1028.0,Cups
312,2020-01-18,1019.0,Cups
313,2020-01-19,1019.0,Cups
314,2020-01-20,1157.0,Cups
315,2020-01-21,1157.0,Cups
316,2020-01-22,861.0,Cups
317,2020-01-23,861.0,Cups
318,2020-01-24,861.0,Cups
319,2020-01-25,1210.0,Cups
320,2020-01-26,1210.0,Cups
321,2020-01-27,1210.0,Cups
322,2020-01-28,1210.0,Cups
323,2020-01-29,1051.0,Cups
324,2020-01-30,1051.0,Cups
325,2020-01-31,672.0,Cups
326,2020-02-01,672.0,Cups
327,2020-02-02,672.0,Cups
328,2020-02-03,672.0,Cups
329,2020-02-04,834.0,Cups
330,2020-02-05,779.0,Cups
331,2020-02-06,779.0,Cups
332,2020-02-07,947.0,Cups
333,2020-02-08,947.0,Cups
334,2020-02-09,947.0,Cups
335,2020-02-10,1211.0,Cups
336,2020-02-11,978.0,Cups
337,2020-02-12,978.0,Cups
338,2020-02-13,978.0,Cups
339,2020-02-14,978.0,Cups
340,2020-02-15,978.0,Cups
341,2020-02-16,978.0,Cups
342,2020-02-17,1116.0,Cups
343,2020-02-18,1116.0,Cups
344,2020-02-19,-1.0,Cups
345,2020-02-20,-1.0,Cups
346,2020-02-21,-1.0,Cups
347,2020-02-22,-1.0,Cups
348,2020-02-23,-1.0,Cups
349,2020-02-24,-1.0,Cups
350,2020-02-25,-1.0,Cups
351,2020-02-26,-1.0,Cups
352,2020-02-27,-1.0,Cups
353,2020-02-28,657.0,Cups
354,2020-02-29,657.0,Cups
355,2020-03-01,657.0,Cups
356,2020-03-02,920.0,Cups
357,2020-03-03,920.0,Cups
358,2020-03-04,920.0,Cups
359,2020-03-05,575.0,Cups
360,2020-03-06,575.0,Cups
361,2020-03-07,625.0,Cups
362,2020-03-08,625.0,Cups
363,2020-03-09,625.0,Cups
364,2020-03-10,625.0,Cups
365,2020-03-11,625.0,Cups
366,2020-03-12,-1.0,Cups
