,date,value,name_B08L5N865H
115,2021-02-13,14559.0,Arthritis
116,2021-02-14,14559.0,Arthritis
117,2021-02-15,14559.0,Arthritis
118,2021-02-16,16173.0,Arthritis
119,2021-02-17,16173.0,Arthritis
120,2021-02-18,16173.0,Arthritis
121,2021-02-19,16173.0,Arthritis
122,2021-02-20,11705.0,Arthritis
123,2021-02-21,11705.0,Arthritis
124,2021-02-22,10508.0,Arthritis
125,2021-02-23,10508.0,Arthritis
126,2021-02-24,10508.0,Arthritis
127,2021-02-25,11617.0,Arthritis
128,2021-02-26,11617.0,Arthritis
129,2021-02-27,11617.0,Arthritis
130,2021-02-28,9885.0,Arthritis
131,2021-03-01,9885.0,Arthritis
132,2021-03-02,12273.0,Arthritis
133,2021-03-03,12273.0,Arthritis
134,2021-03-04,12273.0,Arthritis
135,2021-03-05,10520.0,Arthritis
136,2021-03-06,10520.0,Arthritis
137,2021-03-07,10520.0,Arthritis
138,2021-03-08,11082.0,Arthritis
139,2021-03-09,11082.0,Arthritis
140,2021-03-10,11082.0,Arthritis
141,2021-03-11,11199.0,Arthritis
142,2021-03-12,11199.0,Arthritis
143,2021-03-13,11199.0,Arthritis
144,2021-03-14,11199.0,Arthritis
145,2021-03-15,11382.0,Arthritis
146,2021-03-16,11382.0,Arthritis
147,2021-03-17,13023.0,Arthritis
148,2021-03-18,13023.0,Arthritis
149,2021-03-19,13023.0,Arthritis
150,2021-03-20,13023.0,Arthritis
151,2021-03-21,13023.0,Arthritis
152,2021-03-22,12192.0,Arthritis
153,2021-03-23,12192.0,Arthritis
154,2021-03-24,12192.0,Arthritis
155,2021-03-25,12192.0,Arthritis
156,2021-03-26,12192.0,Arthritis
157,2021-03-27,12192.0,Arthritis
158,2021-03-28,12192.0,Arthritis
159,2021-03-29,10533.0,Arthritis
160,2021-03-30,10533.0,Arthritis
161,2021-03-31,10533.0,Arthritis
162,2021-04-01,14303.0,Arthritis
163,2021-04-02,12166.0,Arthritis
164,2021-04-03,12727.0,Arthritis
165,2021-04-04,12727.0,Arthritis
166,2021-04-05,15500.0,Arthritis
167,2021-04-06,15500.0,Arthritis
168,2021-04-07,12437.0,Arthritis
169,2021-04-08,12782.0,Arthritis
170,2021-04-09,14779.0,Arthritis
171,2021-04-10,14779.0,Arthritis
172,2021-04-11,14779.0,Arthritis
173,2021-04-12,11910.0,Arthritis
174,2021-04-13,11910.0,Arthritis
175,2021-04-14,11970.0,Arthritis
176,2021-04-15,11970.0,Arthritis
177,2021-04-16,12842.0,Arthritis
178,2021-04-17,17377.0,Arthritis
179,2021-04-18,17377.0,Arthritis
180,2021-04-19,16127.0,Arthritis
181,2021-04-20,15403.0,Arthritis
182,2021-04-21,14933.0,Arthritis
183,2021-04-22,18228.0,Arthritis
184,2021-04-23,14316.0,Arthritis
185,2021-04-24,15291.0,Arthritis
186,2021-04-25,15291.0,Arthritis
187,2021-04-26,16750.0,Arthritis
188,2021-04-27,18963.0,Arthritis
189,2021-04-28,17154.0,Arthritis
190,2021-04-29,17154.0,Arthritis
191,2021-04-30,17055.0,Arthritis
192,2021-05-01,15274.0,Arthritis
193,2021-05-02,15274.0,Arthritis
194,2021-05-03,14062.0,Arthritis
195,2021-05-04,15140.0,Arthritis
196,2021-05-05,15140.0,Arthritis
197,2021-05-06,16685.0,Arthritis
198,2021-05-07,16685.0,Arthritis
199,2021-05-08,16685.0,Arthritis
200,2021-05-09,16685.0,Arthritis
201,2021-05-10,16685.0,Arthritis
202,2021-05-11,16685.0,Arthritis
203,2021-05-12,19652.0,Arthritis
204,2021-05-13,19652.0,Arthritis
205,2021-05-14,19652.0,Arthritis
206,2021-05-15,17366.0,Arthritis
207,2021-05-16,17366.0,Arthritis
208,2021-05-17,22661.0,Arthritis
209,2021-05-18,22661.0,Arthritis
210,2021-05-19,24786.0,Arthritis
211,2021-05-20,14934.0,Arthritis
212,2021-05-21,15645.0,Arthritis
213,2021-05-22,15645.0,Arthritis
214,2021-05-23,7170.0,Arthritis
215,2021-05-24,7170.0,Arthritis
216,2021-05-25,11404.0,Arthritis
217,2021-05-26,11404.0,Arthritis
218,2021-05-27,11564.0,Arthritis
219,2021-05-28,11564.0,Arthritis
220,2021-05-29,11564.0,Arthritis
221,2021-05-30,14116.0,Arthritis
222,2021-05-31,14116.0,Arthritis
223,2021-06-01,14671.0,Arthritis
224,2021-06-02,14671.0,Arthritis
225,2021-06-03,17446.0,Arthritis
226,2021-06-04,17446.0,Arthritis
227,2021-06-05,17829.0,Arthritis
228,2021-06-06,17829.0,Arthritis
229,2021-06-07,17829.0,Arthritis
230,2021-06-08,17829.0,Arthritis
231,2021-06-09,15639.0,Arthritis
232,2021-06-10,15639.0,Arthritis
233,2021-06-11,16206.0,Arthritis
234,2021-06-12,16206.0,Arthritis
235,2021-06-13,16206.0,Arthritis
236,2021-06-14,17633.0,Arthritis
237,2021-06-15,17633.0,Arthritis
238,2021-06-16,16628.0,Arthritis
239,2021-06-17,13965.0,Arthritis
240,2021-06-18,13965.0,Arthritis
241,2021-06-19,13965.0,Arthritis
242,2021-06-20,13965.0,Arthritis
243,2021-06-21,16957.0,Arthritis
244,2021-06-22,22599.0,Arthritis
245,2021-06-23,22599.0,Arthritis
246,2021-06-24,19616.0,Arthritis
247,2021-06-25,17850.0,Arthritis
248,2021-06-26,17850.0,Arthritis
249,2021-06-27,17850.0,Arthritis
250,2021-06-28,14473.0,Arthritis
251,2021-06-29,14473.0,Arthritis
252,2021-06-30,18417.0,Arthritis
253,2021-07-01,18417.0,Arthritis
254,2021-07-02,21438.0,Arthritis
255,2021-07-03,21438.0,Arthritis
256,2021-07-04,21438.0,Arthritis
257,2021-07-05,21438.0,Arthritis
258,2021-07-06,21438.0,Arthritis
259,2021-07-07,21438.0,Arthritis
260,2021-07-08,20565.0,Arthritis
261,2021-07-09,20565.0,Arthritis
262,2021-07-10,20565.0,Arthritis
263,2021-07-11,18914.0,Arthritis
