,date,value,name_B08H867DN5
100,2020-12-18,43297.0,Floating Shelves
101,2020-12-19,38383.0,Floating Shelves
102,2020-12-20,38383.0,Floating Shelves
103,2020-12-21,38383.0,Floating Shelves
104,2020-12-22,37197.0,Floating Shelves
105,2020-12-23,31556.0,Floating Shelves
106,2020-12-24,31556.0,Floating Shelves
107,2020-12-25,31556.0,Floating Shelves
108,2020-12-26,31556.0,Floating Shelves
109,2020-12-27,31556.0,Floating Shelves
110,2020-12-28,27507.0,Floating Shelves
111,2020-12-29,27507.0,Floating Shelves
112,2020-12-30,27507.0,Floating Shelves
113,2020-12-31,28057.0,Floating Shelves
114,2021-01-01,28057.0,Floating Shelves
115,2021-01-02,27657.0,Floating Shelves
116,2021-01-03,27657.0,Floating Shelves
117,2021-01-04,27657.0,Floating Shelves
118,2021-01-05,27657.0,Floating Shelves
119,2021-01-06,16668.0,Floating Shelves
120,2021-01-07,16668.0,Floating Shelves
121,2021-01-08,19990.0,Floating Shelves
122,2021-01-09,19990.0,Floating Shelves
123,2021-01-10,19990.0,Floating Shelves
124,2021-01-11,21553.0,Floating Shelves
125,2021-01-12,21553.0,Floating Shelves
126,2021-01-13,21327.0,Floating Shelves
127,2021-01-14,21327.0,Floating Shelves
128,2021-01-15,21327.0,Floating Shelves
129,2021-01-16,21327.0,Floating Shelves
130,2021-01-17,14028.0,Floating Shelves
131,2021-01-18,10462.0,Floating Shelves
132,2021-01-19,10462.0,Floating Shelves
133,2021-01-20,16278.0,Floating Shelves
134,2021-01-21,16278.0,Floating Shelves
135,2021-01-22,16278.0,Floating Shelves
136,2021-01-23,16278.0,Floating Shelves
137,2021-01-24,16278.0,Floating Shelves
138,2021-01-25,22620.0,Floating Shelves
139,2021-01-26,21405.0,Floating Shelves
140,2021-01-27,21405.0,Floating Shelves
141,2021-01-28,22194.0,Floating Shelves
142,2021-01-29,22211.0,Floating Shelves
143,2021-01-30,19252.0,Floating Shelves
144,2021-01-31,19252.0,Floating Shelves
145,2021-02-01,16681.0,Floating Shelves
146,2021-02-02,15154.0,Floating Shelves
147,2021-02-03,22516.0,Floating Shelves
148,2021-02-04,22516.0,Floating Shelves
149,2021-02-05,16819.0,Floating Shelves
150,2021-02-06,16318.0,Floating Shelves
151,2021-02-07,16318.0,Floating Shelves
152,2021-02-08,16318.0,Floating Shelves
153,2021-02-09,20524.0,Floating Shelves
154,2021-02-10,23601.0,Floating Shelves
155,2021-02-11,23601.0,Floating Shelves
156,2021-02-12,23601.0,Floating Shelves
157,2021-02-13,27623.0,Floating Shelves
158,2021-02-14,27623.0,Floating Shelves
159,2021-02-15,27623.0,Floating Shelves
160,2021-02-16,27623.0,Floating Shelves
161,2021-02-17,27623.0,Floating Shelves
162,2021-02-18,27901.0,Floating Shelves
163,2021-02-19,27901.0,Floating Shelves
164,2021-02-20,27901.0,Floating Shelves
165,2021-02-21,20498.0,Floating Shelves
166,2021-02-22,26253.0,Floating Shelves
167,2021-02-23,26253.0,Floating Shelves
168,2021-02-24,18895.0,Floating Shelves
169,2021-02-25,18895.0,Floating Shelves
170,2021-02-26,18895.0,Floating Shelves
171,2021-02-27,21515.0,Floating Shelves
172,2021-02-28,21515.0,Floating Shelves
173,2021-03-01,21299.0,Floating Shelves
174,2021-03-02,21299.0,Floating Shelves
175,2021-03-03,21299.0,Floating Shelves
176,2021-03-04,25260.0,Floating Shelves
177,2021-03-05,20890.0,Floating Shelves
178,2021-03-06,20890.0,Floating Shelves
179,2021-03-07,20890.0,Floating Shelves
180,2021-03-08,20890.0,Floating Shelves
181,2021-03-09,27572.0,Floating Shelves
182,2021-03-10,27572.0,Floating Shelves
183,2021-03-11,27572.0,Floating Shelves
184,2021-03-12,27572.0,Floating Shelves
185,2021-03-13,8042.0,Floating Shelves
186,2021-03-14,8042.0,Floating Shelves
187,2021-03-15,8042.0,Floating Shelves
188,2021-03-16,8042.0,Floating Shelves
189,2021-03-17,18734.0,Floating Shelves
190,2021-03-18,20084.0,Floating Shelves
191,2021-03-19,20084.0,Floating Shelves
192,2021-03-20,20453.0,Floating Shelves
193,2021-03-21,22044.0,Floating Shelves
194,2021-03-22,22044.0,Floating Shelves
195,2021-03-23,22044.0,Floating Shelves
196,2021-03-24,22044.0,Floating Shelves
197,2021-03-25,14965.0,Floating Shelves
198,2021-03-26,14965.0,Floating Shelves
199,2021-03-27,14965.0,Floating Shelves
200,2021-03-28,16732.0,Floating Shelves
201,2021-03-29,20242.0,Floating Shelves
202,2021-03-30,22142.0,Floating Shelves
203,2021-03-31,21654.0,Floating Shelves
204,2021-04-01,21227.0,Floating Shelves
205,2021-04-02,21934.0,Floating Shelves
206,2021-04-03,21934.0,Floating Shelves
207,2021-04-04,21934.0,Floating Shelves
208,2021-04-05,21934.0,Floating Shelves
209,2021-04-06,22394.0,Floating Shelves
210,2021-04-07,22394.0,Floating Shelves
211,2021-04-08,21171.0,Floating Shelves
212,2021-04-09,21171.0,Floating Shelves
213,2021-04-10,27140.0,Floating Shelves
214,2021-04-11,27152.0,Floating Shelves
215,2021-04-12,27152.0,Floating Shelves
216,2021-04-13,20089.0,Floating Shelves
217,2021-04-14,20089.0,Floating Shelves
218,2021-04-15,15615.0,Floating Shelves
219,2021-04-16,14832.0,Floating Shelves
220,2021-04-17,14832.0,Floating Shelves
221,2021-04-18,14832.0,Floating Shelves
222,2021-04-19,22431.0,Floating Shelves
223,2021-04-20,22431.0,Floating Shelves
224,2021-04-21,22927.0,Floating Shelves
225,2021-04-22,22927.0,Floating Shelves
226,2021-04-23,20706.0,Floating Shelves
227,2021-04-24,27292.0,Floating Shelves
228,2021-04-25,27292.0,Floating Shelves
229,2021-04-26,27292.0,Floating Shelves
230,2021-04-27,18628.0,Floating Shelves
231,2021-04-28,15603.0,Floating Shelves
232,2021-04-29,15603.0,Floating Shelves
233,2021-04-30,11529.0,Floating Shelves
234,2021-05-01,13942.0,Floating Shelves
235,2021-05-02,13942.0,Floating Shelves
236,2021-05-03,13942.0,Floating Shelves
237,2021-05-04,16290.0,Floating Shelves
238,2021-05-05,19921.0,Floating Shelves
239,2021-05-06,19921.0,Floating Shelves
240,2021-05-07,19921.0,Floating Shelves
241,2021-05-08,19921.0,Floating Shelves
242,2021-05-09,19921.0,Floating Shelves
243,2021-05-10,28333.0,Floating Shelves
244,2021-05-11,29224.0,Floating Shelves
245,2021-05-12,20237.0,Floating Shelves
246,2021-05-13,30498.0,Floating Shelves
247,2021-05-14,30498.0,Floating Shelves
248,2021-05-15,30498.0,Floating Shelves
249,2021-05-16,30498.0,Floating Shelves
250,2021-05-17,30498.0,Floating Shelves
251,2021-05-18,33683.0,Floating Shelves
252,2021-05-19,33683.0,Floating Shelves
253,2021-05-20,31773.0,Floating Shelves
254,2021-05-21,36863.0,Floating Shelves
255,2021-05-22,34734.0,Floating Shelves
256,2021-05-23,34734.0,Floating Shelves
257,2021-05-24,29734.0,Floating Shelves
258,2021-05-25,23821.0,Floating Shelves
259,2021-05-26,23821.0,Floating Shelves
260,2021-05-27,23821.0,Floating Shelves
261,2021-05-28,21485.0,Floating Shelves
262,2021-05-29,28607.0,Floating Shelves
263,2021-05-30,28607.0,Floating Shelves
264,2021-05-31,34174.0,Floating Shelves
265,2021-06-01,34174.0,Floating Shelves
266,2021-06-02,34174.0,Floating Shelves
267,2021-06-03,19377.0,Floating Shelves
268,2021-06-04,19377.0,Floating Shelves
269,2021-06-05,28181.0,Floating Shelves
270,2021-06-06,28181.0,Floating Shelves
271,2021-06-07,30917.0,Floating Shelves
272,2021-06-08,30917.0,Floating Shelves
273,2021-06-09,39773.0,Floating Shelves
274,2021-06-10,34415.0,Floating Shelves
275,2021-06-11,34415.0,Floating Shelves
276,2021-06-12,33801.0,Floating Shelves
277,2021-06-13,33801.0,Floating Shelves
278,2021-06-14,33801.0,Floating Shelves
279,2021-06-15,33801.0,Floating Shelves
280,2021-06-16,42740.0,Floating Shelves
281,2021-06-17,42740.0,Floating Shelves
282,2021-06-18,32521.0,Floating Shelves
283,2021-06-19,32521.0,Floating Shelves
284,2021-06-20,32757.0,Floating Shelves
285,2021-06-21,34376.0,Floating Shelves
286,2021-06-22,14808.0,Floating Shelves
287,2021-06-23,14579.0,Floating Shelves
288,2021-06-24,10196.0,Floating Shelves
289,2021-06-25,19651.0,Floating Shelves
290,2021-06-26,24836.0,Floating Shelves
291,2021-06-27,33277.0,Floating Shelves
292,2021-06-28,33277.0,Floating Shelves
293,2021-06-29,23863.0,Floating Shelves
294,2021-06-30,23863.0,Floating Shelves
295,2021-07-01,23863.0,Floating Shelves
296,2021-07-02,17262.0,Floating Shelves
297,2021-07-03,17262.0,Floating Shelves
298,2021-07-04,17262.0,Floating Shelves
299,2021-07-05,17262.0,Floating Shelves
300,2021-07-06,31134.0,Floating Shelves
301,2021-07-07,31134.0,Floating Shelves
302,2021-07-08,25213.0,Floating Shelves
303,2021-07-09,25213.0,Floating Shelves
304,2021-07-10,25213.0,Floating Shelves
305,2021-07-11,23158.0,Floating Shelves
