,date,value,name_B07GV5M2RZ
266,2019-05-20,1018.0,Spice Racks
267,2019-05-21,1017.0,Spice Racks
268,2019-05-22,994.0,Spice Racks
269,2019-05-23,1139.0,Spice Racks
270,2019-05-24,1164.0,Spice Racks
271,2019-05-25,994.0,Spice Racks
272,2019-05-26,794.0,Spice Racks
273,2019-05-27,849.0,Spice Racks
274,2019-05-28,970.0,Spice Racks
275,2019-05-29,975.0,Spice Racks
276,2019-05-30,1021.0,Spice Racks
277,2019-05-31,978.0,Spice Racks
278,2019-06-01,806.0,Spice Racks
279,2019-06-02,997.0,Spice Racks
280,2019-06-03,967.0,Spice Racks
281,2019-06-04,1027.0,Spice Racks
282,2019-06-05,1195.0,Spice Racks
283,2019-06-06,1427.0,Spice Racks
284,2019-06-07,1145.0,Spice Racks
285,2019-06-08,1045.0,Spice Racks
286,2019-06-09,985.0,Spice Racks
287,2019-06-10,1010.0,Spice Racks
288,2019-06-11,1010.0,Spice Racks
289,2019-06-12,1045.0,Spice Racks
290,2019-06-13,1189.0,Spice Racks
291,2019-06-14,1189.0,Spice Racks
292,2019-06-15,1073.0,Spice Racks
293,2019-06-16,882.0,Spice Racks
294,2019-06-17,1006.0,Spice Racks
295,2019-06-18,1020.0,Spice Racks
296,2019-06-19,1028.0,Spice Racks
297,2019-06-20,1288.0,Spice Racks
298,2019-06-21,1188.0,Spice Racks
299,2019-06-22,1045.0,Spice Racks
300,2019-06-23,1044.0,Spice Racks
301,2019-06-24,1068.0,Spice Racks
302,2019-06-25,1026.0,Spice Racks
303,2019-06-26,1294.0,Spice Racks
304,2019-06-27,1179.0,Spice Racks
305,2019-06-28,1377.0,Spice Racks
306,2019-06-29,1146.0,Spice Racks
307,2019-06-30,968.0,Spice Racks
308,2019-07-01,794.0,Spice Racks
309,2019-07-02,930.0,Spice Racks
310,2019-07-03,1023.0,Spice Racks
311,2019-07-04,1023.0,Spice Racks
312,2019-07-05,1273.0,Spice Racks
313,2019-07-06,1131.0,Spice Racks
314,2019-07-07,817.0,Spice Racks
315,2019-07-08,1079.0,Spice Racks
316,2019-07-09,1160.0,Spice Racks
317,2019-07-10,1164.0,Spice Racks
318,2019-07-11,1341.0,Spice Racks
319,2019-07-12,1341.0,Spice Racks
320,2019-07-13,1266.0,Spice Racks
321,2019-07-14,1053.0,Spice Racks
322,2019-07-15,1379.0,Spice Racks
323,2019-07-16,1950.0,Spice Racks
324,2019-07-17,2034.0,Spice Racks
325,2019-07-18,2034.0,Spice Racks
326,2019-07-19,1495.0,Spice Racks
327,2019-07-20,1286.0,Spice Racks
328,2019-07-21,971.0,Spice Racks
329,2019-07-22,1113.0,Spice Racks
330,2019-07-23,1364.0,Spice Racks
331,2019-07-24,1719.0,Spice Racks
332,2019-07-25,1143.0,Spice Racks
333,2019-07-26,1138.0,Spice Racks
334,2019-07-27,1193.0,Spice Racks
335,2019-07-28,1193.0,Spice Racks
336,2019-07-29,1135.0,Spice Racks
337,2019-07-30,1369.0,Spice Racks
338,2019-07-31,1217.0,Spice Racks
339,2019-08-01,1217.0,Spice Racks
340,2019-08-02,1171.0,Spice Racks
341,2019-08-03,1073.0,Spice Racks
342,2019-08-04,1095.0,Spice Racks
343,2019-08-05,893.0,Spice Racks
344,2019-08-06,1040.0,Spice Racks
345,2019-08-07,1193.0,Spice Racks
346,2019-08-08,1354.0,Spice Racks
347,2019-08-09,1045.0,Spice Racks
348,2019-08-10,1145.0,Spice Racks
349,2019-08-11,1132.0,Spice Racks
350,2019-08-12,1132.0,Spice Racks
351,2019-08-13,1132.0,Spice Racks
352,2019-08-14,1021.0,Spice Racks
353,2019-08-15,1021.0,Spice Racks
354,2019-08-16,1428.0,Spice Racks
355,2019-08-17,1543.0,Spice Racks
356,2019-08-18,1046.0,Spice Racks
357,2019-08-19,1153.0,Spice Racks
358,2019-08-20,1343.0,Spice Racks
359,2019-08-21,1434.0,Spice Racks
360,2019-08-22,1434.0,Spice Racks
361,2019-08-23,1276.0,Spice Racks
362,2019-08-24,1126.0,Spice Racks
363,2019-08-25,1052.0,Spice Racks
364,2019-08-26,1124.0,Spice Racks
365,2019-08-27,1269.0,Spice Racks
366,2019-08-28,1548.0,Spice Racks
367,2019-08-29,1415.0,Spice Racks
368,2019-08-30,1384.0,Spice Racks
369,2019-08-31,1166.0,Spice Racks
370,2019-09-01,1166.0,Spice Racks
371,2019-09-02,1020.0,Spice Racks
372,2019-09-03,949.0,Spice Racks
373,2019-09-04,1040.0,Spice Racks
374,2019-09-05,1040.0,Spice Racks
375,2019-09-06,1040.0,Spice Racks
376,2019-09-07,1266.0,Spice Racks
377,2019-09-08,1264.0,Spice Racks
378,2019-09-09,1142.0,Spice Racks
379,2019-09-10,1542.0,Spice Racks
380,2019-09-11,1465.0,Spice Racks
381,2019-09-12,1502.0,Spice Racks
382,2019-09-13,1237.0,Spice Racks
383,2019-09-14,1269.0,Spice Racks
384,2019-09-15,1269.0,Spice Racks
385,2019-09-16,1122.0,Spice Racks
386,2019-09-17,1218.0,Spice Racks
387,2019-09-18,1053.0,Spice Racks
388,2019-09-19,1243.0,Spice Racks
389,2019-09-20,1283.0,Spice Racks
390,2019-09-21,1242.0,Spice Racks
391,2019-09-22,1027.0,Spice Racks
392,2019-09-23,1052.0,Spice Racks
393,2019-09-24,1209.0,Spice Racks
394,2019-09-25,1158.0,Spice Racks
395,2019-09-26,1258.0,Spice Racks
396,2019-09-27,1375.0,Spice Racks
397,2019-09-28,1183.0,Spice Racks
398,2019-09-29,915.0,Spice Racks
399,2019-09-30,1075.0,Spice Racks
400,2019-10-01,1201.0,Spice Racks
401,2019-10-02,1221.0,Spice Racks
402,2019-10-03,1216.0,Spice Racks
403,2019-10-04,1353.0,Spice Racks
404,2019-10-05,1353.0,Spice Racks
405,2019-10-06,1353.0,Spice Racks
406,2019-10-07,955.0,Spice Racks
407,2019-10-08,1218.0,Spice Racks
408,2019-10-09,1195.0,Spice Racks
409,2019-10-10,1157.0,Spice Racks
410,2019-10-11,1157.0,Spice Racks
411,2019-10-12,1079.0,Spice Racks
412,2019-10-13,1079.0,Spice Racks
413,2019-10-14,1016.0,Spice Racks
414,2019-10-15,1114.0,Spice Racks
415,2019-10-16,1513.0,Spice Racks
416,2019-10-17,1562.0,Spice Racks
417,2019-10-18,1594.0,Spice Racks
418,2019-10-19,1287.0,Spice Racks
419,2019-10-20,1094.0,Spice Racks
420,2019-10-21,1406.0,Spice Racks
421,2019-10-22,1406.0,Spice Racks
422,2019-10-23,1373.0,Spice Racks
423,2019-10-24,1249.0,Spice Racks
424,2019-10-25,1363.0,Spice Racks
425,2019-10-26,1336.0,Spice Racks
426,2019-10-27,1185.0,Spice Racks
427,2019-10-28,1228.0,Spice Racks
428,2019-10-29,1390.0,Spice Racks
429,2019-10-30,1390.0,Spice Racks
430,2019-10-31,1677.0,Spice Racks
431,2019-11-01,1382.0,Spice Racks
432,2019-11-02,1262.0,Spice Racks
433,2019-11-03,1149.0,Spice Racks
434,2019-11-04,1329.0,Spice Racks
435,2019-11-05,1329.0,Spice Racks
436,2019-11-06,1606.0,Spice Racks
437,2019-11-07,1606.0,Spice Racks
438,2019-11-08,1606.0,Spice Racks
439,2019-11-09,1606.0,Spice Racks
440,2019-11-10,1248.0,Spice Racks
441,2019-11-11,1248.0,Spice Racks
442,2019-11-12,1177.0,Spice Racks
443,2019-11-13,1177.0,Spice Racks
444,2019-11-14,1177.0,Spice Racks
445,2019-11-15,1177.0,Spice Racks
446,2019-11-16,1177.0,Spice Racks
447,2019-11-17,1212.0,Spice Racks
448,2019-11-18,1429.0,Spice Racks
449,2019-11-19,1477.0,Spice Racks
450,2019-11-20,1477.0,Spice Racks
451,2019-11-21,1477.0,Spice Racks
452,2019-11-22,1477.0,Spice Racks
453,2019-11-23,1639.0,Spice Racks
454,2019-11-24,1836.0,Spice Racks
455,2019-11-25,1554.0,Spice Racks
456,2019-11-26,2124.0,Spice Racks
457,2019-11-27,2124.0,Spice Racks
458,2019-11-28,1834.0,Spice Racks
459,2019-11-29,1948.0,Spice Racks
460,2019-11-30,2146.0,Spice Racks
461,2019-12-01,2146.0,Spice Racks
462,2019-12-02,2146.0,Spice Racks
463,2019-12-03,2146.0,Spice Racks
464,2019-12-04,2146.0,Spice Racks
465,2019-12-05,2037.0,Spice Racks
466,2019-12-06,2037.0,Spice Racks
467,2019-12-07,1832.0,Spice Racks
468,2019-12-08,1832.0,Spice Racks
469,2019-12-09,1568.0,Spice Racks
470,2019-12-10,1568.0,Spice Racks
471,2019-12-11,1568.0,Spice Racks
472,2019-12-12,1973.0,Spice Racks
473,2019-12-13,1973.0,Spice Racks
474,2019-12-14,1973.0,Spice Racks
475,2019-12-15,1834.0,Spice Racks
476,2019-12-16,1834.0,Spice Racks
477,2019-12-17,1834.0,Spice Racks
478,2019-12-18,1829.0,Spice Racks
479,2019-12-19,1829.0,Spice Racks
480,2019-12-20,1968.0,Spice Racks
481,2019-12-21,2197.0,Spice Racks
482,2019-12-22,1998.0,Spice Racks
483,2019-12-23,2023.0,Spice Racks
484,2019-12-24,2036.0,Spice Racks
485,2019-12-25,2036.0,Spice Racks
486,2019-12-26,2036.0,Spice Racks
487,2019-12-27,1520.0,Spice Racks
488,2019-12-28,1520.0,Spice Racks
489,2019-12-29,1520.0,Spice Racks
490,2019-12-30,1018.0,Spice Racks
491,2019-12-31,1018.0,Spice Racks
492,2020-01-01,1018.0,Spice Racks
493,2020-01-02,825.0,Spice Racks
494,2020-01-03,825.0,Spice Racks
495,2020-01-04,956.0,Spice Racks
496,2020-01-05,898.0,Spice Racks
497,2020-01-06,898.0,Spice Racks
498,2020-01-07,898.0,Spice Racks
499,2020-01-08,1130.0,Spice Racks
500,2020-01-09,1253.0,Spice Racks
501,2020-01-10,1221.0,Spice Racks
502,2020-01-11,1221.0,Spice Racks
503,2020-01-12,1221.0,Spice Racks
504,2020-01-13,892.0,Spice Racks
505,2020-01-14,965.0,Spice Racks
506,2020-01-15,965.0,Spice Racks
507,2020-01-16,965.0,Spice Racks
508,2020-01-17,1192.0,Spice Racks
509,2020-01-18,1192.0,Spice Racks
510,2020-01-19,1192.0,Spice Racks
511,2020-01-20,1192.0,Spice Racks
512,2020-01-21,1030.0,Spice Racks
513,2020-01-22,1030.0,Spice Racks
514,2020-01-23,1308.0,Spice Racks
515,2020-01-24,1308.0,Spice Racks
516,2020-01-25,1308.0,Spice Racks
517,2020-01-26,1308.0,Spice Racks
518,2020-01-27,897.0,Spice Racks
519,2020-01-28,897.0,Spice Racks
520,2020-01-29,897.0,Spice Racks
521,2020-01-30,1538.0,Spice Racks
522,2020-01-31,1279.0,Spice Racks
523,2020-02-01,1279.0,Spice Racks
524,2020-02-02,1208.0,Spice Racks
525,2020-02-03,1208.0,Spice Racks
526,2020-02-04,1208.0,Spice Racks
527,2020-02-05,1343.0,Spice Racks
528,2020-02-06,1742.0,Spice Racks
529,2020-02-07,1742.0,Spice Racks
530,2020-02-08,1615.0,Spice Racks
531,2020-02-09,1423.0,Spice Racks
532,2020-02-10,1423.0,Spice Racks
533,2020-02-11,1506.0,Spice Racks
534,2020-02-12,1506.0,Spice Racks
535,2020-02-13,1506.0,Spice Racks
536,2020-02-14,1594.0,Spice Racks
537,2020-02-15,1594.0,Spice Racks
538,2020-02-16,1594.0,Spice Racks
539,2020-02-17,1214.0,Spice Racks
540,2020-02-18,1263.0,Spice Racks
541,2020-02-19,1301.0,Spice Racks
542,2020-02-20,1317.0,Spice Racks
543,2020-02-21,1317.0,Spice Racks
544,2020-02-22,1317.0,Spice Racks
545,2020-02-23,962.0,Spice Racks
546,2020-02-24,962.0,Spice Racks
547,2020-02-25,1204.0,Spice Racks
548,2020-02-26,1457.0,Spice Racks
549,2020-02-27,1457.0,Spice Racks
550,2020-02-28,1457.0,Spice Racks
551,2020-02-29,1457.0,Spice Racks
552,2020-03-01,1279.0,Spice Racks
553,2020-03-02,1375.0,Spice Racks
554,2020-03-03,1762.0,Spice Racks
555,2020-03-04,1726.0,Spice Racks
556,2020-03-05,1726.0,Spice Racks
557,2020-03-06,1726.0,Spice Racks
558,2020-03-07,1726.0,Spice Racks
559,2020-03-08,1726.0,Spice Racks
560,2020-03-09,1726.0,Spice Racks
561,2020-03-10,1726.0,Spice Racks
562,2020-03-11,-1.0,Spice Racks
