,date,value,name_B08H4P393H
71,2020-11-12,18857.0,Elastic Bandages
72,2020-11-13,16832.0,Elastic Bandages
73,2020-11-14,17626.0,Elastic Bandages
74,2020-11-15,14917.0,Elastic Bandages
75,2020-11-16,14917.0,Elastic Bandages
76,2020-11-17,15831.0,Elastic Bandages
77,2020-11-18,19777.0,Elastic Bandages
78,2020-11-19,19777.0,Elastic Bandages
79,2020-11-20,19777.0,Elastic Bandages
80,2020-11-21,16512.0,Elastic Bandages
81,2020-11-22,16512.0,Elastic Bandages
82,2020-11-23,16617.0,Elastic Bandages
83,2020-11-24,21836.0,Elastic Bandages
84,2020-11-25,21836.0,Elastic Bandages
85,2020-11-26,21836.0,Elastic Bandages
86,2020-11-27,18780.0,Elastic Bandages
87,2020-11-28,18780.0,Elastic Bandages
88,2020-11-29,18780.0,Elastic Bandages
89,2020-11-30,24379.0,Elastic Bandages
90,2020-12-01,24379.0,Elastic Bandages
91,2020-12-02,20668.0,Elastic Bandages
92,2020-12-03,20668.0,Elastic Bandages
93,2020-12-04,22859.0,Elastic Bandages
94,2020-12-05,22859.0,Elastic Bandages
95,2020-12-06,24837.0,Elastic Bandages
96,2020-12-07,26879.0,Elastic Bandages
97,2020-12-08,26879.0,Elastic Bandages
98,2020-12-09,21160.0,Elastic Bandages
99,2020-12-10,21160.0,Elastic Bandages
100,2020-12-11,30744.0,Elastic Bandages
101,2020-12-12,30744.0,Elastic Bandages
102,2020-12-13,30744.0,Elastic Bandages
103,2020-12-14,24217.0,Elastic Bandages
104,2020-12-15,20443.0,Elastic Bandages
105,2020-12-16,20443.0,Elastic Bandages
106,2020-12-17,25623.0,Elastic Bandages
107,2020-12-18,28466.0,Elastic Bandages
108,2020-12-19,24373.0,Elastic Bandages
109,2020-12-20,27912.0,Elastic Bandages
110,2020-12-21,19711.0,Elastic Bandages
111,2020-12-22,23281.0,Elastic Bandages
112,2020-12-23,23281.0,Elastic Bandages
113,2020-12-24,23281.0,Elastic Bandages
114,2020-12-25,23281.0,Elastic Bandages
115,2020-12-26,23281.0,Elastic Bandages
116,2020-12-27,15621.0,Elastic Bandages
117,2020-12-28,18708.0,Elastic Bandages
118,2020-12-29,17151.0,Elastic Bandages
119,2020-12-30,17151.0,Elastic Bandages
120,2020-12-31,17151.0,Elastic Bandages
121,2021-01-01,17151.0,Elastic Bandages
122,2021-01-02,18110.0,Elastic Bandages
123,2021-01-03,24422.0,Elastic Bandages
124,2021-01-04,27197.0,Elastic Bandages
125,2021-01-05,23109.0,Elastic Bandages
126,2021-01-06,20455.0,Elastic Bandages
127,2021-01-07,20453.0,Elastic Bandages
128,2021-01-08,20453.0,Elastic Bandages
129,2021-01-09,20453.0,Elastic Bandages
130,2021-01-10,20453.0,Elastic Bandages
131,2021-01-11,11578.0,Elastic Bandages
132,2021-01-12,11578.0,Elastic Bandages
133,2021-01-13,11578.0,Elastic Bandages
134,2021-01-14,11578.0,Elastic Bandages
135,2021-01-15,16735.0,Elastic Bandages
136,2021-01-16,16735.0,Elastic Bandages
137,2021-01-17,16735.0,Elastic Bandages
138,2021-01-18,16735.0,Elastic Bandages
139,2021-01-19,15388.0,Elastic Bandages
140,2021-01-20,17460.0,Elastic Bandages
141,2021-01-21,18581.0,Elastic Bandages
142,2021-01-22,18581.0,Elastic Bandages
143,2021-01-23,18016.0,Elastic Bandages
144,2021-01-24,18016.0,Elastic Bandages
145,2021-01-25,17517.0,Elastic Bandages
146,2021-01-26,17517.0,Elastic Bandages
147,2021-01-27,17517.0,Elastic Bandages
148,2021-01-28,17517.0,Elastic Bandages
149,2021-01-29,17517.0,Elastic Bandages
150,2021-01-30,23610.0,Elastic Bandages
151,2021-01-31,23610.0,Elastic Bandages
152,2021-02-01,23610.0,Elastic Bandages
153,2021-02-02,23610.0,Elastic Bandages
154,2021-02-03,19819.0,Elastic Bandages
155,2021-02-04,24217.0,Elastic Bandages
156,2021-02-05,20160.0,Elastic Bandages
157,2021-02-06,20160.0,Elastic Bandages
158,2021-02-07,18120.0,Elastic Bandages
159,2021-02-08,18120.0,Elastic Bandages
160,2021-02-09,18120.0,Elastic Bandages
161,2021-02-10,29872.0,Elastic Bandages
162,2021-02-11,29872.0,Elastic Bandages
163,2021-02-12,29872.0,Elastic Bandages
164,2021-02-13,29872.0,Elastic Bandages
165,2021-02-14,29872.0,Elastic Bandages
166,2021-02-15,29872.0,Elastic Bandages
167,2021-02-16,29872.0,Elastic Bandages
168,2021-02-17,23457.0,Elastic Bandages
169,2021-02-18,27800.0,Elastic Bandages
170,2021-02-19,27800.0,Elastic Bandages
171,2021-02-20,22174.0,Elastic Bandages
172,2021-02-21,22174.0,Elastic Bandages
173,2021-02-22,22174.0,Elastic Bandages
174,2021-02-23,25502.0,Elastic Bandages
175,2021-02-24,23023.0,Elastic Bandages
176,2021-02-25,26175.0,Elastic Bandages
177,2021-02-26,21667.0,Elastic Bandages
178,2021-02-27,21667.0,Elastic Bandages
179,2021-02-28,21667.0,Elastic Bandages
180,2021-03-01,18418.0,Elastic Bandages
181,2021-03-02,18418.0,Elastic Bandages
182,2021-03-03,18418.0,Elastic Bandages
183,2021-03-04,18418.0,Elastic Bandages
184,2021-03-05,26497.0,Elastic Bandages
185,2021-03-06,21439.0,Elastic Bandages
186,2021-03-07,21439.0,Elastic Bandages
187,2021-03-08,21439.0,Elastic Bandages
188,2021-03-09,21439.0,Elastic Bandages
189,2021-03-10,24375.0,Elastic Bandages
190,2021-03-11,23340.0,Elastic Bandages
191,2021-03-12,23197.0,Elastic Bandages
192,2021-03-13,23197.0,Elastic Bandages
193,2021-03-14,23197.0,Elastic Bandages
194,2021-03-15,18207.0,Elastic Bandages
195,2021-03-16,18207.0,Elastic Bandages
196,2021-03-17,18542.0,Elastic Bandages
197,2021-03-18,18774.0,Elastic Bandages
198,2021-03-19,18774.0,Elastic Bandages
199,2021-03-20,18774.0,Elastic Bandages
200,2021-03-21,18774.0,Elastic Bandages
201,2021-03-22,21540.0,Elastic Bandages
202,2021-03-23,21540.0,Elastic Bandages
203,2021-03-24,21540.0,Elastic Bandages
204,2021-03-25,21540.0,Elastic Bandages
205,2021-03-26,21540.0,Elastic Bandages
206,2021-03-27,21540.0,Elastic Bandages
207,2021-03-28,20665.0,Elastic Bandages
208,2021-03-29,20665.0,Elastic Bandages
209,2021-03-30,20665.0,Elastic Bandages
210,2021-03-31,20665.0,Elastic Bandages
211,2021-04-01,20665.0,Elastic Bandages
212,2021-04-02,21141.0,Elastic Bandages
213,2021-04-03,21141.0,Elastic Bandages
214,2021-04-04,21141.0,Elastic Bandages
215,2021-04-05,26070.0,Elastic Bandages
216,2021-04-06,26070.0,Elastic Bandages
217,2021-04-07,30585.0,Elastic Bandages
218,2021-04-08,30585.0,Elastic Bandages
219,2021-04-09,30585.0,Elastic Bandages
220,2021-04-10,23398.0,Elastic Bandages
221,2021-04-11,23398.0,Elastic Bandages
222,2021-04-12,23398.0,Elastic Bandages
223,2021-04-13,23398.0,Elastic Bandages
224,2021-04-14,33054.0,Elastic Bandages
225,2021-04-15,28856.0,Elastic Bandages
226,2021-04-16,22496.0,Elastic Bandages
227,2021-04-17,25684.0,Elastic Bandages
228,2021-04-18,25684.0,Elastic Bandages
229,2021-04-19,25684.0,Elastic Bandages
230,2021-04-20,25684.0,Elastic Bandages
231,2021-04-21,27778.0,Elastic Bandages
232,2021-04-22,24475.0,Elastic Bandages
233,2021-04-23,27790.0,Elastic Bandages
234,2021-04-24,27790.0,Elastic Bandages
235,2021-04-25,27790.0,Elastic Bandages
236,2021-04-26,23344.0,Elastic Bandages
237,2021-04-27,23344.0,Elastic Bandages
238,2021-04-28,23344.0,Elastic Bandages
239,2021-04-29,23344.0,Elastic Bandages
240,2021-04-30,23027.0,Elastic Bandages
241,2021-05-01,23027.0,Elastic Bandages
242,2021-05-02,23027.0,Elastic Bandages
243,2021-05-03,23027.0,Elastic Bandages
244,2021-05-04,24395.0,Elastic Bandages
245,2021-05-05,24395.0,Elastic Bandages
246,2021-05-06,25406.0,Elastic Bandages
247,2021-05-07,25406.0,Elastic Bandages
248,2021-05-08,33376.0,Elastic Bandages
249,2021-05-09,33376.0,Elastic Bandages
250,2021-05-10,33376.0,Elastic Bandages
251,2021-05-11,26542.0,Elastic Bandages
252,2021-05-12,26542.0,Elastic Bandages
253,2021-05-13,26542.0,Elastic Bandages
254,2021-05-14,26542.0,Elastic Bandages
255,2021-05-15,25894.0,Elastic Bandages
256,2021-05-16,36732.0,Elastic Bandages
257,2021-05-17,36732.0,Elastic Bandages
258,2021-05-18,39253.0,Elastic Bandages
259,2021-05-19,39253.0,Elastic Bandages
260,2021-05-20,46116.0,Elastic Bandages
261,2021-05-21,35702.0,Elastic Bandages
262,2021-05-22,36724.0,Elastic Bandages
263,2021-05-23,36724.0,Elastic Bandages
264,2021-05-24,42971.0,Elastic Bandages
265,2021-05-25,42971.0,Elastic Bandages
266,2021-05-26,42971.0,Elastic Bandages
267,2021-05-27,41076.0,Elastic Bandages
268,2021-05-28,41076.0,Elastic Bandages
269,2021-05-29,41076.0,Elastic Bandages
270,2021-05-30,41076.0,Elastic Bandages
271,2021-05-31,41076.0,Elastic Bandages
272,2021-06-01,41076.0,Elastic Bandages
273,2021-06-02,41571.0,Elastic Bandages
274,2021-06-03,41571.0,Elastic Bandages
275,2021-06-04,41571.0,Elastic Bandages
276,2021-06-05,33668.0,Elastic Bandages
277,2021-06-06,33668.0,Elastic Bandages
278,2021-06-07,33668.0,Elastic Bandages
279,2021-06-08,33668.0,Elastic Bandages
280,2021-06-09,30727.0,Elastic Bandages
281,2021-06-10,30727.0,Elastic Bandages
282,2021-06-11,30727.0,Elastic Bandages
283,2021-06-12,30727.0,Elastic Bandages
284,2021-06-13,30727.0,Elastic Bandages
285,2021-06-14,28836.0,Elastic Bandages
286,2021-06-15,28836.0,Elastic Bandages
287,2021-06-16,28836.0,Elastic Bandages
288,2021-06-17,32967.0,Elastic Bandages
289,2021-06-18,32967.0,Elastic Bandages
290,2021-06-19,32967.0,Elastic Bandages
291,2021-06-20,32967.0,Elastic Bandages
292,2021-06-21,39375.0,Elastic Bandages
293,2021-06-22,35090.0,Elastic Bandages
294,2021-06-23,35090.0,Elastic Bandages
295,2021-06-24,35090.0,Elastic Bandages
296,2021-06-25,35090.0,Elastic Bandages
297,2021-06-26,30588.0,Elastic Bandages
298,2021-06-27,30588.0,Elastic Bandages
299,2021-06-28,23239.0,Elastic Bandages
300,2021-06-29,23239.0,Elastic Bandages
301,2021-06-30,28114.0,Elastic Bandages
302,2021-07-01,28114.0,Elastic Bandages
303,2021-07-02,28114.0,Elastic Bandages
304,2021-07-03,26596.0,Elastic Bandages
305,2021-07-04,26596.0,Elastic Bandages
306,2021-07-05,26596.0,Elastic Bandages
307,2021-07-06,32606.0,Elastic Bandages
308,2021-07-07,32606.0,Elastic Bandages
309,2021-07-08,32606.0,Elastic Bandages
310,2021-07-09,33396.0,Elastic Bandages
311,2021-07-10,33396.0,Elastic Bandages
312,2021-07-11,28687.0,Elastic Bandages
