,date,value,name_B0836P4DYC
250,2020-09-06,1205.0,Container Sets
251,2020-09-07,1388.0,Container Sets
252,2020-09-08,1356.0,Container Sets
253,2020-09-09,1241.0,Container Sets
254,2020-09-10,1177.0,Container Sets
255,2020-09-11,979.0,Container Sets
256,2020-09-12,987.0,Container Sets
257,2020-09-13,1116.0,Container Sets
258,2020-09-14,1494.0,Container Sets
259,2020-09-15,1313.0,Container Sets
260,2020-09-16,1297.0,Container Sets
261,2020-09-17,1152.0,Container Sets
262,2020-09-18,1066.0,Container Sets
263,2020-09-19,1002.0,Container Sets
264,2020-09-20,1207.0,Container Sets
265,2020-09-21,1276.0,Container Sets
266,2020-09-22,1037.0,Container Sets
267,2020-09-23,1102.0,Container Sets
268,2020-09-24,991.0,Container Sets
269,2020-09-25,1016.0,Container Sets
270,2020-09-26,1016.0,Container Sets
271,2020-09-27,1016.0,Container Sets
272,2020-09-28,1572.0,Container Sets
273,2020-09-29,1285.0,Container Sets
274,2020-09-30,1252.0,Container Sets
275,2020-10-01,1314.0,Container Sets
276,2020-10-02,1138.0,Container Sets
277,2020-10-03,1138.0,Container Sets
278,2020-10-04,1487.0,Container Sets
279,2020-10-05,1487.0,Container Sets
280,2020-10-06,1382.0,Container Sets
281,2020-10-07,1170.0,Container Sets
282,2020-10-08,1305.0,Container Sets
283,2020-10-09,1260.0,Container Sets
284,2020-10-10,1376.0,Container Sets
285,2020-10-11,1555.0,Container Sets
286,2020-10-12,1751.0,Container Sets
287,2020-10-13,1750.0,Container Sets
288,2020-10-14,1763.0,Container Sets
289,2020-10-15,1718.0,Container Sets
290,2020-10-16,1683.0,Container Sets
291,2020-10-17,1469.0,Container Sets
292,2020-10-18,1469.0,Container Sets
293,2020-10-19,1491.0,Container Sets
294,2020-10-20,1483.0,Container Sets
295,2020-10-21,1418.0,Container Sets
296,2020-10-22,1378.0,Container Sets
297,2020-10-23,1229.0,Container Sets
298,2020-10-24,1272.0,Container Sets
299,2020-10-25,1283.0,Container Sets
300,2020-10-26,1381.0,Container Sets
301,2020-10-27,1207.0,Container Sets
302,2020-10-28,1116.0,Container Sets
303,2020-10-29,1090.0,Container Sets
304,2020-10-30,1223.0,Container Sets
305,2020-10-31,1614.0,Container Sets
306,2020-11-01,1663.0,Container Sets
307,2020-11-02,1622.0,Container Sets
308,2020-11-03,1745.0,Container Sets
309,2020-11-04,1505.0,Container Sets
310,2020-11-05,1422.0,Container Sets
311,2020-11-06,2335.0,Container Sets
312,2020-11-07,1958.0,Container Sets
313,2020-11-08,1532.0,Container Sets
314,2020-11-09,1744.0,Container Sets
315,2020-11-10,1706.0,Container Sets
316,2020-11-11,1631.0,Container Sets
317,2020-11-12,1711.0,Container Sets
318,2020-11-13,1621.0,Container Sets
319,2020-11-14,1789.0,Container Sets
320,2020-11-15,1956.0,Container Sets
321,2020-11-16,1880.0,Container Sets
322,2020-11-17,1853.0,Container Sets
323,2020-11-18,1679.0,Container Sets
324,2020-11-19,1912.0,Container Sets
325,2020-11-20,1162.0,Container Sets
326,2020-11-21,1186.0,Container Sets
327,2020-11-22,1480.0,Container Sets
328,2020-11-23,1360.0,Container Sets
329,2020-11-24,1156.0,Container Sets
330,2020-11-25,1210.0,Container Sets
331,2020-11-26,1564.0,Container Sets
332,2020-11-27,1610.0,Container Sets
333,2020-11-28,1967.0,Container Sets
334,2020-11-29,1796.0,Container Sets
335,2020-11-30,1924.0,Container Sets
336,2020-12-01,1819.0,Container Sets
337,2020-12-02,1532.0,Container Sets
338,2020-12-03,1536.0,Container Sets
339,2020-12-04,1309.0,Container Sets
340,2020-12-05,1482.0,Container Sets
341,2020-12-06,1482.0,Container Sets
342,2020-12-07,1658.0,Container Sets
343,2020-12-08,1603.0,Container Sets
344,2020-12-09,1547.0,Container Sets
345,2020-12-10,1567.0,Container Sets
346,2020-12-11,1607.0,Container Sets
347,2020-12-12,1472.0,Container Sets
348,2020-12-13,1801.0,Container Sets
349,2020-12-14,2148.0,Container Sets
350,2020-12-15,2026.0,Container Sets
351,2020-12-16,1784.0,Container Sets
352,2020-12-17,1949.0,Container Sets
353,2020-12-18,1610.0,Container Sets
354,2020-12-19,1944.0,Container Sets
355,2020-12-20,2026.0,Container Sets
356,2020-12-21,2243.0,Container Sets
357,2020-12-22,1967.0,Container Sets
358,2020-12-23,3019.0,Container Sets
359,2020-12-24,2483.0,Container Sets
360,2020-12-25,2397.0,Container Sets
361,2020-12-26,2330.0,Container Sets
362,2020-12-27,2296.0,Container Sets
363,2020-12-28,2183.0,Container Sets
364,2020-12-29,1792.0,Container Sets
365,2020-12-30,1947.0,Container Sets
366,2020-12-31,1649.0,Container Sets
367,2021-01-01,1663.0,Container Sets
368,2021-01-02,1522.0,Container Sets
369,2021-01-03,1625.0,Container Sets
370,2021-01-04,1623.0,Container Sets
371,2021-01-05,1389.0,Container Sets
372,2021-01-06,1300.0,Container Sets
373,2021-01-07,1300.0,Container Sets
374,2021-01-08,1133.0,Container Sets
375,2021-01-09,1132.0,Container Sets
376,2021-01-10,1443.0,Container Sets
377,2021-01-11,1347.0,Container Sets
378,2021-01-12,1322.0,Container Sets
379,2021-01-13,1193.0,Container Sets
380,2021-01-14,1153.0,Container Sets
381,2021-01-15,1142.0,Container Sets
382,2021-01-16,1168.0,Container Sets
383,2021-01-17,1233.0,Container Sets
384,2021-01-18,1360.0,Container Sets
385,2021-01-19,1300.0,Container Sets
386,2021-01-20,1155.0,Container Sets
387,2021-01-21,1173.0,Container Sets
388,2021-01-22,1132.0,Container Sets
389,2021-01-23,1096.0,Container Sets
390,2021-01-24,1310.0,Container Sets
391,2021-01-25,1389.0,Container Sets
392,2021-01-26,1285.0,Container Sets
393,2021-01-27,1327.0,Container Sets
394,2021-01-28,1162.0,Container Sets
395,2021-01-29,1162.0,Container Sets
396,2021-01-30,1215.0,Container Sets
397,2021-01-31,1411.0,Container Sets
398,2021-02-01,1667.0,Container Sets
399,2021-02-02,1654.0,Container Sets
400,2021-02-03,1409.0,Container Sets
401,2021-02-04,1508.0,Container Sets
402,2021-02-05,1434.0,Container Sets
403,2021-02-06,1434.0,Container Sets
404,2021-02-07,1322.0,Container Sets
405,2021-02-08,1307.0,Container Sets
406,2021-02-09,1323.0,Container Sets
407,2021-02-10,1328.0,Container Sets
408,2021-02-11,1143.0,Container Sets
409,2021-02-12,1334.0,Container Sets
410,2021-02-13,1416.0,Container Sets
411,2021-02-14,1545.0,Container Sets
412,2021-02-15,1985.0,Container Sets
413,2021-02-16,1725.0,Container Sets
414,2021-02-17,1725.0,Container Sets
415,2021-02-18,1527.0,Container Sets
